,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,0.2671,0.26888,0.2642,0.26851,2018-10-14T23:57:55.3340000Z,2018-10-14T00:02:44.0380000Z,2018-10-15T00:00:00.0000000Z,2018-10-14T00:00:00.0000000Z,2270,3789.26
1,0.26186,0.26926,0.255,0.26727,2018-10-15T23:59:31.7450000Z,2018-10-15T00:00:25.6640000Z,2018-10-16T00:00:00.0000000Z,2018-10-15T00:00:00.0000000Z,10774,27200.114
2,0.2583,0.26383,0.25738,0.26186,2018-10-16T23:59:59.9520000Z,2018-10-16T00:01:18.7500000Z,2018-10-17T00:00:00.0000000Z,2018-10-16T00:00:00.0000000Z,13628,37000.419
3,0.25916,0.2598,0.25475,0.2583,2018-10-17T23:59:59.1510000Z,2018-10-17T00:00:01.9560000Z,2018-10-18T00:00:00.0000000Z,2018-10-17T00:00:00.0000000Z,6541,14612.381
4,0.25917,0.2602,0.25687,0.2595,2018-10-18T23:58:17.7800000Z,2018-10-18T00:00:00.6840000Z,2018-10-19T00:00:00.0000000Z,2018-10-18T00:00:00.0000000Z,5783,13483.416
5,0.26193,0.26428,0.2581,0.25967,2018-10-19T23:57:15.5500000Z,2018-10-19T00:00:04.3390000Z,2018-10-20T00:00:00.0000000Z,2018-10-19T00:00:00.0000000Z,3349,7298.163
6,0.26098,0.26199,0.25888,0.26176,2018-10-20T23:57:21.2830000Z,2018-10-20T00:00:13.6330000Z,2018-10-21T00:00:00.0000000Z,2018-10-20T00:00:00.0000000Z,1911,3227.597
7,0.25797,0.26142,0.25709,0.26062,2018-10-21T23:48:56.9690000Z,2018-10-21T00:00:49.5110000Z,2018-10-22T00:00:00.0000000Z,2018-10-21T00:00:00.0000000Z,2815,6185.759
8,0.25692,0.2595,0.25552,0.25817,2018-10-22T23:57:51.8170000Z,2018-10-22T00:03:20.9300000Z,2018-10-23T00:00:00.0000000Z,2018-10-22T00:00:00.0000000Z,2821,4433.231
9,0.2589,0.26318,0.25607,0.25746,2018-10-23T23:51:50.2760000Z,2018-10-23T00:01:08.0620000Z,2018-10-24T00:00:00.0000000Z,2018-10-23T00:00:00.0000000Z,4216,7122.364
10,0.25902,0.26007,0.25664,0.2589,2018-10-24T23:59:19.3410000Z,2018-10-24T00:03:10.3120000Z,2018-10-25T00:00:00.0000000Z,2018-10-24T00:00:00.0000000Z,2464,3939.017
11,0.25938,0.26058,0.25758,0.25899,2018-10-25T23:59:39.4770000Z,2018-10-25T00:03:30.0370000Z,2018-10-26T00:00:00.0000000Z,2018-10-25T00:00:00.0000000Z,2156,2898.267
12,0.25722,0.2598,0.2558,0.25938,2018-10-26T23:59:00.6240000Z,2018-10-26T00:00:56.0630000Z,2018-10-27T00:00:00.0000000Z,2018-10-26T00:00:00.0000000Z,2267,3314.206
13,0.25596,0.25796,0.255,0.25722,2018-10-27T23:58:06.4140000Z,2018-10-27T00:01:07.9230000Z,2018-10-28T00:00:00.0000000Z,2018-10-27T00:00:00.0000000Z,1368,1994.994
14,0.25398,0.2564,0.25285,0.25543,2018-10-28T23:59:28.6300000Z,2018-10-28T00:04:13.5030000Z,2018-10-29T00:00:00.0000000Z,2018-10-28T00:00:00.0000000Z,1837,2053.511
15,0.24977,0.255,0.24361,0.25398,2018-10-29T23:59:47.0310000Z,2018-10-29T00:01:59.2000000Z,2018-10-30T00:00:00.0000000Z,2018-10-29T00:00:00.0000000Z,4339,6877.378
16,0.25,0.25198,0.2485,0.25038,2018-10-30T23:59:25.2310000Z,2018-10-30T00:00:12.6510000Z,2018-10-31T00:00:00.0000000Z,2018-10-30T00:00:00.0000000Z,1865,4134.848
17,0.25102,0.2545,0.24814,0.25,2018-10-31T23:59:57.5760000Z,2018-10-31T00:00:03.3230000Z,2018-11-01T00:00:00.0000000Z,2018-10-31T00:00:00.0000000Z,3241,3594.242
18,0.2528,0.25423,0.25071,0.25079,2018-11-01T23:59:47.5820000Z,2018-11-01T00:00:20.0860000Z,2018-11-02T00:00:00.0000000Z,2018-11-01T00:00:00.0000000Z,1956,2352.839
19,0.25588,0.258,0.25277,0.25329,2018-11-02T23:59:07.2350000Z,2018-11-02T00:00:35.0630000Z,2018-11-03T00:00:00.0000000Z,2018-11-02T00:00:00.0000000Z,3222,4172.177
20,0.25502,0.25728,0.254,0.25538,2018-11-03T23:58:50.5280000Z,2018-11-03T00:00:19.0640000Z,2018-11-04T00:00:00.0000000Z,2018-11-03T00:00:00.0000000Z,1848,3889.715
21,0.25727,0.27189,0.25422,0.25502,2018-11-04T23:59:50.7770000Z,2018-11-04T00:03:50.6170000Z,2018-11-05T00:00:00.0000000Z,2018-11-04T00:00:00.0000000Z,9211,14418.507
22,0.25582,0.26084,0.25336,0.25709,2018-11-05T23:57:41.4900000Z,2018-11-05T00:00:10.7910000Z,2018-11-06T00:00:00.0000000Z,2018-11-05T00:00:00.0000000Z,3951,5718.359
23,0.25566,0.25892,0.251,0.25587,2018-11-06T23:59:02.4110000Z,2018-11-06T00:05:38.4610000Z,2018-11-07T00:00:00.0000000Z,2018-11-06T00:00:00.0000000Z,5311,6832.208
24,0.24865,0.25651,0.24623,0.25601,2018-11-07T23:59:13.3080000Z,2018-11-07T00:00:17.6750000Z,2018-11-08T00:00:00.0000000Z,2018-11-07T00:00:00.0000000Z,5299,8049.434
25,0.2478,0.25074,0.24553,0.24824,2018-11-08T23:59:43.4470000Z,2018-11-08T00:07:35.9130000Z,2018-11-09T00:00:00.0000000Z,2018-11-08T00:00:00.0000000Z,3437,4699.368
26,0.24761,0.24844,0.24595,0.24779,2018-11-09T23:56:20.9890000Z,2018-11-09T00:02:37.8600000Z,2018-11-10T00:00:00.0000000Z,2018-11-09T00:00:00.0000000Z,2074,3660.165
27,0.24655,0.24838,0.24517,0.24764,2018-11-10T23:56:04.2710000Z,2018-11-10T00:03:14.2210000Z,2018-11-11T00:00:00.0000000Z,2018-11-10T00:00:00.0000000Z,1728,2128.733
28,0.24185,0.24661,0.23801,0.24615,2018-11-11T23:57:16.6600000Z,2018-11-11T00:00:01.6740000Z,2018-11-12T00:00:00.0000000Z,2018-11-11T00:00:00.0000000Z,3073,3579.494
29,0.2408,0.243,0.2383,0.24225,2018-11-12T23:56:49.0600000Z,2018-11-12T00:00:24.4640000Z,2018-11-13T00:00:00.0000000Z,2018-11-12T00:00:00.0000000Z,2156,3828.947
30,0.24023,0.24361,0.23653,0.24088,2018-11-13T23:55:48.5700000Z,2018-11-13T00:00:29.5310000Z,2018-11-14T00:00:00.0000000Z,2018-11-13T00:00:00.0000000Z,2743,4159.417
31,0.24082,0.2504,0.2294,0.24049,2018-11-14T23:57:55.0390000Z,2018-11-14T00:00:04.4040000Z,2018-11-15T00:00:00.0000000Z,2018-11-14T00:00:00.0000000Z,9569,18376.441
32,0.24333,0.24625,0.238,0.24021,2018-11-15T23:57:18.9650000Z,2018-11-15T00:00:21.7030000Z,2018-11-16T00:00:00.0000000Z,2018-11-15T00:00:00.0000000Z,5098,9624.954
