,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,0.9999,1.0007,0.9992,1.0007,2019-01-08T23:53:14.0080000Z,2019-01-08T04:00:54.9800000Z,2019-01-09T00:00:00.0000000Z,2019-01-08T00:00:00.0000000Z,136,190035.27
1,0.9995,1.0002,0.9992,1.0002,2019-01-09T23:51:54.6760000Z,2019-01-09T00:52:19.3410000Z,2019-01-10T00:00:00.0000000Z,2019-01-09T00:00:00.0000000Z,156,224654.96
2,0.9992,1.0001,0.998,0.9995,2019-01-10T23:58:09.3110000Z,2019-01-10T00:00:16.7850000Z,2019-01-11T00:00:00.0000000Z,2019-01-10T00:00:00.0000000Z,982,1406436.86
3,0.9982,1.0,0.9978,0.9992,2019-01-11T23:56:51.8270000Z,2019-01-11T00:01:01.8750000Z,2019-01-12T00:00:00.0000000Z,2019-01-11T00:00:00.0000000Z,283,465168.8
4,0.9994,0.9998,0.997,0.9989,2019-01-12T23:17:16.1490000Z,2019-01-12T00:00:34.8090000Z,2019-01-13T00:00:00.0000000Z,2019-01-12T00:00:00.0000000Z,181,267692.31
5,0.99,1.0,0.99,0.9995,2019-01-13T23:50:35.0760000Z,2019-01-13T00:13:06.1030000Z,2019-01-14T00:00:00.0000000Z,2019-01-13T00:00:00.0000000Z,516,356159.06
6,0.9991,0.9998,0.99,0.9918,2019-01-14T23:58:12.3420000Z,2019-01-14T00:08:29.7430000Z,2019-01-15T00:00:00.0000000Z,2019-01-14T00:00:00.0000000Z,839,566794.62
7,0.9986,0.9998,0.9985,0.9986,2019-01-15T23:55:02.9970000Z,2019-01-15T00:01:23.9990000Z,2019-01-16T00:00:00.0000000Z,2019-01-15T00:00:00.0000000Z,285,338976.66
8,0.9986,0.9997,0.9982,0.9986,2019-01-16T23:52:22.2920000Z,2019-01-16T00:01:14.4970000Z,2019-01-17T00:00:00.0000000Z,2019-01-16T00:00:00.0000000Z,387,415586.22
9,0.9986,1.001,0.9985,0.9986,2019-01-17T23:57:05.4900000Z,2019-01-17T00:08:49.1710000Z,2019-01-18T00:00:00.0000000Z,2019-01-17T00:00:00.0000000Z,314,296140.68
10,0.9999,1.0004,0.9986,0.9986,2019-01-18T23:35:09.9440000Z,2019-01-18T00:09:48.4280000Z,2019-01-19T00:00:00.0000000Z,2019-01-18T00:00:00.0000000Z,267,224192.29
11,0.9998,1.0024,0.998,0.9999,2019-01-19T23:51:02.9080000Z,2019-01-19T00:00:43.8820000Z,2019-01-20T00:00:00.0000000Z,2019-01-19T00:00:00.0000000Z,320,270544.86
12,0.9998,1.0009,0.9991,0.9998,2019-01-20T23:50:55.5750000Z,2019-01-20T00:02:03.8040000Z,2019-01-21T00:00:00.0000000Z,2019-01-20T00:00:00.0000000Z,354,296511.1
13,0.9996,1.0,0.9989,0.9998,2019-01-21T23:43:00.8510000Z,2019-01-21T00:01:56.7030000Z,2019-01-22T00:00:00.0000000Z,2019-01-21T00:00:00.0000000Z,805,340773.3
14,0.9994,1.0003,0.9975,0.999,2019-01-22T23:47:22.2220000Z,2019-01-22T00:11:38.0220000Z,2019-01-23T00:00:00.0000000Z,2019-01-22T00:00:00.0000000Z,914,476762.17
15,0.9994,1.0002,0.9989,0.9993,2019-01-23T23:59:15.9150000Z,2019-01-23T00:01:06.5030000Z,2019-01-24T00:00:00.0000000Z,2019-01-23T00:00:00.0000000Z,952,482623.63
16,1.0,1.0008,0.9989,0.9994,2019-01-24T23:58:27.0860000Z,2019-01-24T00:03:55.2520000Z,2019-01-25T00:00:00.0000000Z,2019-01-24T00:00:00.0000000Z,542,316646.06
17,0.9997,1.0007,0.9994,1.0,2019-01-25T23:58:53.8410000Z,2019-01-25T00:13:19.5230000Z,2019-01-26T00:00:00.0000000Z,2019-01-25T00:00:00.0000000Z,286,174291.82
18,1.0001,1.0007,0.999,0.9997,2019-01-26T23:42:37.4370000Z,2019-01-26T00:09:49.5160000Z,2019-01-27T00:00:00.0000000Z,2019-01-26T00:00:00.0000000Z,283,198257.17
19,0.9997,1.0012,0.9992,1.0001,2019-01-27T23:53:58.9940000Z,2019-01-27T00:20:25.9330000Z,2019-01-28T00:00:00.0000000Z,2019-01-27T00:00:00.0000000Z,839,396884.69
20,0.9997,1.002,0.9988,1.0,2019-01-28T23:46:25.8760000Z,2019-01-28T00:00:43.0250000Z,2019-01-29T00:00:00.0000000Z,2019-01-28T00:00:00.0000000Z,1028,636236.16
21,0.9999,1.0006,0.9988,0.9997,2019-01-29T23:52:12.8630000Z,2019-01-29T00:00:42.8480000Z,2019-01-30T00:00:00.0000000Z,2019-01-29T00:00:00.0000000Z,670,349921.19
22,0.9999,1.0014,0.9998,0.9999,2019-01-30T23:01:36.4660000Z,2019-01-30T00:04:45.1920000Z,2019-01-31T00:00:00.0000000Z,2019-01-30T00:00:00.0000000Z,836,591634.08
23,1.0001,1.0008,0.9997,1.0004,2019-01-31T23:42:34.5930000Z,2019-01-31T00:30:42.4230000Z,2019-02-01T00:00:00.0000000Z,2019-01-31T00:00:00.0000000Z,561,447062.15
24,1.0006,1.0006,0.9991,1.0001,2019-02-01T23:27:54.9740000Z,2019-02-01T00:01:19.2410000Z,2019-02-02T00:00:00.0000000Z,2019-02-01T00:00:00.0000000Z,428,275224.78
25,0.9993,1.0005,0.9992,1.0005,2019-02-02T23:38:09.3940000Z,2019-02-02T02:10:27.0140000Z,2019-02-03T00:00:00.0000000Z,2019-02-02T00:00:00.0000000Z,66,72406.0
26,1.0004,1.0004,0.9993,1.0,2019-02-03T23:44:30.2750000Z,2019-02-03T01:01:33.9180000Z,2019-02-04T00:00:00.0000000Z,2019-02-03T00:00:00.0000000Z,54,37065.58
27,1.0,1.0015,0.9997,0.9997,2019-02-04T23:40:35.0780000Z,2019-02-04T01:26:42.1150000Z,2019-02-05T00:00:00.0000000Z,2019-02-04T00:00:00.0000000Z,145,128146.78
28,1.0001,1.0025,0.9995,1.0005,2019-02-05T22:15:45.1760000Z,2019-02-05T00:29:31.5660000Z,2019-02-06T00:00:00.0000000Z,2019-02-05T00:00:00.0000000Z,102,50225.43
