,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,9.413e-05,9.71e-05,9.356e-05,9.599e-05,2018-12-31T23:59:56.2230000Z,2018-12-31T00:00:00.2760000Z,2019-01-01T00:00:00.0000000Z,2018-12-31T00:00:00.0000000Z,69668,41300862.0
1,9.498e-05,9.63e-05,9.381e-05,9.412e-05,2019-01-01T23:59:59.0320000Z,2019-01-01T00:00:00.7640000Z,2019-01-02T00:00:00.0000000Z,2019-01-01T00:00:00.0000000Z,45561,24863582.0
2,9.561e-05,9.784e-05,9.42e-05,9.497e-05,2019-01-02T23:59:57.9540000Z,2019-01-02T00:00:01.7460000Z,2019-01-03T00:00:00.0000000Z,2019-01-02T00:00:00.0000000Z,73645,38073681.0
3,9.358e-05,9.566e-05,9.301e-05,9.56e-05,2019-01-03T23:59:54.2850000Z,2019-01-03T00:00:00.4300000Z,2019-01-04T00:00:00.0000000Z,2019-01-03T00:00:00.0000000Z,67266,36067393.0
4,9.305e-05,9.438e-05,9.261e-05,9.358e-05,2019-01-04T23:59:58.3990000Z,2019-01-04T00:00:00.0650000Z,2019-01-05T00:00:00.0000000Z,2019-01-04T00:00:00.0000000Z,64171,34128742.0
5,9.239e-05,9.42e-05,9.145e-05,9.313e-05,2019-01-05T23:59:59.9980000Z,2019-01-05T00:00:02.2790000Z,2019-01-06T00:00:00.0000000Z,2019-01-05T00:00:00.0000000Z,67266,37301570.0
6,9.033e-05,9.32e-05,8.981e-05,9.24e-05,2019-01-06T23:59:59.9220000Z,2019-01-06T00:00:00.3030000Z,2019-01-07T00:00:00.0000000Z,2019-01-06T00:00:00.0000000Z,75209,45904969.0
7,9.063e-05,9.3e-05,8.981e-05,9.033e-05,2019-01-07T23:59:59.9810000Z,2019-01-07T00:00:00.7490000Z,2019-01-08T00:00:00.0000000Z,2019-01-07T00:00:00.0000000Z,80262,45837146.0
8,9.121e-05,9.123e-05,8.995e-05,9.063e-05,2019-01-08T23:59:59.6540000Z,2019-01-08T00:00:00.1430000Z,2019-01-09T00:00:00.0000000Z,2019-01-08T00:00:00.0000000Z,72916,45992677.0
9,9.194e-05,9.326e-05,9.055e-05,9.121e-05,2019-01-09T23:59:59.5130000Z,2019-01-09T00:00:01.6270000Z,2019-01-10T00:00:00.0000000Z,2019-01-09T00:00:00.0000000Z,80128,50230725.0
10,9.055e-05,9.511e-05,8.891e-05,9.195e-05,2019-01-10T23:59:59.3720000Z,2019-01-10T00:00:00.0880000Z,2019-01-11T00:00:00.0000000Z,2019-01-10T00:00:00.0000000Z,153704,107638622.0
11,9.048e-05,9.219e-05,8.989e-05,9.055e-05,2019-01-11T23:59:59.8390000Z,2019-01-11T00:00:00.4680000Z,2019-01-12T00:00:00.0000000Z,2019-01-11T00:00:00.0000000Z,91041,52135014.0
