,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,1.2299999999999999e-06,1e-05,1.2099999999999998e-06,1e-05,2019-03-12T11:36:27.0000000Z,2019-03-12T11:01:26.0000000Z,2019-03-12T12:00:00.0000000Z,2019-03-12T11:00:00.0000000Z,4,1999.0
1,1.2099999999999998e-06,1.39e-06,1.2099999999999998e-06,1.39e-06,2019-03-12T12:51:16.0000000Z,2019-03-12T12:00:50.0000000Z,2019-03-12T13:00:00.0000000Z,2019-03-12T12:00:00.0000000Z,2,102.01485263
2,1.22e-06,1.22e-06,1.2099999999999998e-06,1.2099999999999998e-06,2019-03-12T13:54:27.0000000Z,2019-03-12T13:33:53.0000000Z,2019-03-12T14:00:00.0000000Z,2019-03-12T13:00:00.0000000Z,4,1997.98514737
3,1.24e-06,1.2499999999999999e-06,1.18e-06,1.2299999999999999e-06,2019-03-12T14:33:50.0000000Z,2019-03-12T14:09:11.0000000Z,2019-03-12T15:00:00.0000000Z,2019-03-12T14:00:00.0000000Z,10,14907.73089666
4,1.26e-06,1.26e-06,1.2499999999999999e-06,1.2499999999999999e-06,2019-03-12T15:50:10.0000000Z,2019-03-12T15:05:01.0000000Z,2019-03-12T16:00:00.0000000Z,2019-03-12T15:00:00.0000000Z,8,92663.81943324
5,1.26e-06,1.26e-06,1.26e-06,1.26e-06,2019-03-12T16:15:25.0000000Z,2019-03-12T16:15:25.0000000Z,2019-03-12T17:00:00.0000000Z,2019-03-12T16:00:00.0000000Z,1,10.65555555
6,1.2299999999999999e-06,1.2299999999999999e-06,1.1899999999999998e-06,1.1899999999999998e-06,2019-03-12T22:45:00.0000000Z,2019-03-12T22:04:58.0000000Z,2019-03-12T23:00:00.0000000Z,2019-03-12T22:00:00.0000000Z,4,5698.12979904
7,1.11e-06,1.14e-06,1.11e-06,1.14e-06,2019-03-13T05:50:08.0000000Z,2019-03-13T05:13:46.0000000Z,2019-03-13T06:00:00.0000000Z,2019-03-13T05:00:00.0000000Z,9,103998.0
8,1.0099999999999999e-06,1.06e-06,9.9e-07,1.06e-06,2019-03-13T08:51:41.0000000Z,2019-03-13T08:09:01.0000000Z,2019-03-13T09:00:00.0000000Z,2019-03-13T08:00:00.0000000Z,64,1024242.07660156
9,1.07e-06,1.11e-06,1.07e-06,1.09e-06,2019-03-13T09:52:17.0000000Z,2019-03-13T09:41:26.0000000Z,2019-03-13T10:00:00.0000000Z,2019-03-13T09:00:00.0000000Z,15,112578.77173566
10,1.0099999999999999e-06,1.05e-06,1.0099999999999999e-06,1.05e-06,2019-03-13T11:23:28.0000000Z,2019-03-13T11:21:39.0000000Z,2019-03-13T12:00:00.0000000Z,2019-03-13T11:00:00.0000000Z,15,182507.34000002
11,1.18e-06,1.18e-06,1.02e-06,1.02e-06,2019-03-13T12:14:14.0000000Z,2019-03-13T12:07:30.0000000Z,2019-03-13T13:00:00.0000000Z,2019-03-13T12:00:00.0000000Z,4,1.86654622
12,1.1e-06,1.18e-06,1.02e-06,1.02e-06,2019-03-13T14:48:47.0000000Z,2019-03-13T14:31:54.0000000Z,2019-03-13T15:00:00.0000000Z,2019-03-13T14:00:00.0000000Z,14,113.0
13,1.16e-06,1.16e-06,1.16e-06,1.16e-06,2019-03-13T15:14:36.0000000Z,2019-03-13T15:14:36.0000000Z,2019-03-13T16:00:00.0000000Z,2019-03-13T15:00:00.0000000Z,1,1.0
14,1.0299999999999999e-06,1.0299999999999999e-06,1.0299999999999999e-06,1.0299999999999999e-06,2019-03-13T16:10:55.0000000Z,2019-03-13T16:10:55.0000000Z,2019-03-13T17:00:00.0000000Z,2019-03-13T16:00:00.0000000Z,1,32168.5428619
15,1.0299999999999999e-06,1.08e-06,1.02e-06,1.0299999999999999e-06,2019-03-14T08:58:31.0000000Z,2019-03-14T08:55:57.0000000Z,2019-03-14T09:00:00.0000000Z,2019-03-14T08:00:00.0000000Z,5,39880.0
16,1.1899999999999998e-06,1.2e-06,1.1699999999999998e-06,1.1699999999999998e-06,2019-03-14T10:56:33.0000000Z,2019-03-14T10:56:33.0000000Z,2019-03-14T11:00:00.0000000Z,2019-03-14T10:00:00.0000000Z,5,27601.27661318
17,1.0099999999999999e-06,1.0099999999999999e-06,1.0099999999999999e-06,1.0099999999999999e-06,2019-03-14T11:59:46.0000000Z,2019-03-14T11:58:15.0000000Z,2019-03-14T12:00:00.0000000Z,2019-03-14T11:00:00.0000000Z,19,390919.80197507
18,9e-07,1e-06,9e-07,1e-06,2019-03-14T12:06:00.0000000Z,2019-03-14T12:00:03.0000000Z,2019-03-14T13:00:00.0000000Z,2019-03-14T12:00:00.0000000Z,12,122969.57945169
19,1.1299999999999998e-06,1.1499999999999998e-06,8.4e-07,8.4e-07,2019-03-14T13:46:51.0000000Z,2019-03-14T13:34:11.0000000Z,2019-03-14T14:00:00.0000000Z,2019-03-14T13:00:00.0000000Z,4,13331.30172414
20,9e-07,9.4e-07,9e-07,9.4e-07,2019-03-14T16:54:48.0000000Z,2019-03-14T16:50:54.0000000Z,2019-03-14T17:00:00.0000000Z,2019-03-14T16:00:00.0000000Z,9,194817.93891129
21,1.09e-06,1.09e-06,1.09e-06,1.09e-06,2019-03-14T19:40:28.0000000Z,2019-03-14T19:40:27.0000000Z,2019-03-14T20:00:00.0000000Z,2019-03-14T19:00:00.0000000Z,3,22112.65567766
22,1.0299999999999999e-06,1.05e-06,1.0299999999999999e-06,1.05e-06,2019-03-14T21:55:13.0000000Z,2019-03-14T21:55:13.0000000Z,2019-03-14T22:00:00.0000000Z,2019-03-14T21:00:00.0000000Z,2,10377.51794872
23,1.02e-06,1.02e-06,1.02e-06,1.02e-06,2019-03-15T09:29:06.0000000Z,2019-03-15T09:29:06.0000000Z,2019-03-15T10:00:00.0000000Z,2019-03-15T09:00:00.0000000Z,1,10396.47572816
24,9.699999999999998e-07,9.699999999999998e-07,9.699999999999998e-07,9.699999999999998e-07,2019-03-15T10:46:12.0000000Z,2019-03-15T10:46:12.0000000Z,2019-03-15T11:00:00.0000000Z,2019-03-15T10:00:00.0000000Z,1,2274.0
25,1.1e-06,1.1e-06,1e-06,1e-06,2019-03-16T12:47:23.0000000Z,2019-03-16T12:44:24.0000000Z,2019-03-16T13:00:00.0000000Z,2019-03-16T12:00:00.0000000Z,11,52987.68789887
26,9.4e-07,9.4e-07,9.4e-07,9.4e-07,2019-03-16T16:00:33.0000000Z,2019-03-16T16:00:33.0000000Z,2019-03-16T17:00:00.0000000Z,2019-03-16T16:00:00.0000000Z,1,2724.87910024
27,8.599999999999999e-07,9.3e-07,8.599999999999999e-07,9.3e-07,2019-03-17T08:21:25.0000000Z,2019-03-17T08:13:12.0000000Z,2019-03-17T09:00:00.0000000Z,2019-03-17T08:00:00.0000000Z,6,55239.0
28,1e-06,1e-06,9.9e-07,9.9e-07,2019-03-17T14:47:12.0000000Z,2019-03-17T14:47:12.0000000Z,2019-03-17T15:00:00.0000000Z,2019-03-17T14:00:00.0000000Z,2,25000.0
29,9.199999999999999e-07,9.199999999999999e-07,9.199999999999999e-07,9.199999999999999e-07,2019-03-18T18:40:20.0000000Z,2019-03-18T18:40:20.0000000Z,2019-03-18T19:00:00.0000000Z,2019-03-18T18:00:00.0000000Z,2,14945.47817884
30,9.199999999999999e-07,9.199999999999999e-07,9.199999999999999e-07,9.199999999999999e-07,2019-03-18T20:50:10.0000000Z,2019-03-18T20:50:10.0000000Z,2019-03-18T21:00:00.0000000Z,2019-03-18T20:00:00.0000000Z,1,15531.34218804
31,9.3e-07,9.3e-07,9.199999999999999e-07,9.199999999999999e-07,2019-03-19T01:47:46.0000000Z,2019-03-19T01:40:56.0000000Z,2019-03-19T02:00:00.0000000Z,2019-03-19T01:00:00.0000000Z,3,58820.08853078
32,1e-06,1e-06,1e-06,1e-06,2019-03-20T12:26:35.0000000Z,2019-03-20T12:26:35.0000000Z,2019-03-20T13:00:00.0000000Z,2019-03-20T12:00:00.0000000Z,2,16627.33
33,1e-06,1e-06,1e-06,1e-06,2019-03-20T15:04:32.0000000Z,2019-03-20T15:04:32.0000000Z,2019-03-20T16:00:00.0000000Z,2019-03-20T15:00:00.0000000Z,1,25761.06
34,8.599999999999999e-07,8.9e-07,8.599999999999999e-07,8.699999999999999e-07,2019-03-21T11:09:03.0000000Z,2019-03-21T11:08:36.0000000Z,2019-03-21T12:00:00.0000000Z,2019-03-21T11:00:00.0000000Z,6,78032.9367828
35,8.499999999999999e-07,9.1e-07,8.499999999999999e-07,9.1e-07,2019-03-22T11:20:40.0000000Z,2019-03-22T11:20:18.0000000Z,2019-03-22T12:00:00.0000000Z,2019-03-22T11:00:00.0000000Z,7,131951.37096005
36,9.8e-07,9.8e-07,9.8e-07,9.8e-07,2019-03-22T14:27:26.0000000Z,2019-03-22T14:27:26.0000000Z,2019-03-22T15:00:00.0000000Z,2019-03-22T14:00:00.0000000Z,1,7000.0
37,9.199999999999999e-07,9.199999999999999e-07,9.199999999999999e-07,9.199999999999999e-07,2019-03-23T18:14:22.0000000Z,2019-03-23T18:14:22.0000000Z,2019-03-23T19:00:00.0000000Z,2019-03-23T18:00:00.0000000Z,1,5984.09170522
38,9.6e-07,9.6e-07,9.6e-07,9.6e-07,2019-03-23T23:38:26.0000000Z,2019-03-23T23:38:26.0000000Z,2019-03-24T00:00:00.0000000Z,2019-03-23T23:00:00.0000000Z,2,25415.78125
39,9.3e-07,9.3e-07,9.3e-07,9.3e-07,2019-03-24T08:58:18.0000000Z,2019-03-24T08:54:50.0000000Z,2019-03-24T09:00:00.0000000Z,2019-03-24T08:00:00.0000000Z,3,150000.0
40,9.8e-07,9.8e-07,9.3e-07,9.3e-07,2019-03-24T09:47:03.0000000Z,2019-03-24T09:00:22.0000000Z,2019-03-24T10:00:00.0000000Z,2019-03-24T09:00:00.0000000Z,2,40407.21505376
41,9.3e-07,9.3e-07,9.3e-07,9.3e-07,2019-03-24T10:03:29.0000000Z,2019-03-24T10:03:29.0000000Z,2019-03-24T11:00:00.0000000Z,2019-03-24T10:00:00.0000000Z,1,10662.1003228
42,9.3e-07,9.3e-07,9.3e-07,9.3e-07,2019-03-24T14:34:20.0000000Z,2019-03-24T14:34:20.0000000Z,2019-03-24T15:00:00.0000000Z,2019-03-24T14:00:00.0000000Z,2,50000.0
43,9.9e-07,9.9e-07,9.9e-07,9.9e-07,2019-03-25T00:12:03.0000000Z,2019-03-25T00:12:03.0000000Z,2019-03-25T01:00:00.0000000Z,2019-03-25T00:00:00.0000000Z,1,4212.783
44,8.9e-07,9.3e-07,8.9e-07,9.3e-07,2019-03-26T06:52:20.0000000Z,2019-03-26T06:51:11.0000000Z,2019-03-26T07:00:00.0000000Z,2019-03-26T06:00:00.0000000Z,5,45652.0
45,8.599999999999999e-07,8.9e-07,8.599999999999999e-07,8.9e-07,2019-03-27T10:24:40.0000000Z,2019-03-27T10:17:45.0000000Z,2019-03-27T11:00:00.0000000Z,2019-03-27T10:00:00.0000000Z,16,169096.30532371
46,1.11e-06,1.11e-06,1e-06,1e-06,2019-03-28T06:29:33.0000000Z,2019-03-28T06:28:46.0000000Z,2019-03-28T07:00:00.0000000Z,2019-03-28T06:00:00.0000000Z,4,30547.40437226
47,8.599999999999999e-07,8.599999999999999e-07,8.599999999999999e-07,8.599999999999999e-07,2019-03-28T09:38:35.0000000Z,2019-03-28T09:38:35.0000000Z,2019-03-28T10:00:00.0000000Z,2019-03-28T09:00:00.0000000Z,1,2636.0
48,7.2e-07,8.8e-07,7.2e-07,8.8e-07,2019-03-28T13:38:02.0000000Z,2019-03-28T13:37:16.0000000Z,2019-03-28T14:00:00.0000000Z,2019-03-28T13:00:00.0000000Z,13,149014.63958
49,9.3e-07,9.3e-07,9.3e-07,9.3e-07,2019-03-28T18:21:29.0000000Z,2019-03-28T18:21:29.0000000Z,2019-03-28T19:00:00.0000000Z,2019-03-28T18:00:00.0000000Z,1,9444.73297326
50,9.3e-07,9.3e-07,9.3e-07,9.3e-07,2019-03-29T00:19:03.0000000Z,2019-03-29T00:19:03.0000000Z,2019-03-29T01:00:00.0000000Z,2019-03-29T00:00:00.0000000Z,2,10555.26702674
51,8.499999999999999e-07,8.599999999999999e-07,8.499999999999999e-07,8.599999999999999e-07,2019-03-29T04:45:29.0000000Z,2019-03-29T04:45:15.0000000Z,2019-03-29T05:00:00.0000000Z,2019-03-29T04:00:00.0000000Z,2,10048.99916
52,8.699999999999999e-07,8.699999999999999e-07,8.699999999999999e-07,8.699999999999999e-07,2019-03-29T17:39:13.0000000Z,2019-03-29T17:37:34.0000000Z,2019-03-29T18:00:00.0000000Z,2019-03-29T17:00:00.0000000Z,4,39980.96796814
53,8.499999999999999e-07,8.599999999999999e-07,8.499999999999999e-07,8.599999999999999e-07,2019-03-29T18:08:11.0000000Z,2019-03-29T18:08:01.0000000Z,2019-03-29T19:00:00.0000000Z,2019-03-29T18:00:00.0000000Z,2,46927.74502605
54,1.04e-06,1.04e-06,7.4e-07,7.4e-07,2019-03-30T07:50:35.0000000Z,2019-03-30T07:50:01.0000000Z,2019-03-30T08:00:00.0000000Z,2019-03-30T07:00:00.0000000Z,2,8063.22366759
55,1.0299999999999999e-06,1.0299999999999999e-06,7.5e-07,7.5e-07,2019-03-31T05:23:23.0000000Z,2019-03-31T05:22:55.0000000Z,2019-03-31T06:00:00.0000000Z,2019-03-31T05:00:00.0000000Z,2,8424.53398058
56,8.1e-07,8.1e-07,8.1e-07,8.1e-07,2019-04-01T05:45:14.0000000Z,2019-04-01T05:39:53.0000000Z,2019-04-01T06:00:00.0000000Z,2019-04-01T05:00:00.0000000Z,3,116571.28700581
57,8.499999999999999e-07,8.499999999999999e-07,8.499999999999999e-07,8.499999999999999e-07,2019-04-01T14:11:49.0000000Z,2019-04-01T14:11:49.0000000Z,2019-04-01T15:00:00.0000000Z,2019-04-01T14:00:00.0000000Z,1,49950.0
58,8.4e-07,8.499999999999999e-07,8.4e-07,8.499999999999999e-07,2019-04-02T05:18:26.0000000Z,2019-04-02T05:12:12.0000000Z,2019-04-02T06:00:00.0000000Z,2019-04-02T05:00:00.0000000Z,4,24469.59703642
59,1e-06,1e-06,8.199999999999999e-07,8.199999999999999e-07,2019-04-02T10:47:16.0000000Z,2019-04-02T10:47:04.0000000Z,2019-04-02T11:00:00.0000000Z,2019-04-02T10:00:00.0000000Z,2,6604.73386439
60,8.199999999999999e-07,8.199999999999999e-07,8.199999999999999e-07,8.199999999999999e-07,2019-04-02T11:45:28.0000000Z,2019-04-02T11:45:28.0000000Z,2019-04-02T12:00:00.0000000Z,2019-04-02T11:00:00.0000000Z,1,1039.02613561
61,9.5e-07,9.5e-07,7.799999999999999e-07,9e-07,2019-04-02T16:42:51.0000000Z,2019-04-02T16:10:23.0000000Z,2019-04-02T17:00:00.0000000Z,2019-04-02T16:00:00.0000000Z,6,54932.080729
62,7.799999999999999e-07,8e-07,7.799999999999999e-07,8e-07,2019-04-03T19:48:12.0000000Z,2019-04-03T19:48:11.0000000Z,2019-04-03T20:00:00.0000000Z,2019-04-03T19:00:00.0000000Z,4,16151.56863062
