,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,4.56e-06,4.57e-06,4.56e-06,4.56e-06,2018-06-01T01:55:23.0000000Z,2018-06-01T01:14:33.0000000Z,2018-06-01T02:00:00.0000000Z,2018-06-01T01:00:00.0000000Z,9,48502.85144227
1,4.56e-06,4.56e-06,4.56e-06,4.56e-06,2018-06-01T02:27:31.0000000Z,2018-06-01T02:27:28.0000000Z,2018-06-01T03:00:00.0000000Z,2018-06-01T02:00:00.0000000Z,3,2801.96054085
2,4.519999999999999e-06,4.56e-06,4.519999999999999e-06,4.56e-06,2018-06-01T04:43:49.0000000Z,2018-06-01T04:29:11.0000000Z,2018-06-01T05:00:00.0000000Z,2018-06-01T04:00:00.0000000Z,4,6196.0
3,4.53e-06,4.56e-06,4.53e-06,4.56e-06,2018-06-01T05:16:16.0000000Z,2018-06-01T05:08:30.0000000Z,2018-06-01T06:00:00.0000000Z,2018-06-01T05:00:00.0000000Z,9,56651.47926372
4,4.69e-06,4.69e-06,4.69e-06,4.69e-06,2018-06-01T08:58:52.0000000Z,2018-06-01T08:57:47.0000000Z,2018-06-01T09:00:00.0000000Z,2018-06-01T08:00:00.0000000Z,2,10000.0
5,4.71e-06,4.71e-06,4.53e-06,4.53e-06,2018-06-01T09:17:39.0000000Z,2018-06-01T09:17:11.0000000Z,2018-06-01T10:00:00.0000000Z,2018-06-01T09:00:00.0000000Z,3,2444.08492569
6,4.7e-06,4.71e-06,4.7e-06,4.71e-06,2018-06-01T10:13:18.0000000Z,2018-06-01T10:13:18.0000000Z,2018-06-01T11:00:00.0000000Z,2018-06-01T10:00:00.0000000Z,2,1687.55838641
7,4.56e-06,4.56e-06,4.55e-06,4.55e-06,2018-06-01T11:34:53.0000000Z,2018-06-01T11:29:22.0000000Z,2018-06-01T12:00:00.0000000Z,2018-06-01T11:00:00.0000000Z,2,8509.0
8,4.589999999999999e-06,4.589999999999999e-06,4.589999999999999e-06,4.589999999999999e-06,2018-06-01T15:19:17.0000000Z,2018-06-01T15:19:17.0000000Z,2018-06-01T16:00:00.0000000Z,2018-06-01T15:00:00.0000000Z,1,1233.54471408
9,4.63e-06,4.63e-06,4.63e-06,4.63e-06,2018-06-01T17:14:50.0000000Z,2018-06-01T17:14:50.0000000Z,2018-06-01T18:00:00.0000000Z,2018-06-01T17:00:00.0000000Z,1,1096.41
10,4.589999999999999e-06,4.599999999999999e-06,4.58e-06,4.589999999999999e-06,2018-06-01T18:08:25.0000000Z,2018-06-01T18:07:16.0000000Z,2018-06-01T19:00:00.0000000Z,2018-06-01T18:00:00.0000000Z,15,26702.99638394
