,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,7.498e-05,7.498e-05,7.498e-05,7.498e-05,2018-06-19T13:17:24.0000000Z,2018-06-19T13:17:24.0000000Z,2018-06-19T14:00:00.0000000Z,2018-06-19T13:00:00.0000000Z,2,1332.84875572
1,7.498e-05,7.498e-05,7.498e-05,7.498e-05,2018-06-19T14:45:08.0000000Z,2018-06-19T14:00:33.0000000Z,2018-06-19T15:00:00.0000000Z,2018-06-19T14:00:00.0000000Z,6,7142.0
2,5.5950000000000005e-05,5.5950000000000005e-05,5.5950000000000005e-05,5.5950000000000005e-05,2018-06-19T18:47:46.0000000Z,2018-06-19T18:47:46.0000000Z,2018-06-19T19:00:00.0000000Z,2018-06-19T18:00:00.0000000Z,1,4991.90159499
3,5.7270000000000006e-05,5.7270000000000006e-05,5.7260000000000004e-05,5.7260000000000004e-05,2018-06-20T09:24:19.0000000Z,2018-06-20T09:24:19.0000000Z,2018-06-20T10:00:00.0000000Z,2018-06-20T09:00:00.0000000Z,4,25000.0
4,5.539e-05,5.672e-05,5.539e-05,5.672e-05,2018-06-20T15:54:57.0000000Z,2018-06-20T15:54:57.0000000Z,2018-06-20T16:00:00.0000000Z,2018-06-20T15:00:00.0000000Z,2,15000.0
5,6.999e-05,6.999e-05,6.960000000000001e-05,6.960000000000001e-05,2018-06-21T01:35:51.0000000Z,2018-06-21T01:35:50.0000000Z,2018-06-21T02:00:00.0000000Z,2018-06-21T01:00:00.0000000Z,7,71367.0
6,5.1500000000000005e-05,5.556e-05,5.1500000000000005e-05,5.556e-05,2018-06-21T05:47:48.0000000Z,2018-06-21T05:36:54.0000000Z,2018-06-21T06:00:00.0000000Z,2018-06-21T05:00:00.0000000Z,8,43206.19
7,5.459e-05,5.459e-05,5.458000000000001e-05,5.458000000000001e-05,2018-06-21T06:10:55.0000000Z,2018-06-21T06:10:55.0000000Z,2018-06-21T07:00:00.0000000Z,2018-06-21T06:00:00.0000000Z,2,15000.0
8,5.43e-05,6.998e-05,5.43e-05,6.998e-05,2018-06-21T14:33:16.0000000Z,2018-06-21T14:10:27.0000000Z,2018-06-21T15:00:00.0000000Z,2018-06-21T14:00:00.0000000Z,2,15350.0
9,6.997000000000001e-05,6.998e-05,6.997000000000001e-05,6.998e-05,2018-06-24T13:02:37.0000000Z,2018-06-24T13:02:37.0000000Z,2018-06-24T14:00:00.0000000Z,2018-06-24T13:00:00.0000000Z,2,2209.81108888
10,5.8700000000000004e-05,5.8700000000000004e-05,5.8700000000000004e-05,5.8700000000000004e-05,2018-06-26T08:31:20.0000000Z,2018-06-26T08:31:20.0000000Z,2018-06-26T09:00:00.0000000Z,2018-06-26T08:00:00.0000000Z,1,13176.10732538
11,5.831000000000001e-05,5.906e-05,5.831000000000001e-05,5.906e-05,2018-06-27T11:29:32.0000000Z,2018-06-27T11:29:13.0000000Z,2018-06-27T12:00:00.0000000Z,2018-06-27T11:00:00.0000000Z,2,10000.0
12,6.168e-05,6.173000000000001e-05,5.9520000000000006e-05,5.9520000000000006e-05,2018-06-27T13:56:38.0000000Z,2018-06-27T13:38:15.0000000Z,2018-06-27T14:00:00.0000000Z,2018-06-27T13:00:00.0000000Z,3,11884.62
13,5.7190000000000006e-05,5.7190000000000006e-05,5.7190000000000006e-05,5.7190000000000006e-05,2018-06-27T14:33:38.0000000Z,2018-06-27T14:33:38.0000000Z,2018-06-27T15:00:00.0000000Z,2018-06-27T14:00:00.0000000Z,1,5000.0
14,5.4470000000000005e-05,5.4470000000000005e-05,5.4460000000000004e-05,5.4460000000000004e-05,2018-06-28T11:58:21.0000000Z,2018-06-28T11:58:21.0000000Z,2018-06-28T12:00:00.0000000Z,2018-06-28T11:00:00.0000000Z,2,2500.0
15,5.055e-05,5.055e-05,5.055e-05,5.055e-05,2018-06-30T06:11:31.0000000Z,2018-06-30T06:11:31.0000000Z,2018-06-30T07:00:00.0000000Z,2018-06-30T06:00:00.0000000Z,1,5000.0
16,7.000000000000001e-05,7.000000000000001e-05,6.962e-05,6.962e-05,2018-06-30T20:40:47.0000000Z,2018-06-30T20:40:36.0000000Z,2018-06-30T21:00:00.0000000Z,2018-06-30T20:00:00.0000000Z,16,34243.5551932
17,7.3e-05,7.3e-05,7.3e-05,7.3e-05,2018-07-01T05:49:34.0000000Z,2018-07-01T05:47:11.0000000Z,2018-07-01T06:00:00.0000000Z,2018-07-01T05:00:00.0000000Z,2,72706.49
18,7.450000000000001e-05,7.450000000000001e-05,7.450000000000001e-05,7.450000000000001e-05,2018-07-01T14:36:57.0000000Z,2018-07-01T14:36:57.0000000Z,2018-07-01T15:00:00.0000000Z,2018-07-01T14:00:00.0000000Z,1,1596.8
19,8e-05,8e-05,8e-05,8e-05,2018-07-01T20:02:15.0000000Z,2018-07-01T20:02:14.0000000Z,2018-07-01T21:00:00.0000000Z,2018-07-01T20:00:00.0000000Z,5,15798.47021668
