,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,2.6e-06,2.6e-06,2.6e-06,2.6e-06,2018-07-07T07:06:34.0000000Z,2018-07-07T07:06:26.0000000Z,2018-07-07T08:00:00.0000000Z,2018-07-07T07:00:00.0000000Z,4,15448.0
1,2.4199999999999997e-06,2.4199999999999997e-06,2.4100000000000002e-06,2.4100000000000002e-06,2018-07-07T11:03:41.0000000Z,2018-07-07T11:03:35.0000000Z,2018-07-07T12:00:00.0000000Z,2018-07-07T11:00:00.0000000Z,3,423618.59833403
2,2.84e-06,2.84e-06,2.84e-06,2.84e-06,2018-07-07T17:35:17.0000000Z,2018-07-07T17:35:17.0000000Z,2018-07-07T18:00:00.0000000Z,2018-07-07T17:00:00.0000000Z,1,3623.38747198
3,2.82e-06,2.82e-06,2.82e-06,2.82e-06,2018-07-07T18:10:03.0000000Z,2018-07-07T18:10:03.0000000Z,2018-07-07T19:00:00.0000000Z,2018-07-07T18:00:00.0000000Z,2,30007.42077772
4,2.36e-06,2.36e-06,2.36e-06,2.36e-06,2018-07-09T10:58:57.0000000Z,2018-07-09T10:58:57.0000000Z,2018-07-09T11:00:00.0000000Z,2018-07-09T10:00:00.0000000Z,1,14567.5066
5,2.52e-06,2.52e-06,2.52e-06,2.52e-06,2018-07-09T20:25:46.0000000Z,2018-07-09T20:04:32.0000000Z,2018-07-09T21:00:00.0000000Z,2018-07-09T20:00:00.0000000Z,9,72922.69574093
6,2.52e-06,2.68e-06,2.52e-06,2.52e-06,2018-07-10T18:11:28.0000000Z,2018-07-10T18:11:07.0000000Z,2018-07-10T19:00:00.0000000Z,2018-07-10T18:00:00.0000000Z,10,224234.58055166
7,2.31e-06,2.31e-06,2.31e-06,2.31e-06,2018-07-11T20:25:30.0000000Z,2018-07-11T20:25:30.0000000Z,2018-07-11T21:00:00.0000000Z,2018-07-11T20:00:00.0000000Z,1,12000.0
8,2.31e-06,2.31e-06,2.31e-06,2.31e-06,2018-07-12T03:35:28.0000000Z,2018-07-12T03:35:28.0000000Z,2018-07-12T04:00:00.0000000Z,2018-07-12T03:00:00.0000000Z,1,26709.64643036
9,1.31e-06,1.31e-06,1.31e-06,1.31e-06,2018-07-16T08:26:58.0000000Z,2018-07-16T08:26:58.0000000Z,2018-07-16T09:00:00.0000000Z,2018-07-16T08:00:00.0000000Z,1,6000.0
10,2.1899999999999998e-06,2.1899999999999998e-06,2.1899999999999998e-06,2.1899999999999998e-06,2018-07-16T14:04:46.0000000Z,2018-07-16T14:04:46.0000000Z,2018-07-16T15:00:00.0000000Z,2018-07-16T14:00:00.0000000Z,1,6097.37051437
11,2.13e-06,2.13e-06,2.13e-06,2.13e-06,2018-07-16T18:44:39.0000000Z,2018-07-16T18:44:39.0000000Z,2018-07-16T19:00:00.0000000Z,2018-07-16T18:00:00.0000000Z,2,1972.0
12,5.8899999999999995e-06,6e-06,5.8899999999999995e-06,6e-06,2018-07-18T12:19:44.0000000Z,2018-07-18T12:19:44.0000000Z,2018-07-18T13:00:00.0000000Z,2018-07-18T12:00:00.0000000Z,2,6758.25901639
13,5.79e-06,5.99e-06,5.79e-06,5.99e-06,2018-07-18T19:41:40.0000000Z,2018-07-18T19:41:40.0000000Z,2018-07-18T20:00:00.0000000Z,2018-07-18T19:00:00.0000000Z,2,10955.42070117
14,1.41e-06,1.7199999999999998e-06,1.41e-06,1.7199999999999998e-06,2018-07-23T11:49:21.0000000Z,2018-07-23T11:47:40.0000000Z,2018-07-23T12:00:00.0000000Z,2018-07-23T11:00:00.0000000Z,7,110125.966
15,1.87e-06,1.87e-06,1.87e-06,1.87e-06,2018-07-24T06:06:53.0000000Z,2018-07-24T06:06:53.0000000Z,2018-07-24T07:00:00.0000000Z,2018-07-24T06:00:00.0000000Z,1,3321.4383
16,1.5199999999999998e-06,1.5199999999999998e-06,1.5199999999999998e-06,1.5199999999999998e-06,2018-07-26T07:02:13.0000000Z,2018-07-26T07:02:13.0000000Z,2018-07-26T08:00:00.0000000Z,2018-07-26T07:00:00.0000000Z,1,1080.28939385
17,2.12e-06,2.12e-06,2.12e-06,2.12e-06,2018-07-27T14:15:56.0000000Z,2018-07-27T14:15:56.0000000Z,2018-07-27T15:00:00.0000000Z,2018-07-27T14:00:00.0000000Z,1,800.0
18,2.5899999999999998e-06,2.5899999999999998e-06,2.5899999999999998e-06,2.5899999999999998e-06,2018-07-28T14:17:22.0000000Z,2018-07-28T14:17:22.0000000Z,2018-07-28T15:00:00.0000000Z,2018-07-28T14:00:00.0000000Z,1,2002.0
19,1.5e-06,1.5e-06,1.5e-06,1.5e-06,2018-07-31T19:39:33.0000000Z,2018-07-31T19:39:33.0000000Z,2018-07-31T20:00:00.0000000Z,2018-07-31T19:00:00.0000000Z,5,115480.10110329
20,1.6099999999999998e-06,1.6099999999999998e-06,1.6099999999999998e-06,1.6099999999999998e-06,2018-08-01T00:09:58.0000000Z,2018-08-01T00:09:58.0000000Z,2018-08-01T01:00:00.0000000Z,2018-08-01T00:00:00.0000000Z,1,6813.55525988
21,1.35e-06,1.53e-06,1.35e-06,1.53e-06,2018-08-01T06:47:52.0000000Z,2018-08-01T06:45:29.0000000Z,2018-08-01T07:00:00.0000000Z,2018-08-01T06:00:00.0000000Z,4,43923.73045678
22,1.5599999999999999e-06,1.5599999999999999e-06,1.5599999999999999e-06,1.5599999999999999e-06,2018-08-02T07:14:30.0000000Z,2018-08-02T07:14:30.0000000Z,2018-08-02T08:00:00.0000000Z,2018-08-02T07:00:00.0000000Z,1,2102.0
23,1.5e-06,1.5e-06,1.5e-06,1.5e-06,2018-08-02T13:19:11.0000000Z,2018-08-02T13:19:11.0000000Z,2018-08-02T14:00:00.0000000Z,2018-08-02T13:00:00.0000000Z,2,35916.51096872
24,1.95e-06,1.96e-06,1.95e-06,1.96e-06,2018-08-02T20:57:10.0000000Z,2018-08-02T20:54:09.0000000Z,2018-08-02T21:00:00.0000000Z,2018-08-02T20:00:00.0000000Z,7,14714.0
25,1.8e-06,2e-06,1.8e-06,2e-06,2018-08-06T01:43:48.0000000Z,2018-08-06T01:43:47.0000000Z,2018-08-06T02:00:00.0000000Z,2018-08-06T01:00:00.0000000Z,3,3000.0
26,1.35e-06,1.35e-06,1.35e-06,1.35e-06,2018-08-06T13:08:00.0000000Z,2018-08-06T13:08:00.0000000Z,2018-08-06T14:00:00.0000000Z,2018-08-06T13:00:00.0000000Z,1,4995.0
27,1.66e-06,1.66e-06,1.5e-06,1.5e-06,2018-08-06T16:10:19.0000000Z,2018-08-06T16:00:55.0000000Z,2018-08-06T17:00:00.0000000Z,2018-08-06T16:00:00.0000000Z,5,79239.26377418
28,1.68e-06,1.68e-06,1.6699999999999999e-06,1.68e-06,2018-08-06T18:51:18.0000000Z,2018-08-06T18:33:04.0000000Z,2018-08-06T19:00:00.0000000Z,2018-08-06T18:00:00.0000000Z,14,128471.98206883
29,1.82e-06,1.82e-06,1.81e-06,1.81e-06,2018-08-06T23:16:16.0000000Z,2018-08-06T23:16:14.0000000Z,2018-08-07T00:00:00.0000000Z,2018-08-06T23:00:00.0000000Z,7,12766.83991668
30,1.4499999999999999e-06,1.55e-06,1.4499999999999999e-06,1.55e-06,2018-08-07T10:48:29.0000000Z,2018-08-07T10:46:21.0000000Z,2018-08-07T11:00:00.0000000Z,2018-08-07T10:00:00.0000000Z,3,21333.62177101
31,1.4e-06,1.4e-06,1.4e-06,1.4e-06,2018-08-09T14:52:56.0000000Z,2018-08-09T14:39:10.0000000Z,2018-08-09T15:00:00.0000000Z,2018-08-09T14:00:00.0000000Z,3,13873.37343897
32,1.4e-06,1.41e-06,1.4e-06,1.4e-06,2018-08-10T10:54:58.0000000Z,2018-08-10T10:04:22.0000000Z,2018-08-10T11:00:00.0000000Z,2018-08-10T10:00:00.0000000Z,5,60282.40764846
33,1.29e-06,1.36e-06,1.29e-06,1.36e-06,2018-08-10T13:37:14.0000000Z,2018-08-10T13:36:18.0000000Z,2018-08-10T14:00:00.0000000Z,2018-08-10T13:00:00.0000000Z,10,135517.52322673
34,1.18e-06,1.3e-06,1.18e-06,1.3e-06,2018-08-10T14:52:26.0000000Z,2018-08-10T14:21:26.0000000Z,2018-08-10T15:00:00.0000000Z,2018-08-10T14:00:00.0000000Z,226,380854.05014859
