,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,0.07555,0.07555,0.06603099999999999,0.06765,2018-08-17T21:58:34.0000000Z,2018-08-17T21:56:28.0000000Z,2018-08-17T22:00:00.0000000Z,2018-08-17T21:00:00.0000000Z,3,749.591
1,0.077,0.077,0.06603099999999999,0.06603099999999999,2018-08-17T22:52:27.0000000Z,2018-08-17T22:05:03.0000000Z,2018-08-17T23:00:00.0000000Z,2018-08-17T22:00:00.0000000Z,11,9338.34064014
2,0.083,0.083,0.07,0.0775,2018-08-17T23:52:25.0000000Z,2018-08-17T23:01:05.0000000Z,2018-08-18T00:00:00.0000000Z,2018-08-17T23:00:00.0000000Z,54,251874.01178159
3,0.08375,0.08375,0.08338799999999999,0.08338799999999999,2018-08-18T00:09:18.0000000Z,2018-08-18T00:00:11.0000000Z,2018-08-18T01:00:00.0000000Z,2018-08-18T00:00:00.0000000Z,5,6100.0
4,0.0671,0.083748,0.0671,0.083748,2018-08-18T04:51:03.0000000Z,2018-08-18T04:46:01.0000000Z,2018-08-18T05:00:00.0000000Z,2018-08-18T04:00:00.0000000Z,4,5489.16096184
5,0.081999,0.083747,0.081666,0.081666,2018-08-18T11:50:58.0000000Z,2018-08-18T11:15:57.0000000Z,2018-08-18T12:00:00.0000000Z,2018-08-18T11:00:00.0000000Z,4,4150.0
6,0.0726,0.072672,0.0726,0.072672,2018-08-18T13:52:36.0000000Z,2018-08-18T13:52:36.0000000Z,2018-08-18T14:00:00.0000000Z,2018-08-18T13:00:00.0000000Z,2,2848.0
7,0.0726,0.072601,0.0726,0.072601,2018-08-18T14:57:42.0000000Z,2018-08-18T14:20:10.0000000Z,2018-08-18T15:00:00.0000000Z,2018-08-18T14:00:00.0000000Z,2,2643.57054975
8,0.06877699999999999,0.070201,0.06877699999999999,0.070201,2018-08-18T15:52:44.0000000Z,2018-08-18T15:17:23.0000000Z,2018-08-18T16:00:00.0000000Z,2018-08-18T15:00:00.0000000Z,6,4401.95798642
9,0.06233,0.0679,0.06233,0.0679,2018-08-18T16:24:14.0000000Z,2018-08-18T16:15:40.0000000Z,2018-08-18T17:00:00.0000000Z,2018-08-18T16:00:00.0000000Z,23,46932.54853489
10,0.069989,0.07,0.066,0.07,2018-08-18T17:15:14.0000000Z,2018-08-18T17:10:39.0000000Z,2018-08-18T18:00:00.0000000Z,2018-08-18T17:00:00.0000000Z,6,556800.0
11,0.0697,0.0697,0.0697,0.0697,2018-08-18T19:18:49.0000000Z,2018-08-18T19:18:49.0000000Z,2018-08-18T20:00:00.0000000Z,2018-08-18T19:00:00.0000000Z,1,2545.27180986
12,0.0697,0.0697,0.067,0.0697,2018-08-18T22:43:54.0000000Z,2018-08-18T22:02:07.0000000Z,2018-08-18T23:00:00.0000000Z,2018-08-18T22:00:00.0000000Z,6,603554.72819014
13,0.069989,0.069989,0.0698,0.0698,2018-08-18T23:54:49.0000000Z,2018-08-18T23:07:08.0000000Z,2018-08-19T00:00:00.0000000Z,2018-08-18T23:00:00.0000000Z,2,1386.42268507
14,0.0698,0.0698,0.0698,0.0698,2018-08-19T02:48:36.0000000Z,2018-08-19T02:48:36.0000000Z,2018-08-19T03:00:00.0000000Z,2018-08-19T02:00:00.0000000Z,1,708.84912479
15,0.07,0.07,0.0698,0.0698,2018-08-19T10:26:23.0000000Z,2018-08-19T10:25:37.0000000Z,2018-08-19T11:00:00.0000000Z,2018-08-19T10:00:00.0000000Z,3,1106.15087521
16,0.07,0.07,0.063125,0.063125,2018-08-19T14:43:22.0000000Z,2018-08-19T14:11:34.0000000Z,2018-08-19T15:00:00.0000000Z,2018-08-19T14:00:00.0000000Z,8,5400.0
