,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,0.022733,0.0231,0.02262,0.022853,2018-12-31T22:36:34.0000000Z,2018-12-31T00:00:46.0000000Z,2019-01-01T00:00:00.0000000Z,2018-12-31T00:00:00.0000000Z,224,1249.84609809
1,0.023873,0.02538,0.022561,0.022631,2019-01-01T23:33:24.0000000Z,2019-01-01T00:00:44.0000000Z,2019-01-02T00:00:00.0000000Z,2019-01-01T00:00:00.0000000Z,884,2788.95720192
2,0.024063,0.024329,0.023515,0.023846,2019-01-02T23:44:01.0000000Z,2019-01-02T00:29:26.0000000Z,2019-01-03T00:00:00.0000000Z,2019-01-02T00:00:00.0000000Z,669,4730.80403882
3,0.023035,0.024487,0.022686,0.024195,2019-01-03T23:39:58.0000000Z,2019-01-03T00:02:26.0000000Z,2019-01-04T00:00:00.0000000Z,2019-01-03T00:00:00.0000000Z,1146,7095.74911606
4,0.022712,0.023463,0.02255,0.022959,2019-01-04T23:43:38.0000000Z,2019-01-04T00:05:02.0000000Z,2019-01-05T00:00:00.0000000Z,2019-01-04T00:00:00.0000000Z,662,5698.56963461
5,0.022951,0.023796,0.022511,0.022753,2019-01-05T23:42:43.0000000Z,2019-01-05T00:14:46.0000000Z,2019-01-06T00:00:00.0000000Z,2019-01-05T00:00:00.0000000Z,405,2014.61983968
6,0.022177,0.023214,0.02209,0.023026,2019-01-06T23:58:21.0000000Z,2019-01-06T00:02:22.0000000Z,2019-01-07T00:00:00.0000000Z,2019-01-06T00:00:00.0000000Z,466,1533.20112281
7,0.021789,0.022122,0.021785,0.022092,2019-01-07T23:25:59.0000000Z,2019-01-07T00:05:00.0000000Z,2019-01-08T00:00:00.0000000Z,2019-01-07T00:00:00.0000000Z,170,534.91160796
8,0.021881,0.02195,0.021194,0.021901,2019-01-08T23:48:56.0000000Z,2019-01-08T01:03:03.0000000Z,2019-01-09T00:00:00.0000000Z,2019-01-08T00:00:00.0000000Z,292,1319.76271635
9,0.021614,0.021721,0.021473,0.021721,2019-01-09T23:55:37.0000000Z,2019-01-09T01:10:30.0000000Z,2019-01-10T00:00:00.0000000Z,2019-01-09T00:00:00.0000000Z,175,858.96508457
