,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,86.808,91.0,86.577,91.0,2018-12-31T23:57:51.0000000Z,2018-12-31T00:26:46.0000000Z,2019-01-01T00:00:00.0000000Z,2018-12-31T00:00:00.0000000Z,1493,7237.21572306
1,94.702,98.264,86.388,86.798,2019-01-01T23:59:22.0000000Z,2019-01-01T00:02:03.0000000Z,2019-01-02T00:00:00.0000000Z,2019-01-01T00:00:00.0000000Z,1869,9789.88013334
2,97.394,98.891,92.909,95.06,2019-01-02T23:59:38.0000000Z,2019-01-02T00:00:30.0000000Z,2019-01-03T00:00:00.0000000Z,2019-01-02T00:00:00.0000000Z,1665,8335.17922211
3,90.5,99.368,89.1,97.4,2019-01-03T23:51:23.0000000Z,2019-01-03T00:00:18.0000000Z,2019-01-04T00:00:00.0000000Z,2019-01-03T00:00:00.0000000Z,2148,15433.98133437
4,89.94,92.271,87.116,89.512,2019-01-04T23:55:21.0000000Z,2019-01-04T00:10:49.0000000Z,2019-01-05T00:00:00.0000000Z,2019-01-04T00:00:00.0000000Z,1694,9690.74897496
5,90.176,94.25,88.871,89.903,2019-01-05T23:58:10.0000000Z,2019-01-05T00:04:09.0000000Z,2019-01-06T00:00:00.0000000Z,2019-01-05T00:00:00.0000000Z,1676,7458.37591678
6,92.295,93.931,88.852,90.008,2019-01-06T23:59:55.0000000Z,2019-01-06T00:05:10.0000000Z,2019-01-07T00:00:00.0000000Z,2019-01-06T00:00:00.0000000Z,1405,5622.03669388
7,89.81,92.845,89.587,92.086,2019-01-07T23:54:30.0000000Z,2019-01-07T00:04:18.0000000Z,2019-01-08T00:00:00.0000000Z,2019-01-07T00:00:00.0000000Z,788,2625.46949621
8,89.472,90.699,88.09,90.128,2019-01-08T23:49:43.0000000Z,2019-01-08T00:03:48.0000000Z,2019-01-09T00:00:00.0000000Z,2019-01-08T00:00:00.0000000Z,1449,5560.65627859
9,88.1,90.103,87.473,89.286,2019-01-09T23:58:10.0000000Z,2019-01-09T00:02:22.0000000Z,2019-01-10T00:00:00.0000000Z,2019-01-09T00:00:00.0000000Z,1312,5096.81282541
