,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,2.0641,2.1364,1.9979,2.1364,2018-12-31T23:20:30.0000000Z,2018-12-31T01:03:12.0000000Z,2019-01-01T00:00:00.0000000Z,2018-12-31T00:00:00.0000000Z,207,58576.77818919
1,2.1273,2.15788857,2.0402,2.0501,2019-01-01T23:13:15.0000000Z,2019-01-01T00:29:32.0000000Z,2019-01-02T00:00:00.0000000Z,2019-01-01T00:00:00.0000000Z,119,24144.03266476
2,2.3902,2.405,2.135,2.148,2019-01-02T23:28:10.0000000Z,2019-01-02T00:00:55.0000000Z,2019-01-03T00:00:00.0000000Z,2019-01-02T00:00:00.0000000Z,154,24366.77144942
3,2.1596,2.3362,2.1240315,2.3362,2019-01-03T22:02:50.0000000Z,2019-01-03T00:24:35.0000000Z,2019-01-04T00:00:00.0000000Z,2019-01-03T00:00:00.0000000Z,129,24390.20910927
4,2.2007,2.2526,2.1104,2.1519,2019-01-04T23:05:52.0000000Z,2019-01-04T00:12:22.0000000Z,2019-01-05T00:00:00.0000000Z,2019-01-04T00:00:00.0000000Z,69,12099.16723148
5,2.143,2.25000001,2.143,2.2054,2019-01-05T23:36:38.0000000Z,2019-01-05T00:10:55.0000000Z,2019-01-06T00:00:00.0000000Z,2019-01-05T00:00:00.0000000Z,64,11105.70407839
6,2.3145,2.3552,2.1,2.1835,2019-01-06T23:42:19.0000000Z,2019-01-06T01:31:02.0000000Z,2019-01-07T00:00:00.0000000Z,2019-01-06T00:00:00.0000000Z,184,32568.29236721
7,2.2041,2.30177724,2.1725,2.30094701,2019-01-07T22:58:22.0000000Z,2019-01-07T01:02:08.0000000Z,2019-01-08T00:00:00.0000000Z,2019-01-07T00:00:00.0000000Z,116,29943.637223
8,2.2449,2.3008,2.1778,2.2081,2019-01-08T23:22:45.0000000Z,2019-01-08T00:00:05.0000000Z,2019-01-09T00:00:00.0000000Z,2019-01-08T00:00:00.0000000Z,80,14885.79301444
9,2.30953167,2.3662,2.21293617,2.229,2019-01-09T23:58:06.0000000Z,2019-01-09T01:00:27.0000000Z,2019-01-10T00:00:00.0000000Z,2019-01-09T00:00:00.0000000Z,165,27503.4731129
10,1.924,2.3767,1.8349,2.3118,2019-01-10T23:09:20.0000000Z,2019-01-10T00:00:10.0000000Z,2019-01-11T00:00:00.0000000Z,2019-01-10T00:00:00.0000000Z,536,120992.75432152
11,1.8872,1.9295,1.86757162,1.9288,2019-01-11T23:40:50.0000000Z,2019-01-11T00:00:22.0000000Z,2019-01-12T00:00:00.0000000Z,2019-01-11T00:00:00.0000000Z,127,25244.31215811
12,1.8984,1.9345,1.8906,1.8936,2019-01-12T23:14:16.0000000Z,2019-01-12T00:13:10.0000000Z,2019-01-13T00:00:00.0000000Z,2019-01-12T00:00:00.0000000Z,418,31635.24148788
13,1.7738,1.9141014,1.74712329,1.9049,2019-01-13T23:48:45.0000000Z,2019-01-13T00:11:13.0000000Z,2019-01-14T00:00:00.0000000Z,2019-01-13T00:00:00.0000000Z,227,53053.28911264
14,1.9488,1.9679,1.7746,1.7746,2019-01-14T23:59:31.0000000Z,2019-01-14T00:07:27.0000000Z,2019-01-15T00:00:00.0000000Z,2019-01-14T00:00:00.0000000Z,303,58246.69727482
15,1.8801,1.9623,1.8532,1.9493,2019-01-15T23:46:09.0000000Z,2019-01-15T00:05:02.0000000Z,2019-01-16T00:00:00.0000000Z,2019-01-15T00:00:00.0000000Z,280,53646.82147027
16,1.9037,1.9478,1.8711,1.8751,2019-01-16T22:35:22.0000000Z,2019-01-16T00:01:26.0000000Z,2019-01-17T00:00:00.0000000Z,2019-01-16T00:00:00.0000000Z,203,35619.39432525
