,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,136.0,144.5,132.05,144.21,2018-12-31T23:59:55.0000000Z,2018-12-31T00:00:08.0000000Z,2019-01-01T00:00:00.0000000Z,2018-12-31T00:00:00.0000000Z,36607,378059.20656327
1,145.0,148.15192358,134.68,136.0,2019-01-01T23:59:59.0000000Z,2019-01-01T00:00:03.0000000Z,2019-01-02T00:00:00.0000000Z,2019-01-01T00:00:00.0000000Z,41401,392233.68629049
2,159.36,163.67,143.86,145.05,2019-01-02T23:59:48.0000000Z,2019-01-02T00:00:01.0000000Z,2019-01-03T00:00:00.0000000Z,2019-01-02T00:00:00.0000000Z,59728,565833.07155335
3,152.42,160.93,149.49,159.51163185,2019-01-03T23:59:48.0000000Z,2019-01-03T00:00:00.0000000Z,2019-01-04T00:00:00.0000000Z,2019-01-03T00:00:00.0000000Z,35856,315191.62285783
4,158.48,162.4,149.78,152.41686459,2019-01-04T23:59:56.0000000Z,2019-01-04T00:00:00.0000000Z,2019-01-05T00:00:00.0000000Z,2019-01-04T00:00:00.0000000Z,58112,551584.3371038
5,158.32,167.0,155.0,158.71,2019-01-05T23:59:17.0000000Z,2019-01-05T00:00:00.0000000Z,2019-01-06T00:00:00.0000000Z,2019-01-05T00:00:00.0000000Z,58279,499686.22006608
6,160.84,165.86,152.59,158.36,2019-01-06T23:59:28.0000000Z,2019-01-06T00:00:00.0000000Z,2019-01-07T00:00:00.0000000Z,2019-01-06T00:00:00.0000000Z,56673,506132.94431479
7,154.79,162.59,153.0,160.76,2019-01-07T23:59:55.0000000Z,2019-01-07T00:00:03.0000000Z,2019-01-08T00:00:00.0000000Z,2019-01-07T00:00:00.0000000Z,22499,180312.89980807
8,152.86,158.09124123,146.0,154.79,2019-01-08T23:59:58.0000000Z,2019-01-08T00:00:05.0000000Z,2019-01-09T00:00:00.0000000Z,2019-01-08T00:00:00.0000000Z,39745,392994.33285174
9,152.65,162.76,151.0,152.88,2019-01-09T23:59:59.0000000Z,2019-01-09T00:00:00.0000000Z,2019-01-10T00:00:00.0000000Z,2019-01-09T00:00:00.0000000Z,30815,291096.29189639
10,129.5,154.8,125.71,152.6623428,2019-01-10T23:59:55.0000000Z,2019-01-10T00:00:02.0000000Z,2019-01-11T00:00:00.0000000Z,2019-01-10T00:00:00.0000000Z,69653,682441.36030494
11,128.73,131.79,124.43,129.52,2019-01-11T23:59:59.0000000Z,2019-01-11T00:00:03.0000000Z,2019-01-12T00:00:00.0000000Z,2019-01-11T00:00:00.0000000Z,37415,281136.70406823
12,127.41,130.37,126.1,128.76,2019-01-12T23:59:20.0000000Z,2019-01-12T00:00:00.0000000Z,2019-01-13T00:00:00.0000000Z,2019-01-12T00:00:00.0000000Z,20717,141997.44505582
13,117.94,128.06,116.1,127.39,2019-01-13T23:59:55.0000000Z,2019-01-13T00:00:03.0000000Z,2019-01-14T00:00:00.0000000Z,2019-01-13T00:00:00.0000000Z,27947,230316.60666999
14,131.45,134.5,117.79,117.94,2019-01-14T23:59:11.0000000Z,2019-01-14T00:00:00.0000000Z,2019-01-15T00:00:00.0000000Z,2019-01-14T00:00:00.0000000Z,42492,380158.23693029
15,122.6,134.29,119.29,131.45921456,2019-01-15T23:59:59.0000000Z,2019-01-15T00:00:00.0000000Z,2019-01-16T00:00:00.0000000Z,2019-01-15T00:00:00.0000000Z,45407,360127.79128352
16,124.36,131.36,121.38,122.6,2019-01-16T23:59:59.0000000Z,2019-01-16T00:00:00.0000000Z,2019-01-17T00:00:00.0000000Z,2019-01-16T00:00:00.0000000Z,38171,298878.4475829
17,125.25,127.32,119.34,124.42,2019-01-17T23:58:57.0000000Z,2019-01-17T00:00:01.0000000Z,2019-01-18T00:00:00.0000000Z,2019-01-17T00:00:00.0000000Z,35643,257337.55236727
18,121.82,125.66,120.16,125.24,2019-01-18T23:59:21.0000000Z,2019-01-18T00:00:00.0000000Z,2019-01-19T00:00:00.0000000Z,2019-01-18T00:00:00.0000000Z,25775,146667.1174325
19,126.01,132.36,121.87653566,121.88,2019-01-19T23:59:55.0000000Z,2019-01-19T00:00:03.0000000Z,2019-01-20T00:00:00.0000000Z,2019-01-19T00:00:00.0000000Z,37991,284949.74481919
