,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,1.0099999999999999e-06,1.0099999999999999e-06,1.0099999999999999e-06,1.0099999999999999e-06,2018-06-01T01:20:44.9430000Z,2018-06-01T01:20:44.9430000Z,2018-06-01T02:00:00.0000000Z,2018-06-01T01:00:00.0000000Z,1,20850.51546392
1,1.0299999999999999e-06,1.0299999999999999e-06,1.0299999999999999e-06,1.0299999999999999e-06,2018-06-01T02:40:01.8230000Z,2018-06-01T02:40:01.8230000Z,2018-06-01T03:00:00.0000000Z,2018-06-01T02:00:00.0000000Z,1,3494.06009783
2,1.0099999999999999e-06,1.0099999999999999e-06,1.0099999999999999e-06,1.0099999999999999e-06,2018-06-01T03:57:35.9100000Z,2018-06-01T03:19:59.6100000Z,2018-06-01T04:00:00.0000000Z,2018-06-01T03:00:00.0000000Z,2,62122.73422844
3,1.02e-06,1.02e-06,1.02e-06,1.02e-06,2018-06-01T04:20:24.2430000Z,2018-06-01T04:20:24.2430000Z,2018-06-01T05:00:00.0000000Z,2018-06-01T04:00:00.0000000Z,1,489.06838235
4,1.0099999999999999e-06,1.02e-06,1.0099999999999999e-06,1.02e-06,2018-06-01T05:57:41.1100000Z,2018-06-01T05:00:14.7330000Z,2018-06-01T06:00:00.0000000Z,2018-06-01T05:00:00.0000000Z,6,25565.38810055
5,1.0099999999999999e-06,1.0299999999999999e-06,1.0099999999999999e-06,1.0299999999999999e-06,2018-06-01T06:26:35.4200000Z,2018-06-01T06:10:02.7800000Z,2018-06-01T07:00:00.0000000Z,2018-06-01T06:00:00.0000000Z,7,35275.08090614
6,1.0299999999999999e-06,1.0299999999999999e-06,1.0099999999999999e-06,1.0099999999999999e-06,2018-06-01T07:53:04.3800000Z,2018-06-01T07:22:12.7300000Z,2018-06-01T08:00:00.0000000Z,2018-06-01T07:00:00.0000000Z,8,124494.004677
7,1.0099999999999999e-06,1.0099999999999999e-06,9.9e-07,1.0099999999999999e-06,2018-06-01T08:52:06.2900000Z,2018-06-01T08:12:12.8830000Z,2018-06-01T09:00:00.0000000Z,2018-06-01T08:00:00.0000000Z,18,82040.9388799
8,9.9e-07,1.02e-06,9.9e-07,1.0099999999999999e-06,2018-06-01T09:26:13.5130000Z,2018-06-01T09:00:13.2570000Z,2018-06-01T10:00:00.0000000Z,2018-06-01T09:00:00.0000000Z,15,41731.19236349
9,1e-06,1.02e-06,9.9e-07,1.0099999999999999e-06,2018-06-01T10:58:19.0200000Z,2018-06-01T10:05:21.4230000Z,2018-06-01T11:00:00.0000000Z,2018-06-01T10:00:00.0000000Z,6,7209.73258955
10,1.0099999999999999e-06,1.0099999999999999e-06,1e-06,1e-06,2018-06-01T12:49:02.6400000Z,2018-06-01T12:10:12.5500000Z,2018-06-01T13:00:00.0000000Z,2018-06-01T12:00:00.0000000Z,5,12281.97688491
11,9.9e-07,1e-06,9.6e-07,1e-06,2018-06-01T13:06:31.1530000Z,2018-06-01T13:00:03.8030000Z,2018-06-01T14:00:00.0000000Z,2018-06-01T13:00:00.0000000Z,27,368427.89860212
12,9.8e-07,1e-06,9.699999999999998e-07,1e-06,2018-06-01T14:46:33.0700000Z,2018-06-01T14:00:01.5430000Z,2018-06-01T15:00:00.0000000Z,2018-06-01T14:00:00.0000000Z,15,36575.64646917
13,9.8e-07,9.9e-07,9.8e-07,9.8e-07,2018-06-01T15:20:04.5130000Z,2018-06-01T15:01:12.0000000Z,2018-06-01T16:00:00.0000000Z,2018-06-01T15:00:00.0000000Z,4,11140.16123224
14,9.8e-07,9.9e-07,9.699999999999998e-07,9.8e-07,2018-06-01T16:29:37.7730000Z,2018-06-01T16:21:47.0130000Z,2018-06-01T17:00:00.0000000Z,2018-06-01T16:00:00.0000000Z,9,27500.7525
15,9.8e-07,9.8e-07,9.8e-07,9.8e-07,2018-06-01T17:11:33.6600000Z,2018-06-01T17:06:11.7430000Z,2018-06-01T18:00:00.0000000Z,2018-06-01T17:00:00.0000000Z,2,10641.4153692
16,9.9e-07,9.9e-07,9.9e-07,9.9e-07,2018-06-01T18:47:33.2200000Z,2018-06-01T18:12:04.1830000Z,2018-06-01T19:00:00.0000000Z,2018-06-01T18:00:00.0000000Z,3,5099.47663878
17,9.8e-07,9.8e-07,9.8e-07,9.8e-07,2018-06-01T19:34:49.6670000Z,2018-06-01T19:05:09.2330000Z,2018-06-01T20:00:00.0000000Z,2018-06-01T19:00:00.0000000Z,2,3475.29705263
18,9.9e-07,9.9e-07,9.9e-07,9.9e-07,2018-06-01T20:33:02.6570000Z,2018-06-01T20:33:02.6570000Z,2018-06-01T21:00:00.0000000Z,2018-06-01T20:00:00.0000000Z,2,3674.14593449
19,9.8e-07,9.8e-07,9.8e-07,9.8e-07,2018-06-01T22:51:18.3570000Z,2018-06-01T22:51:18.3570000Z,2018-06-01T23:00:00.0000000Z,2018-06-01T22:00:00.0000000Z,1,947.61474646
20,9.9e-07,9.9e-07,9.9e-07,9.9e-07,2018-06-01T23:50:02.3870000Z,2018-06-01T23:48:02.4530000Z,2018-06-02T00:00:00.0000000Z,2018-06-01T23:00:00.0000000Z,3,8939.62186881
21,9.9e-07,1e-06,9.9e-07,9.9e-07,2018-06-02T03:15:21.3300000Z,2018-06-02T03:10:07.0770000Z,2018-06-02T04:00:00.0000000Z,2018-06-02T03:00:00.0000000Z,4,9152.07462614
22,1e-06,1e-06,9.8e-07,9.8e-07,2018-06-02T04:33:07.9230000Z,2018-06-02T04:06:19.0970000Z,2018-06-02T05:00:00.0000000Z,2018-06-02T04:00:00.0000000Z,4,8289.699177
23,1e-06,1e-06,1e-06,1e-06,2018-06-02T05:29:01.4200000Z,2018-06-02T05:00:01.9270000Z,2018-06-02T06:00:00.0000000Z,2018-06-02T05:00:00.0000000Z,2,39657.06182283
24,1e-06,1e-06,1e-06,1e-06,2018-06-02T06:54:01.8170000Z,2018-06-02T06:05:55.2770000Z,2018-06-02T07:00:00.0000000Z,2018-06-02T06:00:00.0000000Z,4,35861.625736
25,9.8e-07,1e-06,9.8e-07,1e-06,2018-06-02T07:27:04.2770000Z,2018-06-02T07:23:02.0200000Z,2018-06-02T08:00:00.0000000Z,2018-06-02T07:00:00.0000000Z,3,7777.73384906
26,9.8e-07,1e-06,9.8e-07,1e-06,2018-06-02T08:08:10.8470000Z,2018-06-02T08:02:01.7230000Z,2018-06-02T09:00:00.0000000Z,2018-06-02T08:00:00.0000000Z,5,36023.120523
27,1.0099999999999999e-06,1.0099999999999999e-06,9.8e-07,9.9e-07,2018-06-02T09:41:04.1230000Z,2018-06-02T09:04:35.4170000Z,2018-06-02T10:00:00.0000000Z,2018-06-02T09:00:00.0000000Z,14,48651.41626001
28,1e-06,1e-06,1e-06,1e-06,2018-06-02T10:08:12.8200000Z,2018-06-02T10:08:12.8200000Z,2018-06-02T11:00:00.0000000Z,2018-06-02T10:00:00.0000000Z,1,5000.0
29,1e-06,1e-06,1e-06,1e-06,2018-06-02T11:14:01.4070000Z,2018-06-02T11:14:01.4070000Z,2018-06-02T12:00:00.0000000Z,2018-06-02T11:00:00.0000000Z,1,3528.15942584
30,1e-06,1e-06,1e-06,1e-06,2018-06-02T12:07:30.6870000Z,2018-06-02T12:07:30.6870000Z,2018-06-02T13:00:00.0000000Z,2018-06-02T12:00:00.0000000Z,1,500.0
