,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,2.233e-05,2.5380000000000004e-05,2.2000000000000003e-05,2.5380000000000004e-05,2019-01-22T19:58:19.6830000Z,2019-01-22T19:00:23.6670000Z,2019-01-22T20:00:00.0000000Z,2019-01-22T19:00:00.0000000Z,65,116272.83977175
1,2.4e-05,2.4e-05,2.2100000000000002e-05,2.233e-05,2019-01-22T20:47:46.5430000Z,2019-01-22T20:01:02.0300000Z,2019-01-22T21:00:00.0000000Z,2019-01-22T20:00:00.0000000Z,69,457194.29655521
2,2.2100000000000002e-05,2.3310000000000002e-05,2.2100000000000002e-05,2.3310000000000002e-05,2019-01-22T21:52:59.1800000Z,2019-01-22T21:20:13.8800000Z,2019-01-22T22:00:00.0000000Z,2019-01-22T21:00:00.0000000Z,35,34212.55553747
3,2.2630000000000002e-05,2.375e-05,2.2630000000000002e-05,2.2990000000000002e-05,2019-01-22T22:29:08.8000000Z,2019-01-22T22:04:07.0230000Z,2019-01-22T23:00:00.0000000Z,2019-01-22T22:00:00.0000000Z,10,6988.89970295
4,2.3e-05,2.3e-05,2.2990000000000002e-05,2.3e-05,2019-01-22T23:37:21.4030000Z,2019-01-22T23:18:46.2470000Z,2019-01-23T00:00:00.0000000Z,2019-01-22T23:00:00.0000000Z,9,165526.10552941
5,2.3890000000000003e-05,2.3890000000000003e-05,2.3e-05,2.3490000000000004e-05,2019-01-23T00:59:54.6600000Z,2019-01-23T00:00:08.4700000Z,2019-01-23T01:00:00.0000000Z,2019-01-23T00:00:00.0000000Z,24,50496.19271184
6,2.5410000000000002e-05,2.7000000000000002e-05,2.3880000000000002e-05,2.3890000000000003e-05,2019-01-23T01:58:12.0170000Z,2019-01-23T01:00:20.8930000Z,2019-01-23T02:00:00.0000000Z,2019-01-23T01:00:00.0000000Z,88,304569.47928056
7,2.4160000000000002e-05,2.502e-05,2.415e-05,2.4500000000000003e-05,2019-01-23T02:56:16.8430000Z,2019-01-23T02:00:06.9730000Z,2019-01-23T03:00:00.0000000Z,2019-01-23T02:00:00.0000000Z,37,73775.25865008
8,2.4520000000000002e-05,2.4540000000000002e-05,2.3980000000000004e-05,2.437e-05,2019-01-23T03:58:50.2900000Z,2019-01-23T03:15:42.0600000Z,2019-01-23T04:00:00.0000000Z,2019-01-23T03:00:00.0000000Z,36,20508.99134863
9,2.318e-05,2.4730000000000002e-05,2.318e-05,2.4730000000000002e-05,2019-01-23T04:30:43.2030000Z,2019-01-23T04:02:51.2170000Z,2019-01-23T05:00:00.0000000Z,2019-01-23T04:00:00.0000000Z,32,16064.01465409
10,2.3880000000000002e-05,2.421e-05,2.3700000000000003e-05,2.3700000000000003e-05,2019-01-23T05:55:51.5630000Z,2019-01-23T05:04:41.4470000Z,2019-01-23T06:00:00.0000000Z,2019-01-23T05:00:00.0000000Z,11,5227.36634849
11,2.3650000000000006e-05,2.429e-05,2.3290000000000002e-05,2.3550000000000003e-05,2019-01-23T06:23:29.8900000Z,2019-01-23T06:05:49.4100000Z,2019-01-23T07:00:00.0000000Z,2019-01-23T06:00:00.0000000Z,56,30442.56541335
12,2.369e-05,2.536e-05,2.3340000000000004e-05,2.3630000000000002e-05,2019-01-23T07:53:17.8030000Z,2019-01-23T07:18:11.3130000Z,2019-01-23T08:00:00.0000000Z,2019-01-23T07:00:00.0000000Z,105,39062.86821339
13,2.303e-05,2.343e-05,2.3010000000000005e-05,2.343e-05,2019-01-23T08:56:18.0430000Z,2019-01-23T08:01:43.6470000Z,2019-01-23T09:00:00.0000000Z,2019-01-23T08:00:00.0000000Z,94,40513.4692667
14,2.3450000000000004e-05,2.3450000000000004e-05,2.3450000000000004e-05,2.3450000000000004e-05,2019-01-23T09:56:53.7970000Z,2019-01-23T09:15:54.5400000Z,2019-01-23T10:00:00.0000000Z,2019-01-23T09:00:00.0000000Z,2,121.3279403
15,2.3050000000000005e-05,2.3350000000000002e-05,2.279e-05,2.3350000000000002e-05,2019-01-23T10:46:35.0170000Z,2019-01-23T10:06:45.2970000Z,2019-01-23T11:00:00.0000000Z,2019-01-23T10:00:00.0000000Z,17,4781.67306146
16,2.36e-05,2.36e-05,2.3500000000000002e-05,2.3500000000000002e-05,2019-01-23T11:19:54.3700000Z,2019-01-23T11:17:47.2730000Z,2019-01-23T12:00:00.0000000Z,2019-01-23T11:00:00.0000000Z,3,1542.26721332
17,2.379e-05,2.379e-05,2.3490000000000004e-05,2.3490000000000004e-05,2019-01-23T12:54:54.6400000Z,2019-01-23T12:10:48.4500000Z,2019-01-23T13:00:00.0000000Z,2019-01-23T12:00:00.0000000Z,4,4159.8902315
18,2.3700000000000003e-05,2.3820000000000002e-05,2.328e-05,2.3810000000000004e-05,2019-01-23T13:50:34.1500000Z,2019-01-23T13:05:05.1700000Z,2019-01-23T14:00:00.0000000Z,2019-01-23T13:00:00.0000000Z,12,6589.7456942
19,2.3990000000000002e-05,2.3990000000000002e-05,2.3450000000000004e-05,2.3550000000000003e-05,2019-01-23T14:55:17.1630000Z,2019-01-23T14:08:41.5900000Z,2019-01-23T15:00:00.0000000Z,2019-01-23T14:00:00.0000000Z,5,10950.17331398
20,2.311e-05,2.3980000000000004e-05,2.311e-05,2.3290000000000002e-05,2019-01-23T15:58:15.6700000Z,2019-01-23T15:06:13.2600000Z,2019-01-23T16:00:00.0000000Z,2019-01-23T15:00:00.0000000Z,33,7644.475966
21,2.2890000000000003e-05,2.307e-05,2.233e-05,2.307e-05,2019-01-23T16:35:30.6800000Z,2019-01-23T16:03:51.6000000Z,2019-01-23T17:00:00.0000000Z,2019-01-23T16:00:00.0000000Z,23,8002.12577603
22,2.3330000000000005e-05,2.3330000000000005e-05,2.324e-05,2.324e-05,2019-01-23T17:58:19.1400000Z,2019-01-23T17:58:19.1400000Z,2019-01-23T18:00:00.0000000Z,2019-01-23T17:00:00.0000000Z,4,6674.41915345
23,2.3300000000000004e-05,2.34e-05,2.3140000000000002e-05,2.34e-05,2019-01-23T19:42:58.8100000Z,2019-01-23T19:07:25.5200000Z,2019-01-23T20:00:00.0000000Z,2019-01-23T19:00:00.0000000Z,7,890.08080466
24,2.3290000000000002e-05,2.3290000000000002e-05,2.326e-05,2.326e-05,2019-01-23T20:18:50.0500000Z,2019-01-23T20:18:50.0500000Z,2019-01-23T21:00:00.0000000Z,2019-01-23T20:00:00.0000000Z,2,1000.0
25,2.3290000000000002e-05,2.3290000000000002e-05,2.3290000000000002e-05,2.3290000000000002e-05,2019-01-23T21:02:31.1200000Z,2019-01-23T21:02:31.1200000Z,2019-01-23T22:00:00.0000000Z,2019-01-23T21:00:00.0000000Z,1,1099.43581988
26,2.3290000000000002e-05,2.3300000000000004e-05,2.3290000000000002e-05,2.3300000000000004e-05,2019-01-23T22:12:26.8100000Z,2019-01-23T22:02:22.7470000Z,2019-01-23T23:00:00.0000000Z,2019-01-23T22:00:00.0000000Z,4,1175.80158262
27,2.328e-05,2.328e-05,2.328e-05,2.328e-05,2019-01-23T23:32:31.7300000Z,2019-01-23T23:24:42.8600000Z,2019-01-24T00:00:00.0000000Z,2019-01-23T23:00:00.0000000Z,2,1000.0
28,2.358e-05,2.358e-05,2.3300000000000004e-05,2.3300000000000004e-05,2019-01-24T00:28:08.2700000Z,2019-01-24T00:13:45.7170000Z,2019-01-24T01:00:00.0000000Z,2019-01-24T00:00:00.0000000Z,7,1234.27153647
29,2.328e-05,2.3310000000000002e-05,2.328e-05,2.3310000000000002e-05,2019-01-24T01:53:26.8330000Z,2019-01-24T01:52:00.6100000Z,2019-01-24T02:00:00.0000000Z,2019-01-24T01:00:00.0000000Z,7,39630.74992333
30,2.344e-05,2.344e-05,2.3290000000000002e-05,2.3290000000000002e-05,2019-01-24T02:09:00.9700000Z,2019-01-24T02:00:57.0200000Z,2019-01-24T03:00:00.0000000Z,2019-01-24T02:00:00.0000000Z,2,467.79272799
31,2.358e-05,2.358e-05,2.351e-05,2.351e-05,2019-01-24T03:48:25.7400000Z,2019-01-24T03:32:49.5130000Z,2019-01-24T04:00:00.0000000Z,2019-01-24T03:00:00.0000000Z,9,824.92694347
32,2.356e-05,2.356e-05,2.356e-05,2.356e-05,2019-01-24T04:45:39.7130000Z,2019-01-24T04:41:31.2070000Z,2019-01-24T05:00:00.0000000Z,2019-01-24T04:00:00.0000000Z,3,1138.64407258
33,2.3290000000000002e-05,2.3290000000000002e-05,2.328e-05,2.3290000000000002e-05,2019-01-24T07:29:57.9100000Z,2019-01-24T07:16:20.3570000Z,2019-01-24T08:00:00.0000000Z,2019-01-24T07:00:00.0000000Z,22,14642.84094926
34,2.3570000000000003e-05,2.3570000000000003e-05,2.3570000000000003e-05,2.3570000000000003e-05,2019-01-24T09:24:48.7070000Z,2019-01-24T09:24:48.7070000Z,2019-01-24T10:00:00.0000000Z,2019-01-24T09:00:00.0000000Z,1,40.0
35,2.3550000000000003e-05,2.3550000000000003e-05,2.3550000000000003e-05,2.3550000000000003e-05,2019-01-24T10:37:35.4530000Z,2019-01-24T10:37:35.4530000Z,2019-01-24T11:00:00.0000000Z,2019-01-24T10:00:00.0000000Z,1,42.32074671
