,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,0.0001493,0.0001493,3.2999999999999997e-06,3.2999999999999997e-06,2019-01-29T18:58:15.8670000Z,2019-01-29T18:35:30.4430000Z,2019-01-29T19:00:00.0000000Z,2019-01-29T18:00:00.0000000Z,48,14608.68536341
1,0.00023304,0.00042125,5.7e-05,5.7e-05,2019-01-29T19:59:57.5800000Z,2019-01-29T19:00:02.4800000Z,2019-01-29T20:00:00.0000000Z,2019-01-29T19:00:00.0000000Z,220,23429.46693421
2,0.00023,0.00029299999999999997,0.00019,0.00023301,2019-01-29T20:59:09.8930000Z,2019-01-29T20:00:27.1270000Z,2019-01-29T21:00:00.0000000Z,2019-01-29T20:00:00.0000000Z,107,12690.33368387
3,0.000159,0.00023988000000000001,0.0001,0.00023,2019-01-29T21:59:48.7100000Z,2019-01-29T21:00:05.0670000Z,2019-01-29T22:00:00.0000000Z,2019-01-29T21:00:00.0000000Z,88,14864.5785517
4,1.089e-05,0.00020744,1.073e-05,0.000159,2019-01-29T22:59:59.3530000Z,2019-01-29T22:00:00.8370000Z,2019-01-29T23:00:00.0000000Z,2019-01-29T22:00:00.0000000Z,695,1529949.18914219
5,1.072e-05,1.1210000000000001e-05,1.0500000000000001e-05,1.089e-05,2019-01-29T23:59:57.8300000Z,2019-01-29T23:00:09.5570000Z,2019-01-30T00:00:00.0000000Z,2019-01-29T23:00:00.0000000Z,115,268387.05322416
6,1.0990000000000002e-05,1.1550000000000001e-05,1.053e-05,1.055e-05,2019-01-30T00:57:43.3130000Z,2019-01-30T00:01:14.8330000Z,2019-01-30T01:00:00.0000000Z,2019-01-30T00:00:00.0000000Z,92,196804.48915593
7,1.1160000000000002e-05,1.1160000000000002e-05,1.1160000000000002e-05,1.1160000000000002e-05,2019-01-30T01:01:13.2270000Z,2019-01-30T01:01:13.2270000Z,2019-01-30T02:00:00.0000000Z,2019-01-30T01:00:00.0000000Z,1,1679.55576563
8,1.1190000000000001e-05,1.1190000000000001e-05,1.0700000000000001e-05,1.0990000000000002e-05,2019-01-30T03:58:01.5000000Z,2019-01-30T03:38:04.0330000Z,2019-01-30T04:00:00.0000000Z,2019-01-30T03:00:00.0000000Z,21,28397.89193869
9,1.054e-05,1.1190000000000001e-05,1.0500000000000001e-05,1.1190000000000001e-05,2019-01-30T04:57:36.3800000Z,2019-01-30T04:01:39.9630000Z,2019-01-30T05:00:00.0000000Z,2019-01-30T04:00:00.0000000Z,28,55406.80351787
10,1.0780000000000002e-05,1.1200000000000001e-05,1.054e-05,1.054e-05,2019-01-30T05:59:46.4530000Z,2019-01-30T05:05:41.4000000Z,2019-01-30T06:00:00.0000000Z,2019-01-30T05:00:00.0000000Z,63,132483.25910282
11,1.071e-05,1.1000000000000001e-05,1.0600000000000002e-05,1.0780000000000002e-05,2019-01-30T06:57:12.6570000Z,2019-01-30T06:00:46.6900000Z,2019-01-30T07:00:00.0000000Z,2019-01-30T06:00:00.0000000Z,37,45969.18366897
12,1.072e-05,1.072e-05,1.0600000000000002e-05,1.071e-05,2019-01-30T07:56:08.6900000Z,2019-01-30T07:03:57.4500000Z,2019-01-30T08:00:00.0000000Z,2019-01-30T07:00:00.0000000Z,23,12778.99075835
13,1.061e-05,1.072e-05,1.0280000000000002e-05,1.072e-05,2019-01-30T08:57:30.5400000Z,2019-01-30T08:07:34.9630000Z,2019-01-30T09:00:00.0000000Z,2019-01-30T08:00:00.0000000Z,29,39970.55001687
14,1.0680000000000001e-05,1.071e-05,1.017e-05,1.039e-05,2019-01-30T09:54:38.0700000Z,2019-01-30T09:06:12.2470000Z,2019-01-30T10:00:00.0000000Z,2019-01-30T09:00:00.0000000Z,44,98985.95149768
15,1.036e-05,1.0680000000000001e-05,1.0340000000000001e-05,1.0680000000000001e-05,2019-01-30T10:45:09.0900000Z,2019-01-30T10:02:13.6670000Z,2019-01-30T11:00:00.0000000Z,2019-01-30T10:00:00.0000000Z,6,12491.48421149
16,1.045e-05,1.0700000000000001e-05,1.045e-05,1.056e-05,2019-01-30T11:58:17.5270000Z,2019-01-30T11:08:19.9030000Z,2019-01-30T12:00:00.0000000Z,2019-01-30T11:00:00.0000000Z,12,5978.03709494
17,1.0500000000000001e-05,1.0880000000000001e-05,1.0460000000000001e-05,1.0880000000000001e-05,2019-01-30T12:50:35.3400000Z,2019-01-30T12:05:54.4330000Z,2019-01-30T13:00:00.0000000Z,2019-01-30T12:00:00.0000000Z,45,35822.32918119
18,1.091e-05,1.091e-05,1.043e-05,1.045e-05,2019-01-30T13:51:36.8970000Z,2019-01-30T13:00:31.0030000Z,2019-01-30T14:00:00.0000000Z,2019-01-30T13:00:00.0000000Z,72,47147.67457036
19,1.0880000000000001e-05,1.0880000000000001e-05,1.0480000000000001e-05,1.0480000000000001e-05,2019-01-30T14:56:33.1000000Z,2019-01-30T14:03:12.4370000Z,2019-01-30T15:00:00.0000000Z,2019-01-30T14:00:00.0000000Z,7,751.20540969
20,1.073e-05,1.073e-05,1.029e-05,1.054e-05,2019-01-30T15:56:48.6400000Z,2019-01-30T15:06:17.0600000Z,2019-01-30T16:00:00.0000000Z,2019-01-30T15:00:00.0000000Z,30,44434.75180121
21,1.0900000000000002e-05,1.0900000000000002e-05,1.0300000000000001e-05,1.073e-05,2019-01-30T16:59:57.7300000Z,2019-01-30T16:00:35.0370000Z,2019-01-30T17:00:00.0000000Z,2019-01-30T16:00:00.0000000Z,30,25822.39293056
22,1.0990000000000002e-05,1.1000000000000001e-05,1.0510000000000001e-05,1.0900000000000002e-05,2019-01-30T17:58:44.5470000Z,2019-01-30T17:00:38.7000000Z,2019-01-30T18:00:00.0000000Z,2019-01-30T17:00:00.0000000Z,42,81716.91468142
23,1.0660000000000001e-05,1.0980000000000002e-05,1.041e-05,1.0740000000000002e-05,2019-01-30T18:58:07.8600000Z,2019-01-30T18:10:04.4300000Z,2019-01-30T19:00:00.0000000Z,2019-01-30T18:00:00.0000000Z,82,136906.47649785
24,1.073e-05,1.0920000000000002e-05,1.0500000000000001e-05,1.0640000000000001e-05,2019-01-30T19:57:24.8500000Z,2019-01-30T19:05:25.0670000Z,2019-01-30T20:00:00.0000000Z,2019-01-30T19:00:00.0000000Z,21,67424.52917823
25,1.1140000000000002e-05,1.1180000000000001e-05,1.0660000000000001e-05,1.073e-05,2019-01-30T20:59:56.3570000Z,2019-01-30T20:01:15.8270000Z,2019-01-30T21:00:00.0000000Z,2019-01-30T20:00:00.0000000Z,124,218592.9301679
26,1.079e-05,1.1140000000000002e-05,1.065e-05,1.0880000000000001e-05,2019-01-30T21:47:03.9800000Z,2019-01-30T21:00:11.6530000Z,2019-01-30T22:00:00.0000000Z,2019-01-30T21:00:00.0000000Z,32,19612.1852952
27,1.079e-05,1.091e-05,1.079e-05,1.0800000000000002e-05,2019-01-30T22:59:56.0070000Z,2019-01-30T22:04:34.4330000Z,2019-01-30T23:00:00.0000000Z,2019-01-30T22:00:00.0000000Z,11,10075.07843951
28,1.0660000000000001e-05,1.091e-05,1.045e-05,1.079e-05,2019-01-30T23:59:38.1200000Z,2019-01-30T23:10:05.7170000Z,2019-01-31T00:00:00.0000000Z,2019-01-30T23:00:00.0000000Z,59,68937.40326431
29,1.055e-05,1.0700000000000001e-05,1.055e-05,1.0660000000000001e-05,2019-01-31T00:49:33.8830000Z,2019-01-31T00:01:22.4530000Z,2019-01-31T01:00:00.0000000Z,2019-01-31T00:00:00.0000000Z,47,34034.08825116
30,1.0580000000000002e-05,1.0760000000000002e-05,1.0520000000000001e-05,1.055e-05,2019-01-31T01:51:52.8930000Z,2019-01-31T01:14:56.4130000Z,2019-01-31T02:00:00.0000000Z,2019-01-31T01:00:00.0000000Z,36,39537.21125934
31,1.0660000000000001e-05,1.0660000000000001e-05,1.047e-05,1.0500000000000001e-05,2019-01-31T02:53:29.0430000Z,2019-01-31T02:20:03.4870000Z,2019-01-31T03:00:00.0000000Z,2019-01-31T02:00:00.0000000Z,28,16855.81556765
32,1.071e-05,1.071e-05,1.0460000000000001e-05,1.047e-05,2019-01-31T03:41:16.9430000Z,2019-01-31T03:25:46.6430000Z,2019-01-31T04:00:00.0000000Z,2019-01-31T03:00:00.0000000Z,3,680.61524717
33,1.0600000000000002e-05,1.077e-05,1.038e-05,1.072e-05,2019-01-31T04:59:40.7400000Z,2019-01-31T04:23:08.9600000Z,2019-01-31T05:00:00.0000000Z,2019-01-31T04:00:00.0000000Z,41,27650.21073728
34,1.055e-05,1.055e-05,1.038e-05,1.041e-05,2019-01-31T05:04:09.0170000Z,2019-01-31T05:00:29.5530000Z,2019-01-31T06:00:00.0000000Z,2019-01-31T05:00:00.0000000Z,10,9426.0
35,1.0600000000000002e-05,1.061e-05,1.055e-05,1.0600000000000002e-05,2019-01-31T06:40:57.4730000Z,2019-01-31T06:23:31.2800000Z,2019-01-31T07:00:00.0000000Z,2019-01-31T06:00:00.0000000Z,28,30910.16441892
36,1.0600000000000002e-05,1.0780000000000002e-05,1.0600000000000002e-05,1.063e-05,2019-01-31T07:55:38.9500000Z,2019-01-31T07:29:29.5030000Z,2019-01-31T08:00:00.0000000Z,2019-01-31T07:00:00.0000000Z,11,28018.14593437
37,1.0280000000000002e-05,1.0600000000000002e-05,1.005e-05,1.059e-05,2019-01-31T08:57:07.1470000Z,2019-01-31T08:22:11.4770000Z,2019-01-31T09:00:00.0000000Z,2019-01-31T08:00:00.0000000Z,34,131329.27933297
38,1.0160000000000001e-05,1.0420000000000002e-05,9.839999999999999e-06,1.013e-05,2019-01-31T09:59:31.8400000Z,2019-01-31T09:02:22.9200000Z,2019-01-31T10:00:00.0000000Z,2019-01-31T09:00:00.0000000Z,103,147159.9280185
39,9.88e-06,9.88e-06,9.88e-06,9.88e-06,2019-01-31T10:42:37.3100000Z,2019-01-31T10:42:37.3100000Z,2019-01-31T11:00:00.0000000Z,2019-01-31T10:00:00.0000000Z,1,780.0
40,9.88e-06,9.88e-06,9.859999999999999e-06,9.88e-06,2019-01-31T11:58:21.9870000Z,2019-01-31T11:08:20.8170000Z,2019-01-31T12:00:00.0000000Z,2019-01-31T11:00:00.0000000Z,9,65799.98708279
41,1.0340000000000001e-05,1.04e-05,9.91e-06,9.91e-06,2019-01-31T12:58:42.2300000Z,2019-01-31T12:09:30.3230000Z,2019-01-31T13:00:00.0000000Z,2019-01-31T12:00:00.0000000Z,13,11379.84219831
42,1.0440000000000002e-05,1.0620000000000002e-05,1.0320000000000001e-05,1.0320000000000001e-05,2019-01-31T13:59:47.0900000Z,2019-01-31T13:04:17.6330000Z,2019-01-31T14:00:00.0000000Z,2019-01-31T13:00:00.0000000Z,14,15898.47588921
43,9.97e-06,1.0440000000000002e-05,9.95e-06,1.0440000000000002e-05,2019-01-31T14:58:10.6700000Z,2019-01-31T14:25:57.4430000Z,2019-01-31T15:00:00.0000000Z,2019-01-31T14:00:00.0000000Z,11,23111.87257114
44,1.02e-05,1.039e-05,9.94e-06,1.027e-05,2019-01-31T15:59:01.6300000Z,2019-01-31T15:02:17.2100000Z,2019-01-31T16:00:00.0000000Z,2019-01-31T15:00:00.0000000Z,32,12172.34511183
45,1.0350000000000001e-05,1.0350000000000001e-05,9.91e-06,1.02e-05,2019-01-31T16:56:07.8730000Z,2019-01-31T16:04:48.5200000Z,2019-01-31T17:00:00.0000000Z,2019-01-31T16:00:00.0000000Z,45,32104.24929299
46,1.038e-05,1.043e-05,9.99e-06,1.0340000000000001e-05,2019-01-31T17:46:31.5030000Z,2019-01-31T17:03:31.9870000Z,2019-01-31T18:00:00.0000000Z,2019-01-31T17:00:00.0000000Z,24,29552.93328126
47,1.002e-05,1.038e-05,1.002e-05,1.038e-05,2019-01-31T18:52:33.5830000Z,2019-01-31T18:03:48.9000000Z,2019-01-31T19:00:00.0000000Z,2019-01-31T18:00:00.0000000Z,9,29990.09012317
48,9.99e-06,1.037e-05,9.960000000000001e-06,1.002e-05,2019-01-31T19:56:45.0300000Z,2019-01-31T19:13:05.2030000Z,2019-01-31T20:00:00.0000000Z,2019-01-31T19:00:00.0000000Z,36,56080.7811545
49,1.0260000000000002e-05,1.0340000000000001e-05,1e-05,1.0340000000000001e-05,2019-01-31T20:58:14.2400000Z,2019-01-31T20:02:28.8570000Z,2019-01-31T21:00:00.0000000Z,2019-01-31T20:00:00.0000000Z,13,14591.33572314
50,1.031e-05,1.031e-05,9.94e-06,1.002e-05,2019-01-31T21:45:55.2400000Z,2019-01-31T21:04:51.0830000Z,2019-01-31T22:00:00.0000000Z,2019-01-31T21:00:00.0000000Z,33,29915.70448247
51,1.029e-05,1.029e-05,1e-05,1.0280000000000002e-05,2019-01-31T22:44:21.3930000Z,2019-01-31T22:01:12.9900000Z,2019-01-31T23:00:00.0000000Z,2019-01-31T22:00:00.0000000Z,20,23908.16289042
52,1.059e-05,1.059e-05,1.029e-05,1.0320000000000001e-05,2019-01-31T23:59:27.9470000Z,2019-01-31T23:08:24.4770000Z,2019-02-01T00:00:00.0000000Z,2019-01-31T23:00:00.0000000Z,29,33479.46950818
53,1.0580000000000002e-05,1.059e-05,1.0580000000000002e-05,1.059e-05,2019-02-01T00:55:07.4730000Z,2019-02-01T00:00:55.5130000Z,2019-02-01T01:00:00.0000000Z,2019-02-01T00:00:00.0000000Z,5,5274.35151486
54,1.0620000000000002e-05,1.0620000000000002e-05,1.0580000000000002e-05,1.059e-05,2019-02-01T01:54:59.6470000Z,2019-02-01T01:35:03.2970000Z,2019-02-01T02:00:00.0000000Z,2019-02-01T01:00:00.0000000Z,15,28865.29076812
55,1.0670000000000001e-05,1.0670000000000001e-05,1.04e-05,1.061e-05,2019-02-01T02:48:50.8600000Z,2019-02-01T02:03:33.4770000Z,2019-02-01T03:00:00.0000000Z,2019-02-01T02:00:00.0000000Z,21,18783.73952776
56,1.0600000000000002e-05,1.0670000000000001e-05,1.0600000000000002e-05,1.0670000000000001e-05,2019-02-01T03:52:01.6170000Z,2019-02-01T03:22:41.7270000Z,2019-02-01T04:00:00.0000000Z,2019-02-01T03:00:00.0000000Z,3,8732.37445902
57,1.0670000000000001e-05,1.0670000000000001e-05,1.045e-05,1.047e-05,2019-02-01T04:46:36.1870000Z,2019-02-01T04:10:24.6400000Z,2019-02-01T05:00:00.0000000Z,2019-02-01T04:00:00.0000000Z,21,32825.90968822
58,1.065e-05,1.0760000000000002e-05,1.0640000000000001e-05,1.0690000000000001e-05,2019-02-01T05:57:43.9030000Z,2019-02-01T05:10:21.8500000Z,2019-02-01T06:00:00.0000000Z,2019-02-01T05:00:00.0000000Z,10,16319.53629334
59,1.061e-05,1.077e-05,1.0520000000000001e-05,1.077e-05,2019-02-01T06:48:34.0900000Z,2019-02-01T06:07:54.9400000Z,2019-02-01T07:00:00.0000000Z,2019-02-01T06:00:00.0000000Z,14,19431.35305903
