,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,9.9e-07,1.47e-06,9.9e-07,1.47e-06,2019-05-09T18:47:37.3600000Z,2019-05-09T18:45:45.4300000Z,2019-05-09T19:00:00.0000000Z,2019-05-09T18:00:00.0000000Z,3,2240.0
1,8.599999999999999e-07,1.1699999999999998e-06,8.599999999999999e-07,1.1699999999999998e-06,2019-05-09T19:55:21.1700000Z,2019-05-09T19:17:44.6800000Z,2019-05-09T20:00:00.0000000Z,2019-05-09T19:00:00.0000000Z,4,23369.9074359
2,9.9e-07,9.9e-07,9.9e-07,9.9e-07,2019-05-09T22:35:52.1100000Z,2019-05-09T22:35:52.1100000Z,2019-05-09T23:00:00.0000000Z,2019-05-09T22:00:00.0000000Z,1,2982.525
3,8.599999999999999e-07,9e-07,8.599999999999999e-07,9e-07,2019-05-10T09:13:05.2100000Z,2019-05-10T09:11:17.3100000Z,2019-05-10T10:00:00.0000000Z,2019-05-10T09:00:00.0000000Z,8,295410.94788401
4,9.3e-07,1.08e-06,9e-07,9.1e-07,2019-05-10T11:58:29.6900000Z,2019-05-10T11:01:21.0300000Z,2019-05-10T12:00:00.0000000Z,2019-05-10T11:00:00.0000000Z,22,119813.85999013
5,8.599999999999999e-07,1.08e-06,8.599999999999999e-07,9.199999999999999e-07,2019-05-10T12:26:45.2300000Z,2019-05-10T12:07:45.1200000Z,2019-05-10T13:00:00.0000000Z,2019-05-10T12:00:00.0000000Z,5,39804.28415447
6,8.699999999999999e-07,8.8e-07,8.699999999999999e-07,8.699999999999999e-07,2019-05-10T14:58:01.6400000Z,2019-05-10T14:02:28.7800000Z,2019-05-10T15:00:00.0000000Z,2019-05-10T14:00:00.0000000Z,4,9538.23450807
7,8.699999999999999e-07,8.699999999999999e-07,8.699999999999999e-07,8.699999999999999e-07,2019-05-10T16:01:07.7400000Z,2019-05-10T16:01:07.7400000Z,2019-05-10T17:00:00.0000000Z,2019-05-10T16:00:00.0000000Z,2,21187.0
8,9.699999999999998e-07,9.699999999999998e-07,9.699999999999998e-07,9.699999999999998e-07,2019-05-10T17:22:52.7100000Z,2019-05-10T17:18:52.8700000Z,2019-05-10T18:00:00.0000000Z,2019-05-10T17:00:00.0000000Z,2,1029.0
9,8.599999999999999e-07,8.8e-07,8.599999999999999e-07,8.8e-07,2019-05-10T21:23:06.7100000Z,2019-05-10T21:23:06.7100000Z,2019-05-10T22:00:00.0000000Z,2019-05-10T21:00:00.0000000Z,6,44256.0
10,9e-07,9e-07,9e-07,9e-07,2019-05-10T23:56:47.3300000Z,2019-05-10T23:56:47.3300000Z,2019-05-11T00:00:00.0000000Z,2019-05-10T23:00:00.0000000Z,1,880.0
11,9.5e-07,9.5e-07,8.599999999999999e-07,8.699999999999999e-07,2019-05-11T00:33:53.5900000Z,2019-05-11T00:20:28.5800000Z,2019-05-11T01:00:00.0000000Z,2019-05-11T00:00:00.0000000Z,3,26153.55679394
