,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,7.929999999999999e-06,6.6e-05,6.799999999999999e-06,6.6e-05,2018-08-28T17:58:50.3030000Z,2018-08-28T17:42:51.8130000Z,2018-08-28T18:00:00.0000000Z,2018-08-28T17:00:00.0000000Z,74,1104342.22328948
1,8.449999999999999e-06,8.85e-06,7.65e-06,7.75e-06,2018-08-28T18:58:06.7200000Z,2018-08-28T18:00:20.7770000Z,2018-08-28T19:00:00.0000000Z,2018-08-28T18:00:00.0000000Z,295,1836405.32896966
2,8.449999999999999e-06,9.199999999999998e-06,8.37e-06,8.7e-06,2018-08-28T19:59:19.6530000Z,2018-08-28T19:00:19.8500000Z,2018-08-28T20:00:00.0000000Z,2018-08-28T19:00:00.0000000Z,173,889893.75495202
3,9.01e-06,9.01e-06,8.31e-06,8.4e-06,2018-08-28T20:59:35.2170000Z,2018-08-28T20:00:34.5770000Z,2018-08-28T21:00:00.0000000Z,2018-08-28T20:00:00.0000000Z,101,537611.30020363
4,9.499999999999999e-06,9.499999999999999e-06,8.83e-06,9.01e-06,2018-08-28T21:59:50.7170000Z,2018-08-28T21:00:10.7170000Z,2018-08-28T22:00:00.0000000Z,2018-08-28T21:00:00.0000000Z,95,429920.30583645
5,9.98e-06,1.029e-05,9.359999999999998e-06,9.499999999999999e-06,2018-08-28T22:59:58.1970000Z,2018-08-28T22:00:00.7300000Z,2018-08-28T23:00:00.0000000Z,2018-08-28T22:00:00.0000000Z,146,1130864.27569987
6,9.3e-06,1.024e-05,9.23e-06,9.98e-06,2018-08-28T23:58:19.8300000Z,2018-08-28T23:00:03.5100000Z,2018-08-29T00:00:00.0000000Z,2018-08-28T23:00:00.0000000Z,131,766734.40221936
7,9.9e-06,1.011e-05,9.13e-06,9.31e-06,2018-08-29T00:59:43.1070000Z,2018-08-29T00:01:33.0700000Z,2018-08-29T01:00:00.0000000Z,2018-08-29T00:00:00.0000000Z,143,1364234.39129503
8,1.009e-05,1.025e-05,9.88e-06,9.89e-06,2018-08-29T01:59:46.5830000Z,2018-08-29T01:00:32.9370000Z,2018-08-29T02:00:00.0000000Z,2018-08-29T01:00:00.0000000Z,85,707305.06517408
9,1.008e-05,1.021e-05,9.869999999999999e-06,1.009e-05,2018-08-29T02:59:01.2000000Z,2018-08-29T02:00:02.0200000Z,2018-08-29T03:00:00.0000000Z,2018-08-29T02:00:00.0000000Z,86,788900.01390435
10,1.0280000000000002e-05,1.031e-05,9.99e-06,1.021e-05,2018-08-29T03:59:04.3970000Z,2018-08-29T03:00:04.2200000Z,2018-08-29T04:00:00.0000000Z,2018-08-29T03:00:00.0000000Z,83,1010247.84993299
11,1.003e-05,1.0500000000000001e-05,1.002e-05,1.029e-05,2018-08-29T04:57:56.7800000Z,2018-08-29T04:00:01.9600000Z,2018-08-29T05:00:00.0000000Z,2018-08-29T04:00:00.0000000Z,114,1142508.78721421
12,1.0500000000000001e-05,1.089e-05,1.003e-05,1.003e-05,2018-08-29T05:59:10.2300000Z,2018-08-29T05:00:18.2370000Z,2018-08-29T06:00:00.0000000Z,2018-08-29T05:00:00.0000000Z,133,844638.59433676
13,1.0140000000000001e-05,1.065e-05,9.99e-06,1.0510000000000001e-05,2018-08-29T06:57:19.0200000Z,2018-08-29T06:04:11.7900000Z,2018-08-29T07:00:00.0000000Z,2018-08-29T06:00:00.0000000Z,104,628086.70572547
14,9.44e-06,1.0160000000000001e-05,8.7e-06,1.005e-05,2018-08-29T07:59:09.9370000Z,2018-08-29T07:04:05.0000000Z,2018-08-29T08:00:00.0000000Z,2018-08-29T07:00:00.0000000Z,233,1573492.75632499
15,9.460000000000001e-06,9.55e-06,9.05e-06,9.43e-06,2018-08-29T08:59:39.8370000Z,2018-08-29T08:00:10.0970000Z,2018-08-29T09:00:00.0000000Z,2018-08-29T08:00:00.0000000Z,104,488322.7271491
16,9.460000000000001e-06,9.499999999999999e-06,8.9e-06,9.45e-06,2018-08-29T09:59:54.5830000Z,2018-08-29T09:00:07.1500000Z,2018-08-29T10:00:00.0000000Z,2018-08-29T09:00:00.0000000Z,90,725549.41960138
17,8.81e-06,9.460000000000001e-06,8.5e-06,9.460000000000001e-06,2018-08-29T10:58:38.3530000Z,2018-08-29T10:00:00.9430000Z,2018-08-29T11:00:00.0000000Z,2018-08-29T10:00:00.0000000Z,147,700307.03824802
18,8.32e-06,8.86e-06,8.31e-06,8.71e-06,2018-08-29T11:59:53.2600000Z,2018-08-29T11:02:16.0670000Z,2018-08-29T12:00:00.0000000Z,2018-08-29T11:00:00.0000000Z,160,720341.29262517
19,9.179999999999999e-06,9.349999999999999e-06,8.35e-06,8.46e-06,2018-08-29T12:59:53.4530000Z,2018-08-29T12:00:23.8830000Z,2018-08-29T13:00:00.0000000Z,2018-08-29T12:00:00.0000000Z,132,520138.32560031
20,9.08e-06,9.31e-06,8.96e-06,9.189999999999998e-06,2018-08-29T13:59:24.7300000Z,2018-08-29T13:00:02.0470000Z,2018-08-29T14:00:00.0000000Z,2018-08-29T13:00:00.0000000Z,111,251151.56610433
21,8.9e-06,9.07e-06,8.769999999999999e-06,9.07e-06,2018-08-29T14:58:15.8370000Z,2018-08-29T14:01:50.6700000Z,2018-08-29T15:00:00.0000000Z,2018-08-29T14:00:00.0000000Z,65,153255.06151253
22,8.769999999999999e-06,9.039999999999998e-06,8.769999999999999e-06,8.9e-06,2018-08-29T15:55:25.0970000Z,2018-08-29T15:00:51.2200000Z,2018-08-29T16:00:00.0000000Z,2018-08-29T15:00:00.0000000Z,38,83991.24088337
23,8.66e-06,8.8e-06,8.599999999999999e-06,8.779999999999999e-06,2018-08-29T16:59:51.4300000Z,2018-08-29T16:02:10.2370000Z,2018-08-29T17:00:00.0000000Z,2018-08-29T16:00:00.0000000Z,70,303079.969582
24,8.439999999999999e-06,8.75e-06,8.3e-06,8.67e-06,2018-08-29T17:53:52.6100000Z,2018-08-29T17:01:22.7600000Z,2018-08-29T18:00:00.0000000Z,2018-08-29T17:00:00.0000000Z,83,409655.39141746
25,8.02e-06,8.5e-06,8.02e-06,8.5e-06,2018-08-29T18:59:51.0870000Z,2018-08-29T18:00:02.8130000Z,2018-08-29T19:00:00.0000000Z,2018-08-29T18:00:00.0000000Z,132,631088.55825158
26,8.269999999999999e-06,8.439999999999999e-06,8e-06,8.01e-06,2018-08-29T19:58:43.7500000Z,2018-08-29T19:00:14.2300000Z,2018-08-29T20:00:00.0000000Z,2018-08-29T19:00:00.0000000Z,49,353012.27336486
27,8.35e-06,8.97e-06,8.35e-06,8.37e-06,2018-08-29T20:56:02.7530000Z,2018-08-29T20:03:23.6670000Z,2018-08-29T21:00:00.0000000Z,2018-08-29T20:00:00.0000000Z,99,241853.58683698
28,8.589999999999999e-06,8.72e-06,8.2e-06,8.419999999999999e-06,2018-08-29T21:57:49.3430000Z,2018-08-29T21:00:00.5270000Z,2018-08-29T22:00:00.0000000Z,2018-08-29T21:00:00.0000000Z,56,113836.00476091
29,8.86e-06,8.86e-06,8.409999999999999e-06,8.589999999999999e-06,2018-08-29T22:59:47.1400000Z,2018-08-29T22:00:11.1300000Z,2018-08-29T23:00:00.0000000Z,2018-08-29T22:00:00.0000000Z,54,137599.03099637
30,9.3e-06,9.3e-06,8.89e-06,8.89e-06,2018-08-29T23:57:42.9130000Z,2018-08-29T23:00:11.9200000Z,2018-08-30T00:00:00.0000000Z,2018-08-29T23:00:00.0000000Z,77,238282.49226603
31,9.39e-06,9.41e-06,8.8e-06,9.32e-06,2018-08-30T00:59:49.0630000Z,2018-08-30T00:00:11.2930000Z,2018-08-30T01:00:00.0000000Z,2018-08-30T00:00:00.0000000Z,82,440449.45088424
32,9.1e-06,9.9e-06,9.1e-06,9.38e-06,2018-08-30T01:58:45.3200000Z,2018-08-30T01:00:05.5500000Z,2018-08-30T02:00:00.0000000Z,2018-08-30T01:00:00.0000000Z,108,371797.3319713
33,9.27e-06,9.529999999999999e-06,8.75e-06,9.1e-06,2018-08-30T02:58:00.5170000Z,2018-08-30T02:01:01.9670000Z,2018-08-30T03:00:00.0000000Z,2018-08-30T02:00:00.0000000Z,60,379553.5337565
34,8.64e-06,9.26e-06,8.51e-06,9.26e-06,2018-08-30T03:59:49.2970000Z,2018-08-30T03:00:12.9730000Z,2018-08-30T04:00:00.0000000Z,2018-08-30T03:00:00.0000000Z,67,215518.85505407
35,8.259999999999999e-06,9.13e-06,8.259999999999999e-06,8.939999999999999e-06,2018-08-30T04:54:16.2600000Z,2018-08-30T04:01:18.5970000Z,2018-08-30T05:00:00.0000000Z,2018-08-30T04:00:00.0000000Z,86,769923.35087406
36,8.65e-06,8.8e-06,8.3e-06,8.52e-06,2018-08-30T05:59:42.5630000Z,2018-08-30T05:00:22.6500000Z,2018-08-30T06:00:00.0000000Z,2018-08-30T05:00:00.0000000Z,33,78807.26176278
37,8.550000000000001e-06,8.69e-06,8.449999999999999e-06,8.65e-06,2018-08-30T06:58:41.0230000Z,2018-08-30T06:00:01.0000000Z,2018-08-30T07:00:00.0000000Z,2018-08-30T06:00:00.0000000Z,38,225213.22206757
38,8.67e-06,8.67e-06,8.259999999999999e-06,8.550000000000001e-06,2018-08-30T07:55:56.7200000Z,2018-08-30T07:07:02.3870000Z,2018-08-30T08:00:00.0000000Z,2018-08-30T07:00:00.0000000Z,41,340092.56147057
39,8.409999999999999e-06,8.67e-06,8.35e-06,8.67e-06,2018-08-30T08:57:17.5400000Z,2018-08-30T08:00:13.9330000Z,2018-08-30T09:00:00.0000000Z,2018-08-30T08:00:00.0000000Z,53,192488.42970567
40,8.259999999999999e-06,8.599999999999999e-06,8.210000000000001e-06,8.550000000000001e-06,2018-08-30T09:51:10.3000000Z,2018-08-30T09:05:17.2930000Z,2018-08-30T10:00:00.0000000Z,2018-08-30T09:00:00.0000000Z,50,155274.51222471
41,8.259999999999999e-06,8.599999999999999e-06,8.259999999999999e-06,8.439999999999999e-06,2018-08-30T10:59:33.8000000Z,2018-08-30T10:15:30.9200000Z,2018-08-30T11:00:00.0000000Z,2018-08-30T10:00:00.0000000Z,87,178245.08157897
42,8.210000000000001e-06,8.439999999999999e-06,8.109999999999999e-06,8.259999999999999e-06,2018-08-30T11:51:16.3530000Z,2018-08-30T11:02:49.5400000Z,2018-08-30T12:00:00.0000000Z,2018-08-30T11:00:00.0000000Z,55,306022.78764976
43,8.439999999999999e-06,8.439999999999999e-06,8.259999999999999e-06,8.390000000000001e-06,2018-08-30T12:48:19.5700000Z,2018-08-30T12:01:47.6400000Z,2018-08-30T13:00:00.0000000Z,2018-08-30T12:00:00.0000000Z,27,105281.69862928
44,8.47e-06,8.54e-06,8.279999999999999e-06,8.449999999999999e-06,2018-08-30T13:52:43.3430000Z,2018-08-30T13:04:45.7400000Z,2018-08-30T14:00:00.0000000Z,2018-08-30T13:00:00.0000000Z,27,51582.17978167
45,8.53e-06,8.54e-06,8.35e-06,8.48e-06,2018-08-30T14:50:23.4400000Z,2018-08-30T14:00:11.4830000Z,2018-08-30T15:00:00.0000000Z,2018-08-30T14:00:00.0000000Z,31,93759.4533217
46,8.3e-06,8.54e-06,8.289999999999999e-06,8.54e-06,2018-08-30T15:59:52.3430000Z,2018-08-30T15:01:10.5230000Z,2018-08-30T16:00:00.0000000Z,2018-08-30T15:00:00.0000000Z,42,60440.75654734
