,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,4.89e-06,4.89e-06,4.89e-06,4.89e-06,2018-06-01T00:14:24.1700000Z,2018-06-01T00:14:24.1700000Z,2018-06-01T01:00:00.0000000Z,2018-06-01T00:00:00.0000000Z,1,241.17263577
1,4.87e-06,4.88e-06,4.87e-06,4.88e-06,2018-06-01T01:42:30.8800000Z,2018-06-01T01:42:30.8670000Z,2018-06-01T02:00:00.0000000Z,2018-06-01T01:00:00.0000000Z,2,1968.503937
2,4.89e-06,4.89e-06,4.89e-06,4.89e-06,2018-06-01T02:53:50.1200000Z,2018-06-01T02:53:50.1200000Z,2018-06-01T03:00:00.0000000Z,2018-06-01T02:00:00.0000000Z,1,510.68113239
3,4.980000000000001e-06,4.980000000000001e-06,4.94e-06,4.94e-06,2018-06-01T03:57:30.3500000Z,2018-06-01T03:04:34.2700000Z,2018-06-01T04:00:00.0000000Z,2018-06-01T03:00:00.0000000Z,3,585.98256494
4,4.980000000000001e-06,4.980000000000001e-06,4.980000000000001e-06,4.980000000000001e-06,2018-06-01T04:26:20.5900000Z,2018-06-01T04:26:20.5900000Z,2018-06-01T05:00:00.0000000Z,2018-06-01T04:00:00.0000000Z,1,323.95449102
5,4.9000000000000005e-06,4.929999999999999e-06,4.88e-06,4.929999999999999e-06,2018-06-01T07:49:35.0030000Z,2018-06-01T07:05:04.5830000Z,2018-06-01T08:00:00.0000000Z,2018-06-01T07:00:00.0000000Z,6,2922.58141913
6,5.0099999999999995e-06,5.0099999999999995e-06,4.929999999999999e-06,4.980000000000001e-06,2018-06-01T10:36:47.6430000Z,2018-06-01T10:08:07.8000000Z,2018-06-01T11:00:00.0000000Z,2018-06-01T10:00:00.0000000Z,8,10564.29202495
7,4.94e-06,4.94e-06,4.94e-06,4.94e-06,2018-06-01T11:58:49.6630000Z,2018-06-01T11:43:43.1570000Z,2018-06-01T12:00:00.0000000Z,2018-06-01T11:00:00.0000000Z,99,25739.1160863
8,4.95e-06,4.95e-06,4.8e-06,4.94e-06,2018-06-01T12:37:36.2770000Z,2018-06-01T12:00:21.6400000Z,2018-06-01T13:00:00.0000000Z,2018-06-01T12:00:00.0000000Z,47,41933.76776658
9,4.95e-06,4.95e-06,4.94e-06,4.94e-06,2018-06-01T13:14:18.4530000Z,2018-06-01T13:02:58.8230000Z,2018-06-01T14:00:00.0000000Z,2018-06-01T13:00:00.0000000Z,4,3365.70866015
10,4.95e-06,4.95e-06,4.88e-06,4.88e-06,2018-06-01T14:57:34.1570000Z,2018-06-01T14:09:55.9630000Z,2018-06-01T15:00:00.0000000Z,2018-06-01T14:00:00.0000000Z,5,3379.87979675
11,4.88e-06,4.88e-06,4.88e-06,4.88e-06,2018-06-01T15:55:44.5630000Z,2018-06-01T15:55:44.5630000Z,2018-06-01T16:00:00.0000000Z,2018-06-01T15:00:00.0000000Z,1,500.0
12,4.95e-06,4.95e-06,4.88e-06,4.88e-06,2018-06-01T16:46:27.5670000Z,2018-06-01T16:07:34.0300000Z,2018-06-01T17:00:00.0000000Z,2018-06-01T16:00:00.0000000Z,12,9911.91252
13,4.849999999999999e-06,4.89e-06,4.839999999999999e-06,4.89e-06,2018-06-01T17:47:36.5730000Z,2018-06-01T17:08:07.9570000Z,2018-06-01T18:00:00.0000000Z,2018-06-01T17:00:00.0000000Z,10,55396.99196697
14,4.8100000000000005e-06,4.88e-06,4.8100000000000005e-06,4.849999999999999e-06,2018-06-01T18:47:05.7900000Z,2018-06-01T18:07:39.8830000Z,2018-06-01T19:00:00.0000000Z,2018-06-01T18:00:00.0000000Z,5,2966.42724175
15,4.8200000000000004e-06,4.88e-06,4.8200000000000004e-06,4.88e-06,2018-06-01T19:39:56.1370000Z,2018-06-01T19:15:41.1900000Z,2018-06-01T20:00:00.0000000Z,2018-06-01T19:00:00.0000000Z,2,1428.28707479
16,4.849999999999999e-06,4.87e-06,4.72e-06,4.8200000000000004e-06,2018-06-01T20:46:25.9670000Z,2018-06-01T20:05:22.7670000Z,2018-06-01T21:00:00.0000000Z,2018-06-01T20:00:00.0000000Z,20,36939.18808188
17,4.839999999999999e-06,4.839999999999999e-06,4.839999999999999e-06,4.839999999999999e-06,2018-06-01T21:38:31.8770000Z,2018-06-01T21:07:33.8700000Z,2018-06-01T22:00:00.0000000Z,2018-06-01T21:00:00.0000000Z,2,8018.52330208
18,4.849999999999999e-06,4.849999999999999e-06,4.8e-06,4.839999999999999e-06,2018-06-01T22:54:34.9230000Z,2018-06-01T22:26:23.2300000Z,2018-06-01T23:00:00.0000000Z,2018-06-01T22:00:00.0000000Z,9,20544.12945197
19,4.86e-06,4.86e-06,4.86e-06,4.86e-06,2018-06-01T23:03:13.0270000Z,2018-06-01T23:03:13.0270000Z,2018-06-02T00:00:00.0000000Z,2018-06-01T23:00:00.0000000Z,1,315.02834248
20,4.88e-06,4.88e-06,4.86e-06,4.86e-06,2018-06-02T00:43:27.4900000Z,2018-06-02T00:05:15.7570000Z,2018-06-02T01:00:00.0000000Z,2018-06-02T00:00:00.0000000Z,6,4257.19239312
21,4.88e-06,4.88e-06,4.88e-06,4.88e-06,2018-06-02T01:09:02.9230000Z,2018-06-02T01:09:02.9230000Z,2018-06-02T02:00:00.0000000Z,2018-06-02T01:00:00.0000000Z,1,540.83402876
22,4.89e-06,4.89e-06,4.89e-06,4.89e-06,2018-06-02T02:42:48.6530000Z,2018-06-02T02:42:48.6530000Z,2018-06-02T03:00:00.0000000Z,2018-06-02T02:00:00.0000000Z,1,2720.94133436
23,4.89e-06,4.89e-06,4.89e-06,4.89e-06,2018-06-02T03:31:34.9670000Z,2018-06-02T03:22:29.2730000Z,2018-06-02T04:00:00.0000000Z,2018-06-02T03:00:00.0000000Z,3,21817.99591002
24,4.8100000000000005e-06,4.8100000000000005e-06,4.8100000000000005e-06,4.8100000000000005e-06,2018-06-02T04:56:21.1170000Z,2018-06-02T04:56:21.1170000Z,2018-06-02T05:00:00.0000000Z,2018-06-02T04:00:00.0000000Z,1,7513.37656129
25,4.8100000000000005e-06,4.8100000000000005e-06,4.8100000000000005e-06,4.8100000000000005e-06,2018-06-02T05:55:18.4730000Z,2018-06-02T05:00:33.6770000Z,2018-06-02T06:00:00.0000000Z,2018-06-02T05:00:00.0000000Z,6,19882.16554263
26,4.8200000000000004e-06,4.89e-06,4.8200000000000004e-06,4.86e-06,2018-06-02T06:16:59.2100000Z,2018-06-02T06:16:17.0670000Z,2018-06-02T07:00:00.0000000Z,2018-06-02T06:00:00.0000000Z,4,3185.74092978
27,4.9000000000000005e-06,4.9000000000000005e-06,4.89e-06,4.89e-06,2018-06-02T07:09:03.2700000Z,2018-06-02T07:09:03.2700000Z,2018-06-02T08:00:00.0000000Z,2018-06-02T07:00:00.0000000Z,2,10178.57142857
28,4.9199999999999995e-06,4.95e-06,4.839999999999999e-06,4.89e-06,2018-06-02T09:41:07.4430000Z,2018-06-02T09:04:59.7470000Z,2018-06-02T10:00:00.0000000Z,2018-06-02T09:00:00.0000000Z,12,7037.89318591
29,4.88e-06,4.9999999999999996e-06,4.88e-06,4.980000000000001e-06,2018-06-02T10:57:04.6330000Z,2018-06-02T10:04:07.4300000Z,2018-06-02T11:00:00.0000000Z,2018-06-02T10:00:00.0000000Z,8,7353.97910187
30,4.88e-06,4.88e-06,4.8100000000000005e-06,4.88e-06,2018-06-02T11:07:11.6700000Z,2018-06-02T11:02:29.7330000Z,2018-06-02T12:00:00.0000000Z,2018-06-02T11:00:00.0000000Z,4,3548.98074366
31,4.849999999999999e-06,4.88e-06,4.849999999999999e-06,4.88e-06,2018-06-02T12:19:20.8970000Z,2018-06-02T12:17:45.4300000Z,2018-06-02T13:00:00.0000000Z,2018-06-02T12:00:00.0000000Z,2,400.0
32,4.86e-06,4.86e-06,4.86e-06,4.86e-06,2018-06-02T13:15:12.1200000Z,2018-06-02T13:15:12.1200000Z,2018-06-02T14:00:00.0000000Z,2018-06-02T13:00:00.0000000Z,1,581.65909629
