,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,9.13e-06,9.13e-06,9.119999999999999e-06,9.119999999999999e-06,2018-06-01T00:04:06.2670000Z,2018-06-01T00:04:06.2670000Z,2018-06-01T01:00:00.0000000Z,2018-06-01T00:00:00.0000000Z,2,2100.09795033
1,9.029999999999998e-06,9.029999999999998e-06,8.86e-06,9.019999999999998e-06,2018-06-01T01:56:16.3870000Z,2018-06-01T01:14:00.5200000Z,2018-06-01T02:00:00.0000000Z,2018-06-01T01:00:00.0000000Z,16,75828.46784357
2,8.9e-06,9.039999999999998e-06,8.9e-06,9.039999999999998e-06,2018-06-01T02:22:23.7770000Z,2018-06-01T02:16:26.8600000Z,2018-06-01T03:00:00.0000000Z,2018-06-01T02:00:00.0000000Z,3,13500.92588805
3,8.88e-06,9.029999999999998e-06,8.88e-06,8.93e-06,2018-06-01T03:47:19.4170000Z,2018-06-01T03:05:59.6970000Z,2018-06-01T04:00:00.0000000Z,2018-06-01T03:00:00.0000000Z,14,45409.30207934
4,8.71e-06,8.89e-06,8.5e-06,8.89e-06,2018-06-01T04:43:37.5670000Z,2018-06-01T04:00:45.4570000Z,2018-06-01T05:00:00.0000000Z,2018-06-01T04:00:00.0000000Z,75,325490.7779932
5,8.74e-06,8.81e-06,8.72e-06,8.72e-06,2018-06-01T05:58:23.7970000Z,2018-06-01T05:03:40.8100000Z,2018-06-01T06:00:00.0000000Z,2018-06-01T05:00:00.0000000Z,15,12233.72692502
6,8.83e-06,8.92e-06,8.81e-06,8.81e-06,2018-06-01T06:57:54.9530000Z,2018-06-01T06:22:30.4900000Z,2018-06-01T07:00:00.0000000Z,2018-06-01T06:00:00.0000000Z,5,2301.34834994
7,8.83e-06,8.92e-06,8.83e-06,8.92e-06,2018-06-01T07:35:01.1400000Z,2018-06-01T07:13:33.8500000Z,2018-06-01T08:00:00.0000000Z,2018-06-01T07:00:00.0000000Z,5,11645.37040567
8,8.93e-06,8.949999999999999e-06,8.81e-06,8.81e-06,2018-06-01T08:59:02.1200000Z,2018-06-01T08:05:23.4570000Z,2018-06-01T09:00:00.0000000Z,2018-06-01T08:00:00.0000000Z,7,3317.23612953
9,8.81e-06,8.939999999999999e-06,8.599999999999999e-06,8.939999999999999e-06,2018-06-01T09:58:29.6000000Z,2018-06-01T09:08:48.2630000Z,2018-06-01T10:00:00.0000000Z,2018-06-01T09:00:00.0000000Z,27,38864.91719901
10,9e-06,9.11e-06,8.85e-06,8.85e-06,2018-06-01T10:54:34.2730000Z,2018-06-01T10:10:17.6400000Z,2018-06-01T11:00:00.0000000Z,2018-06-01T10:00:00.0000000Z,26,29416.90161656
11,8.949999999999999e-06,9.08e-06,8.949999999999999e-06,8.99e-06,2018-06-01T11:59:12.7300000Z,2018-06-01T11:05:31.0230000Z,2018-06-01T12:00:00.0000000Z,2018-06-01T11:00:00.0000000Z,12,52358.40556022
12,8.949999999999999e-06,9.08e-06,8.949999999999999e-06,8.949999999999999e-06,2018-06-01T12:44:45.5400000Z,2018-06-01T12:00:17.7830000Z,2018-06-01T13:00:00.0000000Z,2018-06-01T12:00:00.0000000Z,9,2664.98379144
13,8.949999999999999e-06,9.05e-06,8.949999999999999e-06,8.949999999999999e-06,2018-06-01T13:59:19.4470000Z,2018-06-01T13:01:46.5970000Z,2018-06-01T14:00:00.0000000Z,2018-06-01T13:00:00.0000000Z,6,10073.7362141
14,8.73e-06,8.949999999999999e-06,8.54e-06,8.949999999999999e-06,2018-06-01T14:58:46.5030000Z,2018-06-01T14:22:26.1770000Z,2018-06-01T15:00:00.0000000Z,2018-06-01T14:00:00.0000000Z,35,54817.94140387
15,8.98e-06,8.98e-06,8.82e-06,8.82e-06,2018-06-01T15:56:52.6230000Z,2018-06-01T15:00:03.0730000Z,2018-06-01T16:00:00.0000000Z,2018-06-01T15:00:00.0000000Z,14,21074.30721495
16,8.84e-06,9e-06,8.84e-06,8.949999999999999e-06,2018-06-01T16:55:48.6130000Z,2018-06-01T16:00:12.6700000Z,2018-06-01T17:00:00.0000000Z,2018-06-01T16:00:00.0000000Z,21,31974.49749261
17,8.84e-06,8.84e-06,8.84e-06,8.84e-06,2018-06-01T17:28:16.4200000Z,2018-06-01T17:10:25.3330000Z,2018-06-01T18:00:00.0000000Z,2018-06-01T17:00:00.0000000Z,2,698.85054767
18,8.84e-06,8.84e-06,8.84e-06,8.84e-06,2018-06-01T18:55:27.7600000Z,2018-06-01T18:10:09.0730000Z,2018-06-01T19:00:00.0000000Z,2018-06-01T18:00:00.0000000Z,9,24067.36870028
19,8.9e-06,8.9e-06,8.789999999999999e-06,8.84e-06,2018-06-01T19:51:56.3000000Z,2018-06-01T19:05:06.4830000Z,2018-06-01T20:00:00.0000000Z,2018-06-01T19:00:00.0000000Z,13,54728.50567469
20,8.9e-06,8.9e-06,8.8e-06,8.89e-06,2018-06-01T20:46:41.3970000Z,2018-06-01T20:29:37.2870000Z,2018-06-01T21:00:00.0000000Z,2018-06-01T20:00:00.0000000Z,7,5448.96586155
