,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,6.2e-05,6.415e-05,6.170000000000001e-05,6.406e-05,2018-06-01T00:32:24.0700000Z,2018-06-01T00:09:06.5900000Z,2018-06-01T01:00:00.0000000Z,2018-06-01T00:00:00.0000000Z,10,17527.62935262
1,6.369000000000001e-05,6.369000000000001e-05,6.348000000000001e-05,6.348000000000001e-05,2018-06-01T01:09:43.1270000Z,2018-06-01T01:06:50.1500000Z,2018-06-01T02:00:00.0000000Z,2018-06-01T01:00:00.0000000Z,6,3543.17828911
2,6.457e-05,6.457e-05,6.410000000000001e-05,6.410000000000001e-05,2018-06-01T02:40:41.2100000Z,2018-06-01T02:36:45.9870000Z,2018-06-01T03:00:00.0000000Z,2018-06-01T02:00:00.0000000Z,5,27270.71
3,6.462e-05,6.462e-05,6.230000000000001e-05,6.26e-05,2018-06-01T04:40:11.3670000Z,2018-06-01T04:24:13.6270000Z,2018-06-01T05:00:00.0000000Z,2018-06-01T04:00:00.0000000Z,20,294426.21301672
4,6.385000000000001e-05,6.500000000000001e-05,6.385000000000001e-05,6.462e-05,2018-06-01T05:31:03.6800000Z,2018-06-01T05:01:30.7300000Z,2018-06-01T06:00:00.0000000Z,2018-06-01T05:00:00.0000000Z,15,152028.95546653
5,6.301000000000001e-05,6.301000000000001e-05,6.301000000000001e-05,6.301000000000001e-05,2018-06-01T07:32:48.5530000Z,2018-06-01T07:32:48.5530000Z,2018-06-01T08:00:00.0000000Z,2018-06-01T07:00:00.0000000Z,1,418.43400587
6,6.125000000000001e-05,6.244e-05,5.984e-05,6.235000000000001e-05,2018-06-01T08:58:56.7070000Z,2018-06-01T08:06:09.3870000Z,2018-06-01T09:00:00.0000000Z,2018-06-01T08:00:00.0000000Z,40,115956.55065665
7,6.030000000000001e-05,6.209e-05,6.030000000000001e-05,6.148e-05,2018-06-01T09:59:36.7570000Z,2018-06-01T09:12:31.2000000Z,2018-06-01T10:00:00.0000000Z,2018-06-01T09:00:00.0000000Z,10,50160.19497867
8,5.907e-05,6.104000000000001e-05,5.783000000000001e-05,6.0310000000000004e-05,2018-06-01T10:28:23.7800000Z,2018-06-01T10:00:33.5570000Z,2018-06-01T11:00:00.0000000Z,2018-06-01T10:00:00.0000000Z,50,231657.44051079
9,5.906e-05,5.906e-05,5.9050000000000006e-05,5.906e-05,2018-06-01T11:52:57.8230000Z,2018-06-01T11:15:22.5400000Z,2018-06-01T12:00:00.0000000Z,2018-06-01T11:00:00.0000000Z,4,11576.09882337
10,5.9690000000000006e-05,5.9690000000000006e-05,5.898e-05,5.898e-05,2018-06-01T12:49:23.2400000Z,2018-06-01T12:05:15.1400000Z,2018-06-01T13:00:00.0000000Z,2018-06-01T12:00:00.0000000Z,7,25755.02057253
