,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,20.83,20.87,20.75,20.87,2019-04-09T16:59:41.5910000Z,2019-04-09T16:27:13.5010000Z,2019-04-09T17:00:00.0000000Z,2019-04-09T16:00:00.0000000Z,18,186.607145
1,20.61,20.78,20.61,20.78,2019-04-09T17:49:16.5010000Z,2019-04-09T17:01:04.1900000Z,2019-04-09T18:00:00.0000000Z,2019-04-09T17:00:00.0000000Z,36,339.875315
2,20.78,20.78,20.69,20.69,2019-04-09T18:40:29.6670000Z,2019-04-09T18:00:21.2800000Z,2019-04-09T19:00:00.0000000Z,2019-04-09T18:00:00.0000000Z,10,70.874629
3,20.57,20.8,20.57,20.76,2019-04-09T19:55:04.5000000Z,2019-04-09T19:07:12.9340000Z,2019-04-09T20:00:00.0000000Z,2019-04-09T19:00:00.0000000Z,60,545.17757
4,20.79,20.81,20.56,20.57,2019-04-09T20:50:16.8170000Z,2019-04-09T20:15:48.2820000Z,2019-04-09T21:00:00.0000000Z,2019-04-09T20:00:00.0000000Z,22,29.77957
5,20.8,20.84,20.77,20.84,2019-04-09T21:58:12.1710000Z,2019-04-09T21:12:11.9320000Z,2019-04-09T22:00:00.0000000Z,2019-04-09T21:00:00.0000000Z,11,50.650922
6,20.7,20.87,20.7,20.77,2019-04-09T22:59:03.6640000Z,2019-04-09T22:02:11.5000000Z,2019-04-09T23:00:00.0000000Z,2019-04-09T22:00:00.0000000Z,21,19.980111
7,20.62,20.73,20.57,20.69,2019-04-09T23:55:11.9120000Z,2019-04-09T23:01:43.3420000Z,2019-04-10T00:00:00.0000000Z,2019-04-09T23:00:00.0000000Z,12,92.215645
8,20.32,20.59,20.29,20.53,2019-04-10T00:53:16.1000000Z,2019-04-10T00:05:01.5000000Z,2019-04-10T01:00:00.0000000Z,2019-04-10T00:00:00.0000000Z,34,287.409454
9,20.5,20.5,20.22,20.25,2019-04-10T01:33:09.7110000Z,2019-04-10T01:10:01.5980000Z,2019-04-10T02:00:00.0000000Z,2019-04-10T01:00:00.0000000Z,11,88.317839
