,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,148.65,156.25,146.0,154.77,2018-10-14T23:59:05.9870000Z,2018-10-14T00:02:28.9860000Z,2018-10-15T00:00:00.0000000Z,2018-10-14T00:00:00.0000000Z,1270,2106.6814332
1,156.94,168.39,145.31,147.51,2018-10-15T23:59:03.3640000Z,2018-10-15T00:01:09.4000000Z,2018-10-16T00:00:00.0000000Z,2018-10-15T00:00:00.0000000Z,2234,5881.64151958
2,157.17,159.99,154.41,156.62,2018-10-16T23:58:36.8960000Z,2018-10-16T00:01:20.3020000Z,2018-10-17T00:00:00.0000000Z,2018-10-16T00:00:00.0000000Z,1430,2756.44466109
3,156.28,158.77,154.67,156.95,2018-10-17T23:59:51.7520000Z,2018-10-17T00:01:28.1410000Z,2018-10-18T00:00:00.0000000Z,2018-10-17T00:00:00.0000000Z,1589,2773.92100068
4,154.13,157.9,152.18,156.28,2018-10-18T23:58:59.4780000Z,2018-10-18T00:06:14.2410000Z,2018-10-19T00:00:00.0000000Z,2018-10-18T00:00:00.0000000Z,1305,1947.59974951
5,157.09,157.11,152.05,154.04,2018-10-19T23:59:35.9150000Z,2018-10-19T00:01:05.5570000Z,2018-10-20T00:00:00.0000000Z,2018-10-19T00:00:00.0000000Z,1708,2181.0983258
6,158.97,161.9,155.25,157.08,2018-10-20T23:54:24.5040000Z,2018-10-20T00:00:24.4520000Z,2018-10-21T00:00:00.0000000Z,2018-10-20T00:00:00.0000000Z,1539,1210.06258069
7,157.99,161.88,156.1,158.9,2018-10-21T23:56:37.6920000Z,2018-10-21T00:02:12.2500000Z,2018-10-22T00:00:00.0000000Z,2018-10-21T00:00:00.0000000Z,1223,1330.36915961
8,157.96,159.34,155.67,157.71,2018-10-22T23:55:00.7770000Z,2018-10-22T00:10:55.2080000Z,2018-10-23T00:00:00.0000000Z,2018-10-22T00:00:00.0000000Z,1365,1931.3983691
9,156.16,158.79,153.15,157.78,2018-10-23T23:58:21.9400000Z,2018-10-23T00:00:28.5800000Z,2018-10-24T00:00:00.0000000Z,2018-10-23T00:00:00.0000000Z,1374,2341.38100559
10,158.65,159.03,156.17,156.5,2018-10-24T23:57:16.8650000Z,2018-10-24T00:00:02.4650000Z,2018-10-25T00:00:00.0000000Z,2018-10-24T00:00:00.0000000Z,1417,1901.42547066
11,158.81,159.99,155.55,157.88,2018-10-25T23:58:19.4410000Z,2018-10-25T00:02:16.2470000Z,2018-10-26T00:00:00.0000000Z,2018-10-25T00:00:00.0000000Z,1457,2416.34801432
12,159.04,161.51,157.18,158.64,2018-10-26T23:58:15.9580000Z,2018-10-26T00:01:14.2910000Z,2018-10-27T00:00:00.0000000Z,2018-10-26T00:00:00.0000000Z,1897,2922.14938257
13,161.19,161.78,158.77,158.89,2018-10-27T23:59:57.2240000Z,2018-10-27T00:00:50.5790000Z,2018-10-28T00:00:00.0000000Z,2018-10-27T00:00:00.0000000Z,1385,1202.63083951
14,159.95,161.28,159.33,161.19,2018-10-28T23:48:54.8600000Z,2018-10-28T00:00:17.2780000Z,2018-10-29T00:00:00.0000000Z,2018-10-28T00:00:00.0000000Z,924,1405.24218152
15,154.71,161.73,152.3,159.95,2018-10-29T23:58:30.5790000Z,2018-10-29T00:00:05.3330000Z,2018-10-30T00:00:00.0000000Z,2018-10-29T00:00:00.0000000Z,1927,3316.4063091
16,156.43,157.81,154.0,154.71,2018-10-30T23:58:32.3580000Z,2018-10-30T00:00:01.4930000Z,2018-10-31T00:00:00.0000000Z,2018-10-30T00:00:00.0000000Z,2065,2414.3453014
17,157.42,158.37,152.03,157.19,2018-10-31T23:57:34.2230000Z,2018-10-31T00:01:51.6360000Z,2018-11-01T00:00:00.0000000Z,2018-10-31T00:00:00.0000000Z,1770,2636.0115135
18,154.4,158.99,153.06,157.42,2018-11-01T23:59:54.6390000Z,2018-11-01T00:00:15.2150000Z,2018-11-02T00:00:00.0000000Z,2018-11-01T00:00:00.0000000Z,2455,4967.55048413
19,157.91,159.0,153.0,154.4,2018-11-02T23:59:58.9970000Z,2018-11-02T00:02:13.3350000Z,2018-11-03T00:00:00.0000000Z,2018-11-02T00:00:00.0000000Z,2145,3623.60921782
20,157.04,158.78,155.78,157.91,2018-11-03T23:55:19.2270000Z,2018-11-03T00:02:41.5280000Z,2018-11-04T00:00:00.0000000Z,2018-11-03T00:00:00.0000000Z,1818,1708.72792179
21,165.29,170.0,156.68,157.04,2018-11-04T23:55:41.5640000Z,2018-11-04T00:02:32.7250000Z,2018-11-05T00:00:00.0000000Z,2018-11-04T00:00:00.0000000Z,3656,2955.68797689
22,162.37,165.0,160.14,164.94,2018-11-05T23:59:39.7150000Z,2018-11-05T00:01:38.1910000Z,2018-11-06T00:00:00.0000000Z,2018-11-05T00:00:00.0000000Z,2035,2994.82363158
23,167.99,168.0,160.28,162.03,2018-11-06T23:58:44.2810000Z,2018-11-06T00:01:13.3340000Z,2018-11-07T00:00:00.0000000Z,2018-11-06T00:00:00.0000000Z,2475,3745.58290647
24,167.57,170.99,164.58,168.0,2018-11-07T23:58:15.6230000Z,2018-11-07T00:01:56.8320000Z,2018-11-08T00:00:00.0000000Z,2018-11-07T00:00:00.0000000Z,2322,4440.28428362
25,162.65,169.3,161.05,167.2,2018-11-08T23:58:43.0730000Z,2018-11-08T00:00:35.2190000Z,2018-11-09T00:00:00.0000000Z,2018-11-08T00:00:00.0000000Z,2382,4624.29410908
26,161.3,164.09,159.34,162.89,2018-11-09T23:58:47.4350000Z,2018-11-09T00:00:37.7360000Z,2018-11-10T00:00:00.0000000Z,2018-11-09T00:00:00.0000000Z,2396,4155.64949177
27,164.26,166.45,160.21,161.3,2018-11-10T23:59:29.6890000Z,2018-11-10T00:01:30.5600000Z,2018-11-11T00:00:00.0000000Z,2018-11-10T00:00:00.0000000Z,1540,1903.42536779
28,163.88,165.5,161.37,164.39,2018-11-11T23:59:41.7780000Z,2018-11-11T00:01:11.4480000Z,2018-11-12T00:00:00.0000000Z,2018-11-11T00:00:00.0000000Z,1377,1729.96560985
29,163.68,166.0,162.95,163.88,2018-11-12T23:59:58.1660000Z,2018-11-12T00:00:08.4910000Z,2018-11-13T00:00:00.0000000Z,2018-11-12T00:00:00.0000000Z,2031,3340.75786704
30,157.15,165.35,156.88,163.71,2018-11-13T23:59:55.9120000Z,2018-11-13T00:01:30.2140000Z,2018-11-14T00:00:00.0000000Z,2018-11-13T00:00:00.0000000Z,2225,4552.52630145
31,140.49,158.87,130.22,157.15,2018-11-14T23:59:11.9790000Z,2018-11-14T00:00:21.0220000Z,2018-11-15T00:00:00.0000000Z,2018-11-14T00:00:00.0000000Z,11494,15849.43415477
32,142.45,149.95,130.0,140.49,2018-11-15T23:59:05.8660000Z,2018-11-15T00:00:34.6740000Z,2018-11-16T00:00:00.0000000Z,2018-11-15T00:00:00.0000000Z,7658,14084.29419242
33,136.9,146.8,134.12,142.44,2018-11-16T23:59:05.5080000Z,2018-11-16T00:00:07.5810000Z,2018-11-17T00:00:00.0000000Z,2018-11-16T00:00:00.0000000Z,2835,5555.89178273
34,139.8,140.49,135.77,137.23,2018-11-17T23:58:12.7600000Z,2018-11-17T00:01:35.6830000Z,2018-11-18T00:00:00.0000000Z,2018-11-17T00:00:00.0000000Z,1835,2884.36313639
35,139.31,142.01,137.14,139.85,2018-11-18T23:59:49.4820000Z,2018-11-18T00:01:23.5110000Z,2018-11-19T00:00:00.0000000Z,2018-11-18T00:00:00.0000000Z,2377,3826.06132697
36,114.52,139.38,111.2,139.31,2018-11-19T23:59:58.8170000Z,2018-11-19T00:00:11.5920000Z,2018-11-20T00:00:00.0000000Z,2018-11-19T00:00:00.0000000Z,6764,18293.38889639
37,103.22,118.76,94.4,115.14,2018-11-20T23:59:15.7630000Z,2018-11-20T00:00:02.9320000Z,2018-11-21T00:00:00.0000000Z,2018-11-20T00:00:00.0000000Z,8210,22868.50287206
38,107.11,109.99,98.51,102.58,2018-11-21T23:59:12.3950000Z,2018-11-21T00:00:58.6450000Z,2018-11-22T00:00:00.0000000Z,2018-11-21T00:00:00.0000000Z,3531,9939.2576871
39,96.5,107.81,96.5,107.11,2018-11-22T23:59:54.0780000Z,2018-11-22T00:00:26.6360000Z,2018-11-23T00:00:00.0000000Z,2018-11-22T00:00:00.0000000Z,3110,7718.92900116
40,97.15,99.59,91.56,96.5,2018-11-23T23:59:50.9390000Z,2018-11-23T00:00:08.0400000Z,2018-11-24T00:00:00.0000000Z,2018-11-23T00:00:00.0000000Z,3561,9080.18546254
41,95.03,101.99,87.0,97.18,2018-11-24T23:59:55.9850000Z,2018-11-24T00:06:04.8380000Z,2018-11-25T00:00:00.0000000Z,2018-11-24T00:00:00.0000000Z,4599,9108.48981166
42,91.7,95.11,78.23,94.31,2018-11-25T23:59:51.6420000Z,2018-11-25T00:01:22.1110000Z,2018-11-26T00:00:00.0000000Z,2018-11-25T00:00:00.0000000Z,6015,15208.1426292
43,84.81,94.19,81.48,91.7,2018-11-26T23:59:48.6190000Z,2018-11-26T00:01:38.4660000Z,2018-11-27T00:00:00.0000000Z,2018-11-26T00:00:00.0000000Z,4254,11498.56461881
44,86.02,87.9,79.24,84.24,2018-11-27T23:59:12.3340000Z,2018-11-27T00:00:35.1420000Z,2018-11-28T00:00:00.0000000Z,2018-11-27T00:00:00.0000000Z,3974,7243.33879894
45,96.6,99.1,86.13,86.13,2018-11-28T23:59:59.5660000Z,2018-11-28T00:01:23.0560000Z,2018-11-29T00:00:00.0000000Z,2018-11-28T00:00:00.0000000Z,5901,12770.48439738
46,92.34,97.65,89.26,96.6,2018-11-29T23:57:06.2710000Z,2018-11-29T00:00:24.7380000Z,2018-11-30T00:00:00.0000000Z,2018-11-29T00:00:00.0000000Z,3244,7255.77396835
47,88.94,94.21,86.96,92.34,2018-11-30T23:59:24.0800000Z,2018-11-30T00:00:05.1700000Z,2018-12-01T00:00:00.0000000Z,2018-11-30T00:00:00.0000000Z,3165,5584.29510497
48,93.99,95.49,86.38,88.94,2018-12-01T23:59:06.3170000Z,2018-12-01T00:00:31.1740000Z,2018-12-02T00:00:00.0000000Z,2018-12-01T00:00:00.0000000Z,2587,5246.72783525
49,91.07,94.88,90.61,93.97,2018-12-02T23:56:34.5140000Z,2018-12-02T00:00:24.2580000Z,2018-12-03T00:00:00.0000000Z,2018-12-02T00:00:00.0000000Z,1553,3324.69997682
50,85.52,91.46,83.37,91.15,2018-12-03T23:59:59.2080000Z,2018-12-03T00:02:34.1130000Z,2018-12-04T00:00:00.0000000Z,2018-12-03T00:00:00.0000000Z,2253,9402.73309887
51,86.57,88.71,83.34,85.5,2018-12-04T23:58:45.2640000Z,2018-12-04T00:00:21.2650000Z,2018-12-05T00:00:00.0000000Z,2018-12-04T00:00:00.0000000Z,2019,3853.30103625
52,80.13,86.95,79.62,86.57,2018-12-05T23:59:52.9690000Z,2018-12-05T00:01:10.2360000Z,2018-12-06T00:00:00.0000000Z,2018-12-05T00:00:00.0000000Z,2788,7719.36998528
