,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,130.53,138.9,128.5,138.83,2018-12-31T23:59:50.9050000Z,2018-12-31T00:00:06.6410000Z,2019-01-01T00:00:00.0000000Z,2018-12-31T00:00:00.0000000Z,29141,171854.22799515
1,139.75,140.9,129.55,130.66,2019-01-01T23:59:49.6800000Z,2019-01-01T00:00:00.3750000Z,2019-01-02T00:00:00.0000000Z,2019-01-01T00:00:00.0000000Z,28139,157617.69106822
2,153.5,156.69,138.75,139.76,2019-01-02T23:59:52.5300000Z,2019-01-02T00:00:01.9650000Z,2019-01-03T00:00:00.0000000Z,2019-01-02T00:00:00.0000000Z,41663,238322.5268186
3,147.23,154.44,144.49,153.5,2019-01-03T23:59:55.8000000Z,2019-01-03T00:00:03.2290000Z,2019-01-04T00:00:00.0000000Z,2019-01-03T00:00:00.0000000Z,36448,195293.3873249
4,153.24,155.51,145.14,147.23,2019-01-04T23:59:54.9350000Z,2019-01-04T00:00:00.4730000Z,2019-01-05T00:00:00.0000000Z,2019-01-04T00:00:00.0000000Z,40779,220501.76932096
5,154.21,160.62,152.5,153.24,2019-01-05T23:59:41.8940000Z,2019-01-05T00:00:11.5330000Z,2019-01-06T00:00:00.0000000Z,2019-01-05T00:00:00.0000000Z,43664,213469.41004395
6,155.92,159.58,148.5,154.21,2019-01-06T23:59:56.5060000Z,2019-01-06T00:00:00.5000000Z,2019-01-07T00:00:00.0000000Z,2019-01-06T00:00:00.0000000Z,33676,173381.49226753
7,150.62,157.15,148.59,155.91,2019-01-07T23:59:59.8790000Z,2019-01-07T00:00:00.3090000Z,2019-01-08T00:00:00.0000000Z,2019-01-07T00:00:00.0000000Z,28867,144349.70307535
8,148.97,152.9,146.71,150.57,2019-01-08T23:59:57.6870000Z,2019-01-08T00:00:00.4250000Z,2019-01-09T00:00:00.0000000Z,2019-01-08T00:00:00.0000000Z,31323,123032.01206814
9,149.5,152.88,148.36,149.1,2019-01-09T23:59:56.5830000Z,2019-01-09T00:00:00.1910000Z,2019-01-10T00:00:00.0000000Z,2019-01-09T00:00:00.0000000Z,26125,94009.61771075
