,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,14.9884,15.3194,14.9884,15.3194,2018-06-16T03:24:59.0000000Z,2018-06-16T03:23:51.0000000Z,2018-06-16T04:00:00.0000000Z,2018-06-16T03:00:00.0000000Z,5,30.806820000000002
1,15.3456,15.3456,15.3456,15.3456,2018-06-16T04:10:00.0000000Z,2018-06-16T04:10:00.0000000Z,2018-06-16T05:00:00.0000000Z,2018-06-16T04:00:00.0000000Z,1,0.065
2,15.35,15.35,15.2141,15.3456,2018-06-16T05:56:14.0000000Z,2018-06-16T05:30:07.0000000Z,2018-06-16T06:00:00.0000000Z,2018-06-16T05:00:00.0000000Z,13,60.39136812
3,15.35,15.35,15.35,15.35,2018-06-16T06:00:05.0000000Z,2018-06-16T06:00:05.0000000Z,2018-06-16T07:00:00.0000000Z,2018-06-16T06:00:00.0000000Z,1,2.9
4,15.4886,15.4886,15.35,15.35,2018-06-16T07:46:38.0000000Z,2018-06-16T07:01:31.0000000Z,2018-06-16T08:00:00.0000000Z,2018-06-16T07:00:00.0000000Z,9,69.64163188
5,15.2805,15.2805,15.2805,15.2805,2018-06-16T08:30:40.0000000Z,2018-06-16T08:30:40.0000000Z,2018-06-16T09:00:00.0000000Z,2018-06-16T08:00:00.0000000Z,1,0.064
6,15.4573,15.4573,15.4573,15.4573,2018-06-16T09:29:14.0000000Z,2018-06-16T09:29:14.0000000Z,2018-06-16T10:00:00.0000000Z,2018-06-16T09:00:00.0000000Z,1,1.0
7,15.8862,15.8862,15.8862,15.8862,2018-06-16T11:45:17.0000000Z,2018-06-16T11:45:17.0000000Z,2018-06-16T12:00:00.0000000Z,2018-06-16T11:00:00.0000000Z,1,1.0
8,15.6533,15.7804,15.5309,15.7622,2018-06-16T12:58:34.0000000Z,2018-06-16T12:29:18.0000000Z,2018-06-16T13:00:00.0000000Z,2018-06-16T12:00:00.0000000Z,16,170.93605728
9,15.5338,16.4354,15.4154,15.6533,2018-06-16T13:46:42.0000000Z,2018-06-16T13:01:31.0000000Z,2018-06-16T14:00:00.0000000Z,2018-06-16T13:00:00.0000000Z,24,301.49558805
10,15.4045,15.6419,15.4045,15.6419,2018-06-16T14:52:34.0000000Z,2018-06-16T14:27:20.0000000Z,2018-06-16T15:00:00.0000000Z,2018-06-16T14:00:00.0000000Z,3,2.9081
11,15.4046,15.4823,15.4046,15.4823,2018-06-16T15:45:29.0000000Z,2018-06-16T15:43:16.0000000Z,2018-06-16T16:00:00.0000000Z,2018-06-16T15:00:00.0000000Z,3,23.950988565
12,15.4078,15.8287,15.4046,15.4046,2018-06-16T16:53:32.0000000Z,2018-06-16T16:06:52.0000000Z,2018-06-16T17:00:00.0000000Z,2018-06-16T16:00:00.0000000Z,10,124.31954037
13,15.8,15.8,15.8,15.8,2018-06-17T00:45:47.0000000Z,2018-06-17T00:45:40.0000000Z,2018-06-17T01:00:00.0000000Z,2018-06-17T00:00:00.0000000Z,6,70.62958465
14,16.1641,16.1641,16.1641,16.1641,2018-06-17T03:12:49.0000000Z,2018-06-17T03:12:49.0000000Z,2018-06-17T04:00:00.0000000Z,2018-06-17T03:00:00.0000000Z,1,0.094855435
15,16.1157,16.214,16.1157,16.214,2018-06-17T04:30:31.0000000Z,2018-06-17T04:18:32.0000000Z,2018-06-17T05:00:00.0000000Z,2018-06-17T04:00:00.0000000Z,2,1.9224
16,16.02,16.27,16.02,16.2687,2018-06-17T05:40:03.0000000Z,2018-06-17T05:37:07.0000000Z,2018-06-17T06:00:00.0000000Z,2018-06-17T05:00:00.0000000Z,5,110.7316
17,16.2752,16.2752,16.2557,16.2557,2018-06-17T06:36:03.0000000Z,2018-06-17T06:35:27.0000000Z,2018-06-17T07:00:00.0000000Z,2018-06-17T06:00:00.0000000Z,3,8.772
18,16.2851,16.2851,16.2851,16.2851,2018-06-17T07:05:33.0000000Z,2018-06-17T07:05:33.0000000Z,2018-06-17T08:00:00.0000000Z,2018-06-17T07:00:00.0000000Z,2,0.762
19,16.369,16.369,16.369,16.369,2018-06-17T08:55:57.0000000Z,2018-06-17T08:34:00.0000000Z,2018-06-17T09:00:00.0000000Z,2018-06-17T08:00:00.0000000Z,3,24.86944442
20,16.386,16.386,16.386,16.386,2018-06-17T09:12:28.0000000Z,2018-06-17T09:06:39.0000000Z,2018-06-17T10:00:00.0000000Z,2018-06-17T09:00:00.0000000Z,3,18.0
