,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,44.19,44.19,44.19,44.19,2018-06-01T00:27:29.0000000Z,2018-06-01T00:27:29.0000000Z,2018-06-01T01:00:00.0000000Z,2018-06-01T00:00:00.0000000Z,1,0.34523661
1,44.82,44.82,44.24,44.24,2018-06-01T02:31:19.0000000Z,2018-06-01T02:04:41.0000000Z,2018-06-01T03:00:00.0000000Z,2018-06-01T02:00:00.0000000Z,3,0.705959195
2,44.15,44.15,44.15,44.15,2018-06-01T03:48:57.0000000Z,2018-06-01T03:48:57.0000000Z,2018-06-01T04:00:00.0000000Z,2018-06-01T03:00:00.0000000Z,1,0.97726396
3,43.82,43.82,43.82,43.82,2018-06-01T04:08:00.0000000Z,2018-06-01T04:08:00.0000000Z,2018-06-01T05:00:00.0000000Z,2018-06-01T04:00:00.0000000Z,1,0.0261
4,43.81,43.81,43.81,43.81,2018-06-01T06:14:07.0000000Z,2018-06-01T06:14:07.0000000Z,2018-06-01T07:00:00.0000000Z,2018-06-01T06:00:00.0000000Z,1,0.15080000000000002
5,43.51,43.81,43.4,43.79,2018-06-01T07:57:57.0000000Z,2018-06-01T07:21:59.0000000Z,2018-06-01T08:00:00.0000000Z,2018-06-01T07:00:00.0000000Z,11,20.8401417
6,43.86,43.86,43.86,43.86,2018-06-01T08:44:27.0000000Z,2018-06-01T08:44:27.0000000Z,2018-06-01T09:00:00.0000000Z,2018-06-01T08:00:00.0000000Z,1,1.25041591
7,44.2,44.22,44.15,44.22,2018-06-01T09:34:22.0000000Z,2018-06-01T09:14:25.0000000Z,2018-06-01T10:00:00.0000000Z,2018-06-01T09:00:00.0000000Z,5,11.673135125
8,43.97,44.21,43.97,44.0,2018-06-01T10:40:57.0000000Z,2018-06-01T10:01:54.0000000Z,2018-06-01T11:00:00.0000000Z,2018-06-01T10:00:00.0000000Z,5,3.622479895
9,43.03,44.0,43.0,44.0,2018-06-01T11:59:43.0000000Z,2018-06-01T11:21:44.0000000Z,2018-06-01T12:00:00.0000000Z,2018-06-01T11:00:00.0000000Z,8,43.30299155
10,43.1,43.24,43.0,43.24,2018-06-01T12:36:19.0000000Z,2018-06-01T12:33:20.0000000Z,2018-06-01T13:00:00.0000000Z,2018-06-01T12:00:00.0000000Z,4,7.0996
11,43.1,43.1,43.1,43.1,2018-06-01T13:14:56.0000000Z,2018-06-01T13:09:05.0000000Z,2018-06-01T14:00:00.0000000Z,2018-06-01T13:00:00.0000000Z,2,0.5229
