,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,23.45,23.45,22.72,22.73,2018-06-01T00:59:28.0000000Z,2018-06-01T00:22:28.0000000Z,2018-06-01T01:00:00.0000000Z,2018-06-01T00:00:00.0000000Z,9,22.038334605
1,23.45,23.45,23.45,23.45,2018-06-01T01:02:13.0000000Z,2018-06-01T01:01:35.0000000Z,2018-06-01T02:00:00.0000000Z,2018-06-01T01:00:00.0000000Z,2,0.64844106
2,23.51,23.51,23.02,23.02,2018-06-01T02:36:59.0000000Z,2018-06-01T02:18:29.0000000Z,2018-06-01T03:00:00.0000000Z,2018-06-01T02:00:00.0000000Z,11,52.906902975
3,23.02,23.04,23.02,23.03,2018-06-01T04:45:03.0000000Z,2018-06-01T04:15:47.0000000Z,2018-06-01T05:00:00.0000000Z,2018-06-01T04:00:00.0000000Z,4,40.45320072
4,21.79,22.7,21.79,22.7,2018-06-01T06:16:43.0000000Z,2018-06-01T06:15:38.0000000Z,2018-06-01T07:00:00.0000000Z,2018-06-01T06:00:00.0000000Z,6,25.678615
5,22.97,22.97,22.97,22.97,2018-06-01T07:29:37.0000000Z,2018-06-01T07:29:37.0000000Z,2018-06-01T08:00:00.0000000Z,2018-06-01T07:00:00.0000000Z,1,2.543
6,23.46,23.51,22.98,22.98,2018-06-01T08:48:05.0000000Z,2018-06-01T08:45:44.0000000Z,2018-06-01T09:00:00.0000000Z,2018-06-01T08:00:00.0000000Z,6,60.376
7,22.81,22.81,22.81,22.81,2018-06-01T10:51:50.0000000Z,2018-06-01T10:51:50.0000000Z,2018-06-01T11:00:00.0000000Z,2018-06-01T10:00:00.0000000Z,1,3.668
8,22.56,23.0,22.56,23.0,2018-06-01T11:59:13.0000000Z,2018-06-01T11:23:29.0000000Z,2018-06-01T12:00:00.0000000Z,2018-06-01T11:00:00.0000000Z,4,1.9999367
9,21.82,22.93,21.82,22.9,2018-06-01T12:41:45.0000000Z,2018-06-01T12:36:13.0000000Z,2018-06-01T13:00:00.0000000Z,2018-06-01T12:00:00.0000000Z,4,3.860776555
10,21.64,22.16,21.64,22.16,2018-06-01T14:59:32.0000000Z,2018-06-01T14:59:24.0000000Z,2018-06-01T15:00:00.0000000Z,2018-06-01T14:00:00.0000000Z,10,60.075
11,21.65,21.73,21.65,21.73,2018-06-01T15:30:04.0000000Z,2018-06-01T15:18:40.0000000Z,2018-06-01T16:00:00.0000000Z,2018-06-01T15:00:00.0000000Z,3,4.102655895
12,21.63,21.67,21.63,21.67,2018-06-01T16:03:49.0000000Z,2018-06-01T16:03:49.0000000Z,2018-06-01T17:00:00.0000000Z,2018-06-01T16:00:00.0000000Z,4,7.47
13,21.65,21.65,21.65,21.65,2018-06-01T17:19:12.0000000Z,2018-06-01T17:19:12.0000000Z,2018-06-01T18:00:00.0000000Z,2018-06-01T17:00:00.0000000Z,1,47.75
14,22.5,22.55,22.5,22.55,2018-06-01T20:14:28.0000000Z,2018-06-01T20:12:29.0000000Z,2018-06-01T21:00:00.0000000Z,2018-06-01T20:00:00.0000000Z,2,2.997
15,22.37,22.37,22.37,22.37,2018-06-01T22:43:31.0000000Z,2018-06-01T22:39:59.0000000Z,2018-06-01T23:00:00.0000000Z,2018-06-01T22:00:00.0000000Z,3,3.52051
16,21.81,22.1,21.81,22.09,2018-06-01T23:51:32.0000000Z,2018-06-01T23:49:56.0000000Z,2018-06-02T00:00:00.0000000Z,2018-06-01T23:00:00.0000000Z,6,9.638
17,22.9,22.9,22.33,22.33,2018-06-02T00:51:06.0000000Z,2018-06-02T00:35:23.0000000Z,2018-06-02T01:00:00.0000000Z,2018-06-02T00:00:00.0000000Z,4,7.0587
18,21.83,21.83,21.83,21.83,2018-06-02T01:51:55.0000000Z,2018-06-02T01:51:55.0000000Z,2018-06-02T02:00:00.0000000Z,2018-06-02T01:00:00.0000000Z,1,0.13920000000000002
19,21.91,21.91,21.85,21.85,2018-06-02T02:52:15.0000000Z,2018-06-02T02:44:48.0000000Z,2018-06-02T03:00:00.0000000Z,2018-06-02T02:00:00.0000000Z,2,27.6153
20,22.39,22.39,21.91,21.91,2018-06-02T03:48:51.0000000Z,2018-06-02T03:31:19.0000000Z,2018-06-02T04:00:00.0000000Z,2018-06-02T03:00:00.0000000Z,2,37.751999
21,22.24,22.24,22.24,22.24,2018-06-02T04:35:22.0000000Z,2018-06-02T04:21:12.0000000Z,2018-06-02T05:00:00.0000000Z,2018-06-02T04:00:00.0000000Z,2,3.7565
22,21.96,21.96,21.96,21.96,2018-06-02T05:37:56.0000000Z,2018-06-02T05:37:56.0000000Z,2018-06-02T06:00:00.0000000Z,2018-06-02T05:00:00.0000000Z,1,1.8287
23,23.34,23.34,22.49,22.49,2018-06-02T07:31:25.0000000Z,2018-06-02T07:16:02.0000000Z,2018-06-02T08:00:00.0000000Z,2018-06-02T07:00:00.0000000Z,13,78.521612285
24,23.61,24.18,23.3,23.3,2018-06-02T08:38:09.0000000Z,2018-06-02T08:12:23.0000000Z,2018-06-02T09:00:00.0000000Z,2018-06-02T08:00:00.0000000Z,10,12.45090894
25,23.64,23.64,23.23,23.24,2018-06-02T09:28:18.0000000Z,2018-06-02T09:18:48.0000000Z,2018-06-02T10:00:00.0000000Z,2018-06-02T09:00:00.0000000Z,4,8.85271618
26,23.8,23.96,23.58,23.58,2018-06-02T10:38:31.0000000Z,2018-06-02T10:22:57.0000000Z,2018-06-02T11:00:00.0000000Z,2018-06-02T10:00:00.0000000Z,12,27.73497
27,23.66,23.66,23.24,23.33,2018-06-02T11:42:21.0000000Z,2018-06-02T11:06:00.0000000Z,2018-06-02T12:00:00.0000000Z,2018-06-02T11:00:00.0000000Z,5,16.5162
28,23.34,23.37,23.34,23.37,2018-06-02T12:39:08.0000000Z,2018-06-02T12:14:55.0000000Z,2018-06-02T13:00:00.0000000Z,2018-06-02T12:00:00.0000000Z,2,5.09415954
29,23.23,23.23,23.23,23.23,2018-06-02T13:43:15.0000000Z,2018-06-02T13:43:15.0000000Z,2018-06-02T14:00:00.0000000Z,2018-06-02T13:00:00.0000000Z,1,1.62687434
30,23.18,23.18,23.18,23.18,2018-06-02T14:52:04.0000000Z,2018-06-02T14:51:46.0000000Z,2018-06-02T15:00:00.0000000Z,2018-06-02T14:00:00.0000000Z,4,27.68317523
31,23.06,23.07,23.06,23.06,2018-06-02T15:33:29.0000000Z,2018-06-02T15:32:26.0000000Z,2018-06-02T16:00:00.0000000Z,2018-06-02T15:00:00.0000000Z,3,15.6
32,22.62,22.62,22.62,22.62,2018-06-02T17:59:35.0000000Z,2018-06-02T17:59:35.0000000Z,2018-06-02T18:00:00.0000000Z,2018-06-02T17:00:00.0000000Z,1,9.94105766
33,22.42,22.6,22.42,22.6,2018-06-02T18:56:20.0000000Z,2018-06-02T18:01:52.0000000Z,2018-06-02T19:00:00.0000000Z,2018-06-02T18:00:00.0000000Z,3,5.9269
