,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,6.6746,7.28,6.6746,6.8682,2018-06-01T04:43:44.0000000Z,2018-06-01T04:41:51.0000000Z,2018-06-01T05:00:00.0000000Z,2018-06-01T04:00:00.0000000Z,11,87.352161175
1,6.6462,6.6462,6.6462,6.6462,2018-06-01T05:54:18.0000000Z,2018-06-01T05:54:18.0000000Z,2018-06-01T06:00:00.0000000Z,2018-06-01T05:00:00.0000000Z,1,10.91
2,6.6462,6.6462,6.6462,6.6462,2018-06-01T06:17:26.0000000Z,2018-06-01T06:05:45.0000000Z,2018-06-01T07:00:00.0000000Z,2018-06-01T06:00:00.0000000Z,2,12.376
3,6.5308,6.6442,6.5308,6.644,2018-06-01T07:53:43.0000000Z,2018-06-01T07:37:19.0000000Z,2018-06-01T08:00:00.0000000Z,2018-06-01T07:00:00.0000000Z,10,162.8286
4,6.54,6.6625,6.5344999999999995,6.5344999999999995,2018-06-01T09:49:28.0000000Z,2018-06-01T09:25:21.0000000Z,2018-06-01T10:00:00.0000000Z,2018-06-01T09:00:00.0000000Z,9,258.22188724
5,6.6823,6.6823,6.6687,6.6687,2018-06-01T10:10:41.0000000Z,2018-06-01T10:10:38.0000000Z,2018-06-01T11:00:00.0000000Z,2018-06-01T10:00:00.0000000Z,5,143.02887944
6,6.575,6.575,6.575,6.575,2018-06-01T11:53:09.0000000Z,2018-06-01T11:53:02.0000000Z,2018-06-01T12:00:00.0000000Z,2018-06-01T11:00:00.0000000Z,4,50.6432011
7,6.5253,6.5253,6.5253,6.5253,2018-06-01T12:42:57.0000000Z,2018-06-01T12:42:57.0000000Z,2018-06-01T13:00:00.0000000Z,2018-06-01T12:00:00.0000000Z,1,38.6258
8,6.708,6.708,6.6869,6.6869,2018-06-01T14:17:01.0000000Z,2018-06-01T14:00:58.0000000Z,2018-06-01T15:00:00.0000000Z,2018-06-01T14:00:00.0000000Z,3,21.894
9,6.7454,6.7454,6.7454,6.7454,2018-06-01T15:44:11.0000000Z,2018-06-01T15:44:11.0000000Z,2018-06-01T16:00:00.0000000Z,2018-06-01T15:00:00.0000000Z,1,15.649000000000001
10,6.5673,6.5673,6.5632,6.5632,2018-06-01T19:59:23.0000000Z,2018-06-01T19:56:09.0000000Z,2018-06-01T20:00:00.0000000Z,2018-06-01T19:00:00.0000000Z,2,18.95203
11,6.552,6.552,6.552,6.552,2018-06-01T20:04:40.0000000Z,2018-06-01T20:01:06.0000000Z,2018-06-01T21:00:00.0000000Z,2018-06-01T20:00:00.0000000Z,3,52.767
12,6.566,6.566,6.5626999999999995,6.5626999999999995,2018-06-01T21:17:24.0000000Z,2018-06-01T21:16:56.0000000Z,2018-06-01T22:00:00.0000000Z,2018-06-01T21:00:00.0000000Z,2,1.201101315
13,6.599,6.599,6.599,6.599,2018-06-02T02:55:11.0000000Z,2018-06-02T02:55:07.0000000Z,2018-06-02T03:00:00.0000000Z,2018-06-02T02:00:00.0000000Z,4,80.0
14,6.6,6.6,6.6,6.6,2018-06-02T04:01:25.0000000Z,2018-06-02T04:01:25.0000000Z,2018-06-02T05:00:00.0000000Z,2018-06-02T04:00:00.0000000Z,1,12.496
15,6.7454,6.7454,6.6951,6.702,2018-06-02T05:59:47.0000000Z,2018-06-02T05:54:49.0000000Z,2018-06-02T06:00:00.0000000Z,2018-06-02T05:00:00.0000000Z,8,99.476
16,6.7454,6.7454,6.7386,6.7386,2018-06-02T07:25:31.0000000Z,2018-06-02T07:12:02.0000000Z,2018-06-02T08:00:00.0000000Z,2018-06-02T07:00:00.0000000Z,2,0.20174125
17,6.7756,6.7756,6.7756,6.7756,2018-06-02T08:17:16.0000000Z,2018-06-02T08:17:16.0000000Z,2018-06-02T09:00:00.0000000Z,2018-06-02T08:00:00.0000000Z,1,0.171
18,6.7448,6.7448,6.7448,6.7448,2018-06-02T10:10:26.0000000Z,2018-06-02T10:10:26.0000000Z,2018-06-02T11:00:00.0000000Z,2018-06-02T10:00:00.0000000Z,2,10.88
19,6.956,6.956,6.9552,6.9552,2018-06-02T15:25:14.0000000Z,2018-06-02T15:24:45.0000000Z,2018-06-02T16:00:00.0000000Z,2018-06-02T15:00:00.0000000Z,3,121.11078359
20,6.95,6.95,6.95,6.95,2018-06-02T18:39:11.0000000Z,2018-06-02T18:39:11.0000000Z,2018-06-02T19:00:00.0000000Z,2018-06-02T18:00:00.0000000Z,1,2.8528000000000002
21,7.0797,7.0797,6.9102,6.9103,2018-06-02T22:32:10.0000000Z,2018-06-02T22:28:31.0000000Z,2018-06-02T23:00:00.0000000Z,2018-06-02T22:00:00.0000000Z,7,41.366
22,6.9433,6.9433,6.9385,6.9385,2018-06-03T01:47:28.0000000Z,2018-06-03T01:42:36.0000000Z,2018-06-03T02:00:00.0000000Z,2018-06-03T01:00:00.0000000Z,2,25.820070049999998
23,6.9,6.9,6.9,6.9,2018-06-03T02:47:37.0000000Z,2018-06-03T02:47:37.0000000Z,2018-06-03T03:00:00.0000000Z,2018-06-03T02:00:00.0000000Z,1,9.98
24,6.8045,6.9,6.646,6.9,2018-06-03T03:46:21.0000000Z,2018-06-03T03:32:38.0000000Z,2018-06-03T04:00:00.0000000Z,2018-06-03T03:00:00.0000000Z,7,107.115696
25,6.9313,6.9313,6.9313,6.9313,2018-06-03T04:37:59.0000000Z,2018-06-03T04:37:59.0000000Z,2018-06-03T05:00:00.0000000Z,2018-06-03T04:00:00.0000000Z,1,14.1992
26,7.0,7.0309,6.9999,7.0239,2018-06-03T08:49:57.0000000Z,2018-06-03T08:40:40.0000000Z,2018-06-03T09:00:00.0000000Z,2018-06-03T08:00:00.0000000Z,8,69.080996595
27,6.9908,6.9908,6.9908,6.9908,2018-06-03T09:37:54.0000000Z,2018-06-03T09:37:54.0000000Z,2018-06-03T10:00:00.0000000Z,2018-06-03T09:00:00.0000000Z,1,0.316
28,7.1,7.1001,7.0999,7.0999,2018-06-03T10:36:12.0000000Z,2018-06-03T10:15:01.0000000Z,2018-06-03T11:00:00.0000000Z,2018-06-03T10:00:00.0000000Z,5,39.907
29,7.0224,7.0224,7.0224,7.0224,2018-06-03T12:03:50.0000000Z,2018-06-03T12:03:50.0000000Z,2018-06-03T13:00:00.0000000Z,2018-06-03T12:00:00.0000000Z,1,2.0
30,7.1089,7.1089,7.1089,7.1089,2018-06-03T13:56:30.0000000Z,2018-06-03T13:56:30.0000000Z,2018-06-03T14:00:00.0000000Z,2018-06-03T13:00:00.0000000Z,1,12.607
31,7.0042,7.0042,7.0042,7.0042,2018-06-03T14:21:19.0000000Z,2018-06-03T14:21:19.0000000Z,2018-06-03T15:00:00.0000000Z,2018-06-03T14:00:00.0000000Z,1,14.7413
32,7.0541,7.0612,7.0541,7.0612,2018-06-03T15:46:09.0000000Z,2018-06-03T15:43:22.0000000Z,2018-06-03T16:00:00.0000000Z,2018-06-03T15:00:00.0000000Z,3,23.963386805
33,7.3816,7.9891000000000005,7.2715,7.2715,2018-06-03T16:31:09.0000000Z,2018-06-03T16:13:39.0000000Z,2018-06-03T17:00:00.0000000Z,2018-06-03T16:00:00.0000000Z,26,577.65467837
34,7.3902,7.7426,7.2931,7.466,2018-06-03T17:55:47.0000000Z,2018-06-03T17:00:44.0000000Z,2018-06-03T18:00:00.0000000Z,2018-06-03T17:00:00.0000000Z,18,380.98781777
35,7.3157,7.382,7.3157,7.382,2018-06-03T18:16:14.0000000Z,2018-06-03T18:01:05.0000000Z,2018-06-03T19:00:00.0000000Z,2018-06-03T18:00:00.0000000Z,6,50.818356565
36,7.2087,7.288,7.2087,7.288,2018-06-03T19:14:49.0000000Z,2018-06-03T19:14:49.0000000Z,2018-06-03T20:00:00.0000000Z,2018-06-03T19:00:00.0000000Z,2,30.0
37,7.5148,7.5222999999999995,7.5147,7.5147,2018-06-03T22:21:41.0000000Z,2018-06-03T22:21:24.0000000Z,2018-06-03T23:00:00.0000000Z,2018-06-03T22:00:00.0000000Z,6,60.45777674
38,7.5247,7.5252,7.5247,7.5252,2018-06-03T23:06:24.0000000Z,2018-06-03T23:06:21.0000000Z,2018-06-04T00:00:00.0000000Z,2018-06-03T23:00:00.0000000Z,3,149.7
39,7.3919,7.4375,7.362,7.4375,2018-06-04T00:57:41.0000000Z,2018-06-04T00:13:34.0000000Z,2018-06-04T01:00:00.0000000Z,2018-06-04T00:00:00.0000000Z,15,330.99096789
40,7.358,7.5262,7.358,7.362,2018-06-04T01:55:41.0000000Z,2018-06-04T01:12:11.0000000Z,2018-06-04T02:00:00.0000000Z,2018-06-04T01:00:00.0000000Z,17,135.16203512
41,7.1625,7.1625,7.1625,7.1625,2018-06-04T02:09:16.0000000Z,2018-06-04T02:09:16.0000000Z,2018-06-04T03:00:00.0000000Z,2018-06-04T02:00:00.0000000Z,1,2.5060000000000002
42,7.1035,7.1035,7.1035,7.1035,2018-06-04T03:15:39.0000000Z,2018-06-04T03:15:39.0000000Z,2018-06-04T04:00:00.0000000Z,2018-06-04T03:00:00.0000000Z,1,2.076
43,7.1594,7.3,7.1594,7.3,2018-06-04T04:58:51.0000000Z,2018-06-04T04:14:35.0000000Z,2018-06-04T05:00:00.0000000Z,2018-06-04T04:00:00.0000000Z,5,124.656
44,7.2737,7.2737,7.2638,7.2638,2018-06-04T05:17:44.0000000Z,2018-06-04T05:14:46.0000000Z,2018-06-04T06:00:00.0000000Z,2018-06-04T05:00:00.0000000Z,3,10.2602
45,7.01,7.1016,7.01,7.0925,2018-06-04T06:36:14.0000000Z,2018-06-04T06:10:08.0000000Z,2018-06-04T07:00:00.0000000Z,2018-06-04T06:00:00.0000000Z,21,365.16835606
46,7.01,7.01,7.01,7.01,2018-06-04T07:04:37.0000000Z,2018-06-04T07:04:37.0000000Z,2018-06-04T08:00:00.0000000Z,2018-06-04T07:00:00.0000000Z,1,0.00887414
47,7.0,7.0,7.0,7.0,2018-06-04T08:13:46.0000000Z,2018-06-04T08:12:28.0000000Z,2018-06-04T09:00:00.0000000Z,2018-06-04T08:00:00.0000000Z,3,50.0
48,6.916,6.916,6.909,6.916,2018-06-04T09:31:34.0000000Z,2018-06-04T09:26:20.0000000Z,2018-06-04T10:00:00.0000000Z,2018-06-04T09:00:00.0000000Z,4,28.70385
49,6.8919,6.8919,6.8919,6.8919,2018-06-04T10:49:59.0000000Z,2018-06-04T10:49:59.0000000Z,2018-06-04T11:00:00.0000000Z,2018-06-04T10:00:00.0000000Z,1,71.0
50,6.95,6.95,6.89,6.89,2018-06-04T12:57:19.0000000Z,2018-06-04T12:25:30.0000000Z,2018-06-04T13:00:00.0000000Z,2018-06-04T12:00:00.0000000Z,16,239.40572283
51,6.7158,6.7158,6.7158,6.7158,2018-06-04T14:50:11.0000000Z,2018-06-04T14:50:11.0000000Z,2018-06-04T15:00:00.0000000Z,2018-06-04T14:00:00.0000000Z,1,27.029
52,6.8732,6.882,6.8732,6.882,2018-06-04T15:57:20.0000000Z,2018-06-04T15:12:52.0000000Z,2018-06-04T16:00:00.0000000Z,2018-06-04T15:00:00.0000000Z,2,40.0
53,6.7906,6.7906,6.7906,6.7906,2018-06-04T21:33:28.0000000Z,2018-06-04T21:33:28.0000000Z,2018-06-04T22:00:00.0000000Z,2018-06-04T21:00:00.0000000Z,1,9.439
54,6.8779,6.8779,6.8708,6.8708,2018-06-04T22:01:20.0000000Z,2018-06-04T22:01:20.0000000Z,2018-06-04T23:00:00.0000000Z,2018-06-04T22:00:00.0000000Z,3,4.37
55,6.8779,6.8779,6.85,6.85,2018-06-04T23:54:46.0000000Z,2018-06-04T23:42:34.0000000Z,2018-06-05T00:00:00.0000000Z,2018-06-04T23:00:00.0000000Z,9,242.38135412
56,6.8487,6.8491,6.8487,6.8487,2018-06-05T00:57:31.0000000Z,2018-06-05T00:47:39.0000000Z,2018-06-05T01:00:00.0000000Z,2018-06-05T00:00:00.0000000Z,10,390.244988675
57,6.8001000000000005,7.362,6.766,6.871,2018-06-05T01:42:50.0000000Z,2018-06-05T01:00:21.0000000Z,2018-06-05T02:00:00.0000000Z,2018-06-05T01:00:00.0000000Z,33,689.689816008
58,6.6502,6.6703,6.6502,6.6702,2018-06-05T02:24:12.0000000Z,2018-06-05T02:23:33.0000000Z,2018-06-05T03:00:00.0000000Z,2018-06-05T02:00:00.0000000Z,6,72.1
59,6.5344999999999995,6.5344999999999995,6.5344999999999995,6.5344999999999995,2018-06-05T03:50:04.0000000Z,2018-06-05T03:50:04.0000000Z,2018-06-05T04:00:00.0000000Z,2018-06-05T03:00:00.0000000Z,1,15.904928869999999
60,6.4734,6.4878,6.197,6.4102,2018-06-05T05:58:02.0000000Z,2018-06-05T05:43:13.0000000Z,2018-06-05T06:00:00.0000000Z,2018-06-05T05:00:00.0000000Z,17,218.39564081
61,6.5,6.5143,6.227,6.3981,2018-06-05T06:57:48.0000000Z,2018-06-05T06:03:18.0000000Z,2018-06-05T07:00:00.0000000Z,2018-06-05T06:00:00.0000000Z,13,209.92402778
62,6.5,6.5,6.5,6.5,2018-06-05T07:06:33.0000000Z,2018-06-05T07:06:33.0000000Z,2018-06-05T08:00:00.0000000Z,2018-06-05T07:00:00.0000000Z,2,8.54823427
63,6.8742,6.8742,6.5,6.5001,2018-06-05T08:38:21.0000000Z,2018-06-05T08:20:46.0000000Z,2018-06-05T09:00:00.0000000Z,2018-06-05T08:00:00.0000000Z,25,153.613
64,6.5337,6.5337,6.5337,6.5337,2018-06-05T10:15:51.0000000Z,2018-06-05T10:15:51.0000000Z,2018-06-05T11:00:00.0000000Z,2018-06-05T10:00:00.0000000Z,1,5.43
65,6.6021,6.6021,6.6021,6.6021,2018-06-05T12:28:34.0000000Z,2018-06-05T12:28:34.0000000Z,2018-06-05T13:00:00.0000000Z,2018-06-05T12:00:00.0000000Z,1,6.058
66,6.6,6.6,6.5481,6.5481,2018-06-05T13:16:50.0000000Z,2018-06-05T13:16:49.0000000Z,2018-06-05T14:00:00.0000000Z,2018-06-05T13:00:00.0000000Z,6,250.4136
67,6.5932,6.5932,6.5932,6.5932,2018-06-05T15:59:24.0000000Z,2018-06-05T15:59:24.0000000Z,2018-06-05T16:00:00.0000000Z,2018-06-05T15:00:00.0000000Z,1,7.19
68,7.1937,7.1937,6.5932,6.5932,2018-06-05T16:20:53.0000000Z,2018-06-05T16:00:02.0000000Z,2018-06-05T17:00:00.0000000Z,2018-06-05T16:00:00.0000000Z,10,297.74064
69,6.9201,6.9201,6.9104,6.9104,2018-06-05T18:17:21.0000000Z,2018-06-05T18:09:47.0000000Z,2018-06-05T19:00:00.0000000Z,2018-06-05T18:00:00.0000000Z,14,126.12679528
70,6.8801,6.8801,6.8801,6.8801,2018-06-05T21:13:03.0000000Z,2018-06-05T21:13:03.0000000Z,2018-06-05T22:00:00.0000000Z,2018-06-05T21:00:00.0000000Z,1,16.55
71,6.88,6.88,6.88,6.88,2018-06-06T03:09:52.0000000Z,2018-06-06T03:09:51.0000000Z,2018-06-06T04:00:00.0000000Z,2018-06-06T03:00:00.0000000Z,2,50.3939
72,6.8788,6.8788,6.8,6.8,2018-06-06T08:01:35.0000000Z,2018-06-06T08:01:11.0000000Z,2018-06-06T09:00:00.0000000Z,2018-06-06T08:00:00.0000000Z,9,246.2217
73,6.5372,6.6201,6.5372,6.6201,2018-06-06T18:56:08.0000000Z,2018-06-06T18:05:02.0000000Z,2018-06-06T19:00:00.0000000Z,2018-06-06T18:00:00.0000000Z,9,75.74669635
74,6.7362,6.74,6.7362,6.7399000000000004,2018-06-06T21:15:17.0000000Z,2018-06-06T21:11:16.0000000Z,2018-06-06T22:00:00.0000000Z,2018-06-06T21:00:00.0000000Z,3,16.47762556
75,6.75,6.75,6.7498000000000005,6.7498000000000005,2018-06-07T01:59:29.0000000Z,2018-06-07T01:13:17.0000000Z,2018-06-07T02:00:00.0000000Z,2018-06-07T01:00:00.0000000Z,6,179.02665744
76,6.88,6.88,6.873,6.8799,2018-06-07T02:53:26.0000000Z,2018-06-07T02:52:49.0000000Z,2018-06-07T03:00:00.0000000Z,2018-06-07T02:00:00.0000000Z,4,161.834
77,6.6119,6.7596,6.6119,6.7596,2018-06-07T04:37:16.0000000Z,2018-06-07T04:37:16.0000000Z,2018-06-07T05:00:00.0000000Z,2018-06-07T04:00:00.0000000Z,2,0.252
78,6.233,6.6747,6.233,6.6747,2018-06-07T05:43:36.0000000Z,2018-06-07T05:43:36.0000000Z,2018-06-07T06:00:00.0000000Z,2018-06-07T05:00:00.0000000Z,12,239.717
79,6.67,6.67,6.67,6.67,2018-06-07T06:44:38.0000000Z,2018-06-07T06:44:38.0000000Z,2018-06-07T07:00:00.0000000Z,2018-06-07T06:00:00.0000000Z,1,1.0
80,6.7401,6.7401,6.7391000000000005,6.7399000000000004,2018-06-07T07:59:56.0000000Z,2018-06-07T07:22:45.0000000Z,2018-06-07T08:00:00.0000000Z,2018-06-07T07:00:00.0000000Z,4,15.27471511
81,6.7391000000000005,6.7391000000000005,6.7391000000000005,6.7391000000000005,2018-06-07T08:00:47.0000000Z,2018-06-07T08:00:47.0000000Z,2018-06-07T09:00:00.0000000Z,2018-06-07T08:00:00.0000000Z,1,3.84676099
82,6.5440000000000005,6.7391000000000005,6.5440000000000005,6.7391000000000005,2018-06-07T09:12:11.0000000Z,2018-06-07T09:08:37.0000000Z,2018-06-07T10:00:00.0000000Z,2018-06-07T09:00:00.0000000Z,3,6.12
83,6.708,6.708,6.6411,6.677,2018-06-07T12:46:51.0000000Z,2018-06-07T12:22:56.0000000Z,2018-06-07T13:00:00.0000000Z,2018-06-07T12:00:00.0000000Z,5,83.02634327
84,6.6477,6.747,6.6477,6.6614,2018-06-07T13:42:19.0000000Z,2018-06-07T13:16:08.0000000Z,2018-06-07T14:00:00.0000000Z,2018-06-07T13:00:00.0000000Z,6,56.95457372
85,6.5951,6.641,6.5951,6.641,2018-06-07T16:03:49.0000000Z,2018-06-07T16:03:49.0000000Z,2018-06-07T17:00:00.0000000Z,2018-06-07T16:00:00.0000000Z,2,0.311
