,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,1.3084,1.3084,1.3084,1.3084,2018-06-01T08:40:58.0000000Z,2018-06-01T08:40:58.0000000Z,2018-06-01T09:00:00.0000000Z,2018-06-01T08:00:00.0000000Z,1,0.764238
1,1.3246,1.325,1.3245,1.325,2018-06-01T18:46:03.0000000Z,2018-06-01T18:43:12.0000000Z,2018-06-01T19:00:00.0000000Z,2018-06-01T18:00:00.0000000Z,4,0.027249
2,1.3169,1.3169,1.3168,1.3169,2018-06-01T22:52:09.0000000Z,2018-06-01T22:51:22.0000000Z,2018-06-01T23:00:00.0000000Z,2018-06-01T22:00:00.0000000Z,24,3.050125275
3,1.3098,1.3098,1.3098,1.3098,2018-06-02T00:51:30.0000000Z,2018-06-02T00:51:30.0000000Z,2018-06-02T01:00:00.0000000Z,2018-06-02T00:00:00.0000000Z,1,0.027100000000000003
4,1.2841,1.3119,1.2841,1.3099,2018-06-02T07:59:31.0000000Z,2018-06-02T07:59:11.0000000Z,2018-06-02T08:00:00.0000000Z,2018-06-02T07:00:00.0000000Z,6,2.899999998
5,1.2893,1.3097,1.2699,1.2981,2018-06-02T08:34:56.0000000Z,2018-06-02T08:03:31.0000000Z,2018-06-02T09:00:00.0000000Z,2018-06-02T08:00:00.0000000Z,78,25.529812518
6,1.2893,1.2893,1.2893,1.2893,2018-06-02T10:20:18.0000000Z,2018-06-02T10:20:07.0000000Z,2018-06-02T11:00:00.0000000Z,2018-06-02T10:00:00.0000000Z,2,0.0036000000000000003
7,1.3118,1.3118,1.3117,1.3117,2018-06-02T14:14:51.0000000Z,2018-06-02T14:14:50.0000000Z,2018-06-02T15:00:00.0000000Z,2018-06-02T14:00:00.0000000Z,3,0.6174661
8,1.3121,1.3121,1.3121,1.3121,2018-06-02T15:31:44.0000000Z,2018-06-02T15:31:44.0000000Z,2018-06-02T16:00:00.0000000Z,2018-06-02T15:00:00.0000000Z,1,0.09057626
9,1.3381,1.3381,1.3121,1.3121,2018-06-02T16:37:40.0000000Z,2018-06-02T16:37:14.0000000Z,2018-06-02T17:00:00.0000000Z,2018-06-02T16:00:00.0000000Z,2,0.00465674
10,1.3102,1.3399,1.3102,1.3386,2018-06-02T18:34:27.0000000Z,2018-06-02T18:22:48.0000000Z,2018-06-02T19:00:00.0000000Z,2018-06-02T18:00:00.0000000Z,23,3.70560447
11,1.2879,1.2948,1.2879,1.2948,2018-06-03T08:37:15.0000000Z,2018-06-03T08:33:52.0000000Z,2018-06-03T09:00:00.0000000Z,2018-06-03T08:00:00.0000000Z,3,0.05145496
12,1.2767,1.2767,1.2767,1.2767,2018-06-04T00:18:48.0000000Z,2018-06-04T00:18:48.0000000Z,2018-06-04T01:00:00.0000000Z,2018-06-04T00:00:00.0000000Z,1,0.1342
13,1.3454000000000002,1.3454000000000002,1.3454000000000002,1.3454000000000002,2018-06-04T14:14:50.0000000Z,2018-06-04T14:14:50.0000000Z,2018-06-04T15:00:00.0000000Z,2018-06-04T14:00:00.0000000Z,1,0.1119
14,1.328,1.3352,1.328,1.3352,2018-06-04T19:32:47.0000000Z,2018-06-04T19:16:23.0000000Z,2018-06-04T20:00:00.0000000Z,2018-06-04T19:00:00.0000000Z,4,2.150048713
15,1.3281,1.3281,1.3281,1.3281,2018-06-04T21:21:12.0000000Z,2018-06-04T21:20:41.0000000Z,2018-06-04T22:00:00.0000000Z,2018-06-04T21:00:00.0000000Z,3,0.043332699999999995
16,1.3281,1.3281,1.3281,1.3281,2018-06-05T00:22:14.0000000Z,2018-06-05T00:13:26.0000000Z,2018-06-05T01:00:00.0000000Z,2018-06-05T00:00:00.0000000Z,2,0.17310649
17,1.3571,1.3572,1.3541,1.3542,2018-06-05T02:53:57.0000000Z,2018-06-05T02:52:31.0000000Z,2018-06-05T03:00:00.0000000Z,2018-06-05T02:00:00.0000000Z,13,2.50672229
18,1.3148,1.3148,1.3148,1.3148,2018-06-06T02:37:53.0000000Z,2018-06-06T02:37:53.0000000Z,2018-06-06T03:00:00.0000000Z,2018-06-06T02:00:00.0000000Z,1,0.314571
19,1.3485,1.3485,1.3484,1.3484,2018-06-06T05:22:20.0000000Z,2018-06-06T05:22:19.0000000Z,2018-06-06T06:00:00.0000000Z,2018-06-06T05:00:00.0000000Z,4,1.01318888
20,1.3111,1.3111,1.3111,1.3111,2018-06-06T15:18:34.0000000Z,2018-06-06T15:18:34.0000000Z,2018-06-06T16:00:00.0000000Z,2018-06-06T15:00:00.0000000Z,1,0.006900000000000001
21,1.3266,1.3266,1.3266,1.3266,2018-06-07T06:41:27.0000000Z,2018-06-07T06:41:27.0000000Z,2018-06-07T07:00:00.0000000Z,2018-06-07T06:00:00.0000000Z,1,0.0499
22,1.3373,1.3374000000000001,1.3373,1.3374000000000001,2018-06-07T17:10:38.0000000Z,2018-06-07T17:06:30.0000000Z,2018-06-07T18:00:00.0000000Z,2018-06-07T17:00:00.0000000Z,5,1.5800900910000002
