,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,761.55,761.55,759.11,759.11,2018-06-01T22:52:09.0000000Z,2018-06-01T22:26:15.0000000Z,2018-06-01T23:00:00.0000000Z,2018-06-01T22:00:00.0000000Z,30,2.88095731
1,770.78,770.78,770.78,770.78,2018-06-01T23:54:19.0000000Z,2018-06-01T23:51:52.0000000Z,2018-06-02T00:00:00.0000000Z,2018-06-01T23:00:00.0000000Z,2,0.0060742850000000004
2,771.47,771.47,771.47,771.47,2018-06-02T00:11:02.0000000Z,2018-06-02T00:11:02.0000000Z,2018-06-02T01:00:00.0000000Z,2018-06-02T00:00:00.0000000Z,1,0.04769
3,767.08,771.32,763.92,771.32,2018-06-02T08:34:56.0000000Z,2018-06-02T08:02:23.0000000Z,2018-06-02T09:00:00.0000000Z,2018-06-02T08:00:00.0000000Z,45,6.628646002
4,772.16,772.16,766.31,766.31,2018-06-02T12:21:28.0000000Z,2018-06-02T12:18:04.0000000Z,2018-06-02T13:00:00.0000000Z,2018-06-02T12:00:00.0000000Z,6,0.48581689400000005
5,779.32,779.32,772.16,772.16,2018-06-02T14:14:51.0000000Z,2018-06-02T14:03:27.0000000Z,2018-06-02T15:00:00.0000000Z,2018-06-02T14:00:00.0000000Z,4,0.5410112650000001
6,768.44,795.88,768.44,783.42,2018-06-02T18:34:27.0000000Z,2018-06-02T18:08:54.0000000Z,2018-06-02T19:00:00.0000000Z,2018-06-02T18:00:00.0000000Z,27,4.346010445
7,796.81,796.81,796.0,796.0,2018-06-03T08:37:15.0000000Z,2018-06-03T08:33:52.0000000Z,2018-06-03T09:00:00.0000000Z,2018-06-03T08:00:00.0000000Z,4,0.051455315
8,787.4,787.4,787.4,787.4,2018-06-04T00:18:35.0000000Z,2018-06-04T00:18:35.0000000Z,2018-06-04T01:00:00.0000000Z,2018-06-04T00:00:00.0000000Z,1,0.13557000000000002
9,784.88,784.88,784.88,784.88,2018-06-04T03:02:55.0000000Z,2018-06-04T03:02:55.0000000Z,2018-06-04T04:00:00.0000000Z,2018-06-04T03:00:00.0000000Z,1,0.44470000000000004
10,786.3,786.32,785.52,786.32,2018-06-04T21:21:55.0000000Z,2018-06-04T21:20:38.0000000Z,2018-06-04T22:00:00.0000000Z,2018-06-04T21:00:00.0000000Z,6,0.052898999999999995
11,790.42,790.42,789.62,789.62,2018-06-05T00:22:14.0000000Z,2018-06-05T00:22:14.0000000Z,2018-06-05T01:00:00.0000000Z,2018-06-05T00:00:00.0000000Z,2,0.058993580000000004
12,790.26,790.27,789.47,790.26,2018-06-05T02:53:57.0000000Z,2018-06-05T02:52:31.0000000Z,2018-06-05T03:00:00.0000000Z,2018-06-05T02:00:00.0000000Z,13,2.2249
13,817.84,817.84,817.84,817.84,2018-06-06T05:22:20.0000000Z,2018-06-06T05:19:10.0000000Z,2018-06-06T06:00:00.0000000Z,2018-06-06T05:00:00.0000000Z,5,0.8419300000000001
14,813.07,813.07,813.07,813.07,2018-06-06T07:31:50.0000000Z,2018-06-06T07:31:50.0000000Z,2018-06-06T08:00:00.0000000Z,2018-06-06T07:00:00.0000000Z,1,0.07100000000000001
15,784.16,784.16,784.16,784.16,2018-06-06T10:14:55.0000000Z,2018-06-06T10:14:55.0000000Z,2018-06-06T11:00:00.0000000Z,2018-06-06T10:00:00.0000000Z,1,0.07
16,784.16,788.94,784.16,788.94,2018-06-06T11:13:35.0000000Z,2018-06-06T11:13:35.0000000Z,2018-06-06T12:00:00.0000000Z,2018-06-06T11:00:00.0000000Z,2,0.84
17,809.99,809.99,809.18,809.18,2018-06-06T12:29:43.0000000Z,2018-06-06T12:29:18.0000000Z,2018-06-06T13:00:00.0000000Z,2018-06-06T12:00:00.0000000Z,2,0.007
18,792.94,792.94,792.94,792.94,2018-06-06T15:18:16.0000000Z,2018-06-06T15:18:16.0000000Z,2018-06-06T16:00:00.0000000Z,2018-06-06T15:00:00.0000000Z,1,0.007
19,796.53,796.53,796.53,796.53,2018-06-06T20:50:31.0000000Z,2018-06-06T20:50:31.0000000Z,2018-06-06T21:00:00.0000000Z,2018-06-06T20:00:00.0000000Z,1,0.001946175
20,804.94,804.94,804.94,804.94,2018-06-06T21:30:17.0000000Z,2018-06-06T21:29:07.0000000Z,2018-06-06T22:00:00.0000000Z,2018-06-06T21:00:00.0000000Z,2,0.003732065
21,812.91,812.91,812.91,812.91,2018-06-07T15:23:38.0000000Z,2018-06-07T15:23:38.0000000Z,2018-06-07T16:00:00.0000000Z,2018-06-07T15:00:00.0000000Z,1,0.0015
22,792.34,809.39,792.34,809.39,2018-06-08T00:59:27.0000000Z,2018-06-08T00:32:02.0000000Z,2018-06-08T01:00:00.0000000Z,2018-06-08T00:00:00.0000000Z,2,0.489
23,792.34,792.34,792.34,792.34,2018-06-08T01:04:58.0000000Z,2018-06-08T01:04:56.0000000Z,2018-06-08T02:00:00.0000000Z,2018-06-08T01:00:00.0000000Z,4,0.34400000000000003
24,784.67,784.67,784.67,784.67,2018-06-08T07:30:32.0000000Z,2018-06-08T07:30:30.0000000Z,2018-06-08T08:00:00.0000000Z,2018-06-08T07:00:00.0000000Z,2,0.12873372
25,802.68,815.55,802.68,815.55,2018-06-09T12:05:29.0000000Z,2018-06-09T12:03:57.0000000Z,2018-06-09T13:00:00.0000000Z,2018-06-09T12:00:00.0000000Z,4,0.20179146
26,805.31,805.31,804.5,804.5,2018-06-09T14:54:41.0000000Z,2018-06-09T14:54:41.0000000Z,2018-06-09T15:00:00.0000000Z,2018-06-09T14:00:00.0000000Z,2,0.11565327
27,770.0,792.14,770.0,792.13,2018-06-10T00:55:59.0000000Z,2018-06-10T00:09:20.0000000Z,2018-06-10T01:00:00.0000000Z,2018-06-10T00:00:00.0000000Z,28,2.9851231990000002
28,766.31,766.42,766.31,766.42,2018-06-10T03:51:36.0000000Z,2018-06-10T03:49:45.0000000Z,2018-06-10T04:00:00.0000000Z,2018-06-10T03:00:00.0000000Z,8,1.365783105
29,760.39,760.39,760.39,760.39,2018-06-10T07:36:04.0000000Z,2018-06-10T07:35:54.0000000Z,2018-06-10T08:00:00.0000000Z,2018-06-10T07:00:00.0000000Z,2,0.1053
30,708.9,729.27,708.9,729.27,2018-06-10T17:37:43.0000000Z,2018-06-10T17:37:43.0000000Z,2018-06-10T18:00:00.0000000Z,2018-06-10T17:00:00.0000000Z,3,0.01
31,666.88,666.88,666.88,666.88,2018-06-10T21:38:24.0000000Z,2018-06-10T21:38:24.0000000Z,2018-06-10T22:00:00.0000000Z,2018-06-10T21:00:00.0000000Z,1,0.11
32,698.35,698.35,679.5,679.5,2018-06-11T02:07:49.0000000Z,2018-06-11T02:07:49.0000000Z,2018-06-11T03:00:00.0000000Z,2018-06-11T02:00:00.0000000Z,3,0.01
33,683.34,708.79,683.34,708.79,2018-06-11T09:16:50.0000000Z,2018-06-11T09:16:43.0000000Z,2018-06-11T10:00:00.0000000Z,2018-06-11T09:00:00.0000000Z,2,0.00391
34,679.41,692.28,679.41,692.28,2018-06-12T14:19:39.0000000Z,2018-06-12T14:16:22.0000000Z,2018-06-12T15:00:00.0000000Z,2018-06-12T14:00:00.0000000Z,4,0.03980257
35,679.41,679.41,679.41,679.41,2018-06-12T16:50:24.0000000Z,2018-06-12T16:49:44.0000000Z,2018-06-12T17:00:00.0000000Z,2018-06-12T16:00:00.0000000Z,5,0.96922643
36,665.54,665.54,665.53,665.53,2018-06-12T19:09:57.0000000Z,2018-06-12T19:09:49.0000000Z,2018-06-12T20:00:00.0000000Z,2018-06-12T19:00:00.0000000Z,3,0.12873115000000002
37,640.35,640.35,640.35,640.35,2018-06-12T20:38:09.0000000Z,2018-06-12T20:38:09.0000000Z,2018-06-12T21:00:00.0000000Z,2018-06-12T20:00:00.0000000Z,1,0.0351
38,661.01,661.01,660.35,660.35,2018-06-13T00:50:05.0000000Z,2018-06-13T00:13:53.0000000Z,2018-06-13T01:00:00.0000000Z,2018-06-13T00:00:00.0000000Z,5,0.027682885
39,650.0,660.35,650.0,660.35,2018-06-13T01:18:23.0000000Z,2018-06-13T01:18:12.0000000Z,2018-06-13T02:00:00.0000000Z,2018-06-13T01:00:00.0000000Z,3,0.204542145
40,650.0,650.0,650.0,650.0,2018-06-13T04:15:09.0000000Z,2018-06-13T04:15:09.0000000Z,2018-06-13T05:00:00.0000000Z,2018-06-13T04:00:00.0000000Z,1,0.14777497
41,640.0,640.0,640.0,640.0,2018-06-13T07:20:26.0000000Z,2018-06-13T07:20:26.0000000Z,2018-06-13T08:00:00.0000000Z,2018-06-13T07:00:00.0000000Z,1,0.0091
42,640.0,640.01,640.0,640.01,2018-06-13T08:51:05.0000000Z,2018-06-13T08:50:59.0000000Z,2018-06-13T09:00:00.0000000Z,2018-06-13T08:00:00.0000000Z,3,0.2462
