,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,10.57,10.62,10.54,10.54,2018-06-01T00:49:00.0000000Z,2018-06-01T00:10:53.0000000Z,2018-06-01T01:00:00.0000000Z,2018-06-01T00:00:00.0000000Z,6,115.79486713
1,10.54,10.59,10.54,10.59,2018-06-01T01:18:24.0000000Z,2018-06-01T01:10:38.0000000Z,2018-06-01T02:00:00.0000000Z,2018-06-01T01:00:00.0000000Z,6,197.927336615
2,10.55,10.55,10.55,10.55,2018-06-01T02:52:43.0000000Z,2018-06-01T02:52:43.0000000Z,2018-06-01T03:00:00.0000000Z,2018-06-01T02:00:00.0000000Z,1,3.243753
3,10.63,10.63,10.62,10.63,2018-06-01T03:58:30.0000000Z,2018-06-01T03:43:39.0000000Z,2018-06-01T04:00:00.0000000Z,2018-06-01T03:00:00.0000000Z,22,639.50992
4,10.55,10.6,10.55,10.55,2018-06-01T05:59:13.0000000Z,2018-06-01T05:11:04.0000000Z,2018-06-01T06:00:00.0000000Z,2018-06-01T05:00:00.0000000Z,10,35.389268
5,10.57,10.57,10.55,10.57,2018-06-01T06:53:16.0000000Z,2018-06-01T06:29:20.0000000Z,2018-06-01T07:00:00.0000000Z,2018-06-01T06:00:00.0000000Z,11,140.746727755
6,10.7,10.7,10.62,10.62,2018-06-01T07:56:26.0000000Z,2018-06-01T07:11:23.0000000Z,2018-06-01T08:00:00.0000000Z,2018-06-01T07:00:00.0000000Z,4,176.42111782
7,10.71,10.71,10.71,10.71,2018-06-01T08:25:39.0000000Z,2018-06-01T08:18:51.0000000Z,2018-06-01T09:00:00.0000000Z,2018-06-01T08:00:00.0000000Z,3,12.4882
8,10.8,10.88,10.71,10.79,2018-06-01T09:59:29.0000000Z,2018-06-01T09:01:39.0000000Z,2018-06-01T10:00:00.0000000Z,2018-06-01T09:00:00.0000000Z,14,72.869288615
9,10.79,10.8,10.71,10.8,2018-06-01T10:15:20.0000000Z,2018-06-01T10:00:30.0000000Z,2018-06-01T11:00:00.0000000Z,2018-06-01T10:00:00.0000000Z,15,191.708311385
10,10.6,10.86,10.6,10.72,2018-06-01T11:59:06.0000000Z,2018-06-01T11:05:06.0000000Z,2018-06-01T12:00:00.0000000Z,2018-06-01T11:00:00.0000000Z,31,781.19904218
11,10.52,10.6,10.52,10.6,2018-06-01T12:30:02.0000000Z,2018-06-01T12:00:17.0000000Z,2018-06-01T13:00:00.0000000Z,2018-06-01T12:00:00.0000000Z,14,269.76771764
12,10.5,10.52,10.49,10.52,2018-06-01T13:13:35.0000000Z,2018-06-01T13:03:42.0000000Z,2018-06-01T14:00:00.0000000Z,2018-06-01T13:00:00.0000000Z,11,116.92619444
13,10.5,10.56,10.5,10.56,2018-06-01T14:55:44.0000000Z,2018-06-01T14:23:23.0000000Z,2018-06-01T15:00:00.0000000Z,2018-06-01T14:00:00.0000000Z,14,123.92262594
14,10.44,10.5,10.43,10.43,2018-06-01T15:48:37.0000000Z,2018-06-01T15:02:35.0000000Z,2018-06-01T16:00:00.0000000Z,2018-06-01T15:00:00.0000000Z,17,330.61953294
15,10.45,10.56,10.45,10.51,2018-06-01T16:20:52.0000000Z,2018-06-01T16:06:40.0000000Z,2018-06-01T17:00:00.0000000Z,2018-06-01T16:00:00.0000000Z,7,111.694
16,10.62,10.67,10.54,10.54,2018-06-01T17:36:07.0000000Z,2018-06-01T17:23:43.0000000Z,2018-06-01T18:00:00.0000000Z,2018-06-01T17:00:00.0000000Z,12,248.775
17,10.68,10.68,10.6,10.6,2018-06-01T22:51:49.0000000Z,2018-06-01T22:26:41.0000000Z,2018-06-01T23:00:00.0000000Z,2018-06-01T22:00:00.0000000Z,16,179.01868299
18,10.8,10.8,10.73,10.78,2018-06-01T23:54:43.0000000Z,2018-06-01T23:01:31.0000000Z,2018-06-02T00:00:00.0000000Z,2018-06-01T23:00:00.0000000Z,7,66.147220015
19,10.75,10.86,10.66,10.86,2018-06-02T00:58:26.0000000Z,2018-06-02T00:09:02.0000000Z,2018-06-02T01:00:00.0000000Z,2018-06-02T00:00:00.0000000Z,16,72.3909
20,10.76,10.76,10.76,10.76,2018-06-02T01:41:19.0000000Z,2018-06-02T01:41:19.0000000Z,2018-06-02T02:00:00.0000000Z,2018-06-02T01:00:00.0000000Z,1,121.0
21,10.88,10.88,10.78,10.78,2018-06-02T02:51:02.0000000Z,2018-06-02T02:01:03.0000000Z,2018-06-02T03:00:00.0000000Z,2018-06-02T02:00:00.0000000Z,4,43.647
22,11.08,11.4,10.86,10.86,2018-06-02T03:58:14.0000000Z,2018-06-02T03:16:07.0000000Z,2018-06-02T04:00:00.0000000Z,2018-06-02T03:00:00.0000000Z,383,6942.001842046
23,11.33,11.459999999,11.08,11.08,2018-06-02T04:56:22.0000000Z,2018-06-02T04:01:04.0000000Z,2018-06-02T05:00:00.0000000Z,2018-06-02T04:00:00.0000000Z,91,999.625757215
24,11.38,11.38,11.23,11.37,2018-06-02T05:56:07.0000000Z,2018-06-02T05:00:23.0000000Z,2018-06-02T06:00:00.0000000Z,2018-06-02T05:00:00.0000000Z,20,485.57355438
25,11.45,11.45,11.15,11.38,2018-06-02T06:55:58.0000000Z,2018-06-02T06:00:59.0000000Z,2018-06-02T07:00:00.0000000Z,2018-06-02T06:00:00.0000000Z,57,664.797240494
26,11.6,11.6,11.34,11.44,2018-06-02T07:49:48.0000000Z,2018-06-02T07:06:10.0000000Z,2018-06-02T08:00:00.0000000Z,2018-06-02T07:00:00.0000000Z,56,853.627196095
27,11.36,11.6,11.36,11.52,2018-06-02T08:59:48.0000000Z,2018-06-02T08:03:57.0000000Z,2018-06-02T09:00:00.0000000Z,2018-06-02T08:00:00.0000000Z,28,603.764035415
28,11.45,11.45,11.2,11.34,2018-06-02T09:59:33.0000000Z,2018-06-02T09:01:30.0000000Z,2018-06-02T10:00:00.0000000Z,2018-06-02T09:00:00.0000000Z,209,3966.496118603
29,11.66,11.66,11.45,11.45,2018-06-02T10:59:09.0000000Z,2018-06-02T10:00:04.0000000Z,2018-06-02T11:00:00.0000000Z,2018-06-02T10:00:00.0000000Z,80,1997.89427342
30,11.57,11.99,11.57,11.66,2018-06-02T11:59:39.0000000Z,2018-06-02T11:00:34.0000000Z,2018-06-02T12:00:00.0000000Z,2018-06-02T11:00:00.0000000Z,102,1780.821131769
31,11.62,11.75,11.62,11.62,2018-06-02T12:58:54.0000000Z,2018-06-02T12:13:30.0000000Z,2018-06-02T13:00:00.0000000Z,2018-06-02T12:00:00.0000000Z,26,405.31571753
32,11.88,11.89,11.62,11.62,2018-06-02T13:59:28.0000000Z,2018-06-02T13:01:23.0000000Z,2018-06-02T14:00:00.0000000Z,2018-06-02T13:00:00.0000000Z,34,515.60564237
33,11.78,11.89,11.72,11.83,2018-06-02T14:48:17.0000000Z,2018-06-02T14:01:38.0000000Z,2018-06-02T15:00:00.0000000Z,2018-06-02T14:00:00.0000000Z,32,581.0151
34,11.69,11.89,11.69,11.78,2018-06-02T15:52:29.0000000Z,2018-06-02T15:11:14.0000000Z,2018-06-02T16:00:00.0000000Z,2018-06-02T15:00:00.0000000Z,61,723.012010415
35,11.83,11.83,11.61,11.66,2018-06-02T16:59:18.0000000Z,2018-06-02T16:02:14.0000000Z,2018-06-02T17:00:00.0000000Z,2018-06-02T16:00:00.0000000Z,42,552.657336
36,11.64,11.9,11.64,11.74,2018-06-02T17:52:26.0000000Z,2018-06-02T17:04:17.0000000Z,2018-06-02T18:00:00.0000000Z,2018-06-02T17:00:00.0000000Z,35,481.21141529
37,11.76,11.76,11.68,11.76,2018-06-02T18:51:12.0000000Z,2018-06-02T18:04:31.0000000Z,2018-06-02T19:00:00.0000000Z,2018-06-02T18:00:00.0000000Z,12,228.405041485
38,11.6,11.7,11.6,11.7,2018-06-02T19:52:54.0000000Z,2018-06-02T19:22:20.0000000Z,2018-06-02T20:00:00.0000000Z,2018-06-02T19:00:00.0000000Z,9,227.747222
39,11.61,11.69,11.61,11.69,2018-06-02T20:09:51.0000000Z,2018-06-02T20:00:38.0000000Z,2018-06-02T21:00:00.0000000Z,2018-06-02T20:00:00.0000000Z,4,42.536
40,11.68,11.7,11.68,11.7,2018-06-02T21:27:24.0000000Z,2018-06-02T21:27:24.0000000Z,2018-06-02T22:00:00.0000000Z,2018-06-02T21:00:00.0000000Z,2,1.87370634
41,11.52,11.6,11.52,11.6,2018-06-02T22:55:23.0000000Z,2018-06-02T22:15:48.0000000Z,2018-06-02T23:00:00.0000000Z,2018-06-02T22:00:00.0000000Z,22,450.8277
42,11.67,11.67,11.54,11.56,2018-06-02T23:53:31.0000000Z,2018-06-02T23:09:09.0000000Z,2018-06-03T00:00:00.0000000Z,2018-06-02T23:00:00.0000000Z,11,500.371997165
43,11.68,11.69,11.63,11.63,2018-06-03T00:37:40.0000000Z,2018-06-03T00:03:22.0000000Z,2018-06-03T01:00:00.0000000Z,2018-06-03T00:00:00.0000000Z,9,80.5036
44,11.83,11.88,11.66,11.68,2018-06-03T01:56:22.0000000Z,2018-06-03T01:00:09.0000000Z,2018-06-03T02:00:00.0000000Z,2018-06-03T01:00:00.0000000Z,52,1047.906648415
45,11.65,11.7,11.65,11.7,2018-06-03T02:57:18.0000000Z,2018-06-03T02:02:33.0000000Z,2018-06-03T03:00:00.0000000Z,2018-06-03T02:00:00.0000000Z,13,181.36214243
46,11.75,11.75,11.66,11.71,2018-06-03T03:50:50.0000000Z,2018-06-03T03:13:28.0000000Z,2018-06-03T04:00:00.0000000Z,2018-06-03T03:00:00.0000000Z,15,423.496923645
47,12.23,12.31,11.78,11.78,2018-06-03T04:59:45.0000000Z,2018-06-03T04:09:53.0000000Z,2018-06-03T05:00:00.0000000Z,2018-06-03T04:00:00.0000000Z,118,2363.35215463
48,11.97,12.23,11.74,12.23,2018-06-03T05:49:00.0000000Z,2018-06-03T05:03:17.0000000Z,2018-06-03T06:00:00.0000000Z,2018-06-03T05:00:00.0000000Z,56,1567.369053705
49,12.2,12.2,11.98,11.98,2018-06-03T06:56:21.0000000Z,2018-06-03T06:12:25.0000000Z,2018-06-03T07:00:00.0000000Z,2018-06-03T06:00:00.0000000Z,32,191.66432915
50,12.27,12.29,12.18,12.18,2018-06-03T07:33:03.0000000Z,2018-06-03T07:00:20.0000000Z,2018-06-03T08:00:00.0000000Z,2018-06-03T07:00:00.0000000Z,8,122.74454355
51,12.41,12.41,12.28,12.28,2018-06-03T08:58:25.0000000Z,2018-06-03T08:30:55.0000000Z,2018-06-03T09:00:00.0000000Z,2018-06-03T08:00:00.0000000Z,23,165.20400992
52,12.32,12.42,12.24,12.42,2018-06-03T09:59:15.0000000Z,2018-06-03T09:00:38.0000000Z,2018-06-03T10:00:00.0000000Z,2018-06-03T09:00:00.0000000Z,27,690.04558308
53,11.97,12.27,11.97,12.25,2018-06-03T10:55:56.0000000Z,2018-06-03T10:12:29.0000000Z,2018-06-03T11:00:00.0000000Z,2018-06-03T10:00:00.0000000Z,44,433.5969
54,12.05,12.12,11.96,12.12,2018-06-03T11:54:50.0000000Z,2018-06-03T11:01:13.0000000Z,2018-06-03T12:00:00.0000000Z,2018-06-03T11:00:00.0000000Z,17,772.4042
55,12.04,12.12,12.04,12.07,2018-06-03T12:55:11.0000000Z,2018-06-03T12:32:48.0000000Z,2018-06-03T13:00:00.0000000Z,2018-06-03T12:00:00.0000000Z,25,557.18433458
56,12.12,12.26,12.05,12.05,2018-06-03T13:58:11.0000000Z,2018-06-03T13:05:07.0000000Z,2018-06-03T14:00:00.0000000Z,2018-06-03T13:00:00.0000000Z,46,904.656771355
57,12.05,12.13,11.92,12.13,2018-06-03T14:59:54.0000000Z,2018-06-03T14:08:32.0000000Z,2018-06-03T15:00:00.0000000Z,2018-06-03T14:00:00.0000000Z,75,1509.092895195
58,12.06,12.1,11.9,12.03,2018-06-03T15:56:01.0000000Z,2018-06-03T15:16:16.0000000Z,2018-06-03T16:00:00.0000000Z,2018-06-03T15:00:00.0000000Z,37,480.390776545
59,11.9,11.97,11.9,11.97,2018-06-03T16:52:28.0000000Z,2018-06-03T16:24:36.0000000Z,2018-06-03T17:00:00.0000000Z,2018-06-03T16:00:00.0000000Z,14,273.6381
60,11.83,11.98,11.83,11.9,2018-06-03T17:46:31.0000000Z,2018-06-03T17:20:00.0000000Z,2018-06-03T18:00:00.0000000Z,2018-06-03T17:00:00.0000000Z,14,303.74255455
61,11.79,11.82,11.65,11.82,2018-06-03T19:49:00.0000000Z,2018-06-03T19:02:55.0000000Z,2018-06-03T20:00:00.0000000Z,2018-06-03T19:00:00.0000000Z,23,323.77004369
62,11.71,11.76,11.71,11.76,2018-06-03T20:24:13.0000000Z,2018-06-03T20:11:36.0000000Z,2018-06-03T21:00:00.0000000Z,2018-06-03T20:00:00.0000000Z,3,30.0
63,11.8,11.8,11.74,11.74,2018-06-03T21:37:20.0000000Z,2018-06-03T21:00:55.0000000Z,2018-06-03T22:00:00.0000000Z,2018-06-03T21:00:00.0000000Z,11,91.7931059
64,11.69,11.69,11.68,11.68,2018-06-03T22:09:46.0000000Z,2018-06-03T22:09:46.0000000Z,2018-06-03T23:00:00.0000000Z,2018-06-03T22:00:00.0000000Z,2,149.85
65,11.81,11.96,11.8,11.81,2018-06-03T23:57:21.0000000Z,2018-06-03T23:03:39.0000000Z,2018-06-04T00:00:00.0000000Z,2018-06-03T23:00:00.0000000Z,19,288.12452907
66,12.02,12.02,11.86,11.86,2018-06-04T00:40:59.0000000Z,2018-06-04T00:25:06.0000000Z,2018-06-04T01:00:00.0000000Z,2018-06-04T00:00:00.0000000Z,12,397.01853927
67,11.85,11.98,11.85,11.96,2018-06-04T01:57:26.0000000Z,2018-06-04T01:07:49.0000000Z,2018-06-04T02:00:00.0000000Z,2018-06-04T01:00:00.0000000Z,12,185.17666048
68,11.76,11.85,11.72,11.84,2018-06-04T02:59:23.0000000Z,2018-06-04T02:10:27.0000000Z,2018-06-04T03:00:00.0000000Z,2018-06-04T02:00:00.0000000Z,35,303.639010135
69,11.67,11.76,11.6,11.76,2018-06-04T03:54:58.0000000Z,2018-06-04T03:01:09.0000000Z,2018-06-04T04:00:00.0000000Z,2018-06-04T03:00:00.0000000Z,21,711.077884165
70,11.6,11.6,11.58,11.58,2018-06-04T04:37:40.0000000Z,2018-06-04T04:01:01.0000000Z,2018-06-04T05:00:00.0000000Z,2018-06-04T04:00:00.0000000Z,7,47.242699
71,11.61,11.88,11.61,11.68,2018-06-04T05:55:06.0000000Z,2018-06-04T05:01:50.0000000Z,2018-06-04T06:00:00.0000000Z,2018-06-04T05:00:00.0000000Z,12,112.566686385
72,11.26,11.61,11.13,11.61,2018-06-04T06:59:21.0000000Z,2018-06-04T06:02:15.0000000Z,2018-06-04T07:00:00.0000000Z,2018-06-04T06:00:00.0000000Z,78,911.62132596
73,11.23,11.43,11.23,11.3,2018-06-04T07:49:51.0000000Z,2018-06-04T07:02:29.0000000Z,2018-06-04T08:00:00.0000000Z,2018-06-04T07:00:00.0000000Z,28,531.59496766
74,11.27,11.41,11.25,11.41,2018-06-04T08:45:37.0000000Z,2018-06-04T08:11:40.0000000Z,2018-06-04T09:00:00.0000000Z,2018-06-04T08:00:00.0000000Z,11,237.376507
75,11.32,11.32,11.13,11.22,2018-06-04T09:58:55.0000000Z,2018-06-04T09:24:50.0000000Z,2018-06-04T10:00:00.0000000Z,2018-06-04T09:00:00.0000000Z,18,134.97821522
