,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,4.978e-05,4.978e-05,4.459e-05,4.459e-05,2018-06-01T02:15:31.0000000Z,2018-06-01T02:04:47.0000000Z,2018-06-01T03:00:00.0000000Z,2018-06-01T02:00:00.0000000Z,7,1315.59474932
1,4.467e-05,4.524e-05,4.466e-05,4.524e-05,2018-06-01T03:25:26.0000000Z,2018-06-01T03:24:27.0000000Z,2018-06-01T04:00:00.0000000Z,2018-06-01T03:00:00.0000000Z,7,963.26791868
2,4.549000000000001e-05,4.549000000000001e-05,4.549000000000001e-05,4.549000000000001e-05,2018-06-01T19:47:11.0000000Z,2018-06-01T19:47:11.0000000Z,2018-06-01T20:00:00.0000000Z,2018-06-01T19:00:00.0000000Z,1,19.749
3,4.3190000000000005e-05,4.3190000000000005e-05,4.3190000000000005e-05,4.3190000000000005e-05,2018-06-02T13:51:01.0000000Z,2018-06-02T13:51:01.0000000Z,2018-06-02T14:00:00.0000000Z,2018-06-02T13:00:00.0000000Z,1,18.51
4,4.4980000000000006e-05,4.4980000000000006e-05,4.4980000000000006e-05,4.4980000000000006e-05,2018-06-02T16:58:45.0000000Z,2018-06-02T16:57:42.0000000Z,2018-06-02T17:00:00.0000000Z,2018-06-02T16:00:00.0000000Z,4,524.8162
5,4.596000000000001e-05,4.596000000000001e-05,4.595e-05,4.595e-05,2018-06-03T17:47:06.0000000Z,2018-06-03T17:46:04.0000000Z,2018-06-03T18:00:00.0000000Z,2018-06-03T17:00:00.0000000Z,13,1852.05796234
6,4.4680000000000006e-05,4.4710000000000004e-05,4.4680000000000006e-05,4.4710000000000004e-05,2018-06-03T18:48:25.0000000Z,2018-06-03T18:48:25.0000000Z,2018-06-03T19:00:00.0000000Z,2018-06-03T18:00:00.0000000Z,3,131.1087
7,4.4000000000000006e-05,4.4000000000000006e-05,4.4000000000000006e-05,4.4000000000000006e-05,2018-06-03T22:31:31.0000000Z,2018-06-03T22:31:31.0000000Z,2018-06-03T23:00:00.0000000Z,2018-06-03T22:00:00.0000000Z,4,704.443
8,4.359e-05,4.359e-05,4.359e-05,4.359e-05,2018-06-04T09:23:55.0000000Z,2018-06-04T09:23:55.0000000Z,2018-06-04T10:00:00.0000000Z,2018-06-04T09:00:00.0000000Z,1,176.0
9,4.3960000000000006e-05,4.3990000000000004e-05,4.3920000000000006e-05,4.3920000000000006e-05,2018-06-04T16:20:31.0000000Z,2018-06-04T16:20:25.0000000Z,2018-06-04T17:00:00.0000000Z,2018-06-04T16:00:00.0000000Z,8,2010.8067427
