,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,0.00012144,0.00012144,0.00012144,0.00012144,2018-06-01T00:01:34.0000000Z,2018-06-01T00:01:34.0000000Z,2018-06-01T01:00:00.0000000Z,2018-06-01T00:00:00.0000000Z,2,3158.06687753
1,0.00010551,0.00011198000000000001,0.0001054,0.00011198000000000001,2018-06-01T04:41:57.0000000Z,2018-06-01T04:32:45.0000000Z,2018-06-01T05:00:00.0000000Z,2018-06-01T04:00:00.0000000Z,11,12872.448647435
2,0.00010208,0.00010217,0.00010208,0.00010217,2018-06-01T06:34:36.0000000Z,2018-06-01T06:11:39.0000000Z,2018-06-01T07:00:00.0000000Z,2018-06-01T06:00:00.0000000Z,4,2803.848
3,9.050000000000002e-05,9.050000000000002e-05,9.050000000000002e-05,9.050000000000002e-05,2018-06-01T15:54:52.0000000Z,2018-06-01T15:54:52.0000000Z,2018-06-01T16:00:00.0000000Z,2018-06-01T15:00:00.0000000Z,1,117.639
4,0.00010506,0.00010506,0.00010506,0.00010506,2018-06-01T17:17:58.0000000Z,2018-06-01T17:17:56.0000000Z,2018-06-01T18:00:00.0000000Z,2018-06-01T17:00:00.0000000Z,2,1507.709
5,9.301e-05,0.00010029,9.301e-05,0.00010029,2018-06-01T18:53:20.0000000Z,2018-06-01T18:51:14.0000000Z,2018-06-01T19:00:00.0000000Z,2018-06-01T18:00:00.0000000Z,4,2516.52248356
6,9.050000000000002e-05,0.00010407,9.050000000000002e-05,9.301e-05,2018-06-01T19:54:43.0000000Z,2018-06-01T19:08:25.0000000Z,2018-06-01T20:00:00.0000000Z,2018-06-01T19:00:00.0000000Z,17,67596.289369
7,8.656000000000001e-05,8.698000000000001e-05,8.656000000000001e-05,8.698000000000001e-05,2018-06-01T20:09:08.0000000Z,2018-06-01T20:09:08.0000000Z,2018-06-01T21:00:00.0000000Z,2018-06-01T20:00:00.0000000Z,5,12449.07
8,8.655e-05,9.892000000000001e-05,8.655e-05,9.892000000000001e-05,2018-06-01T22:43:24.0000000Z,2018-06-01T22:36:42.0000000Z,2018-06-01T23:00:00.0000000Z,2018-06-01T22:00:00.0000000Z,13,9664.97
9,8.655e-05,8.656000000000001e-05,8.655e-05,8.656000000000001e-05,2018-06-01T23:29:30.0000000Z,2018-06-01T23:29:26.0000000Z,2018-06-02T00:00:00.0000000Z,2018-06-01T23:00:00.0000000Z,3,2662.08094515
