,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,4.4000000000000004e-08,4.4000000000000004e-08,4.4000000000000004e-08,4.4000000000000004e-08,2018-06-01T00:49:07.0000000Z,2018-06-01T00:49:07.0000000Z,2018-06-01T01:00:00.0000000Z,2018-06-01T00:00:00.0000000Z,1,4436888.8888
1,4.4000000000000004e-08,4.4000000000000004e-08,4.4000000000000004e-08,4.4000000000000004e-08,2018-06-01T01:45:36.0000000Z,2018-06-01T01:28:46.0000000Z,2018-06-01T02:00:00.0000000Z,2018-06-01T01:00:00.0000000Z,3,9506417.66
2,4.4000000000000004e-08,4.5e-08,4.4000000000000004e-08,4.5e-08,2018-06-01T02:41:54.0000000Z,2018-06-01T02:02:43.0000000Z,2018-06-01T03:00:00.0000000Z,2018-06-01T02:00:00.0000000Z,4,6416689.44
3,4.3e-08,4.4000000000000004e-08,4.3e-08,4.4000000000000004e-08,2018-06-01T03:58:06.0000000Z,2018-06-01T03:36:00.0000000Z,2018-06-01T04:00:00.0000000Z,2018-06-01T03:00:00.0000000Z,12,23446737.8381
4,4.3e-08,4.4000000000000004e-08,4.3e-08,4.3e-08,2018-06-01T05:46:41.0000000Z,2018-06-01T05:12:49.0000000Z,2018-06-01T06:00:00.0000000Z,2018-06-01T05:00:00.0000000Z,3,580369.5918
5,4.5999999999999995e-08,4.5999999999999995e-08,4.3e-08,4.4000000000000004e-08,2018-06-01T06:58:37.0000000Z,2018-06-01T06:08:26.0000000Z,2018-06-01T07:00:00.0000000Z,2018-06-01T06:00:00.0000000Z,15,74504915.5376
6,4.5e-08,4.5e-08,4.5e-08,4.5e-08,2018-06-01T07:57:09.0000000Z,2018-06-01T07:08:57.0000000Z,2018-06-01T08:00:00.0000000Z,2018-06-01T07:00:00.0000000Z,8,150797490.09
7,4.4000000000000004e-08,4.5999999999999995e-08,4.3e-08,4.5e-08,2018-06-01T08:44:57.0000000Z,2018-06-01T08:08:27.0000000Z,2018-06-01T09:00:00.0000000Z,2018-06-01T08:00:00.0000000Z,13,165529044.236
8,4.5e-08,4.5999999999999995e-08,4.3e-08,4.4000000000000004e-08,2018-06-01T09:47:58.0000000Z,2018-06-01T09:03:42.0000000Z,2018-06-01T10:00:00.0000000Z,2018-06-01T09:00:00.0000000Z,17,90566554.0163
9,4.5e-08,4.5e-08,4.5e-08,4.5e-08,2018-06-01T10:06:49.0000000Z,2018-06-01T10:06:49.0000000Z,2018-06-01T11:00:00.0000000Z,2018-06-01T10:00:00.0000000Z,1,562222.0
10,4.5e-08,4.5e-08,4.4000000000000004e-08,4.4000000000000004e-08,2018-06-01T11:41:51.0000000Z,2018-06-01T11:20:32.0000000Z,2018-06-01T12:00:00.0000000Z,2018-06-01T11:00:00.0000000Z,5,15209190.828
11,4.5e-08,4.5999999999999995e-08,4.5e-08,4.5e-08,2018-06-01T12:56:03.0000000Z,2018-06-01T12:15:01.0000000Z,2018-06-01T13:00:00.0000000Z,2018-06-01T12:00:00.0000000Z,12,53829287.392
12,4.5999999999999995e-08,4.5999999999999995e-08,4.5999999999999995e-08,4.5999999999999995e-08,2018-06-01T13:58:41.0000000Z,2018-06-01T13:28:40.0000000Z,2018-06-01T14:00:00.0000000Z,2018-06-01T13:00:00.0000000Z,9,34387868.597
13,4.5999999999999995e-08,4.5999999999999995e-08,4.5e-08,4.5999999999999995e-08,2018-06-01T14:56:38.0000000Z,2018-06-01T14:01:28.0000000Z,2018-06-01T15:00:00.0000000Z,2018-06-01T14:00:00.0000000Z,10,46928241.443
14,4.4000000000000004e-08,4.7000000000000004e-08,4.4000000000000004e-08,4.5999999999999995e-08,2018-06-01T15:55:50.0000000Z,2018-06-01T15:04:33.0000000Z,2018-06-01T16:00:00.0000000Z,2018-06-01T15:00:00.0000000Z,48,421584435.2909
15,4.4000000000000004e-08,4.7000000000000004e-08,4.4000000000000004e-08,4.7000000000000004e-08,2018-06-01T16:56:11.0000000Z,2018-06-01T16:03:02.0000000Z,2018-06-01T17:00:00.0000000Z,2018-06-01T16:00:00.0000000Z,7,4432354.0
16,4.5999999999999995e-08,4.5999999999999995e-08,4.4000000000000004e-08,4.5e-08,2018-06-01T17:55:26.0000000Z,2018-06-01T17:06:54.0000000Z,2018-06-01T18:00:00.0000000Z,2018-06-01T17:00:00.0000000Z,4,31980231.9402
17,4.5999999999999995e-08,4.5999999999999995e-08,4.5999999999999995e-08,4.5999999999999995e-08,2018-06-01T18:25:42.0000000Z,2018-06-01T18:04:12.0000000Z,2018-06-01T19:00:00.0000000Z,2018-06-01T18:00:00.0000000Z,2,89140.775
18,4.5999999999999995e-08,4.5999999999999995e-08,4.5999999999999995e-08,4.5999999999999995e-08,2018-06-01T22:06:14.0000000Z,2018-06-01T22:06:14.0000000Z,2018-06-01T23:00:00.0000000Z,2018-06-01T22:00:00.0000000Z,1,203300.0
19,4.4000000000000004e-08,4.5999999999999995e-08,4.4000000000000004e-08,4.5999999999999995e-08,2018-06-01T23:29:29.0000000Z,2018-06-01T23:07:13.0000000Z,2018-06-02T00:00:00.0000000Z,2018-06-01T23:00:00.0000000Z,2,3226731.7234
20,4.5e-08,4.5e-08,4.4000000000000004e-08,4.4000000000000004e-08,2018-06-02T00:58:10.0000000Z,2018-06-02T00:06:11.0000000Z,2018-06-02T01:00:00.0000000Z,2018-06-02T00:00:00.0000000Z,16,155630177.6366
21,4.4000000000000004e-08,4.5e-08,4.4000000000000004e-08,4.4000000000000004e-08,2018-06-02T01:46:21.0000000Z,2018-06-02T01:00:27.0000000Z,2018-06-02T02:00:00.0000000Z,2018-06-02T01:00:00.0000000Z,17,205904057.7
22,4.8e-08,4.8e-08,4.5e-08,4.5e-08,2018-06-02T02:59:16.0000000Z,2018-06-02T02:13:37.0000000Z,2018-06-02T03:00:00.0000000Z,2018-06-02T02:00:00.0000000Z,46,353297133.4917
23,5.7999999999999997e-08,6.7e-08,4.8e-08,4.8e-08,2018-06-02T03:58:39.0000000Z,2018-06-02T03:00:23.0000000Z,2018-06-02T04:00:00.0000000Z,2018-06-02T03:00:00.0000000Z,334,3613749505.772138
24,5.3e-08,6.1e-08,5.1e-08,6.000000000000001e-08,2018-06-02T04:57:38.0000000Z,2018-06-02T04:00:03.0000000Z,2018-06-02T05:00:00.0000000Z,2018-06-02T04:00:00.0000000Z,120,1010494787.92895
25,5.1e-08,5.3e-08,4.8e-08,5.3e-08,2018-06-02T05:56:39.0000000Z,2018-06-02T05:03:09.0000000Z,2018-06-02T06:00:00.0000000Z,2018-06-02T05:00:00.0000000Z,68,533409773.4675
26,5.2e-08,5.2e-08,5e-08,5.2e-08,2018-06-02T06:59:35.0000000Z,2018-06-02T06:00:24.0000000Z,2018-06-02T07:00:00.0000000Z,2018-06-02T06:00:00.0000000Z,26,347889946.76
27,5.3e-08,5.400000000000001e-08,4.7000000000000004e-08,5.3e-08,2018-06-02T07:59:15.0000000Z,2018-06-02T07:00:39.0000000Z,2018-06-02T08:00:00.0000000Z,2018-06-02T07:00:00.0000000Z,67,406651322.9549
28,4.9e-08,5.3e-08,4.5999999999999995e-08,5.3e-08,2018-06-02T08:59:03.0000000Z,2018-06-02T08:01:14.0000000Z,2018-06-02T09:00:00.0000000Z,2018-06-02T08:00:00.0000000Z,68,173396224.9265
29,5e-08,5e-08,4.7000000000000004e-08,4.9e-08,2018-06-02T09:58:15.0000000Z,2018-06-02T09:17:06.0000000Z,2018-06-02T10:00:00.0000000Z,2018-06-02T09:00:00.0000000Z,21,116444966.598
30,5e-08,5e-08,4.7000000000000004e-08,4.9e-08,2018-06-02T10:50:51.0000000Z,2018-06-02T10:09:03.0000000Z,2018-06-02T11:00:00.0000000Z,2018-06-02T10:00:00.0000000Z,17,122665627.75
31,4.8e-08,5e-08,4.8e-08,5e-08,2018-06-02T11:45:39.0000000Z,2018-06-02T11:16:56.0000000Z,2018-06-02T12:00:00.0000000Z,2018-06-02T11:00:00.0000000Z,19,68102122.511
