,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,8.400000000000001e-05,9.900000000000001e-05,8.33e-05,9.900000000000001e-05,2018-06-15T01:59:37.0000000Z,2018-06-15T01:00:01.0000000Z,2018-06-15T02:00:00.0000000Z,2018-06-15T01:00:00.0000000Z,164,1327402.54517
1,8.298000000000001e-05,8.400000000000001e-05,8.111000000000001e-05,8.399000000000001e-05,2018-06-15T02:58:22.0000000Z,2018-06-15T02:00:17.0000000Z,2018-06-15T03:00:00.0000000Z,2018-06-15T02:00:00.0000000Z,77,548437.50209347
2,8.303000000000001e-05,8.6e-05,8.250000000000001e-05,8.298000000000001e-05,2018-06-15T03:57:00.0000000Z,2018-06-15T03:05:29.0000000Z,2018-06-15T04:00:00.0000000Z,2018-06-15T03:00:00.0000000Z,44,268846.42418011
3,7.15e-05,8.301e-05,7.139e-05,8.301e-05,2018-06-15T04:57:49.0000000Z,2018-06-15T04:00:16.0000000Z,2018-06-15T05:00:00.0000000Z,2018-06-15T04:00:00.0000000Z,115,1514272.392117
4,7.317e-05,7.829e-05,7.242e-05,7.465e-05,2018-06-15T05:58:16.0000000Z,2018-06-15T05:07:27.0000000Z,2018-06-15T06:00:00.0000000Z,2018-06-15T05:00:00.0000000Z,44,313273.75144
5,7.536e-05,7.569e-05,7.2e-05,7.317e-05,2018-06-15T06:56:57.0000000Z,2018-06-15T06:02:59.0000000Z,2018-06-15T07:00:00.0000000Z,2018-06-15T06:00:00.0000000Z,39,276935.516664
6,7.555000000000001e-05,7.570000000000001e-05,7.154000000000001e-05,7.389000000000001e-05,2018-06-15T07:54:31.0000000Z,2018-06-15T07:03:09.0000000Z,2018-06-15T08:00:00.0000000Z,2018-06-15T07:00:00.0000000Z,40,532415.691401
7,7.504e-05,7.531000000000001e-05,7.201e-05,7.3e-05,2018-06-15T08:57:56.0000000Z,2018-06-15T08:06:30.0000000Z,2018-06-15T09:00:00.0000000Z,2018-06-15T08:00:00.0000000Z,32,161523.74263
8,7.49e-05,7.506e-05,7.165000000000001e-05,7.503e-05,2018-06-15T09:58:40.0000000Z,2018-06-15T09:02:11.0000000Z,2018-06-15T10:00:00.0000000Z,2018-06-15T09:00:00.0000000Z,29,165640.812262
9,7.38e-05,7.481000000000001e-05,7.163e-05,7.355000000000001e-05,2018-06-15T10:52:49.0000000Z,2018-06-15T10:10:49.0000000Z,2018-06-15T11:00:00.0000000Z,2018-06-15T10:00:00.0000000Z,26,200132.43434
10,7.469e-05,7.47e-05,7.294e-05,7.298000000000001e-05,2018-06-15T11:48:36.0000000Z,2018-06-15T11:00:23.0000000Z,2018-06-15T12:00:00.0000000Z,2018-06-15T11:00:00.0000000Z,35,52839.07517884
11,7.38e-05,7.394000000000001e-05,7.141000000000001e-05,7.301000000000001e-05,2018-06-15T12:46:26.0000000Z,2018-06-15T12:04:57.0000000Z,2018-06-15T13:00:00.0000000Z,2018-06-15T12:00:00.0000000Z,39,344631.56697087
12,7.340000000000001e-05,7.389000000000001e-05,7.2e-05,7.389000000000001e-05,2018-06-15T13:48:20.0000000Z,2018-06-15T13:12:18.0000000Z,2018-06-15T14:00:00.0000000Z,2018-06-15T13:00:00.0000000Z,5,7442.6466
13,7.454e-05,7.52e-05,7.242e-05,7.334e-05,2018-06-15T14:56:40.0000000Z,2018-06-15T14:11:20.0000000Z,2018-06-15T15:00:00.0000000Z,2018-06-15T14:00:00.0000000Z,35,115589.07394896
14,7.776e-05,8.002000000000001e-05,7.117000000000001e-05,7.451e-05,2018-06-15T15:59:54.0000000Z,2018-06-15T15:04:22.0000000Z,2018-06-15T16:00:00.0000000Z,2018-06-15T15:00:00.0000000Z,95,661437.71267357
15,7.949e-05,7.980000000000002e-05,7.301000000000001e-05,7.776e-05,2018-06-15T16:40:20.0000000Z,2018-06-15T16:00:01.0000000Z,2018-06-15T17:00:00.0000000Z,2018-06-15T16:00:00.0000000Z,39,101396.40696
16,7.400000000000001e-05,7.933e-05,7.400000000000001e-05,7.504e-05,2018-06-15T17:54:08.0000000Z,2018-06-15T17:01:21.0000000Z,2018-06-15T18:00:00.0000000Z,2018-06-15T17:00:00.0000000Z,28,56352.7531063
