,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,241.57,245.68,239.1,239.1,2018-06-01T00:49:34.0000000Z,2018-06-01T00:03:45.0000000Z,2018-06-01T01:00:00.0000000Z,2018-06-01T00:00:00.0000000Z,18,32.9813
1,241.12,244.4,241.12,242.18,2018-06-01T01:56:06.0000000Z,2018-06-01T01:07:04.0000000Z,2018-06-01T02:00:00.0000000Z,2018-06-01T01:00:00.0000000Z,13,19.3857
2,241.07,243.079999999,241.07,243.079999999,2018-06-01T02:58:37.0000000Z,2018-06-01T02:33:56.0000000Z,2018-06-01T03:00:00.0000000Z,2018-06-01T02:00:00.0000000Z,9,15.0858
3,239.51,241.57,238.41,241.0,2018-06-01T03:56:09.0000000Z,2018-06-01T03:02:53.0000000Z,2018-06-01T04:00:00.0000000Z,2018-06-01T03:00:00.0000000Z,26,64.3833
4,238.0,238.11,238.0,238.11,2018-06-01T04:53:45.0000000Z,2018-06-01T04:02:00.0000000Z,2018-06-01T05:00:00.0000000Z,2018-06-01T04:00:00.0000000Z,3,0.25626000000000004
5,237.87,239.7,237.39,238.0,2018-06-01T05:58:36.0000000Z,2018-06-01T05:02:56.0000000Z,2018-06-01T06:00:00.0000000Z,2018-06-01T05:00:00.0000000Z,17,22.5823
6,239.2,242.7,237.87,237.87,2018-06-01T06:57:05.0000000Z,2018-06-01T06:03:11.0000000Z,2018-06-01T07:00:00.0000000Z,2018-06-01T06:00:00.0000000Z,17,20.375631
7,239.56,240.36,239.2,239.2,2018-06-01T07:57:21.0000000Z,2018-06-01T07:15:09.0000000Z,2018-06-01T08:00:00.0000000Z,2018-06-01T07:00:00.0000000Z,9,3.4305
8,237.5,243.08,237.39,241.84,2018-06-01T08:52:15.0000000Z,2018-06-01T08:00:13.0000000Z,2018-06-01T09:00:00.0000000Z,2018-06-01T08:00:00.0000000Z,67,92.58389952
9,237.58,240.4,237.57,240.4,2018-06-01T09:49:06.0000000Z,2018-06-01T09:01:28.0000000Z,2018-06-01T10:00:00.0000000Z,2018-06-01T09:00:00.0000000Z,19,27.14447668
