,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,8.249999999999999e-06,8.279999999999999e-06,8.239999999999999e-06,8.279999999999999e-06,2018-06-01T00:36:50.0000000Z,2018-06-01T00:35:56.0000000Z,2018-06-01T01:00:00.0000000Z,2018-06-01T00:00:00.0000000Z,3,1676.70313597
1,8.249999999999999e-06,8.249999999999999e-06,8.249999999999999e-06,8.249999999999999e-06,2018-06-01T01:48:41.0000000Z,2018-06-01T01:48:33.0000000Z,2018-06-01T02:00:00.0000000Z,2018-06-01T01:00:00.0000000Z,3,1018.18181818
2,8.4e-06,8.4e-06,8.23e-06,8.23e-06,2018-06-01T02:28:30.0000000Z,2018-06-01T02:14:36.0000000Z,2018-06-01T03:00:00.0000000Z,2018-06-01T02:00:00.0000000Z,2,208.89
3,8.249999999999999e-06,8.249999999999999e-06,8.249999999999999e-06,8.249999999999999e-06,2018-06-01T03:00:57.0000000Z,2018-06-01T03:00:57.0000000Z,2018-06-01T04:00:00.0000000Z,2018-06-01T03:00:00.0000000Z,1,383.7382
4,8.220000000000001e-06,8.220000000000001e-06,8.220000000000001e-06,8.220000000000001e-06,2018-06-01T05:54:15.0000000Z,2018-06-01T05:54:15.0000000Z,2018-06-01T06:00:00.0000000Z,2018-06-01T05:00:00.0000000Z,1,226.7800585
5,8.269999999999999e-06,8.269999999999999e-06,8.259999999999999e-06,8.259999999999999e-06,2018-06-01T06:56:15.0000000Z,2018-06-01T06:56:15.0000000Z,2018-06-01T07:00:00.0000000Z,2018-06-01T06:00:00.0000000Z,2,1274.97
6,8.4e-06,8.4e-06,8.4e-06,8.4e-06,2018-06-01T08:55:29.0000000Z,2018-06-01T08:55:29.0000000Z,2018-06-01T09:00:00.0000000Z,2018-06-01T08:00:00.0000000Z,1,24047.619
7,8.23e-06,8.36e-06,7.92e-06,8.36e-06,2018-06-01T12:59:58.0000000Z,2018-06-01T12:22:04.0000000Z,2018-06-01T13:00:00.0000000Z,2018-06-01T12:00:00.0000000Z,11,4229.63873283
8,8.37e-06,8.37e-06,8.36e-06,8.36e-06,2018-06-01T13:29:58.0000000Z,2018-06-01T13:11:53.0000000Z,2018-06-01T14:00:00.0000000Z,2018-06-01T13:00:00.0000000Z,8,6477.731
9,8.390000000000001e-06,8.390000000000001e-06,8.18e-06,8.37e-06,2018-06-01T14:25:04.0000000Z,2018-06-01T14:03:46.0000000Z,2018-06-01T15:00:00.0000000Z,2018-06-01T14:00:00.0000000Z,12,10365.78377902
10,8.31e-06,8.31e-06,8.31e-06,8.31e-06,2018-06-01T15:08:14.0000000Z,2018-06-01T15:08:14.0000000Z,2018-06-01T16:00:00.0000000Z,2018-06-01T15:00:00.0000000Z,1,799.34555161
11,8.33e-06,8.409999999999999e-06,8.32e-06,8.4e-06,2018-06-01T16:40:49.0000000Z,2018-06-01T16:16:14.0000000Z,2018-06-01T17:00:00.0000000Z,2018-06-01T16:00:00.0000000Z,11,3333.785018986
12,8.099999999999999e-06,8.2e-06,8.099999999999999e-06,8.2e-06,2018-06-01T17:49:12.0000000Z,2018-06-01T17:18:21.0000000Z,2018-06-01T18:00:00.0000000Z,2018-06-01T17:00:00.0000000Z,11,5064.259964724
13,8.050000000000001e-06,8.050000000000001e-06,8.050000000000001e-06,8.050000000000001e-06,2018-06-01T18:10:22.0000000Z,2018-06-01T18:10:22.0000000Z,2018-06-01T19:00:00.0000000Z,2018-06-01T18:00:00.0000000Z,1,431.209
14,8.249999999999999e-06,8.249999999999999e-06,8.249999999999999e-06,8.249999999999999e-06,2018-06-01T20:48:07.0000000Z,2018-06-01T20:41:50.0000000Z,2018-06-01T21:00:00.0000000Z,2018-06-01T20:00:00.0000000Z,2,240.0
15,8.109999999999999e-06,8.109999999999999e-06,8.109999999999999e-06,8.109999999999999e-06,2018-06-01T22:00:16.0000000Z,2018-06-01T22:00:05.0000000Z,2018-06-01T23:00:00.0000000Z,2018-06-01T22:00:00.0000000Z,3,1026.7471251
16,8.419999999999999e-06,8.7e-06,8.15e-06,8.15e-06,2018-06-01T23:58:55.0000000Z,2018-06-01T23:03:07.0000000Z,2018-06-02T00:00:00.0000000Z,2018-06-01T23:00:00.0000000Z,12,3747.0994917
17,8.239999999999999e-06,8.239999999999999e-06,8.239999999999999e-06,8.239999999999999e-06,2018-06-02T00:28:41.0000000Z,2018-06-02T00:28:41.0000000Z,2018-06-02T01:00:00.0000000Z,2018-06-02T00:00:00.0000000Z,2,971.16833981
18,8.239999999999999e-06,8.31e-06,8.23e-06,8.31e-06,2018-06-02T01:52:04.0000000Z,2018-06-02T01:18:45.0000000Z,2018-06-02T02:00:00.0000000Z,2018-06-02T01:00:00.0000000Z,21,18545.384541308
19,8.32e-06,8.48e-06,8.3e-06,8.3e-06,2018-06-02T02:59:51.0000000Z,2018-06-02T02:00:18.0000000Z,2018-06-02T03:00:00.0000000Z,2018-06-02T02:00:00.0000000Z,29,19677.026821298
20,8.34e-06,8.34e-06,8.289999999999999e-06,8.289999999999999e-06,2018-06-02T03:54:07.0000000Z,2018-06-02T03:00:13.0000000Z,2018-06-02T04:00:00.0000000Z,2018-06-02T03:00:00.0000000Z,4,4958.155527433
21,8.33e-06,8.34e-06,8.33e-06,8.34e-06,2018-06-02T04:49:42.0000000Z,2018-06-02T04:19:48.0000000Z,2018-06-02T05:00:00.0000000Z,2018-06-02T04:00:00.0000000Z,2,2456.5881
22,8.3e-06,8.3e-06,8.3e-06,8.3e-06,2018-06-02T05:37:33.0000000Z,2018-06-02T05:37:33.0000000Z,2018-06-02T06:00:00.0000000Z,2018-06-02T05:00:00.0000000Z,1,1639.6261
23,8.16e-06,8.33e-06,8.14e-06,8.33e-06,2018-06-02T06:55:14.0000000Z,2018-06-02T06:05:49.0000000Z,2018-06-02T07:00:00.0000000Z,2018-06-02T06:00:00.0000000Z,21,12199.558652605
24,8.279999999999999e-06,8.3e-06,8.18e-06,8.2e-06,2018-06-02T07:59:21.0000000Z,2018-06-02T07:02:35.0000000Z,2018-06-02T08:00:00.0000000Z,2018-06-02T07:00:00.0000000Z,35,38843.78571277
25,8.16e-06,8.220000000000001e-06,8.089999999999999e-06,8.220000000000001e-06,2018-06-02T08:54:02.0000000Z,2018-06-02T08:04:45.0000000Z,2018-06-02T09:00:00.0000000Z,2018-06-02T08:00:00.0000000Z,38,30291.526914458
26,8.109999999999999e-06,8.109999999999999e-06,8.109999999999999e-06,8.109999999999999e-06,2018-06-02T09:26:47.0000000Z,2018-06-02T09:26:42.0000000Z,2018-06-02T10:00:00.0000000Z,2018-06-02T09:00:00.0000000Z,4,3215.76785522
27,8.32e-06,8.390000000000001e-06,8.2e-06,8.2e-06,2018-06-02T10:38:41.0000000Z,2018-06-02T10:00:51.0000000Z,2018-06-02T11:00:00.0000000Z,2018-06-02T10:00:00.0000000Z,13,7230.730867203
28,8.3e-06,8.3e-06,8.3e-06,8.3e-06,2018-06-02T11:20:25.0000000Z,2018-06-02T11:20:25.0000000Z,2018-06-02T12:00:00.0000000Z,2018-06-02T11:00:00.0000000Z,1,1505.5834
29,8.099999999999999e-06,8.099999999999999e-06,8.099999999999999e-06,8.099999999999999e-06,2018-06-02T12:11:59.0000000Z,2018-06-02T12:11:59.0000000Z,2018-06-02T13:00:00.0000000Z,2018-06-02T12:00:00.0000000Z,2,748.501234567
30,8.15e-06,8.15e-06,8.099999999999999e-06,8.099999999999999e-06,2018-06-02T13:17:39.0000000Z,2018-06-02T13:05:10.0000000Z,2018-06-02T14:00:00.0000000Z,2018-06-02T13:00:00.0000000Z,7,4010.50543056
31,8.089999999999999e-06,8.089999999999999e-06,8.089999999999999e-06,8.089999999999999e-06,2018-06-02T14:26:29.0000000Z,2018-06-02T14:26:29.0000000Z,2018-06-02T15:00:00.0000000Z,2018-06-02T14:00:00.0000000Z,1,293.063643
32,8.18e-06,8.220000000000001e-06,8.119999999999998e-06,8.17e-06,2018-06-02T15:54:15.0000000Z,2018-06-02T15:23:19.0000000Z,2018-06-02T16:00:00.0000000Z,2018-06-02T15:00:00.0000000Z,27,20818.879330139
33,8.2e-06,8.33e-06,8.19e-06,8.19e-06,2018-06-02T16:58:07.0000000Z,2018-06-02T16:01:25.0000000Z,2018-06-02T17:00:00.0000000Z,2018-06-02T16:00:00.0000000Z,35,48391.53133243
34,8.19e-06,8.31e-06,8.19e-06,8.289999999999999e-06,2018-06-02T17:45:28.0000000Z,2018-06-02T17:15:28.0000000Z,2018-06-02T18:00:00.0000000Z,2018-06-02T17:00:00.0000000Z,12,17170.28017368
35,8.2e-06,8.210000000000001e-06,8.2e-06,8.2e-06,2018-06-02T18:21:25.0000000Z,2018-06-02T18:13:54.0000000Z,2018-06-02T19:00:00.0000000Z,2018-06-02T18:00:00.0000000Z,3,1024.0003
36,8.32e-06,8.439999999999999e-06,8.2e-06,8.2e-06,2018-06-02T19:59:47.0000000Z,2018-06-02T19:20:20.0000000Z,2018-06-02T20:00:00.0000000Z,2018-06-02T19:00:00.0000000Z,37,23620.956025911
37,8.2e-06,8.380000000000001e-06,8.2e-06,8.2e-06,2018-06-02T20:51:39.0000000Z,2018-06-02T20:32:19.0000000Z,2018-06-02T21:00:00.0000000Z,2018-06-02T20:00:00.0000000Z,3,647.060945
38,8.17e-06,8.17e-06,8.17e-06,8.17e-06,2018-06-02T21:07:46.0000000Z,2018-06-02T21:07:46.0000000Z,2018-06-02T22:00:00.0000000Z,2018-06-02T21:00:00.0000000Z,1,468.3202
39,8.210000000000001e-06,8.210000000000001e-06,8.17e-06,8.18e-06,2018-06-02T22:36:31.0000000Z,2018-06-02T22:00:01.0000000Z,2018-06-02T23:00:00.0000000Z,2018-06-02T22:00:00.0000000Z,7,3217.55717119
40,8.19e-06,8.19e-06,8.17e-06,8.17e-06,2018-06-02T23:25:49.0000000Z,2018-06-02T23:19:01.0000000Z,2018-06-03T00:00:00.0000000Z,2018-06-02T23:00:00.0000000Z,10,10171.21280158
41,8.15e-06,8.15e-06,8.15e-06,8.15e-06,2018-06-03T00:44:21.0000000Z,2018-06-03T00:44:18.0000000Z,2018-06-03T01:00:00.0000000Z,2018-06-03T00:00:00.0000000Z,2,2408.85571041
42,8.109999999999999e-06,8.17e-06,8.109999999999999e-06,8.14e-06,2018-06-03T01:37:21.0000000Z,2018-06-03T01:25:07.0000000Z,2018-06-03T02:00:00.0000000Z,2018-06-03T01:00:00.0000000Z,4,1417.75453172
43,8.089999999999999e-06,8.089999999999999e-06,8.06e-06,8.06e-06,2018-06-03T05:29:28.0000000Z,2018-06-03T05:12:31.0000000Z,2018-06-03T06:00:00.0000000Z,2018-06-03T05:00:00.0000000Z,4,3146.24736215
44,8.109999999999999e-06,8.119999999999998e-06,8.109999999999999e-06,8.119999999999998e-06,2018-06-03T06:15:24.0000000Z,2018-06-03T06:14:57.0000000Z,2018-06-03T07:00:00.0000000Z,2018-06-03T06:00:00.0000000Z,2,24.64572717
45,8.06e-06,8.06e-06,8.06e-06,8.06e-06,2018-06-03T08:40:40.0000000Z,2018-06-03T08:40:40.0000000Z,2018-06-03T09:00:00.0000000Z,2018-06-03T08:00:00.0000000Z,1,1363.26275209
46,8.01e-06,8.06e-06,8.01e-06,8.06e-06,2018-06-03T09:50:07.0000000Z,2018-06-03T09:05:21.0000000Z,2018-06-03T10:00:00.0000000Z,2018-06-03T09:00:00.0000000Z,6,2111.01734791
47,8.099999999999999e-06,8.099999999999999e-06,8.089999999999999e-06,8.089999999999999e-06,2018-06-03T10:56:25.0000000Z,2018-06-03T10:56:24.0000000Z,2018-06-03T11:00:00.0000000Z,2018-06-03T10:00:00.0000000Z,3,1013.9176492
48,8.01e-06,8.099999999999999e-06,8.01e-06,8.099999999999999e-06,2018-06-03T11:37:13.0000000Z,2018-06-03T11:00:14.0000000Z,2018-06-03T12:00:00.0000000Z,2018-06-03T11:00:00.0000000Z,6,1315.87709252
49,8.099999999999999e-06,8.16e-06,8.06e-06,8.099999999999999e-06,2018-06-03T12:52:59.0000000Z,2018-06-03T12:28:42.0000000Z,2018-06-03T13:00:00.0000000Z,2018-06-03T12:00:00.0000000Z,17,14551.417904208
50,8e-06,8.06e-06,8e-06,8.06e-06,2018-06-03T13:45:40.0000000Z,2018-06-03T13:02:35.0000000Z,2018-06-03T14:00:00.0000000Z,2018-06-03T13:00:00.0000000Z,6,3160.61606768
51,8.01e-06,8.01e-06,8.01e-06,8.01e-06,2018-06-03T15:33:36.0000000Z,2018-06-03T15:33:35.0000000Z,2018-06-03T16:00:00.0000000Z,2018-06-03T15:00:00.0000000Z,2,1684.24844566
52,8.01e-06,8.01e-06,7.98e-06,7.99e-06,2018-06-03T16:39:33.0000000Z,2018-06-03T16:00:43.0000000Z,2018-06-03T17:00:00.0000000Z,2018-06-03T16:00:00.0000000Z,4,4196.6633
53,7.98e-06,7.98e-06,7.98e-06,7.98e-06,2018-06-03T17:30:21.0000000Z,2018-06-03T17:30:21.0000000Z,2018-06-03T18:00:00.0000000Z,2018-06-03T17:00:00.0000000Z,1,477.7746
54,8e-06,8.01e-06,7.94e-06,7.94e-06,2018-06-03T19:52:48.0000000Z,2018-06-03T19:50:52.0000000Z,2018-06-03T20:00:00.0000000Z,2018-06-03T19:00:00.0000000Z,4,3826.80454322
55,7.879999999999999e-06,7.879999999999999e-06,7.879999999999999e-06,7.879999999999999e-06,2018-06-03T20:33:01.0000000Z,2018-06-03T20:33:01.0000000Z,2018-06-03T21:00:00.0000000Z,2018-06-03T20:00:00.0000000Z,1,761.43098263
