,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,1.03,1.03,1.022,1.022,2018-10-14T23:59:56.0000000Z,2018-10-14T02:38:45.0000000Z,2018-10-15T00:00:00.0000000Z,2018-10-14T00:00:00.0000000Z,127,170645.743583715
1,1.055,1.496,1.024,1.029,2018-10-15T23:53:56.0000000Z,2018-10-15T00:04:26.0000000Z,2018-10-16T00:00:00.0000000Z,2018-10-15T00:00:00.0000000Z,1054,452355.37843221
2,1.04,1.062,1.04,1.048,2018-10-16T22:52:59.0000000Z,2018-10-16T00:23:34.0000000Z,2018-10-17T00:00:00.0000000Z,2018-10-16T00:00:00.0000000Z,282,181740.55450608
3,1.038,1.05,1.035,1.041,2018-10-17T22:59:35.0000000Z,2018-10-17T01:02:30.0000000Z,2018-10-18T00:00:00.0000000Z,2018-10-17T00:00:00.0000000Z,188,191966.174976695
4,1.03,1.052,1.029,1.04,2018-10-18T23:44:12.0000000Z,2018-10-18T01:24:13.0000000Z,2018-10-19T00:00:00.0000000Z,2018-10-18T00:00:00.0000000Z,240,101190.95047029
5,1.019,1.034,1.018,1.032,2018-10-19T22:31:49.0000000Z,2018-10-19T00:21:46.0000000Z,2018-10-20T00:00:00.0000000Z,2018-10-19T00:00:00.0000000Z,68,62547.15370824
6,1.023,1.023,1.018,1.019,2018-10-20T22:02:24.0000000Z,2018-10-20T00:04:30.0000000Z,2018-10-21T00:00:00.0000000Z,2018-10-20T00:00:00.0000000Z,46,5139.22307358
7,1.027,1.03,1.022,1.022,2018-10-21T23:59:22.0000000Z,2018-10-21T00:17:31.0000000Z,2018-10-22T00:00:00.0000000Z,2018-10-21T00:00:00.0000000Z,44,27869.794614635
8,1.022,1.032,1.021,1.027,2018-10-22T23:11:28.0000000Z,2018-10-22T01:09:23.0000000Z,2018-10-23T00:00:00.0000000Z,2018-10-22T00:00:00.0000000Z,96,113254.151619165
9,1.023,1.028,1.021,1.022,2018-10-23T21:18:10.0000000Z,2018-10-23T00:41:08.0000000Z,2018-10-24T00:00:00.0000000Z,2018-10-23T00:00:00.0000000Z,26,12798.23978988
10,1.024,1.026,1.023,1.024,2018-10-24T23:27:49.0000000Z,2018-10-24T00:10:08.0000000Z,2018-10-25T00:00:00.0000000Z,2018-10-24T00:00:00.0000000Z,14,4663.49660838
