,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,0.3478,0.3698,0.3443,0.365,2018-12-31T23:56:35.0000000Z,2018-12-31T00:00:08.0000000Z,2019-01-01T00:00:00.0000000Z,2018-12-31T00:00:00.0000000Z,3748,2949761.510740101
1,0.36,0.3602,0.3458,0.3485,2019-01-01T23:59:58.0000000Z,2019-01-01T00:00:52.0000000Z,2019-01-02T00:00:00.0000000Z,2019-01-01T00:00:00.0000000Z,2339,1777306.25258208
2,0.369,0.3745,0.3531,0.36,2019-01-02T23:59:45.0000000Z,2019-01-02T00:00:00.0000000Z,2019-01-03T00:00:00.0000000Z,2019-01-02T00:00:00.0000000Z,4808,5035656.028723327
3,0.3528,0.3691,0.3486,0.3686,2019-01-03T23:55:01.0000000Z,2019-01-03T00:01:59.0000000Z,2019-01-04T00:00:00.0000000Z,2019-01-03T00:00:00.0000000Z,3981,3769423.521078467
4,0.3531,0.358,0.3445,0.3523,2019-01-04T23:59:51.0000000Z,2019-01-04T00:01:21.0000000Z,2019-01-05T00:00:00.0000000Z,2019-01-04T00:00:00.0000000Z,3348,2440714.613625364
5,0.3491,0.3592,0.346,0.3535,2019-01-05T23:59:57.0000000Z,2019-01-05T00:01:10.0000000Z,2019-01-06T00:00:00.0000000Z,2019-01-05T00:00:00.0000000Z,4001,3775521.032017733
6,0.3602,0.3644,0.3459,0.3491,2019-01-06T23:59:40.0000000Z,2019-01-06T00:00:11.0000000Z,2019-01-07T00:00:00.0000000Z,2019-01-06T00:00:00.0000000Z,3975,3368228.368098012
7,0.361,0.3722,0.3574,0.3605,2019-01-07T23:59:54.0000000Z,2019-01-07T00:01:15.0000000Z,2019-01-08T00:00:00.0000000Z,2019-01-07T00:00:00.0000000Z,5259,5623388.590948225
8,0.3602,0.3676,0.3547,0.361,2019-01-08T23:58:17.0000000Z,2019-01-08T00:00:06.0000000Z,2019-01-09T00:00:00.0000000Z,2019-01-08T00:00:00.0000000Z,4046,3872825.09936585
9,0.3647,0.3688,0.3583,0.361,2019-01-09T23:59:51.0000000Z,2019-01-09T00:00:41.0000000Z,2019-01-10T00:00:00.0000000Z,2019-01-09T00:00:00.0000000Z,3773,3312994.462382272
10,0.3249,0.38,0.3162,0.3647,2019-01-10T23:59:47.0000000Z,2019-01-10T00:00:00.0000000Z,2019-01-11T00:00:00.0000000Z,2019-01-10T00:00:00.0000000Z,10139,10911919.540490452
11,0.3257,0.3323,0.3188,0.3249,2019-01-11T23:59:05.0000000Z,2019-01-11T00:00:46.0000000Z,2019-01-12T00:00:00.0000000Z,2019-01-11T00:00:00.0000000Z,3397,2842726.707711001
12,0.3255,0.3302,0.3215,0.3258,2019-01-12T23:59:45.0000000Z,2019-01-12T00:00:36.0000000Z,2019-01-13T00:00:00.0000000Z,2019-01-12T00:00:00.0000000Z,2388,1781005.346337313
13,0.3108,0.3293,0.3088,0.3255,2019-01-13T23:53:16.0000000Z,2019-01-13T00:00:45.0000000Z,2019-01-14T00:00:00.0000000Z,2019-01-13T00:00:00.0000000Z,2518,2091458.318858889
14,0.3283,0.3348,0.311,0.311,2019-01-14T23:59:44.0000000Z,2019-01-14T00:00:18.0000000Z,2019-01-15T00:00:00.0000000Z,2019-01-14T00:00:00.0000000Z,3028,2730236.894030682
15,0.3216,0.3315,0.3171,0.3287,2019-01-15T23:59:46.0000000Z,2019-01-15T00:03:08.0000000Z,2019-01-16T00:00:00.0000000Z,2019-01-15T00:00:00.0000000Z,2136,1922397.768575851
