,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,579.54,581.19,577.3,577.3,2018-06-01T00:59:18.9540000Z,2018-06-01T00:00:01.4930000Z,2018-06-01T01:00:00.0000000Z,2018-06-01T00:00:00.0000000Z,256,489.14192303
1,577.34,580.0,576.56,579.1,2018-06-01T01:59:10.6170000Z,2018-06-01T01:00:18.3220000Z,2018-06-01T02:00:00.0000000Z,2018-06-01T01:00:00.0000000Z,177,140.28784125
2,572.12,579.51,568.35,577.34,2018-06-01T02:59:40.9600000Z,2018-06-01T02:00:09.2420000Z,2018-06-01T03:00:00.0000000Z,2018-06-01T02:00:00.0000000Z,687,3310.35267323
3,573.16,574.14,568.2,571.83,2018-06-01T03:59:51.8280000Z,2018-06-01T03:00:07.7290000Z,2018-06-01T04:00:00.0000000Z,2018-06-01T03:00:00.0000000Z,297,690.9533198
4,574.0,574.0,570.0,572.1,2018-06-01T04:59:58.0100000Z,2018-06-01T04:00:35.5260000Z,2018-06-01T05:00:00.0000000Z,2018-06-01T04:00:00.0000000Z,213,1027.85438716
5,574.0,574.66,572.42,572.96,2018-06-01T05:59:07.6800000Z,2018-06-01T05:00:21.1120000Z,2018-06-01T06:00:00.0000000Z,2018-06-01T05:00:00.0000000Z,263,738.10050401
6,580.5,580.8,574.02,574.08,2018-06-01T06:59:45.2140000Z,2018-06-01T06:00:11.4620000Z,2018-06-01T07:00:00.0000000Z,2018-06-01T06:00:00.0000000Z,277,1720.44033175
7,582.0,584.99,580.63,580.77,2018-06-01T07:59:59.3300000Z,2018-06-01T07:00:00.8710000Z,2018-06-01T08:00:00.0000000Z,2018-06-01T07:00:00.0000000Z,229,540.35228273
8,586.99,587.0,580.99,581.25,2018-06-01T08:59:54.3960000Z,2018-06-01T08:00:49.3460000Z,2018-06-01T09:00:00.0000000Z,2018-06-01T08:00:00.0000000Z,228,481.41186211
9,584.1,588.61,582.17,587.0,2018-06-01T09:56:58.3960000Z,2018-06-01T09:00:08.4370000Z,2018-06-01T10:00:00.0000000Z,2018-06-01T09:00:00.0000000Z,98,344.42698
10,584.6,585.68,582.81,583.42,2018-06-01T10:56:02.1800000Z,2018-06-01T10:00:24.4200000Z,2018-06-01T11:00:00.0000000Z,2018-06-01T10:00:00.0000000Z,118,339.051659
11,572.62,585.78,572.62,584.8,2018-06-01T11:59:44.0310000Z,2018-06-01T11:02:04.2460000Z,2018-06-01T12:00:00.0000000Z,2018-06-01T11:00:00.0000000Z,234,687.11350866
12,573.64,574.97,570.68,571.07,2018-06-01T12:59:01.6620000Z,2018-06-01T12:00:09.4270000Z,2018-06-01T13:00:00.0000000Z,2018-06-01T12:00:00.0000000Z,479,571.33095708
13,573.86,574.0,571.87,573.43,2018-06-01T13:59:53.6760000Z,2018-06-01T13:00:13.2750000Z,2018-06-01T14:00:00.0000000Z,2018-06-01T13:00:00.0000000Z,250,263.50228616
14,574.82,575.02,572.6,573.89,2018-06-01T14:59:43.9280000Z,2018-06-01T14:00:16.2130000Z,2018-06-01T15:00:00.0000000Z,2018-06-01T14:00:00.0000000Z,268,246.16487724
15,575.11,575.54,572.01,573.96,2018-06-01T15:58:33.4750000Z,2018-06-01T15:00:29.8620000Z,2018-06-01T16:00:00.0000000Z,2018-06-01T15:00:00.0000000Z,449,589.09254774
16,572.73,577.4,571.91,575.04,2018-06-01T16:59:56.2370000Z,2018-06-01T16:00:16.6710000Z,2018-06-01T17:00:00.0000000Z,2018-06-01T16:00:00.0000000Z,474,475.70078253
17,566.47,571.99,564.06,571.95,2018-06-01T17:59:49.2200000Z,2018-06-01T17:00:31.2460000Z,2018-06-01T18:00:00.0000000Z,2018-06-01T17:00:00.0000000Z,443,777.65179885
18,566.45,567.0,564.74,566.45,2018-06-01T18:58:03.1310000Z,2018-06-01T18:00:17.4100000Z,2018-06-01T19:00:00.0000000Z,2018-06-01T18:00:00.0000000Z,219,248.48272557
19,571.82,573.0,565.71,566.0,2018-06-01T19:57:46.6110000Z,2018-06-01T19:00:03.0860000Z,2018-06-01T20:00:00.0000000Z,2018-06-01T19:00:00.0000000Z,459,434.85673344
20,564.01,573.0,564.01,571.35,2018-06-01T20:59:55.1030000Z,2018-06-01T20:00:00.0670000Z,2018-06-01T21:00:00.0000000Z,2018-06-01T20:00:00.0000000Z,548,2596.98505665
21,570.0,570.27,564.91,565.36,2018-06-01T21:55:33.5090000Z,2018-06-01T21:00:21.2710000Z,2018-06-01T22:00:00.0000000Z,2018-06-01T21:00:00.0000000Z,616,714.29611785
