,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,54.6,54.7,54.6,54.7,2018-10-16T13:59:00.9010000Z,2018-10-16T13:38:50.4120000Z,2018-10-16T14:00:00.0000000Z,2018-10-16T13:00:00.0000000Z,56,564.8322527
1,53.84,54.69,53.84,54.6,2018-10-16T14:58:20.7500000Z,2018-10-16T14:00:08.0990000Z,2018-10-16T15:00:00.0000000Z,2018-10-16T14:00:00.0000000Z,118,1005.8994432
2,53.67,54.0,53.59,53.84,2018-10-16T15:59:49.9660000Z,2018-10-16T15:00:54.8690000Z,2018-10-16T16:00:00.0000000Z,2018-10-16T15:00:00.0000000Z,53,599.4283315
3,52.88,53.67,52.83,53.67,2018-10-16T16:54:08.3000000Z,2018-10-16T16:01:35.5400000Z,2018-10-16T17:00:00.0000000Z,2018-10-16T16:00:00.0000000Z,38,414.8297165
4,52.95,53.01,52.77,53.0,2018-10-16T17:57:49.6900000Z,2018-10-16T17:00:33.3870000Z,2018-10-16T18:00:00.0000000Z,2018-10-16T17:00:00.0000000Z,19,177.7321714
5,53.02,53.1,52.94,52.94,2018-10-16T18:58:40.5700000Z,2018-10-16T18:01:05.4510000Z,2018-10-16T19:00:00.0000000Z,2018-10-16T18:00:00.0000000Z,28,269.4963395
6,52.9,53.02,52.9,52.95,2018-10-16T19:54:53.4540000Z,2018-10-16T19:04:03.2850000Z,2018-10-16T20:00:00.0000000Z,2018-10-16T19:00:00.0000000Z,16,86.3646461
7,53.02,54.62,52.88,53.22,2018-10-16T20:59:53.6080000Z,2018-10-16T20:00:00.0340000Z,2018-10-16T21:00:00.0000000Z,2018-10-16T20:00:00.0000000Z,23,145.3665072
8,53.14,53.14,52.8,52.95,2018-10-16T21:58:11.3260000Z,2018-10-16T21:07:34.0600000Z,2018-10-16T22:00:00.0000000Z,2018-10-16T21:00:00.0000000Z,20,251.017362
9,53.01,53.1,52.98,53.1,2018-10-16T22:55:32.5910000Z,2018-10-16T22:00:10.9400000Z,2018-10-16T23:00:00.0000000Z,2018-10-16T22:00:00.0000000Z,13,61.54727
10,53.25,53.36,53.08,53.09,2018-10-16T23:55:06.6870000Z,2018-10-16T23:09:14.3700000Z,2018-10-17T00:00:00.0000000Z,2018-10-16T23:00:00.0000000Z,14,127.1319647
11,53.19,53.26,53.0,53.26,2018-10-17T00:59:03.7970000Z,2018-10-17T00:00:09.0720000Z,2018-10-17T01:00:00.0000000Z,2018-10-17T00:00:00.0000000Z,23,235.5826716
12,53.19,53.23,53.19,53.19,2018-10-17T01:59:29.0760000Z,2018-10-17T01:04:10.3450000Z,2018-10-17T02:00:00.0000000Z,2018-10-17T01:00:00.0000000Z,14,61.17021
13,53.0,53.19,53.0,53.19,2018-10-17T02:56:51.2490000Z,2018-10-17T02:02:17.6020000Z,2018-10-17T03:00:00.0000000Z,2018-10-17T02:00:00.0000000Z,26,209.8426905
14,52.92,53.02,52.92,52.99,2018-10-17T03:53:59.7780000Z,2018-10-17T03:00:10.4900000Z,2018-10-17T04:00:00.0000000Z,2018-10-17T03:00:00.0000000Z,11,186.17828
15,52.73,54.27,52.69,52.96,2018-10-17T04:58:16.5030000Z,2018-10-17T04:07:22.0120000Z,2018-10-17T05:00:00.0000000Z,2018-10-17T04:00:00.0000000Z,21,81.6720048
16,52.7,52.9,52.7,52.73,2018-10-17T05:54:18.0130000Z,2018-10-17T05:00:14.4350000Z,2018-10-17T06:00:00.0000000Z,2018-10-17T05:00:00.0000000Z,14,307.7240918
17,54.49,54.5,52.82,52.82,2018-10-17T06:33:45.5340000Z,2018-10-17T06:17:29.4510000Z,2018-10-17T07:00:00.0000000Z,2018-10-17T06:00:00.0000000Z,3,18.9092046
18,52.82,52.82,52.8,52.8,2018-10-17T07:19:37.3410000Z,2018-10-17T07:01:48.3000000Z,2018-10-17T08:00:00.0000000Z,2018-10-17T07:00:00.0000000Z,3,22.46916
19,52.8,52.82,52.7,52.82,2018-10-17T08:58:59.1050000Z,2018-10-17T08:07:41.1040000Z,2018-10-17T09:00:00.0000000Z,2018-10-17T08:00:00.0000000Z,7,17.0830253
20,52.69,52.7,52.69,52.7,2018-10-17T09:45:31.4800000Z,2018-10-17T09:30:55.3930000Z,2018-10-17T10:00:00.0000000Z,2018-10-17T09:00:00.0000000Z,3,25.2332
21,52.63,52.74,52.6,52.74,2018-10-17T10:27:06.2910000Z,2018-10-17T10:01:33.5230000Z,2018-10-17T11:00:00.0000000Z,2018-10-17T10:00:00.0000000Z,7,25.49921
22,52.53,52.53,52.44,52.5,2018-10-17T11:35:57.7100000Z,2018-10-17T11:07:29.8910000Z,2018-10-17T12:00:00.0000000Z,2018-10-17T11:00:00.0000000Z,7,19.34235
23,52.56,52.58,52.43,52.47,2018-10-17T12:58:02.3830000Z,2018-10-17T12:03:36.8050000Z,2018-10-17T13:00:00.0000000Z,2018-10-17T12:00:00.0000000Z,12,294.6297072
24,52.46,52.56,52.45,52.56,2018-10-17T13:46:16.5880000Z,2018-10-17T13:00:42.9440000Z,2018-10-17T14:00:00.0000000Z,2018-10-17T13:00:00.0000000Z,12,71.8685252
