,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,0.2588,0.2674,0.2588,0.2674,2018-10-16T23:25:12.4200000Z,2018-10-16T13:43:28.5080000Z,2018-10-17T00:00:00.0000000Z,2018-10-16T00:00:00.0000000Z,34,190.2103732
1,0.2602,0.2674,0.2565,0.2674,2018-10-17T19:16:33.6010000Z,2018-10-17T00:08:25.4280000Z,2018-10-18T00:00:00.0000000Z,2018-10-17T00:00:00.0000000Z,164,1709.58752
2,0.2615,0.2625,0.2576,0.2579,2018-10-18T22:00:43.1310000Z,2018-10-18T00:52:20.1860000Z,2018-10-19T00:00:00.0000000Z,2018-10-18T00:00:00.0000000Z,18,284.19987
3,0.2613,0.2662,0.2589,0.2593,2018-10-19T21:57:24.0850000Z,2018-10-19T00:16:35.5810000Z,2018-10-20T00:00:00.0000000Z,2018-10-19T00:00:00.0000000Z,61,286.3631237
4,0.2618,0.2618,0.259,0.2591,2018-10-20T20:19:01.0420000Z,2018-10-20T07:55:15.0580000Z,2018-10-21T00:00:00.0000000Z,2018-10-20T00:00:00.0000000Z,9,45.63219
5,0.2584,0.261,0.2577,0.2583,2018-10-21T23:45:57.0860000Z,2018-10-21T01:53:31.3900000Z,2018-10-22T00:00:00.0000000Z,2018-10-21T00:00:00.0000000Z,24,81.95551
6,0.2578,0.2586,0.2564,0.2581,2018-10-22T22:26:42.9420000Z,2018-10-22T00:00:42.5170000Z,2018-10-23T00:00:00.0000000Z,2018-10-22T00:00:00.0000000Z,168,929.4251051
7,0.2592,0.2624,0.2572,0.2575,2018-10-23T23:18:04.5140000Z,2018-10-23T00:06:12.7010000Z,2018-10-24T00:00:00.0000000Z,2018-10-23T00:00:00.0000000Z,48,161.63452
8,0.2589,0.2597,0.2581,0.2588,2018-10-24T23:34:46.4380000Z,2018-10-24T03:04:36.0600000Z,2018-10-25T00:00:00.0000000Z,2018-10-24T00:00:00.0000000Z,39,143.2864
9,0.2592,0.2606,0.2585,0.2601,2018-10-25T18:52:36.3510000Z,2018-10-25T01:47:11.6160000Z,2018-10-26T00:00:00.0000000Z,2018-10-25T00:00:00.0000000Z,33,203.3705
10,0.2581,0.259,0.2567,0.259,2018-10-26T17:06:40.4470000Z,2018-10-26T00:10:06.3980000Z,2018-10-27T00:00:00.0000000Z,2018-10-26T00:00:00.0000000Z,30,123.08045
11,0.2561,0.2579,0.2561,0.2563,2018-10-27T17:47:44.9070000Z,2018-10-27T00:31:33.4890000Z,2018-10-28T00:00:00.0000000Z,2018-10-27T00:00:00.0000000Z,8,22.21818
12,0.2504,0.2551,0.2433,0.255,2018-10-29T23:50:23.6570000Z,2018-10-29T04:12:22.1940000Z,2018-10-30T00:00:00.0000000Z,2018-10-29T00:00:00.0000000Z,186,836.15803
13,0.2502,0.2519,0.2501,0.2505,2018-10-30T23:33:36.8750000Z,2018-10-30T01:02:34.0490000Z,2018-10-31T00:00:00.0000000Z,2018-10-30T00:00:00.0000000Z,33,140.14243
14,0.2517,0.2537,0.2479,0.2511,2018-10-31T23:27:21.8350000Z,2018-10-31T01:46:59.5110000Z,2018-11-01T00:00:00.0000000Z,2018-10-31T00:00:00.0000000Z,225,1167.6830616
15,0.2536,0.2544,0.2511,0.2518,2018-11-01T23:23:00.6550000Z,2018-11-01T00:41:50.7070000Z,2018-11-02T00:00:00.0000000Z,2018-11-01T00:00:00.0000000Z,112,353.74644
16,0.2559,0.2585,0.2533,0.2533,2018-11-02T20:29:38.7710000Z,2018-11-02T00:43:58.7270000Z,2018-11-03T00:00:00.0000000Z,2018-11-02T00:00:00.0000000Z,176,680.49705
17,0.2561,0.2565,0.256,0.2565,2018-11-03T12:13:47.2210000Z,2018-11-03T05:09:27.0160000Z,2018-11-04T00:00:00.0000000Z,2018-11-03T00:00:00.0000000Z,4,95.66345
18,0.2566,0.2705,0.2566,0.2656,2018-11-04T23:59:35.5180000Z,2018-11-04T09:05:42.7620000Z,2018-11-05T00:00:00.0000000Z,2018-11-04T00:00:00.0000000Z,18,306.70192
19,0.2567,0.261,0.2548,0.2606,2018-11-05T23:58:39.1870000Z,2018-11-05T01:04:27.9450000Z,2018-11-06T00:00:00.0000000Z,2018-11-05T00:00:00.0000000Z,303,1585.83558
20,0.256,0.2593,0.2513,0.2565,2018-11-06T23:54:53.0680000Z,2018-11-06T00:01:14.9230000Z,2018-11-07T00:00:00.0000000Z,2018-11-06T00:00:00.0000000Z,514,2380.65538
21,0.2484,0.2556,0.2467,0.2556,2018-11-07T23:42:45.3040000Z,2018-11-07T00:13:19.9990000Z,2018-11-08T00:00:00.0000000Z,2018-11-07T00:00:00.0000000Z,379,1513.770859
22,0.2477,0.2506,0.2474,0.2498,2018-11-08T23:56:57.5320000Z,2018-11-08T00:09:09.1150000Z,2018-11-09T00:00:00.0000000Z,2018-11-08T00:00:00.0000000Z,530,2567.50786
23,0.2458,0.2487,0.2458,0.2476,2018-11-09T21:42:25.7790000Z,2018-11-09T02:59:22.2850000Z,2018-11-10T00:00:00.0000000Z,2018-11-09T00:00:00.0000000Z,295,1471.69641
24,0.2469,0.2478,0.2455,0.2478,2018-11-10T22:03:09.0890000Z,2018-11-10T06:22:30.3480000Z,2018-11-11T00:00:00.0000000Z,2018-11-10T00:00:00.0000000Z,5,21.8474
25,0.24,0.2473,0.24,0.2473,2018-11-11T23:45:40.1980000Z,2018-11-11T00:27:33.0020000Z,2018-11-12T00:00:00.0000000Z,2018-11-11T00:00:00.0000000Z,54,1514.25117
26,0.2411,0.243,0.24,0.2408,2018-11-12T23:35:01.2020000Z,2018-11-12T00:06:42.1540000Z,2018-11-13T00:00:00.0000000Z,2018-11-12T00:00:00.0000000Z,208,869.01588
27,0.24,0.2438,0.24,0.2413,2018-11-13T19:02:21.7170000Z,2018-11-13T01:39:57.3170000Z,2018-11-14T00:00:00.0000000Z,2018-11-13T00:00:00.0000000Z,123,581.60167
28,0.241,0.2507,0.2336,0.242,2018-11-14T23:48:20.9580000Z,2018-11-14T02:08:42.5450000Z,2018-11-15T00:00:00.0000000Z,2018-11-14T00:00:00.0000000Z,2205,10868.6514977
29,0.2449,0.2469,0.2391,0.241,2018-11-15T21:24:55.8640000Z,2018-11-15T00:47:18.3090000Z,2018-11-16T00:00:00.0000000Z,2018-11-15T00:00:00.0000000Z,380,1894.13444
