,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,8858.85,8858.85,8851.79,8851.79,2018-10-16T02:44:36.0000000Z,2018-10-16T01:19:22.0000000Z,2018-10-17T00:00:00.0000000Z,2018-10-16T00:00:00.0000000Z,2,0.0079
1,4974.64,4979.77,4974.64,4979.77,2018-11-25T03:44:26.0000000Z,2018-11-25T03:44:26.0000000Z,2018-11-26T00:00:00.0000000Z,2018-11-25T00:00:00.0000000Z,2,4.4597
2,5665.0,5665.0,5665.0,5665.0,2018-11-30T10:10:12.0000000Z,2018-11-30T10:10:12.0000000Z,2018-12-01T00:00:00.0000000Z,2018-11-30T00:00:00.0000000Z,1,0.0135
3,4669.48,4669.48,4669.48,4669.48,2018-12-07T14:46:44.0000000Z,2018-12-07T14:46:44.0000000Z,2018-12-08T00:00:00.0000000Z,2018-12-07T00:00:00.0000000Z,1,0.001
4,4582.03,4582.03,4582.03,4582.03,2018-12-11T13:09:36.0000000Z,2018-12-11T13:09:36.0000000Z,2018-12-12T00:00:00.0000000Z,2018-12-11T00:00:00.0000000Z,1,0.005
5,5128.1,5128.1,5128.1,5128.1,2018-12-27T10:44:46.0000000Z,2018-12-27T10:44:46.0000000Z,2018-12-28T00:00:00.0000000Z,2018-12-27T00:00:00.0000000Z,1,0.0006
6,5209.6,5209.6,5193.11,5193.11,2018-12-30T21:39:48.0000000Z,2018-12-30T20:04:00.0000000Z,2018-12-31T00:00:00.0000000Z,2018-12-30T00:00:00.0000000Z,3,0.102
7,5103.0,5200.49,5098.0,5200.49,2018-12-31T11:45:18.0000000Z,2018-12-31T01:06:24.0000000Z,2019-01-01T00:00:00.0000000Z,2018-12-31T00:00:00.0000000Z,6,1.698
8,5244.03,5244.03,5244.03,5244.03,2019-01-03T13:50:15.0000000Z,2019-01-03T13:50:15.0000000Z,2019-01-04T00:00:00.0000000Z,2019-01-03T00:00:00.0000000Z,1,0.01
9,5147.93,5147.93,5147.93,5147.93,2019-01-05T22:10:23.0000000Z,2019-01-05T22:10:23.0000000Z,2019-01-06T00:00:00.0000000Z,2019-01-05T00:00:00.0000000Z,1,0.001
10,5298.95,5298.95,5120.95,5120.95,2019-01-06T17:16:09.0000000Z,2019-01-06T02:02:01.0000000Z,2019-01-07T00:00:00.0000000Z,2019-01-06T00:00:00.0000000Z,3,0.4654
11,5454.38,5454.38,5398.07,5398.07,2019-01-07T10:01:44.0000000Z,2019-01-07T09:54:13.0000000Z,2019-01-08T00:00:00.0000000Z,2019-01-07T00:00:00.0000000Z,2,0.3671
12,5427.88,5557.34,5420.77,5557.34,2019-01-08T23:15:13.0000000Z,2019-01-08T15:38:58.0000000Z,2019-01-09T00:00:00.0000000Z,2019-01-08T00:00:00.0000000Z,3,0.1439
13,5430.04,5432.69,5397.2,5397.2,2019-01-09T22:37:18.0000000Z,2019-01-09T00:52:29.0000000Z,2019-01-10T00:00:00.0000000Z,2019-01-09T00:00:00.0000000Z,4,0.7784
14,5099.27,5250.0,5099.27,5249.87,2019-01-10T06:50:11.0000000Z,2019-01-10T06:33:36.0000000Z,2019-01-11T00:00:00.0000000Z,2019-01-10T00:00:00.0000000Z,15,0.4038
15,4904.0,4925.19,4904.0,4925.19,2019-01-12T15:21:33.0000000Z,2019-01-12T06:01:57.0000000Z,2019-01-13T00:00:00.0000000Z,2019-01-12T00:00:00.0000000Z,2,0.2001
