,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,15.366,15.413,15.283,15.283,2018-06-01T00:57:24.0810000Z,2018-06-01T00:03:30.7530000Z,2018-06-01T01:00:00.0000000Z,2018-06-01T00:00:00.0000000Z,88,1816.37677462
1,15.321,15.332,15.297,15.332,2018-06-01T01:18:27.9300000Z,2018-06-01T01:06:43.9190000Z,2018-06-01T02:00:00.0000000Z,2018-06-01T01:00:00.0000000Z,12,26.33608712
2,15.268,15.396,15.268,15.345,2018-06-01T02:59:01.7350000Z,2018-06-01T02:15:12.5230000Z,2018-06-01T03:00:00.0000000Z,2018-06-01T02:00:00.0000000Z,23,437.41556024
3,15.274000000000001,15.362,15.24,15.24,2018-06-01T03:43:48.4130000Z,2018-06-01T03:00:54.2830000Z,2018-06-01T04:00:00.0000000Z,2018-06-01T03:00:00.0000000Z,23,167.72606678
4,15.176,15.25,15.15,15.25,2018-06-01T04:52:03.8100000Z,2018-06-01T04:01:31.7830000Z,2018-06-01T05:00:00.0000000Z,2018-06-01T04:00:00.0000000Z,42,2412.18942687
5,15.206,15.206,15.164,15.176,2018-06-01T05:33:06.3310000Z,2018-06-01T05:00:05.0290000Z,2018-06-01T06:00:00.0000000Z,2018-06-01T05:00:00.0000000Z,18,361.044
6,15.314,15.317,15.15,15.15,2018-06-01T06:54:40.2690000Z,2018-06-01T06:00:38.9910000Z,2018-06-01T07:00:00.0000000Z,2018-06-01T06:00:00.0000000Z,44,712.3698377
7,15.207,15.413,15.207,15.287,2018-06-01T07:58:56.6300000Z,2018-06-01T07:05:35.4700000Z,2018-06-01T08:00:00.0000000Z,2018-06-01T07:00:00.0000000Z,75,810.03621583
8,15.409,15.409,15.204,15.25,2018-06-01T08:57:41.7960000Z,2018-06-01T08:07:00.6890000Z,2018-06-01T09:00:00.0000000Z,2018-06-01T08:00:00.0000000Z,44,200.52932742
9,15.403,15.413,15.3,15.412,2018-06-01T09:51:16.1620000Z,2018-06-01T09:00:31.8690000Z,2018-06-01T10:00:00.0000000Z,2018-06-01T09:00:00.0000000Z,52,3617.10982797
10,15.379,15.413,15.379,15.39,2018-06-01T10:56:31.1930000Z,2018-06-01T10:33:24.8180000Z,2018-06-01T11:00:00.0000000Z,2018-06-01T10:00:00.0000000Z,23,315.08200247
11,15.204,15.4,15.147,15.389,2018-06-01T11:57:46.3230000Z,2018-06-01T11:17:53.3830000Z,2018-06-01T12:00:00.0000000Z,2018-06-01T11:00:00.0000000Z,22,602.32973606
12,15.181,15.186,15.074,15.1,2018-06-01T12:53:54.2300000Z,2018-06-01T12:00:25.6000000Z,2018-06-01T13:00:00.0000000Z,2018-06-01T12:00:00.0000000Z,42,215.48792669
13,15.204,15.214,15.198,15.198,2018-06-01T13:26:55.5600000Z,2018-06-01T13:06:48.7190000Z,2018-06-01T14:00:00.0000000Z,2018-06-01T13:00:00.0000000Z,13,49.59202945
14,15.15,15.208,15.107,15.199,2018-06-01T14:52:54.9700000Z,2018-06-01T14:33:23.5140000Z,2018-06-01T15:00:00.0000000Z,2018-06-01T14:00:00.0000000Z,35,813.6490476
15,15.156,15.19,15.156,15.163,2018-06-01T15:44:37.6650000Z,2018-06-01T15:39:10.9950000Z,2018-06-01T16:00:00.0000000Z,2018-06-01T15:00:00.0000000Z,10,57.64
16,15.269,15.3,15.091,15.156,2018-06-01T16:58:32.5210000Z,2018-06-01T16:06:18.0420000Z,2018-06-01T17:00:00.0000000Z,2018-06-01T16:00:00.0000000Z,67,1337.69535023
17,15.147,15.2,15.147,15.2,2018-06-01T17:51:24.9810000Z,2018-06-01T17:07:24.5770000Z,2018-06-01T18:00:00.0000000Z,2018-06-01T17:00:00.0000000Z,21,589.0694959
18,15.09,15.148,15.09,15.148,2018-06-01T18:59:19.5240000Z,2018-06-01T18:05:22.4840000Z,2018-06-01T19:00:00.0000000Z,2018-06-01T18:00:00.0000000Z,16,796.6719956
19,15.201,15.3,15.09,15.09,2018-06-01T19:59:02.9550000Z,2018-06-01T19:00:19.0160000Z,2018-06-01T20:00:00.0000000Z,2018-06-01T19:00:00.0000000Z,79,936.4924939
20,15.168,15.206,15.153,15.2,2018-06-01T20:47:24.4760000Z,2018-06-01T20:14:34.0830000Z,2018-06-01T21:00:00.0000000Z,2018-06-01T20:00:00.0000000Z,15,21.78377673
21,15.195,15.195,15.195,15.195,2018-06-01T21:49:55.4120000Z,2018-06-01T21:49:55.4120000Z,2018-06-01T22:00:00.0000000Z,2018-06-01T21:00:00.0000000Z,1,1.001001
22,15.41,15.413,15.149,15.156,2018-06-01T22:59:56.7320000Z,2018-06-01T22:02:29.1080000Z,2018-06-01T23:00:00.0000000Z,2018-06-01T22:00:00.0000000Z,125,4998.09315181
23,15.395,15.413,15.36,15.41,2018-06-01T23:59:37.0990000Z,2018-06-01T23:00:14.6310000Z,2018-06-02T00:00:00.0000000Z,2018-06-01T23:00:00.0000000Z,161,2529.26120336
