,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,63.11,63.75,63.11,63.13,2018-06-01T00:31:29.9840000Z,2018-06-01T00:04:42.8330000Z,2018-06-01T01:00:00.0000000Z,2018-06-01T00:00:00.0000000Z,10,21.74145612
1,62.82,62.82,62.65,62.65,2018-06-01T01:07:09.0550000Z,2018-06-01T01:05:12.8490000Z,2018-06-01T02:00:00.0000000Z,2018-06-01T01:00:00.0000000Z,3,4.04437606
2,62.14,62.53,62.14,62.53,2018-06-01T02:51:55.8120000Z,2018-06-01T02:27:17.1090000Z,2018-06-01T03:00:00.0000000Z,2018-06-01T02:00:00.0000000Z,6,7.17502602
3,62.17,63.09,62.17,62.52,2018-06-01T03:49:30.6520000Z,2018-06-01T03:45:33.9410000Z,2018-06-01T04:00:00.0000000Z,2018-06-01T03:00:00.0000000Z,8,14.0
4,61.78,62.18,61.78,62.18,2018-06-01T04:11:02.1370000Z,2018-06-01T04:06:56.0660000Z,2018-06-01T05:00:00.0000000Z,2018-06-01T04:00:00.0000000Z,12,27.12839395
5,62.46,62.46,61.46,61.84,2018-06-01T05:47:35.5260000Z,2018-06-01T05:45:34.1890000Z,2018-06-01T06:00:00.0000000Z,2018-06-01T05:00:00.0000000Z,11,10.48845255
6,62.43,62.45,62.39,62.44,2018-06-01T06:58:05.4980000Z,2018-06-01T06:00:14.3990000Z,2018-06-01T07:00:00.0000000Z,2018-06-01T06:00:00.0000000Z,14,5.01068433
7,64.15,64.15,62.45,62.45,2018-06-01T07:43:58.8670000Z,2018-06-01T07:10:57.3810000Z,2018-06-01T08:00:00.0000000Z,2018-06-01T07:00:00.0000000Z,25,46.90758386
8,63.17,64.15,63.17,63.72,2018-06-01T08:12:14.0270000Z,2018-06-01T08:00:22.2300000Z,2018-06-01T09:00:00.0000000Z,2018-06-01T08:00:00.0000000Z,10,14.4348981
9,63.25,63.59,63.17,63.59,2018-06-01T09:59:30.9730000Z,2018-06-01T09:24:15.7000000Z,2018-06-01T10:00:00.0000000Z,2018-06-01T09:00:00.0000000Z,16,12.87100953
10,63.25,63.31,63.25,63.31,2018-06-01T10:36:36.3360000Z,2018-06-01T10:00:02.9260000Z,2018-06-01T11:00:00.0000000Z,2018-06-01T10:00:00.0000000Z,6,3.45042196
11,62.77,63.84,62.77,63.8,2018-06-01T11:53:04.5680000Z,2018-06-01T11:06:21.3630000Z,2018-06-01T12:00:00.0000000Z,2018-06-01T11:00:00.0000000Z,29,45.72725132
12,61.8,63.85,61.8,62.57,2018-06-01T12:45:50.1230000Z,2018-06-01T12:11:11.5870000Z,2018-06-01T13:00:00.0000000Z,2018-06-01T12:00:00.0000000Z,27,14.88281906
13,61.88,62.51,61.88,62.51,2018-06-01T13:18:20.0330000Z,2018-06-01T13:18:15.7540000Z,2018-06-01T14:00:00.0000000Z,2018-06-01T13:00:00.0000000Z,2,0.401
14,62.77,62.77,61.88,61.88,2018-06-01T14:54:41.7960000Z,2018-06-01T14:06:39.1560000Z,2018-06-01T15:00:00.0000000Z,2018-06-01T14:00:00.0000000Z,9,1.05446299
15,61.9,62.7,61.9,62.7,2018-06-01T15:42:26.5430000Z,2018-06-01T15:16:01.1700000Z,2018-06-01T16:00:00.0000000Z,2018-06-01T15:00:00.0000000Z,6,5.82365302
16,61.8,62.64,61.8,62.64,2018-06-01T16:43:45.5230000Z,2018-06-01T16:02:03.0630000Z,2018-06-01T17:00:00.0000000Z,2018-06-01T16:00:00.0000000Z,15,13.12765162
17,61.17,61.61,61.17,61.35,2018-06-01T17:55:37.2450000Z,2018-06-01T17:17:23.8910000Z,2018-06-01T18:00:00.0000000Z,2018-06-01T17:00:00.0000000Z,19,11.21385761
18,61.23,61.24,61.17,61.17,2018-06-01T18:55:26.3780000Z,2018-06-01T18:04:35.0640000Z,2018-06-01T19:00:00.0000000Z,2018-06-01T18:00:00.0000000Z,87,51.02526195
19,61.47,61.51,61.17,61.17,2018-06-01T19:51:14.9070000Z,2018-06-01T19:03:45.6450000Z,2018-06-01T20:00:00.0000000Z,2018-06-01T19:00:00.0000000Z,5,4.1495606
20,61.17,61.47,61.17,61.47,2018-06-01T20:57:44.1180000Z,2018-06-01T20:12:22.9900000Z,2018-06-01T21:00:00.0000000Z,2018-06-01T20:00:00.0000000Z,29,13.68491721
