,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,0.04019,0.04229,0.03957,0.04226,2018-12-31T23:57:54.1870000Z,2018-12-31T00:03:18.1540000Z,2019-01-01T00:00:00.0000000Z,2018-12-31T00:00:00.0000000Z,1266,1534.81734512
1,0.04273,0.045,0.03991,0.0402,2019-01-01T23:57:54.1140000Z,2019-01-01T00:01:03.5340000Z,2019-01-02T00:00:00.0000000Z,2019-01-01T00:00:00.0000000Z,1880,3043.91061571
2,0.04359,0.04425,0.04225,0.04273,2019-01-02T23:58:41.4560000Z,2019-01-02T00:00:44.4280000Z,2019-01-03T00:00:00.0000000Z,2019-01-02T00:00:00.0000000Z,1235,2244.34236889
3,0.04214,0.04493,0.04161,0.04378,2019-01-03T23:58:33.9250000Z,2019-01-03T00:01:38.2150000Z,2019-01-04T00:00:00.0000000Z,2019-01-03T00:00:00.0000000Z,1330,1591.68631371
4,0.04164,0.04275,0.04067,0.04213,2019-01-04T23:57:00.1960000Z,2019-01-04T00:03:19.7480000Z,2019-01-05T00:00:00.0000000Z,2019-01-04T00:00:00.0000000Z,958,1592.10428172
5,0.04167,0.04314,0.04085,0.04162,2019-01-05T23:57:59.0270000Z,2019-01-05T00:00:31.8990000Z,2019-01-06T00:00:00.0000000Z,2019-01-05T00:00:00.0000000Z,1173,1669.77342228
6,0.04077,0.04181,0.04018,0.04168,2019-01-06T23:57:47.0920000Z,2019-01-06T00:10:15.8530000Z,2019-01-07T00:00:00.0000000Z,2019-01-06T00:00:00.0000000Z,811,1264.58289099
7,0.03989,0.04118,0.03933,0.04075,2019-01-07T23:54:54.3670000Z,2019-01-07T00:17:36.3960000Z,2019-01-08T00:00:00.0000000Z,2019-01-07T00:00:00.0000000Z,787,1037.78137216
8,0.04002,0.0403,0.03929,0.03989,2019-01-08T23:58:22.6040000Z,2019-01-08T00:06:49.0490000Z,2019-01-09T00:00:00.0000000Z,2019-01-08T00:00:00.0000000Z,654,716.13402745
9,0.03963,0.04005,0.03915,0.04005,2019-01-09T23:56:39.2510000Z,2019-01-09T00:10:09.0990000Z,2019-01-10T00:00:00.0000000Z,2019-01-09T00:00:00.0000000Z,447,749.59297305
10,0.03678,0.04074,0.03446,0.03964,2019-01-10T23:49:42.8320000Z,2019-01-10T00:04:24.2960000Z,2019-01-11T00:00:00.0000000Z,2019-01-10T00:00:00.0000000Z,4152,4675.48252221
11,0.0356,0.03658,0.03508,0.03649,2019-01-11T23:59:59.0240000Z,2019-01-11T00:02:08.0640000Z,2019-01-12T00:00:00.0000000Z,2019-01-11T00:00:00.0000000Z,3076,1350.36330766
12,0.03674,0.03769,0.03556,0.03559,2019-01-12T23:53:57.8990000Z,2019-01-12T00:00:42.5800000Z,2019-01-13T00:00:00.0000000Z,2019-01-12T00:00:00.0000000Z,1215,1769.22726419
13,0.03548,0.03706,0.03474,0.03677,2019-01-13T23:58:17.7930000Z,2019-01-13T00:20:28.6940000Z,2019-01-14T00:00:00.0000000Z,2019-01-13T00:00:00.0000000Z,764,1690.39607352
