,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,4.515e-05,4.515e-05,4.515e-05,4.515e-05,2018-09-07T00:35:27.0000000Z,2018-09-07T00:35:27.0000000Z,2018-09-07T01:00:00.0000000Z,2018-09-07T00:00:00.0000000Z,1,2242.6144173
1,1.5599999999999999e-06,3.737e-05,1.5599999999999999e-06,3.737e-05,2018-09-08T01:20:49.0000000Z,2018-09-08T01:19:09.0000000Z,2018-09-08T02:00:00.0000000Z,2018-09-08T01:00:00.0000000Z,3,1200.0
2,3.9580000000000004e-05,3.9580000000000004e-05,3.9580000000000004e-05,3.9580000000000004e-05,2018-09-09T00:32:58.0000000Z,2018-09-09T00:32:58.0000000Z,2018-09-09T01:00:00.0000000Z,2018-09-09T00:00:00.0000000Z,1,400.0
3,3.9210000000000006e-05,3.9210000000000006e-05,3.8e-05,3.8e-05,2018-09-09T03:55:05.0000000Z,2018-09-09T03:17:54.0000000Z,2018-09-09T04:00:00.0000000Z,2018-09-09T03:00:00.0000000Z,8,27662.346
4,4e-05,4e-05,3.9210000000000006e-05,4e-05,2018-09-09T07:28:58.0000000Z,2018-09-09T07:04:52.0000000Z,2018-09-09T08:00:00.0000000Z,2018-09-09T07:00:00.0000000Z,4,22567.10397624
5,4.0300000000000004e-05,4.0300000000000004e-05,4e-05,4e-05,2018-09-09T08:20:25.0000000Z,2018-09-09T08:05:06.0000000Z,2018-09-09T09:00:00.0000000Z,2018-09-09T08:00:00.0000000Z,56,741229.31357394
6,4.245e-05,4.245e-05,4.245e-05,4.245e-05,2018-09-09T09:48:04.0000000Z,2018-09-09T09:47:52.0000000Z,2018-09-09T10:00:00.0000000Z,2018-09-09T09:00:00.0000000Z,6,78624.0
7,4.122e-05,4.122e-05,4.101e-05,4.101e-05,2018-09-09T15:16:28.0000000Z,2018-09-09T15:11:04.0000000Z,2018-09-09T16:00:00.0000000Z,2018-09-09T15:00:00.0000000Z,26,265824.0
8,3.86e-05,3.86e-05,3.86e-05,3.86e-05,2018-09-09T17:27:18.0000000Z,2018-09-09T17:27:18.0000000Z,2018-09-09T18:00:00.0000000Z,2018-09-09T17:00:00.0000000Z,1,245.435
9,3.9500000000000005e-05,3.9500000000000005e-05,3.9500000000000005e-05,3.9500000000000005e-05,2018-09-09T22:03:20.0000000Z,2018-09-09T22:03:20.0000000Z,2018-09-09T23:00:00.0000000Z,2018-09-09T22:00:00.0000000Z,1,245.435
10,4.278000000000001e-05,4.499e-05,4.257e-05,4.288e-05,2018-09-10T03:56:31.0000000Z,2018-09-10T03:21:24.0000000Z,2018-09-10T04:00:00.0000000Z,2018-09-10T03:00:00.0000000Z,34,177083.721886
11,4.331000000000001e-05,4.331000000000001e-05,4.284e-05,4.3150000000000005e-05,2018-09-10T04:48:10.0000000Z,2018-09-10T04:32:37.0000000Z,2018-09-10T05:00:00.0000000Z,2018-09-10T04:00:00.0000000Z,4,42000.0
12,4.347000000000001e-05,4.347000000000001e-05,4.309e-05,4.309e-05,2018-09-10T05:16:55.0000000Z,2018-09-10T05:16:39.0000000Z,2018-09-10T06:00:00.0000000Z,2018-09-10T05:00:00.0000000Z,2,21000.0
13,4.345e-05,4.410000000000001e-05,4.345e-05,4.347000000000001e-05,2018-09-10T06:37:51.0000000Z,2018-09-10T06:04:13.0000000Z,2018-09-10T07:00:00.0000000Z,2018-09-10T06:00:00.0000000Z,4,42000.0
14,6.500000000000001e-05,6.500000000000001e-05,4.326e-05,4.3910000000000005e-05,2018-09-10T07:39:06.0000000Z,2018-09-10T07:06:05.0000000Z,2018-09-10T08:00:00.0000000Z,2018-09-10T07:00:00.0000000Z,9,38882.3592808
