,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,92521124.99352,92521124.99352,89764514.79003,89764514.79003,2018-09-09T09:41:32.0000000Z,2018-09-09T09:29:14.0000000Z,2018-09-09T10:00:00.0000000Z,2018-09-09T09:00:00.0000000Z,64,4.60440064
1,92452307.07626,92452307.07626,92452307.07626,92452307.07626,2018-09-09T20:59:38.0000000Z,2018-09-09T20:59:38.0000000Z,2018-09-09T21:00:00.0000000Z,2018-09-09T20:00:00.0000000Z,31,0.36654524
2,90301242.34598,90301242.34598,90301242.34598,90301242.34598,2018-09-09T22:41:54.0000000Z,2018-09-09T22:41:54.0000000Z,2018-09-09T23:00:00.0000000Z,2018-09-09T22:00:00.0000000Z,31,0.43414508
3,90771074.37727,90771074.37727,90771074.37727,90771074.37727,2018-09-10T01:20:40.0000000Z,2018-09-10T01:20:32.0000000Z,2018-09-10T02:00:00.0000000Z,2018-09-10T01:00:00.0000000Z,62,9.7211474
4,90980321.0,90980321.0,90980321.0,90980321.0,2018-09-11T04:47:01.0000000Z,2018-09-11T04:47:01.0000000Z,2018-09-11T05:00:00.0000000Z,2018-09-11T04:00:00.0000000Z,13,0.026000000000000002
5,91588401.20627,91588401.20627,91588401.20627,91588401.20627,2018-09-11T06:01:29.0000000Z,2018-09-11T06:01:29.0000000Z,2018-09-11T07:00:00.0000000Z,2018-09-11T06:00:00.0000000Z,13,0.858
6,90980321.0,90980321.0,90980321.0,90980321.0,2018-09-11T11:31:28.0000000Z,2018-09-11T11:31:28.0000000Z,2018-09-11T12:00:00.0000000Z,2018-09-11T11:00:00.0000000Z,13,0.00128882
7,89654138.89965,89654138.89965,89654138.89965,89654138.89965,2018-09-12T02:55:02.0000000Z,2018-09-12T02:55:02.0000000Z,2018-09-12T03:00:00.0000000Z,2018-09-12T02:00:00.0000000Z,13,10.34293988
8,90426291.07958,90518163.6912,90426291.07958,90518163.6912,2018-09-12T15:47:53.0000000Z,2018-09-12T15:43:53.0000000Z,2018-09-12T16:00:00.0000000Z,2018-09-12T15:00:00.0000000Z,243,3.027942
9,88947106.41,88947106.41,88863597.23,88863597.23,2018-09-17T15:46:16.0000000Z,2018-09-17T15:46:08.0000000Z,2018-09-17T16:00:00.0000000Z,2018-09-17T15:00:00.0000000Z,2,0.03248017
10,90811576.27102,90811576.27102,90758030.74512,90758030.74512,2018-09-18T09:40:13.0000000Z,2018-09-18T09:40:12.0000000Z,2018-09-18T10:00:00.0000000Z,2018-09-18T09:00:00.0000000Z,20,1.62696419
11,91561348.43897,91562128.72039,91561348.43897,91562128.72039,2018-09-20T15:12:35.0000000Z,2018-09-20T15:12:35.0000000Z,2018-09-20T16:00:00.0000000Z,2018-09-20T15:00:00.0000000Z,199,0.2739978
12,94710292.34108,94710292.34108,94709487.58669,94709487.58669,2018-09-21T03:00:58.0000000Z,2018-09-21T03:00:58.0000000Z,2018-09-21T04:00:00.0000000Z,2018-09-21T03:00:00.0000000Z,12,2.4
13,97018327.23215,97062560.47946,97018327.23215,97062560.47946,2018-09-21T10:38:05.0000000Z,2018-09-21T10:35:15.0000000Z,2018-09-21T11:00:00.0000000Z,2018-09-21T10:00:00.0000000Z,1895,21.363
14,94477812.50551,94477812.50551,94477812.50551,94477812.50551,2018-09-22T08:35:36.0000000Z,2018-09-22T08:35:36.0000000Z,2018-09-22T09:00:00.0000000Z,2018-09-22T08:00:00.0000000Z,18,0.18
15,96897203.97348,96897203.97348,96897203.97348,96897203.97348,2018-09-23T05:11:40.0000000Z,2018-09-23T05:11:40.0000000Z,2018-09-23T06:00:00.0000000Z,2018-09-23T05:00:00.0000000Z,17,0.17
