,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,1.739e-05,1.739e-05,1.739e-05,1.739e-05,2018-10-09T12:24:18.0000000Z,2018-10-09T12:24:18.0000000Z,2018-10-09T13:00:00.0000000Z,2018-10-09T12:00:00.0000000Z,1,9264.4
1,1.739e-05,1.739e-05,1.739e-05,1.739e-05,2018-10-09T23:05:47.0000000Z,2018-10-09T23:05:47.0000000Z,2018-10-10T00:00:00.0000000Z,2018-10-09T23:00:00.0000000Z,1,2421.9
2,1.739e-05,1.739e-05,1.739e-05,1.739e-05,2018-10-10T06:47:33.0000000Z,2018-10-10T06:47:33.0000000Z,2018-10-10T07:00:00.0000000Z,2018-10-10T06:00:00.0000000Z,1,4508.0
3,1.739e-05,1.739e-05,1.739e-05,1.739e-05,2018-10-10T09:36:51.0000000Z,2018-10-10T09:36:51.0000000Z,2018-10-10T10:00:00.0000000Z,2018-10-10T09:00:00.0000000Z,1,1193.8171521
4,1.739e-05,1.739e-05,1.739e-05,1.739e-05,2018-10-10T12:45:04.0000000Z,2018-10-10T12:45:04.0000000Z,2018-10-10T13:00:00.0000000Z,2018-10-10T12:00:00.0000000Z,1,2300.0
5,1.739e-05,1.739e-05,1.739e-05,1.739e-05,2018-10-10T15:58:37.0000000Z,2018-10-10T15:58:37.0000000Z,2018-10-10T16:00:00.0000000Z,2018-10-10T15:00:00.0000000Z,1,2300.17251294
6,1.739e-05,1.739e-05,1.739e-05,1.739e-05,2018-10-11T11:19:27.0000000Z,2018-10-11T11:19:27.0000000Z,2018-10-11T12:00:00.0000000Z,2018-10-11T11:00:00.0000000Z,1,2412.7
7,1.739e-05,1.739e-05,1.739e-05,1.739e-05,2018-10-11T16:09:37.0000000Z,2018-10-11T16:09:37.0000000Z,2018-10-11T17:00:00.0000000Z,2018-10-11T16:00:00.0000000Z,1,1150.0
8,1.739e-05,1.739e-05,1.739e-05,1.739e-05,2018-10-11T20:53:44.0000000Z,2018-10-11T20:10:21.0000000Z,2018-10-11T21:00:00.0000000Z,2018-10-11T20:00:00.0000000Z,2,2519.23779096
9,1.739e-05,1.739e-05,1.739e-05,1.739e-05,2018-10-11T22:27:58.0000000Z,2018-10-11T22:27:58.0000000Z,2018-10-11T23:00:00.0000000Z,2018-10-11T22:00:00.0000000Z,1,3513.11287125
10,1.739e-05,1.739e-05,1.739e-05,1.739e-05,2018-10-11T23:40:06.0000000Z,2018-10-11T23:40:06.0000000Z,2018-10-12T00:00:00.0000000Z,2018-10-11T23:00:00.0000000Z,1,4600.0
11,3.6e-06,1.9e-05,1.5e-07,1.5000000000000002e-05,2018-10-31T08:58:09.0000000Z,2018-10-31T08:07:25.0000000Z,2018-10-31T09:00:00.0000000Z,2018-10-31T08:00:00.0000000Z,24,30194.58582852
