,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,558.63,558.63,558.63,558.63,2018-06-03T12:58:09.0000000Z,2018-06-03T12:58:09.0000000Z,2018-06-03T13:00:00.0000000Z,2018-06-03T12:00:00.0000000Z,139,16.68
1,544.3,544.3,544.3,544.3,2018-06-06T06:20:42.0000000Z,2018-06-06T06:20:42.0000000Z,2018-06-06T07:00:00.0000000Z,2018-06-06T06:00:00.0000000Z,13,26.0
2,512.1,512.1,512.1,512.1,2018-06-06T10:34:47.0000000Z,2018-06-06T10:24:46.0000000Z,2018-06-06T11:00:00.0000000Z,2018-06-06T10:00:00.0000000Z,52,13.0
3,514.5,514.5,514.5,514.5,2018-06-09T11:29:36.0000000Z,2018-06-09T11:28:20.0000000Z,2018-06-09T12:00:00.0000000Z,2018-06-09T11:00:00.0000000Z,8,1.1566512
4,450.0,450.0,450.0,450.0,2018-06-10T21:10:51.0000000Z,2018-06-10T21:10:51.0000000Z,2018-06-10T22:00:00.0000000Z,2018-06-10T21:00:00.0000000Z,4,8.0
5,462.54,462.54,462.54,462.54,2018-06-11T21:52:02.0000000Z,2018-06-11T21:52:02.0000000Z,2018-06-11T22:00:00.0000000Z,2018-06-11T21:00:00.0000000Z,1,0.4521519
6,440.3436,440.3436,439.51,439.51,2018-06-12T21:01:25.0000000Z,2018-06-12T21:01:25.0000000Z,2018-06-12T22:00:00.0000000Z,2018-06-12T21:00:00.0000000Z,3,21.5984
7,420.91204,420.91204,420.9,420.9,2018-06-13T19:34:33.0000000Z,2018-06-13T19:34:33.0000000Z,2018-06-13T20:00:00.0000000Z,2018-06-13T19:00:00.0000000Z,2,1.0
8,375.87689,375.87689,375.87689,375.87689,2018-06-13T20:21:49.0000000Z,2018-06-13T20:21:49.0000000Z,2018-06-13T21:00:00.0000000Z,2018-06-13T20:00:00.0000000Z,1,0.02
9,433.13988,433.13988,433.12,433.12,2018-06-14T06:44:36.0000000Z,2018-06-14T06:44:36.0000000Z,2018-06-14T07:00:00.0000000Z,2018-06-14T06:00:00.0000000Z,2,1.3138
10,446.0,446.0,446.0,446.0,2018-06-14T19:27:50.0000000Z,2018-06-14T19:27:50.0000000Z,2018-06-14T20:00:00.0000000Z,2018-06-14T19:00:00.0000000Z,1,4.52
11,420.31886,421.10417,420.31886,421.10417,2018-06-15T03:54:32.0000000Z,2018-06-15T03:54:32.0000000Z,2018-06-15T04:00:00.0000000Z,2018-06-15T03:00:00.0000000Z,2,11.46715654
12,420.8,420.81,420.8,420.81,2018-06-15T23:09:13.0000000Z,2018-06-15T23:05:38.0000000Z,2018-06-16T00:00:00.0000000Z,2018-06-15T23:00:00.0000000Z,4,1.59445252
13,420.0,420.0,420.0,420.0,2018-06-16T16:25:31.0000000Z,2018-06-16T16:25:19.0000000Z,2018-06-16T17:00:00.0000000Z,2018-06-16T16:00:00.0000000Z,17,80.0
14,427.31953,428.39529,427.07878,428.39529,2018-06-18T09:56:02.0000000Z,2018-06-18T09:20:35.0000000Z,2018-06-18T10:00:00.0000000Z,2018-06-18T09:00:00.0000000Z,33,31.58320566
15,425.56459,426.42488,425.56422,426.42488,2018-06-18T10:44:53.0000000Z,2018-06-18T10:05:34.0000000Z,2018-06-18T11:00:00.0000000Z,2018-06-18T10:00:00.0000000Z,9,7.00397778
16,422.12453,424.54772,422.03223,424.54772,2018-06-18T11:28:34.0000000Z,2018-06-18T11:06:55.0000000Z,2018-06-18T12:00:00.0000000Z,2018-06-18T11:00:00.0000000Z,40,28.62450222
17,426.27638,426.27638,426.27638,426.27638,2018-06-18T12:28:16.0000000Z,2018-06-18T12:28:16.0000000Z,2018-06-18T13:00:00.0000000Z,2018-06-18T12:00:00.0000000Z,1,0.0377686
18,425.19,425.50215,425.19,425.50215,2018-06-18T13:25:24.0000000Z,2018-06-18T13:05:25.0000000Z,2018-06-18T14:00:00.0000000Z,2018-06-18T13:00:00.0000000Z,3,0.16864202
19,441.1864,441.1864,441.1864,441.1864,2018-06-18T16:30:47.0000000Z,2018-06-18T16:30:47.0000000Z,2018-06-18T17:00:00.0000000Z,2018-06-18T16:00:00.0000000Z,1,0.22666156
20,446.29,446.29,446.29,446.29,2018-06-18T17:13:54.0000000Z,2018-06-18T17:13:48.0000000Z,2018-06-18T18:00:00.0000000Z,2018-06-18T17:00:00.0000000Z,3,1.04116028
21,445.26298,445.26298,445.26298,445.26298,2018-06-18T19:20:17.0000000Z,2018-06-18T19:20:17.0000000Z,2018-06-18T20:00:00.0000000Z,2018-06-18T19:00:00.0000000Z,1,0.03375428
22,445.82308,445.82308,445.82308,445.82308,2018-06-19T07:16:51.0000000Z,2018-06-19T07:16:51.0000000Z,2018-06-19T08:00:00.0000000Z,2018-06-19T07:00:00.0000000Z,1,1.09882
23,462.38768,464.23182,462.38768,464.23182,2018-06-19T13:54:29.0000000Z,2018-06-19T13:53:03.0000000Z,2018-06-19T14:00:00.0000000Z,2018-06-19T13:00:00.0000000Z,4,2.09999998
24,452.04,454.35108,448.31555,453.55352,2018-06-20T01:57:53.0000000Z,2018-06-20T01:02:11.0000000Z,2018-06-20T02:00:00.0000000Z,2018-06-20T01:00:00.0000000Z,18,17.46003034
25,449.68119,449.68119,447.15296,447.15296,2018-06-20T04:36:48.0000000Z,2018-06-20T04:09:15.0000000Z,2018-06-20T05:00:00.0000000Z,2018-06-20T04:00:00.0000000Z,5,3.13939558
26,450.17541,450.17541,450.17541,450.17541,2018-06-20T06:34:50.0000000Z,2018-06-20T06:34:50.0000000Z,2018-06-20T07:00:00.0000000Z,2018-06-20T06:00:00.0000000Z,1,0.1
27,417.18782,417.18782,417.18782,417.18782,2018-06-20T21:55:18.0000000Z,2018-06-20T21:55:18.0000000Z,2018-06-20T22:00:00.0000000Z,2018-06-20T21:00:00.0000000Z,1,0.24
28,462.72,462.72,462.72,462.72,2018-06-20T22:31:28.0000000Z,2018-06-20T22:31:28.0000000Z,2018-06-20T23:00:00.0000000Z,2018-06-20T22:00:00.0000000Z,1,0.2162
29,444.15,444.15,443.9,443.9,2018-06-22T06:03:48.0000000Z,2018-06-22T06:02:15.0000000Z,2018-06-22T07:00:00.0000000Z,2018-06-22T06:00:00.0000000Z,3,5.2
30,429.69912,440.5081,428.52545,440.5081,2018-06-22T07:42:25.0000000Z,2018-06-22T07:02:08.0000000Z,2018-06-22T08:00:00.0000000Z,2018-06-22T07:00:00.0000000Z,52,18.88598414
31,428.41284,429.37661,428.41284,429.37661,2018-06-22T08:34:03.0000000Z,2018-06-22T08:33:54.0000000Z,2018-06-22T09:00:00.0000000Z,2018-06-22T08:00:00.0000000Z,3,1.16575286
32,423.13124,423.13124,423.13124,423.13124,2018-06-22T09:56:53.0000000Z,2018-06-22T09:56:53.0000000Z,2018-06-22T10:00:00.0000000Z,2018-06-22T09:00:00.0000000Z,1,0.5164300000000001
33,422.02,422.02,422.02,422.02,2018-06-22T10:50:38.0000000Z,2018-06-22T10:50:38.0000000Z,2018-06-22T11:00:00.0000000Z,2018-06-22T10:00:00.0000000Z,1,0.022747999999999997
34,418.73,423.87,418.73,423.87,2018-06-22T11:47:51.0000000Z,2018-06-22T11:07:21.0000000Z,2018-06-22T12:00:00.0000000Z,2018-06-22T11:00:00.0000000Z,2,0.918636
35,413.61743,415.65,413.61743,415.65,2018-06-22T12:53:25.0000000Z,2018-06-22T12:51:54.0000000Z,2018-06-22T13:00:00.0000000Z,2018-06-22T12:00:00.0000000Z,2,0.20277398
36,398.63,407.95787,398.63,407.95787,2018-06-22T13:51:34.0000000Z,2018-06-22T13:06:33.0000000Z,2018-06-22T14:00:00.0000000Z,2018-06-22T13:00:00.0000000Z,7,2.59931614
37,401.79,401.79,400.42,400.42,2018-06-22T20:30:21.0000000Z,2018-06-22T20:29:19.0000000Z,2018-06-22T21:00:00.0000000Z,2018-06-22T20:00:00.0000000Z,3,1.08907254
38,392.78808,392.78808,392.78808,392.78808,2018-06-22T21:06:36.0000000Z,2018-06-22T21:06:34.0000000Z,2018-06-22T22:00:00.0000000Z,2018-06-22T21:00:00.0000000Z,2,1.48166914
39,396.94671,397.14852,396.94671,397.14852,2018-06-22T23:44:43.0000000Z,2018-06-22T23:44:37.0000000Z,2018-06-23T00:00:00.0000000Z,2018-06-22T23:00:00.0000000Z,4,1.9149708200000002
40,406.80835,406.80835,406.80835,406.80835,2018-06-23T02:55:05.0000000Z,2018-06-23T02:55:05.0000000Z,2018-06-23T03:00:00.0000000Z,2018-06-23T02:00:00.0000000Z,1,0.162546
41,401.51479,403.28154,401.51479,403.28154,2018-06-23T03:34:06.0000000Z,2018-06-23T03:32:58.0000000Z,2018-06-23T04:00:00.0000000Z,2018-06-23T03:00:00.0000000Z,19,14.11014976
42,394.33724,394.33724,394.33724,394.33724,2018-06-23T06:31:36.0000000Z,2018-06-23T06:31:35.0000000Z,2018-06-23T07:00:00.0000000Z,2018-06-23T06:00:00.0000000Z,2,0.05768068
