,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,0.00470101,0.00470101,0.00470101,0.00470101,2018-09-10T18:15:40.0000000Z,2018-09-10T18:15:40.0000000Z,2018-09-10T19:00:00.0000000Z,2018-09-10T18:00:00.0000000Z,50,15300.0
1,4.0,4.0,4.0,4.0,2018-10-29T09:36:51.0000000Z,2018-10-29T09:36:51.0000000Z,2018-10-29T10:00:00.0000000Z,2018-10-29T09:00:00.0000000Z,1,2.0
2,0.70314999,0.70314999,0.70314999,0.70314999,2018-11-02T19:59:38.0000000Z,2018-11-02T19:59:38.0000000Z,2018-11-02T20:00:00.0000000Z,2018-11-02T19:00:00.0000000Z,1,70.71292322
3,6.66,6.66,6.66,6.66,2018-11-22T20:53:30.0000000Z,2018-11-22T20:53:27.0000000Z,2018-11-22T21:00:00.0000000Z,2018-11-22T20:00:00.0000000Z,3,82.04024482
4,2.3455,2.3455,2.3455,2.3455,2018-12-05T17:07:07.0000000Z,2018-12-05T17:07:07.0000000Z,2018-12-05T18:00:00.0000000Z,2018-12-05T17:00:00.0000000Z,243,17982.0
5,5.0,5.0,5.0,5.0,2019-01-02T14:55:34.0000000Z,2019-01-02T14:55:34.0000000Z,2019-01-02T15:00:00.0000000Z,2019-01-02T14:00:00.0000000Z,243,486.0
6,5.5,5.5,5.5,5.5,2019-02-17T16:28:57.0000000Z,2019-02-17T16:28:57.0000000Z,2019-02-17T17:00:00.0000000Z,2019-02-17T16:00:00.0000000Z,1,2.0
7,3.5,3.5,3.5,3.5,2019-04-12T15:32:10.0000000Z,2019-04-12T15:32:10.0000000Z,2019-04-12T16:00:00.0000000Z,2019-04-12T15:00:00.0000000Z,3,6.0
8,5.5,5.5,2.5002500000000003,2.5002500000000003,2019-04-14T11:09:16.0000000Z,2019-04-14T11:09:15.0000000Z,2019-04-14T12:00:00.0000000Z,2019-04-14T11:00:00.0000000Z,2,4.0
9,7.4985,7.4985,5.5,5.5,2019-05-11T06:07:40.0000000Z,2019-05-11T06:07:40.0000000Z,2019-05-11T07:00:00.0000000Z,2019-05-11T06:00:00.0000000Z,4,4.00474516
10,6.0,6.0,6.0,6.0,2019-05-17T12:47:44.0000000Z,2019-05-17T12:47:44.0000000Z,2019-05-17T13:00:00.0000000Z,2019-05-17T12:00:00.0000000Z,2,13.61977964
11,6.0,6.0,6.0,6.0,2019-05-18T04:17:40.0000000Z,2019-05-18T04:17:40.0000000Z,2019-05-18T05:00:00.0000000Z,2019-05-18T04:00:00.0000000Z,2,4.54022036
12,7.4985,7.4985,7.4985,7.4985,2019-05-19T22:07:14.0000000Z,2019-05-19T22:07:14.0000000Z,2019-05-19T23:00:00.0000000Z,2019-05-19T22:00:00.0000000Z,2,4.00000012
