,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,7e-07,7.5e-07,7e-07,7.5e-07,2018-09-05T12:49:29.0000000Z,2018-09-05T12:20:24.0000000Z,2018-09-05T13:00:00.0000000Z,2018-09-05T12:00:00.0000000Z,3,982.0
1,7.4e-07,7.599999999999999e-07,7.4e-07,7.599999999999999e-07,2018-09-06T07:59:59.0000000Z,2018-09-06T07:32:11.0000000Z,2018-09-06T08:00:00.0000000Z,2018-09-06T07:00:00.0000000Z,11,56973.01021454
2,7.4e-07,7.599999999999999e-07,7.4e-07,7.599999999999999e-07,2018-09-06T08:55:35.0000000Z,2018-09-06T08:00:35.0000000Z,2018-09-06T09:00:00.0000000Z,2018-09-06T08:00:00.0000000Z,111,493217.82714072
3,7.5e-07,7.599999999999999e-07,7.4e-07,7.4e-07,2018-09-06T09:08:19.0000000Z,2018-09-06T09:03:01.0000000Z,2018-09-06T10:00:00.0000000Z,2018-09-06T09:00:00.0000000Z,8,33841.96618256
4,6.699999999999999e-07,6.699999999999999e-07,6.699999999999999e-07,6.699999999999999e-07,2018-09-06T16:33:44.0000000Z,2018-09-06T16:33:44.0000000Z,2018-09-06T17:00:00.0000000Z,2018-09-06T16:00:00.0000000Z,1,4585.09831374
5,6.699999999999999e-07,6.699999999999999e-07,6.699999999999999e-07,6.699999999999999e-07,2018-09-06T17:10:54.0000000Z,2018-09-06T17:01:55.0000000Z,2018-09-06T18:00:00.0000000Z,2018-09-06T17:00:00.0000000Z,47,198765.98975744
6,6.699999999999999e-07,6.699999999999999e-07,6.699999999999999e-07,6.699999999999999e-07,2018-09-06T23:47:51.0000000Z,2018-09-06T23:47:51.0000000Z,2018-09-07T00:00:00.0000000Z,2018-09-06T23:00:00.0000000Z,7,29014.25880948
7,6.4e-07,6.4e-07,6.4e-07,6.4e-07,2018-09-07T10:49:54.0000000Z,2018-09-07T10:49:54.0000000Z,2018-09-07T11:00:00.0000000Z,2018-09-07T10:00:00.0000000Z,7,26692.93154892
8,6.4e-07,6.499999999999999e-07,6.3e-07,6.499999999999999e-07,2018-09-09T08:14:53.0000000Z,2018-09-09T08:06:20.0000000Z,2018-09-09T09:00:00.0000000Z,2018-09-09T08:00:00.0000000Z,36,194221.5717537
9,6.8e-07,6.8e-07,6.8e-07,6.8e-07,2018-09-10T05:22:42.0000000Z,2018-09-10T05:22:42.0000000Z,2018-09-10T06:00:00.0000000Z,2018-09-10T05:00:00.0000000Z,1,7716.0
10,5e-07,5.2e-07,5e-07,5.2e-07,2018-09-10T13:42:39.0000000Z,2018-09-10T13:42:39.0000000Z,2018-09-10T14:00:00.0000000Z,2018-09-10T13:00:00.0000000Z,2,18000.0
11,6.9e-07,6.9e-07,6.9e-07,6.9e-07,2018-09-11T21:46:58.0000000Z,2018-09-11T21:34:56.0000000Z,2018-09-11T22:00:00.0000000Z,2018-09-11T21:00:00.0000000Z,2,12136.34252896
12,6.9e-07,6.9e-07,6.9e-07,6.9e-07,2018-09-11T22:45:32.0000000Z,2018-09-11T22:34:57.0000000Z,2018-09-11T23:00:00.0000000Z,2018-09-11T22:00:00.0000000Z,2,5667.9126745
13,6.9e-07,6.9e-07,6.9e-07,6.9e-07,2018-09-11T23:54:31.0000000Z,2018-09-11T23:07:57.0000000Z,2018-09-12T00:00:00.0000000Z,2018-09-11T23:00:00.0000000Z,5,20152.3618587
14,6.9e-07,6.9e-07,6.9e-07,6.9e-07,2018-09-12T00:52:59.0000000Z,2018-09-12T00:06:31.0000000Z,2018-09-12T01:00:00.0000000Z,2018-09-12T00:00:00.0000000Z,36,136088.2178667
15,6.9e-07,6.9e-07,6.9e-07,6.9e-07,2018-09-12T01:49:57.0000000Z,2018-09-12T01:05:10.0000000Z,2018-09-12T02:00:00.0000000Z,2018-09-12T01:00:00.0000000Z,45,162841.81864374
16,6.9e-07,6.9e-07,6.9e-07,6.9e-07,2018-09-12T02:57:31.0000000Z,2018-09-12T02:12:31.0000000Z,2018-09-12T03:00:00.0000000Z,2018-09-12T02:00:00.0000000Z,27,87271.92178956
17,6.9e-07,6.9e-07,6.9e-07,6.9e-07,2018-09-12T03:33:32.0000000Z,2018-09-12T03:08:00.0000000Z,2018-09-12T04:00:00.0000000Z,2018-09-12T03:00:00.0000000Z,18,76523.31953748
