,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,9.699999999999998e-07,9.699999999999998e-07,9.6e-07,9.6e-07,2018-09-05T12:58:06.0000000Z,2018-09-05T12:25:00.0000000Z,2018-09-05T13:00:00.0000000Z,2018-09-05T12:00:00.0000000Z,46,644128.97429798
1,9.4e-07,9.5e-07,9.4e-07,9.5e-07,2018-09-05T13:59:18.0000000Z,2018-09-05T13:02:18.0000000Z,2018-09-05T14:00:00.0000000Z,2018-09-05T13:00:00.0000000Z,21,276155.0253029
2,9.4e-07,9.4e-07,9e-07,9.4e-07,2018-09-05T14:58:11.0000000Z,2018-09-05T14:01:50.0000000Z,2018-09-05T15:00:00.0000000Z,2018-09-05T14:00:00.0000000Z,20,285384.24366146
3,9.4e-07,9.4e-07,9.4e-07,9.4e-07,2018-09-05T15:58:47.0000000Z,2018-09-05T15:01:42.0000000Z,2018-09-05T16:00:00.0000000Z,2018-09-05T15:00:00.0000000Z,25,362384.0034141
4,9.4e-07,9.4e-07,9.4e-07,9.4e-07,2018-09-05T16:49:20.0000000Z,2018-09-05T16:04:20.0000000Z,2018-09-05T17:00:00.0000000Z,2018-09-05T16:00:00.0000000Z,15,198319.03014494
5,9.4e-07,9.4e-07,9.4e-07,9.4e-07,2018-09-05T17:58:38.0000000Z,2018-09-05T17:01:33.0000000Z,2018-09-05T18:00:00.0000000Z,2018-09-05T17:00:00.0000000Z,17,231941.20147288
6,9.3e-07,9.4e-07,9.3e-07,9.4e-07,2018-09-05T18:58:53.0000000Z,2018-09-05T18:00:00.0000000Z,2018-09-05T19:00:00.0000000Z,2018-09-05T18:00:00.0000000Z,57,813180.93203146
7,9.4e-07,9.4e-07,9.3e-07,9.3e-07,2018-09-05T19:59:51.0000000Z,2018-09-05T19:01:01.0000000Z,2018-09-05T20:00:00.0000000Z,2018-09-05T19:00:00.0000000Z,41,621957.33819406
8,9.199999999999999e-07,9.4e-07,9.199999999999999e-07,9.4e-07,2018-09-05T20:56:16.0000000Z,2018-09-05T20:00:21.0000000Z,2018-09-05T21:00:00.0000000Z,2018-09-05T20:00:00.0000000Z,34,516484.04795214
9,9.3e-07,9.3e-07,9.199999999999999e-07,9.199999999999999e-07,2018-09-05T21:59:51.0000000Z,2018-09-05T21:01:33.0000000Z,2018-09-05T22:00:00.0000000Z,2018-09-05T21:00:00.0000000Z,68,988083.40786782
10,9.4e-07,9.4e-07,9.3e-07,9.3e-07,2018-09-05T22:59:35.0000000Z,2018-09-05T22:00:23.0000000Z,2018-09-05T23:00:00.0000000Z,2018-09-05T22:00:00.0000000Z,67,1005957.70274422
11,9.4e-07,9.5e-07,9.199999999999999e-07,9.4e-07,2018-09-05T23:59:14.0000000Z,2018-09-05T23:00:00.0000000Z,2018-09-06T00:00:00.0000000Z,2018-09-05T23:00:00.0000000Z,91,1339249.81026812
12,9.199999999999999e-07,9.4e-07,9.199999999999999e-07,9.4e-07,2018-09-06T00:53:54.0000000Z,2018-09-06T00:01:25.0000000Z,2018-09-06T01:00:00.0000000Z,2018-09-06T00:00:00.0000000Z,65,950833.1666089
13,9.3e-07,9.3e-07,9.199999999999999e-07,9.199999999999999e-07,2018-09-06T01:55:48.0000000Z,2018-09-06T01:04:26.0000000Z,2018-09-06T02:00:00.0000000Z,2018-09-06T01:00:00.0000000Z,39,596608.28605802
14,9.199999999999999e-07,9.3e-07,9.199999999999999e-07,9.3e-07,2018-09-06T02:59:15.0000000Z,2018-09-06T02:14:26.0000000Z,2018-09-06T03:00:00.0000000Z,2018-09-06T02:00:00.0000000Z,10,150119.06262828
