,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,54.187,54.187,53.384,53.814,2018-06-01T07:29:57.0000000Z,2018-06-01T07:11:14.0000000Z,2018-06-01T08:00:00.0000000Z,2018-06-01T07:00:00.0000000Z,19,85.81699402
1,55.367,55.367,54.337,54.337,2018-06-01T08:59:55.0000000Z,2018-06-01T08:21:08.0000000Z,2018-06-01T09:00:00.0000000Z,2018-06-01T08:00:00.0000000Z,42,191.42597224
2,55.666,55.666,55.367,55.367,2018-06-01T09:04:17.0000000Z,2018-06-01T09:00:01.0000000Z,2018-06-01T10:00:00.0000000Z,2018-06-01T09:00:00.0000000Z,13,36.7498
3,54.373,55.109,54.373,55.109,2018-06-01T11:58:35.0000000Z,2018-06-01T11:52:19.0000000Z,2018-06-01T12:00:00.0000000Z,2018-06-01T11:00:00.0000000Z,31,71.61932476
4,54.177,54.373,54.177,54.373,2018-06-01T12:00:34.0000000Z,2018-06-01T12:00:16.0000000Z,2018-06-01T13:00:00.0000000Z,2018-06-01T12:00:00.0000000Z,7,12.5544
5,53.794,54.177,53.794,54.177,2018-06-01T13:21:59.0000000Z,2018-06-01T13:09:31.0000000Z,2018-06-01T14:00:00.0000000Z,2018-06-01T13:00:00.0000000Z,33,97.7128786
6,53.645,53.794,53.645,53.794,2018-06-01T14:23:49.0000000Z,2018-06-01T14:21:34.0000000Z,2018-06-01T15:00:00.0000000Z,2018-06-01T14:00:00.0000000Z,8,22.4
7,54.444,54.444,54.179,54.179,2018-06-01T19:56:42.0000000Z,2018-06-01T19:53:49.0000000Z,2018-06-01T20:00:00.0000000Z,2018-06-01T19:00:00.0000000Z,11,37.00688402
8,54.725,54.725,54.444,54.444,2018-06-01T20:55:58.0000000Z,2018-06-01T20:52:57.0000000Z,2018-06-01T21:00:00.0000000Z,2018-06-01T20:00:00.0000000Z,17,56.00115818
9,55.064,55.064,54.827,54.827,2018-06-01T21:40:54.0000000Z,2018-06-01T21:32:24.0000000Z,2018-06-01T22:00:00.0000000Z,2018-06-01T21:00:00.0000000Z,10,24.53019254
10,55.587,55.587,55.064,55.064,2018-06-01T22:58:14.0000000Z,2018-06-01T22:37:53.0000000Z,2018-06-01T23:00:00.0000000Z,2018-06-01T22:00:00.0000000Z,16,23.50137906
11,55.8,56.15,55.66,55.66,2018-06-01T23:29:28.0000000Z,2018-06-01T23:00:08.0000000Z,2018-06-02T00:00:00.0000000Z,2018-06-01T23:00:00.0000000Z,36,129.34140554
12,55.524,55.589,55.524,55.589,2018-06-02T00:59:24.0000000Z,2018-06-02T00:59:24.0000000Z,2018-06-02T01:00:00.0000000Z,2018-06-02T00:00:00.0000000Z,4,11.8
13,56.235,56.235,56.059,56.059,2018-06-02T03:13:41.0000000Z,2018-06-02T03:11:33.0000000Z,2018-06-02T04:00:00.0000000Z,2018-06-02T03:00:00.0000000Z,14,31.17234052
14,56.52,56.52,56.235,56.235,2018-06-02T06:56:48.0000000Z,2018-06-02T06:55:57.0000000Z,2018-06-02T07:00:00.0000000Z,2018-06-02T06:00:00.0000000Z,6,20.90004136
15,56.7,56.7,56.52,56.52,2018-06-02T07:28:50.0000000Z,2018-06-02T07:05:51.0000000Z,2018-06-02T08:00:00.0000000Z,2018-06-02T07:00:00.0000000Z,5,10.00088
16,56.956,57.0,55.955,56.719,2018-06-02T08:26:03.0000000Z,2018-06-02T08:18:38.0000000Z,2018-06-02T09:00:00.0000000Z,2018-06-02T08:00:00.0000000Z,449,1023.58264966
17,57.176,57.176,57.0,57.0,2018-06-02T15:20:07.0000000Z,2018-06-02T15:16:43.0000000Z,2018-06-02T16:00:00.0000000Z,2018-06-02T15:00:00.0000000Z,18,29.95304108
18,56.538,56.604,56.538,56.604,2018-06-02T16:14:26.0000000Z,2018-06-02T16:14:26.0000000Z,2018-06-02T17:00:00.0000000Z,2018-06-02T16:00:00.0000000Z,182,687.96
19,57.17,57.17,57.099,57.099,2018-06-02T17:19:32.0000000Z,2018-06-02T17:19:31.0000000Z,2018-06-02T18:00:00.0000000Z,2018-06-02T17:00:00.0000000Z,273,687.84898
20,56.598,56.598,56.598,56.598,2018-06-02T19:23:08.0000000Z,2018-06-02T19:23:08.0000000Z,2018-06-02T20:00:00.0000000Z,2018-06-02T19:00:00.0000000Z,90,35.6648994
21,56.538,56.598,56.538,56.598,2018-06-03T02:47:03.0000000Z,2018-06-03T02:47:03.0000000Z,2018-06-03T03:00:00.0000000Z,2018-06-03T02:00:00.0000000Z,40,54.7238312
22,56.456,56.538,56.456,56.538,2018-06-03T04:41:12.0000000Z,2018-06-03T04:41:12.0000000Z,2018-06-03T05:00:00.0000000Z,2018-06-03T04:00:00.0000000Z,4,2.7412
23,56.306,56.456,55.786,56.456,2018-06-03T05:14:49.0000000Z,2018-06-03T05:13:25.0000000Z,2018-06-03T06:00:00.0000000Z,2018-06-03T05:00:00.0000000Z,20,46.71051084
24,57.021,57.021,56.515,56.515,2018-06-03T06:43:22.0000000Z,2018-06-03T06:40:03.0000000Z,2018-06-03T07:00:00.0000000Z,2018-06-03T06:00:00.0000000Z,7,14.15684818
25,57.647,57.647,57.021,57.021,2018-06-03T08:47:42.0000000Z,2018-06-03T08:33:08.0000000Z,2018-06-03T09:00:00.0000000Z,2018-06-03T08:00:00.0000000Z,14,52.79052504
26,57.647,57.647,57.647,57.647,2018-06-03T09:46:29.0000000Z,2018-06-03T09:46:29.0000000Z,2018-06-03T10:00:00.0000000Z,2018-06-03T09:00:00.0000000Z,1,3.29553288
27,58.11,58.11,57.647,57.647,2018-06-03T11:17:49.0000000Z,2018-06-03T11:10:26.0000000Z,2018-06-03T12:00:00.0000000Z,2018-06-03T11:00:00.0000000Z,504,2040.99776944
28,57.402,57.954,57.11,57.529,2018-06-03T17:48:51.0000000Z,2018-06-03T17:12:17.0000000Z,2018-06-03T18:00:00.0000000Z,2018-06-03T17:00:00.0000000Z,21,91.1992189
29,56.918,57.402,56.918,57.402,2018-06-03T18:47:07.0000000Z,2018-06-03T18:15:29.0000000Z,2018-06-03T19:00:00.0000000Z,2018-06-03T18:00:00.0000000Z,10,37.0
30,56.592,56.918,56.592,56.918,2018-06-03T19:21:44.0000000Z,2018-06-03T19:06:44.0000000Z,2018-06-03T20:00:00.0000000Z,2018-06-03T19:00:00.0000000Z,7,26.08
31,57.158,57.158,57.158,57.158,2018-06-03T20:57:40.0000000Z,2018-06-03T20:57:40.0000000Z,2018-06-03T21:00:00.0000000Z,2018-06-03T20:00:00.0000000Z,1,3.288288
32,57.288,57.288,57.158,57.158,2018-06-04T00:32:36.0000000Z,2018-06-04T00:32:36.0000000Z,2018-06-04T01:00:00.0000000Z,2018-06-04T00:00:00.0000000Z,3,7.44354722
33,56.715,56.715,56.715,56.715,2018-06-04T02:59:29.0000000Z,2018-06-04T02:59:29.0000000Z,2018-06-04T03:00:00.0000000Z,2018-06-04T02:00:00.0000000Z,1,0.44
34,55.786,56.715,55.786,56.715,2018-06-04T05:54:23.0000000Z,2018-06-04T05:06:15.0000000Z,2018-06-04T06:00:00.0000000Z,2018-06-04T05:00:00.0000000Z,14,44.02328438
