,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,5.5e-06,1.6000000000000003e-05,5.5e-06,1.6000000000000003e-05,2018-09-18T17:23:40.0000000Z,2018-09-18T17:23:40.0000000Z,2018-09-18T18:00:00.0000000Z,2018-09-18T17:00:00.0000000Z,432,2854066.94317944
1,5.5e-06,5.5e-06,5.5e-06,5.5e-06,2018-09-20T06:08:38.0000000Z,2018-09-20T06:08:38.0000000Z,2018-09-20T07:00:00.0000000Z,2018-09-20T06:00:00.0000000Z,107,655050.99578454
2,7e-06,7e-06,7e-06,7e-06,2018-09-21T14:13:06.0000000Z,2018-09-21T14:13:06.0000000Z,2018-09-21T15:00:00.0000000Z,2018-09-21T14:00:00.0000000Z,107,8560.0
3,7e-06,7e-06,7e-06,7e-06,2018-09-24T07:42:18.0000000Z,2018-09-24T07:42:18.0000000Z,2018-09-24T08:00:00.0000000Z,2018-09-24T07:00:00.0000000Z,12,1200.0
4,7.499999999999999e-06,7.499999999999999e-06,7e-06,7.499999999999999e-06,2018-09-27T16:15:20.0000000Z,2018-09-27T16:13:31.0000000Z,2018-09-27T17:00:00.0000000Z,2018-09-27T16:00:00.0000000Z,24,35998.7982
5,6.9e-06,6.9e-06,6.9e-06,6.9e-06,2018-09-28T06:48:52.0000000Z,2018-09-28T06:48:52.0000000Z,2018-09-28T07:00:00.0000000Z,2018-09-28T06:00:00.0000000Z,2,4000.0
6,2.8200000000000004e-05,2.8200000000000004e-05,9.689999999999999e-06,9.689999999999999e-06,2018-09-29T01:33:48.0000000Z,2018-09-29T01:24:12.0000000Z,2018-09-29T02:00:00.0000000Z,2018-09-29T01:00:00.0000000Z,122,400625.60742668
7,9.699999999999999e-06,1.2460000000000001e-05,9.699999999999999e-06,1.2460000000000001e-05,2018-09-29T18:37:51.0000000Z,2018-09-29T18:37:44.0000000Z,2018-09-29T19:00:00.0000000Z,2018-09-29T18:00:00.0000000Z,21,71749.2366311
8,1.1000000000000001e-05,1.1000000000000001e-05,9.689999999999999e-06,9.689999999999999e-06,2018-09-30T05:58:43.0000000Z,2018-09-30T05:31:46.0000000Z,2018-09-30T06:00:00.0000000Z,2018-09-30T05:00:00.0000000Z,35,5600.0
9,2.9990000000000003e-05,2.9990000000000003e-05,1.6400000000000002e-05,2.8870000000000003e-05,2018-10-02T23:19:59.0000000Z,2018-10-02T23:17:21.0000000Z,2018-10-03T00:00:00.0000000Z,2018-10-02T23:00:00.0000000Z,128,337760.0
10,2.15e-05,2.15e-05,2.15e-05,2.15e-05,2018-10-03T02:07:17.0000000Z,2018-10-03T02:07:17.0000000Z,2018-10-03T03:00:00.0000000Z,2018-10-03T02:00:00.0000000Z,16,6400.0
11,2.1000000000000002e-05,2.1000000000000002e-05,2.1000000000000002e-05,2.1000000000000002e-05,2018-10-03T07:08:54.0000000Z,2018-10-03T07:08:54.0000000Z,2018-10-03T08:00:00.0000000Z,2018-10-03T07:00:00.0000000Z,3,69.17708706
12,3.0000000000000004e-05,3.0000000000000004e-05,2.9990000000000003e-05,2.9990000000000003e-05,2018-10-05T04:28:50.0000000Z,2018-10-05T04:24:10.0000000Z,2018-10-05T05:00:00.0000000Z,2018-10-05T04:00:00.0000000Z,70,49020.26141012
13,3.2000000000000005e-05,3.2000000000000005e-05,2.9e-05,2.9e-05,2018-10-09T18:57:44.0000000Z,2018-10-09T18:55:31.0000000Z,2018-10-09T19:00:00.0000000Z,2018-10-09T18:00:00.0000000Z,62,350507.45823944
14,3.7000000000000005e-05,3.7000000000000005e-05,3.2000000000000005e-05,3.2000000000000005e-05,2018-10-09T23:39:32.0000000Z,2018-10-09T23:08:45.0000000Z,2018-10-10T00:00:00.0000000Z,2018-10-09T23:00:00.0000000Z,16,40675.0
15,3.561e-05,3.6e-05,3.561e-05,3.6e-05,2018-10-10T01:51:54.0000000Z,2018-10-10T01:51:54.0000000Z,2018-10-10T02:00:00.0000000Z,2018-10-10T01:00:00.0000000Z,12,300.0
16,3.55e-05,3.591000000000001e-05,3.55e-05,3.591000000000001e-05,2018-10-10T03:27:04.0000000Z,2018-10-10T03:27:04.0000000Z,2018-10-10T04:00:00.0000000Z,2018-10-10T03:00:00.0000000Z,40,32057.156
17,3.5000000000000004e-05,3.5000000000000004e-05,3.5000000000000004e-05,3.5000000000000004e-05,2018-10-10T04:12:06.0000000Z,2018-10-10T04:12:06.0000000Z,2018-10-10T05:00:00.0000000Z,2018-10-10T04:00:00.0000000Z,6,990.0
18,3.5000000000000004e-05,3.5000000000000004e-05,3.5000000000000004e-05,3.5000000000000004e-05,2018-10-10T15:15:39.0000000Z,2018-10-10T15:15:39.0000000Z,2018-10-10T16:00:00.0000000Z,2018-10-10T15:00:00.0000000Z,6,90.0
