,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,1.98e-06,1.99e-06,1.6e-06,1.8999999999999998e-06,2018-09-05T12:59:08.0000000Z,2018-09-05T12:05:29.0000000Z,2018-09-05T13:00:00.0000000Z,2018-09-05T12:00:00.0000000Z,9,29346.31497712
1,2.17e-06,2.4999999999999998e-06,1.96e-06,1.98e-06,2018-09-05T13:59:41.0000000Z,2018-09-05T13:18:50.0000000Z,2018-09-05T14:00:00.0000000Z,2018-09-05T13:00:00.0000000Z,23,84797.02200242
2,1.94e-06,2.17e-06,1.8999999999999998e-06,2.16e-06,2018-09-05T14:54:19.0000000Z,2018-09-05T14:02:42.0000000Z,2018-09-05T15:00:00.0000000Z,2018-09-05T14:00:00.0000000Z,16,79487.22603012
3,1.95e-06,1.95e-06,1.95e-06,1.95e-06,2018-09-05T15:39:16.0000000Z,2018-09-05T15:39:16.0000000Z,2018-09-05T16:00:00.0000000Z,2018-09-05T15:00:00.0000000Z,1,2414.3648278
4,1.96e-06,2.05e-06,1.95e-06,1.95e-06,2018-09-05T16:55:54.0000000Z,2018-09-05T16:02:20.0000000Z,2018-09-05T17:00:00.0000000Z,2018-09-05T16:00:00.0000000Z,19,82944.66274184
5,1.9699999999999998e-06,1.98e-06,1.9699999999999998e-06,1.9699999999999998e-06,2018-09-05T17:56:13.0000000Z,2018-09-05T17:01:28.0000000Z,2018-09-05T18:00:00.0000000Z,2018-09-05T17:00:00.0000000Z,7,25986.12826832
6,2.0199999999999997e-06,2.0299999999999996e-06,1.91e-06,1.98e-06,2018-09-05T18:59:47.0000000Z,2018-09-05T18:02:34.0000000Z,2018-09-05T19:00:00.0000000Z,2018-09-05T18:00:00.0000000Z,31,105583.87025824
7,1.9699999999999998e-06,2.0199999999999997e-06,1.95e-06,2.0199999999999997e-06,2018-09-05T19:55:10.0000000Z,2018-09-05T19:00:42.0000000Z,2018-09-05T20:00:00.0000000Z,2018-09-05T19:00:00.0000000Z,29,126873.77712012
8,1.9699999999999998e-06,1.98e-06,1.91e-06,1.9699999999999998e-06,2018-09-05T20:59:59.0000000Z,2018-09-05T20:01:44.0000000Z,2018-09-05T21:00:00.0000000Z,2018-09-05T20:00:00.0000000Z,35,169897.05018704
9,1.92e-06,1.98e-06,1.91e-06,1.95e-06,2018-09-05T21:59:09.0000000Z,2018-09-05T21:01:18.0000000Z,2018-09-05T22:00:00.0000000Z,2018-09-05T21:00:00.0000000Z,33,158333.65166204
10,1.94e-06,1.94e-06,1.92e-06,1.92e-06,2018-09-05T22:59:46.0000000Z,2018-09-05T22:01:18.0000000Z,2018-09-05T23:00:00.0000000Z,2018-09-05T22:00:00.0000000Z,25,113105.03088264
11,1.92e-06,1.99e-06,1.91e-06,1.99e-06,2018-09-05T23:56:49.0000000Z,2018-09-05T23:00:14.0000000Z,2018-09-06T00:00:00.0000000Z,2018-09-05T23:00:00.0000000Z,15,67688.4379274
12,1.92e-06,1.99e-06,1.92e-06,1.92e-06,2018-09-06T00:58:08.0000000Z,2018-09-06T00:00:20.0000000Z,2018-09-06T01:00:00.0000000Z,2018-09-06T00:00:00.0000000Z,16,50047.05409404
13,1.93e-06,1.93e-06,1.92e-06,1.92e-06,2018-09-06T01:55:39.0000000Z,2018-09-06T01:00:53.0000000Z,2018-09-06T02:00:00.0000000Z,2018-09-06T01:00:00.0000000Z,29,121596.98141724
14,1.93e-06,1.93e-06,1.92e-06,1.92e-06,2018-09-06T02:59:08.0000000Z,2018-09-06T02:01:49.0000000Z,2018-09-06T03:00:00.0000000Z,2018-09-06T02:00:00.0000000Z,8,42574.5170154
15,1.92e-06,1.93e-06,1.92e-06,1.93e-06,2018-09-06T03:58:25.0000000Z,2018-09-06T03:00:21.0000000Z,2018-09-06T04:00:00.0000000Z,2018-09-06T03:00:00.0000000Z,28,127795.38970722
16,1.93e-06,1.93e-06,1.92e-06,1.92e-06,2018-09-06T04:55:53.0000000Z,2018-09-06T04:00:13.0000000Z,2018-09-06T05:00:00.0000000Z,2018-09-06T04:00:00.0000000Z,15,65697.12147888
17,1.93e-06,1.93e-06,1.92e-06,1.92e-06,2018-09-06T05:56:13.0000000Z,2018-09-06T05:01:50.0000000Z,2018-09-06T06:00:00.0000000Z,2018-09-06T05:00:00.0000000Z,13,55189.59247898
18,1.92e-06,1.98e-06,1.92e-06,1.93e-06,2018-09-06T06:56:30.0000000Z,2018-09-06T06:01:34.0000000Z,2018-09-06T07:00:00.0000000Z,2018-09-06T06:00:00.0000000Z,25,123464.89838808
19,1.93e-06,1.93e-06,1.92e-06,1.93e-06,2018-09-06T07:56:07.0000000Z,2018-09-06T07:01:52.0000000Z,2018-09-06T08:00:00.0000000Z,2018-09-06T07:00:00.0000000Z,28,139830.06182078
20,1.93e-06,1.93e-06,1.93e-06,1.93e-06,2018-09-06T08:57:37.0000000Z,2018-09-06T08:02:24.0000000Z,2018-09-06T09:00:00.0000000Z,2018-09-06T08:00:00.0000000Z,20,106120.30792404
21,1.93e-06,1.94e-06,1.93e-06,1.93e-06,2018-09-06T09:28:52.0000000Z,2018-09-06T09:01:33.0000000Z,2018-09-06T10:00:00.0000000Z,2018-09-06T09:00:00.0000000Z,7,36466.25787354
22,1.93e-06,1.95e-06,1.93e-06,1.94e-06,2018-09-06T10:58:18.0000000Z,2018-09-06T10:17:59.0000000Z,2018-09-06T11:00:00.0000000Z,2018-09-06T10:00:00.0000000Z,14,63870.04547914
23,1.93e-06,1.93e-06,1.93e-06,1.93e-06,2018-09-06T11:36:56.0000000Z,2018-09-06T11:11:55.0000000Z,2018-09-06T12:00:00.0000000Z,2018-09-06T11:00:00.0000000Z,3,14943.60624242
24,1.93e-06,1.93e-06,1.93e-06,1.93e-06,2018-09-06T12:59:07.0000000Z,2018-09-06T12:08:55.0000000Z,2018-09-06T13:00:00.0000000Z,2018-09-06T12:00:00.0000000Z,11,51083.09234718
25,1.93e-06,1.93e-06,1.93e-06,1.93e-06,2018-09-06T13:59:16.0000000Z,2018-09-06T13:01:59.0000000Z,2018-09-06T14:00:00.0000000Z,2018-09-06T13:00:00.0000000Z,22,115023.83550782
26,2.08e-06,2.08e-06,1.93e-06,1.93e-06,2018-09-06T14:59:54.0000000Z,2018-09-06T14:02:54.0000000Z,2018-09-06T15:00:00.0000000Z,2018-09-06T14:00:00.0000000Z,17,75365.72022294
27,2.18e-06,2.2e-06,2.12e-06,2.18e-06,2018-09-06T15:57:41.0000000Z,2018-09-06T15:09:02.0000000Z,2018-09-06T16:00:00.0000000Z,2018-09-06T15:00:00.0000000Z,17,69560.84156794
28,2.1899999999999998e-06,2.1899999999999998e-06,2.18e-06,2.18e-06,2018-09-06T16:58:49.0000000Z,2018-09-06T16:06:34.0000000Z,2018-09-06T17:00:00.0000000Z,2018-09-06T16:00:00.0000000Z,11,47795.51591618
29,2.1899999999999998e-06,2.2e-06,2.18e-06,2.2e-06,2018-09-06T17:59:11.0000000Z,2018-09-06T17:01:52.0000000Z,2018-09-06T18:00:00.0000000Z,2018-09-06T17:00:00.0000000Z,17,70529.1507838
30,1.8399999999999997e-06,2.2e-06,1.8399999999999997e-06,2.2e-06,2018-09-06T18:38:16.0000000Z,2018-09-06T18:00:23.0000000Z,2018-09-06T19:00:00.0000000Z,2018-09-06T18:00:00.0000000Z,22,199793.55424142
31,1.79e-06,1.81e-06,1.78e-06,1.8e-06,2018-09-06T19:52:36.0000000Z,2018-09-06T19:05:52.0000000Z,2018-09-06T20:00:00.0000000Z,2018-09-06T19:00:00.0000000Z,22,118130.72225192
32,1.8e-06,1.81e-06,1.79e-06,1.8e-06,2018-09-06T20:59:13.0000000Z,2018-09-06T20:01:25.0000000Z,2018-09-06T21:00:00.0000000Z,2018-09-06T20:00:00.0000000Z,12,64979.24295158
33,1.79e-06,1.81e-06,1.79e-06,1.81e-06,2018-09-06T21:59:14.0000000Z,2018-09-06T21:00:56.0000000Z,2018-09-06T22:00:00.0000000Z,2018-09-06T21:00:00.0000000Z,29,145482.35597892
34,1.8e-06,1.81e-06,1.79e-06,1.81e-06,2018-09-06T22:58:16.0000000Z,2018-09-06T22:00:54.0000000Z,2018-09-06T23:00:00.0000000Z,2018-09-06T22:00:00.0000000Z,13,69315.46081754
35,1.83e-06,1.85e-06,1.83e-06,1.8399999999999997e-06,2018-09-06T23:59:27.0000000Z,2018-09-06T23:01:03.0000000Z,2018-09-07T00:00:00.0000000Z,2018-09-06T23:00:00.0000000Z,31,169402.00303974
36,1.83e-06,1.83e-06,1.82e-06,1.83e-06,2018-09-07T00:58:52.0000000Z,2018-09-07T00:00:46.0000000Z,2018-09-07T01:00:00.0000000Z,2018-09-07T00:00:00.0000000Z,38,190826.33502112
37,1.82e-06,1.83e-06,1.82e-06,1.83e-06,2018-09-07T01:59:17.0000000Z,2018-09-07T01:04:16.0000000Z,2018-09-07T02:00:00.0000000Z,2018-09-07T01:00:00.0000000Z,25,124204.6048935
38,1.83e-06,1.8399999999999997e-06,1.82e-06,1.83e-06,2018-09-07T02:59:09.0000000Z,2018-09-07T02:01:44.0000000Z,2018-09-07T03:00:00.0000000Z,2018-09-07T02:00:00.0000000Z,16,84836.0762671
