time_period_start,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded,previous_day_price_close,daily_return_in_percentage,daily_squared_return_in_percentage
2018-12-14,79.4,88.4,75.8,86.6,2018-12-14T23:59:51.3020000Z,2018-12-14T00:00:05.8020000Z,2018-12-15T00:00:00.0000000Z,2018-12-14T00:00:00.0000000Z,6895,12004.11174651,,,
2018-12-15,76.0,83.3,73.6,79.4,2018-12-15T23:59:52.5480000Z,2018-12-15T00:00:22.7560000Z,2018-12-16T00:00:00.0000000Z,2018-12-15T00:00:00.0000000Z,5328,5275.32407651,79.4,-4.3765027966759185,19.153776729312135
2018-12-16,79.0,81.6,75.8,76.1,2018-12-16T23:58:33.3800000Z,2018-12-16T00:00:00.0850000Z,2018-12-17T00:00:00.0000000Z,2018-12-16T00:00:00.0000000Z,5670,4210.24630782,76.0,3.871451218069044,14.988134533888285
2018-12-17,87.8,91.1,78.2,78.6,2018-12-17T23:59:37.9090000Z,2018-12-17T00:07:57.3690000Z,2018-12-18T00:00:00.0000000Z,2018-12-17T00:00:00.0000000Z,3959,5434.98681371,79.0,10.56136481740495,111.5424268063191
2018-12-18,103.8,105.3,84.8,87.8,2018-12-18T23:58:28.4850000Z,2018-12-18T00:00:09.7560000Z,2018-12-19T00:00:00.0000000Z,2018-12-18T00:00:00.0000000Z,9598,17762.18224654,87.8,16.74044700907169,280.2425660635373
2018-12-19,125.9,147.3,101.2,104.0,2018-12-19T23:59:44.4390000Z,2018-12-19T00:00:17.2990000Z,2018-12-20T00:00:00.0000000Z,2018-12-19T00:00:00.0000000Z,15426,50705.46667631,103.8,19.302197031851343,372.5748102564108
2018-12-20,191.6,213.9,122.1,125.9,2018-12-20T23:59:58.5400000Z,2018-12-20T00:00:22.8550000Z,2018-12-21T00:00:00.0000000Z,2018-12-20T00:00:00.0000000Z,18053,61221.6599459,125.9,41.99219244864585,1763.3442266441098
2018-12-21,191.8,229.9,171.7,190.7,2018-12-21T23:59:56.8340000Z,2018-12-21T00:00:17.4750000Z,2018-12-22T00:00:00.0000000Z,2018-12-21T00:00:00.0000000Z,25177,48074.564536900005,191.6,0.10432969125782066,0.01088468447795218
2018-12-22,195.9,204.0,180.6,191.8,2018-12-22T23:59:17.4680000Z,2018-12-22T00:00:02.4040000Z,2018-12-23T00:00:00.0000000Z,2018-12-22T00:00:00.0000000Z,9232,15686.10613736,191.8,2.1151162501157117,4.47371675150355
2018-12-23,195.5,209.6,187.3,195.7,2018-12-23T23:59:59.4950000Z,2018-12-23T00:00:13.1860000Z,2018-12-24T00:00:00.0000000Z,2018-12-23T00:00:00.0000000Z,7516,15586.2396056,195.9,-0.20439455250746974,0.0417771330947288
2018-12-24,180.3,213.9,176.3,195.7,2018-12-24T23:59:59.7450000Z,2018-12-24T00:00:05.3600000Z,2018-12-25T00:00:00.0000000Z,2018-12-24T00:00:00.0000000Z,8766,36341.20895313,195.5,-8.093824921614878,65.51000186175409
2018-12-25,170.3,181.7,147.0,180.0,2018-12-25T23:59:58.0180000Z,2018-12-25T00:00:27.9090000Z,2018-12-26T00:00:00.0000000Z,2018-12-25T00:00:00.0000000Z,11997,32035.02790342,180.3,-5.70605425406292,32.55905515030955
2018-12-26,174.0,185.7,161.1,170.3,2018-12-26T23:59:54.0640000Z,2018-12-26T00:00:01.2570000Z,2018-12-27T00:00:00.0000000Z,2018-12-26T00:00:00.0000000Z,9386,14001.58889948,170.3,2.149371154588664,4.619796360177807
2018-12-27,147.7,176.4,144.5,174.5,2018-12-27T23:59:57.8930000Z,2018-12-27T00:00:10.5450000Z,2018-12-28T00:00:00.0000000Z,2018-12-27T00:00:00.0000000Z,3864,8656.20081241,174.0,-16.38721096771949,268.54068330054594
2018-12-28,172.5,177.2,140.5,147.7,2018-12-28T23:59:51.9760000Z,2018-12-28T00:00:00.5230000Z,2018-12-29T00:00:00.0000000Z,2018-12-28T00:00:00.0000000Z,6093,10646.99093649,147.7,15.521404693408059,240.9140036565497
2018-12-29,160.4,175.5,158.6,172.3,2018-12-29T23:59:59.4590000Z,2018-12-29T00:00:24.1140000Z,2018-12-30T00:00:00.0000000Z,2018-12-29T00:00:00.0000000Z,4595,7641.57703881,172.5,-7.272654103900056,52.89149771497432
2018-12-30,162.2,164.0,156.3,160.4,2018-12-30T23:59:46.4790000Z,2018-12-30T00:00:09.7770000Z,2018-12-31T00:00:00.0000000Z,2018-12-30T00:00:00.0000000Z,2651,5623.52007949,160.4,1.115944624889842,1.24533240582053
2018-12-31,148.1,162.4,145.0,162.2,2018-12-31T23:58:53.4880000Z,2018-12-31T00:00:14.7530000Z,2019-01-01T00:00:00.0000000Z,2018-12-31T00:00:00.0000000Z,2701,5742.99198613,162.2,-9.094242040755951,82.70523829585296
2019-01-01,163.0,166.4,146.0,148.1,2019-01-01T23:58:21.1610000Z,2019-01-01T00:01:04.5820000Z,2019-01-02T00:00:00.0000000Z,2019-01-01T00:00:00.0000000Z,6168,9613.32575796,148.1,9.58624795330092,91.89614982216607
2019-01-02,170.1,173.0,159.7,163.8,2019-01-02T23:59:39.3730000Z,2019-01-02T00:00:28.3290000Z,2019-01-03T00:00:00.0000000Z,2019-01-02T00:00:00.0000000Z,5503,10544.27523831,163.0,4.263629859505347,18.178539578865582
2019-01-03,159.3,175.5,156.5,170.0,2019-01-03T23:56:21.3760000Z,2019-01-03T00:00:11.1630000Z,2019-01-04T00:00:00.0000000Z,2019-01-03T00:00:00.0000000Z,3591,6659.95469263,170.1,-6.559728248581287,43.030034695235315
2019-01-04,159.0,162.9,151.8,158.8,2019-01-04T23:59:45.5380000Z,2019-01-04T00:02:16.1500000Z,2019-01-05T00:00:00.0000000Z,2019-01-04T00:00:00.0000000Z,2624,5966.86128057,159.3,-0.1885014695771403,0.035532804032741554
2019-01-05,158.0,165.4,155.8,159.3,2019-01-05T23:49:50.5620000Z,2019-01-05T00:01:56.7380000Z,2019-01-06T00:00:00.0000000Z,2019-01-05T00:00:00.0000000Z,3281,4949.86383834,159.0,-0.630916919326463,0.3980561590923946
2019-01-06,164.6,167.7,156.0,157.8,2019-01-06T23:58:04.8120000Z,2019-01-06T00:04:09.4230000Z,2019-01-07T00:00:00.0000000Z,2019-01-06T00:00:00.0000000Z,4191,4929.37556712,158.0,4.092325521600237,16.747128174740656
2019-01-07,159.5,166.7,158.7,164.8,2019-01-07T23:59:47.0760000Z,2019-01-07T00:01:13.3350000Z,2019-01-08T00:00:00.0000000Z,2019-01-07T00:00:00.0000000Z,3567,5333.20442877,164.6,-3.14743660180703,9.906357162394585
2019-01-08,159.5,163.0,156.0,159.5,2019-01-08T23:59:13.7860000Z,2019-01-08T00:00:17.9340000Z,2019-01-09T00:00:00.0000000Z,2019-01-08T00:00:00.0000000Z,1535,5193.13139492,159.5,0.0,0.0
2019-01-09,158.5,160.2,155.6,159.6,2019-01-09T23:59:11.6760000Z,2019-01-09T00:03:51.7080000Z,2019-01-10T00:00:00.0000000Z,2019-01-09T00:00:00.0000000Z,1357,2755.37477667,159.5,-0.6289328907564062,0.39555658107520963
2019-01-10,133.5,164.0,128.9,158.5,2019-01-10T23:53:33.2160000Z,2019-01-10T00:00:22.3200000Z,2019-01-11T00:00:00.0000000Z,2019-01-10T00:00:00.0000000Z,8054,16698.08046284,158.5,-17.165311547703066,294.64792052970824
2019-01-11,129.2,133.2,126.7,132.7,2019-01-11T23:54:16.3710000Z,2019-01-11T00:01:41.5310000Z,2019-01-12T00:00:00.0000000Z,2019-01-11T00:00:00.0000000Z,3313,7656.12658635,133.5,-3.2739886491802928,10.719001674961397
2019-01-12,132.6,136.9,129.1,129.1,2019-01-12T23:55:01.9900000Z,2019-01-12T00:07:16.3490000Z,2019-01-13T00:00:00.0000000Z,2019-01-12T00:00:00.0000000Z,4601,7885.81368835,129.2,2.597548640326064,6.747258938859783
