time_period_start,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded,previous_day_price_close,daily_return_in_percentage,daily_squared_return_in_percentage
2018-12-14,9.14e-05,9.300000000000001e-05,8.916e-05,9.1e-05,2018-12-14T22:28:26.0000000Z,2018-12-14T00:29:03.0000000Z,2018-12-15T00:00:00.0000000Z,2018-12-14T00:00:00.0000000Z,35,9352.166142,,,
2018-12-15,8.8e-05,9.398e-05,8.654e-05,9.152e-05,2018-12-15T23:57:44.0000000Z,2018-12-15T00:00:51.0000000Z,2018-12-16T00:00:00.0000000Z,2018-12-15T00:00:00.0000000Z,121,47245.268864,9.14e-05,-3.7908663981898627,14.370668048924983
2018-12-16,8.855e-05,9.199e-05,8.853e-05,8.898e-05,2018-12-16T21:52:16.0000000Z,2018-12-16T01:02:35.0000000Z,2018-12-17T00:00:00.0000000Z,2018-12-16T00:00:00.0000000Z,66,25242.095881999998,8.8e-05,0.6230549750636527,0.3881975019515689
2018-12-17,9.376e-05,9.6e-05,8.78e-05,9.039e-05,2018-12-17T23:40:51.0000000Z,2018-12-17T04:57:44.0000000Z,2018-12-18T00:00:00.0000000Z,2018-12-17T00:00:00.0000000Z,130,111217.335756,8.855e-05,5.717096159986035,32.68518850252706
2018-12-18,9.549999999999999e-05,9.65e-05,9.156e-05,9.4e-05,2018-12-18T23:48:48.0000000Z,2018-12-18T00:09:07.0000000Z,2018-12-19T00:00:00.0000000Z,2018-12-18T00:00:00.0000000Z,55,20461.816918,9.376e-05,1.838792165798253,3.38115662900103
2018-12-19,9.4e-05,0.0001,9.300000000000001e-05,9.570000000000001e-05,2018-12-19T23:11:58.0000000Z,2018-12-19T00:00:10.0000000Z,2018-12-20T00:00:00.0000000Z,2018-12-19T00:00:00.0000000Z,162,36836.679748,9.549999999999999e-05,-1.583146521668155,2.506352909069978
2018-12-20,9e-05,9.512e-05,9e-05,9.51e-05,2018-12-20T22:13:35.0000000Z,2018-12-20T02:25:06.0000000Z,2018-12-21T00:00:00.0000000Z,2018-12-20T00:00:00.0000000Z,90,33937.437968,9.4e-05,-4.348511193973792,18.909549604115373
2018-12-21,9.144e-05,9.350000000000001e-05,9.001e-05,9.25e-05,2018-12-21T21:15:07.0000000Z,2018-12-21T00:44:02.0000000Z,2018-12-22T00:00:00.0000000Z,2018-12-21T00:00:00.0000000Z,77,11131.938415999999,9e-05,1.5873349156290573,2.5196321343751062
2018-12-22,9.543e-05,9.543e-05,9.033e-05,9.033e-05,2018-12-22T15:14:12.0000000Z,2018-12-22T02:19:44.0000000Z,2018-12-23T00:00:00.0000000Z,2018-12-22T00:00:00.0000000Z,20,5364.53313,9.144e-05,4.270997494260698,18.241419595981156
2018-12-23,9.364e-05,9.364e-05,9.067e-05,9.240000000000001e-05,2018-12-23T22:05:01.0000000Z,2018-12-23T12:14:52.0000000Z,2018-12-24T00:00:00.0000000Z,2018-12-23T00:00:00.0000000Z,12,1216.35196,9.543e-05,-1.8935351806453227,3.5854754803415148
2018-12-24,0.0001,0.00010574,9e-05,9.079e-05,2018-12-24T22:55:30.0000000Z,2018-12-24T00:12:21.0000000Z,2018-12-25T00:00:00.0000000Z,2018-12-24T00:00:00.0000000Z,161,102937.024936,9.364e-05,6.571254336538246,43.1813835554727
2018-12-25,0.00010143,0.00010149999999999999,9.651e-05,0.00010094,2018-12-25T22:33:44.0000000Z,2018-12-25T00:24:26.0000000Z,2018-12-26T00:00:00.0000000Z,2018-12-25T00:00:00.0000000Z,37,38855.575833999996,0.0001,1.419871939981121,2.0160363259457523
