,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,16.00000001,900.0,5.16,100.0,2019-02-14T17:59:37.0000000Z,2019-02-14T17:43:00.0000000Z,2019-02-14T18:00:00.0000000Z,2019-02-14T17:00:00.0000000Z,19,9.92849706
1,6.10000048,90.0,5.5,90.0,2019-02-14T18:58:52.0000000Z,2019-02-14T18:00:07.0000000Z,2019-02-14T19:00:00.0000000Z,2019-02-14T18:00:00.0000000Z,103,220.42072508
2,5.99999974,6.10000048,5.02999999,6.10000048,2019-02-14T19:59:09.0000000Z,2019-02-14T19:00:29.0000000Z,2019-02-14T20:00:00.0000000Z,2019-02-14T19:00:00.0000000Z,44,937.28169965
3,7.0,8.50000048,5.99999973,5.99999973,2019-02-14T20:57:52.0000000Z,2019-02-14T20:08:21.0000000Z,2019-02-14T21:00:00.0000000Z,2019-02-14T20:00:00.0000000Z,52,414.47038609
4,7.0,7.0,6.13050052,6.13050052,2019-02-14T21:57:21.0000000Z,2019-02-14T21:07:51.0000000Z,2019-02-14T22:00:00.0000000Z,2019-02-14T21:00:00.0000000Z,16,220.41366851
5,6.99999799,7.04908397,5.05,7.02799998,2019-02-14T22:45:23.0000000Z,2019-02-14T22:09:36.0000000Z,2019-02-14T23:00:00.0000000Z,2019-02-14T22:00:00.0000000Z,15,142.17778282
6,5.13985107,6.49999999,5.13985107,5.14000025,2019-02-14T23:29:20.0000000Z,2019-02-14T23:00:51.0000000Z,2019-02-15T00:00:00.0000000Z,2019-02-14T23:00:00.0000000Z,14,121.56853657
7,5.79999999,6.03000004,5.79999999,6.03,2019-02-15T00:44:08.0000000Z,2019-02-15T00:30:27.0000000Z,2019-02-15T01:00:00.0000000Z,2019-02-15T00:00:00.0000000Z,8,32.91152614
8,5.79999999,5.79999999,5.05000105,5.6999999599999995,2019-02-15T01:41:46.0000000Z,2019-02-15T01:04:27.0000000Z,2019-02-15T02:00:00.0000000Z,2019-02-15T01:00:00.0000000Z,15,223.42720115
9,5.2,5.8,5.050001,5.050001,2019-02-15T02:47:28.0000000Z,2019-02-15T02:03:15.0000000Z,2019-02-15T03:00:00.0000000Z,2019-02-15T02:00:00.0000000Z,13,799.46777138
10,5.2,5.2,5.2,5.2,2019-02-15T03:30:46.0000000Z,2019-02-15T03:05:21.0000000Z,2019-02-15T04:00:00.0000000Z,2019-02-15T03:00:00.0000000Z,6,13.22782614
