,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,332390.87604,332390.87604,332390.87604,332390.87604,2018-10-14T11:20:06.0000000Z,2018-10-14T11:20:06.0000000Z,2018-10-15T00:00:00.0000000Z,2018-10-14T00:00:00.0000000Z,13,0.014599
1,343272.76388,345908.54033,339621.9563,339621.9563,2018-10-15T17:46:52.0000000Z,2018-10-15T03:29:28.0000000Z,2018-10-16T00:00:00.0000000Z,2018-10-15T00:00:00.0000000Z,34,1.40679686
2,351022.89951,351022.89951,350980.43772,350980.43772,2018-10-17T18:21:44.0000000Z,2018-10-17T07:37:57.0000000Z,2018-10-18T00:00:00.0000000Z,2018-10-17T00:00:00.0000000Z,16,0.087928
3,341947.97172,351462.0,341947.97172,351462.0,2018-10-18T19:45:41.0000000Z,2018-10-18T01:25:39.0000000Z,2018-10-19T00:00:00.0000000Z,2018-10-18T00:00:00.0000000Z,19,0.1310776
4,339054.39647,339657.61118,339054.39647,339657.61118,2018-10-19T23:57:04.0000000Z,2018-10-19T18:44:02.0000000Z,2018-10-20T00:00:00.0000000Z,2018-10-19T00:00:00.0000000Z,19,0.112277
5,339969.53485,339969.53485,339969.53485,339969.53485,2018-10-20T12:16:59.0000000Z,2018-10-20T12:16:59.0000000Z,2018-10-21T00:00:00.0000000Z,2018-10-20T00:00:00.0000000Z,27,0.036639
6,341351.40821,348443.7628,341351.40821,348443.7628,2018-10-21T17:37:06.0000000Z,2018-10-21T05:53:31.0000000Z,2018-10-22T00:00:00.0000000Z,2018-10-21T00:00:00.0000000Z,29,0.090606
7,348114.18795,348532.2926,348114.18795,348532.2926,2018-10-22T07:59:56.0000000Z,2018-10-22T01:41:01.0000000Z,2018-10-23T00:00:00.0000000Z,2018-10-22T00:00:00.0000000Z,16,0.059114
8,337633.2807,337994.72043,331433.19696,331468.49885,2018-10-31T13:35:37.0000000Z,2018-10-31T06:38:43.0000000Z,2018-11-01T00:00:00.0000000Z,2018-10-31T00:00:00.0000000Z,24,0.137168
9,333218.98348,333218.98348,333218.98348,333218.98348,2018-11-01T00:24:19.0000000Z,2018-11-01T00:24:19.0000000Z,2018-11-02T00:00:00.0000000Z,2018-11-01T00:00:00.0000000Z,10,0.02408
10,334428.70554,341409.40277,334428.70554,341409.40277,2018-11-02T15:02:11.0000000Z,2018-11-02T03:32:09.0000000Z,2018-11-03T00:00:00.0000000Z,2018-11-02T00:00:00.0000000Z,25,0.029728
11,339816.45652,339816.45652,332711.08179,339535.57097,2018-11-03T17:30:25.0000000Z,2018-11-03T09:59:41.0000000Z,2018-11-04T00:00:00.0000000Z,2018-11-03T00:00:00.0000000Z,134,0.542587
12,333594.69134,340163.60911,333594.69134,340163.60911,2018-11-04T15:03:00.0000000Z,2018-11-04T14:11:10.0000000Z,2018-11-05T00:00:00.0000000Z,2018-11-04T00:00:00.0000000Z,47,0.473557
13,344957.2045,344957.2045,344957.2045,344957.2045,2018-11-05T03:40:12.0000000Z,2018-11-05T03:40:12.0000000Z,2018-11-06T00:00:00.0000000Z,2018-11-05T00:00:00.0000000Z,26,0.131768
14,345737.28396,345737.28396,345737.28396,345737.28396,2018-11-08T00:12:39.0000000Z,2018-11-08T00:12:39.0000000Z,2018-11-09T00:00:00.0000000Z,2018-11-08T00:00:00.0000000Z,25,0.040425
15,334170.83323,341000.8655,334170.83323,341000.8655,2018-11-10T19:29:38.0000000Z,2018-11-10T14:07:28.0000000Z,2018-11-11T00:00:00.0000000Z,2018-11-10T00:00:00.0000000Z,23,0.069807
16,342455.12469,342455.12469,334172.5813,334172.5813,2018-11-12T14:33:46.0000000Z,2018-11-12T03:26:32.0000000Z,2018-11-13T00:00:00.0000000Z,2018-11-12T00:00:00.0000000Z,35,0.06644
17,336659.168,336659.168,336659.168,336659.168,2018-11-13T19:55:05.0000000Z,2018-11-13T19:55:05.0000000Z,2018-11-14T00:00:00.0000000Z,2018-11-13T00:00:00.0000000Z,28,0.02827748
18,297857.61137,330361.28833,297857.61137,330361.28833,2018-11-14T16:56:26.0000000Z,2018-11-14T07:52:01.0000000Z,2018-11-15T00:00:00.0000000Z,2018-11-14T00:00:00.0000000Z,120,1.457111
19,291900.3948,291900.3948,279000.05054,288505.59753,2018-11-15T18:12:29.0000000Z,2018-11-15T02:56:41.0000000Z,2018-11-16T00:00:00.0000000Z,2018-11-15T00:00:00.0000000Z,59,1.65380529
20,289910.0442,294423.69524,289910.0442,294423.69524,2018-11-16T13:43:14.0000000Z,2018-11-16T09:22:31.0000000Z,2018-11-17T00:00:00.0000000Z,2018-11-16T00:00:00.0000000Z,139,1.013881
21,240258.65794,242671.14743,226712.91663,233590.18678,2018-11-20T19:20:43.0000000Z,2018-11-20T10:33:27.0000000Z,2018-11-21T00:00:00.0000000Z,2018-11-20T00:00:00.0000000Z,191,1.08023
22,233102.91829,233102.91829,233102.91829,233102.91829,2018-11-21T03:01:37.0000000Z,2018-11-21T03:01:37.0000000Z,2018-11-22T00:00:00.0000000Z,2018-11-21T00:00:00.0000000Z,2,0.002838
23,235616.83137,235616.83137,235023.29273,235023.29273,2018-11-22T15:20:18.0000000Z,2018-11-22T09:32:12.0000000Z,2018-11-23T00:00:00.0000000Z,2018-11-22T00:00:00.0000000Z,6,0.01101
24,197708.22206,229271.27001,197708.22206,229221.54592,2018-11-24T23:00:00.0000000Z,2018-11-24T04:29:05.0000000Z,2018-11-25T00:00:00.0000000Z,2018-11-24T00:00:00.0000000Z,9,0.030492
25,203876.02361,203876.02361,203876.02361,203876.02361,2018-11-26T12:35:36.0000000Z,2018-11-26T12:35:36.0000000Z,2018-11-27T00:00:00.0000000Z,2018-11-26T00:00:00.0000000Z,3,0.006975
26,194123.69556,197819.735,193568.26439,196735.5009,2018-11-27T20:55:46.0000000Z,2018-11-27T04:40:38.0000000Z,2018-11-28T00:00:00.0000000Z,2018-11-27T00:00:00.0000000Z,6,0.019719
27,224477.79489,224477.79489,209569.87118,209569.87118,2018-12-01T16:51:03.0000000Z,2018-12-01T02:57:34.0000000Z,2018-12-02T00:00:00.0000000Z,2018-12-01T00:00:00.0000000Z,20,0.04386
28,211806.4467,213680.5732,211806.4467,213193.94778,2018-12-02T11:41:46.0000000Z,2018-12-02T10:17:17.0000000Z,2018-12-03T00:00:00.0000000Z,2018-12-02T00:00:00.0000000Z,30,0.05879
29,198524.23784,198524.23784,198524.23784,198524.23784,2018-12-03T15:13:14.0000000Z,2018-12-03T15:13:14.0000000Z,2018-12-04T00:00:00.0000000Z,2018-12-03T00:00:00.0000000Z,10,0.0344671
30,208224.39284,212660.64572,205614.56223,205614.56223,2018-12-04T17:35:04.0000000Z,2018-12-04T08:17:30.0000000Z,2018-12-05T00:00:00.0000000Z,2018-12-04T00:00:00.0000000Z,49,0.404442
31,198082.62724,199577.55382,198082.62724,199577.55382,2018-12-06T12:11:37.0000000Z,2018-12-06T08:36:10.0000000Z,2018-12-07T00:00:00.0000000Z,2018-12-06T00:00:00.0000000Z,26,0.032708
