,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,9.91e-06,1.002e-05,9.460000000000001e-06,9.81e-06,2018-08-22T05:59:58.1370000Z,2018-08-22T05:46:02.6370000Z,2018-08-22T06:00:00.0000000Z,2018-08-22T05:00:00.0000000Z,438,3155229.75389838
1,9e-06,9.98e-06,8.63e-06,9.91e-06,2018-08-22T06:59:49.3200000Z,2018-08-22T06:00:00.7000000Z,2018-08-22T07:00:00.0000000Z,2018-08-22T06:00:00.0000000Z,971,5728703.41381218
2,8.54e-06,9.029999999999998e-06,8.33e-06,9e-06,2018-08-22T07:59:34.9830000Z,2018-08-22T07:00:12.1930000Z,2018-08-22T08:00:00.0000000Z,2018-08-22T07:00:00.0000000Z,297,1960811.95537519
3,8.35e-06,8.54e-06,8.06e-06,8.54e-06,2018-08-22T08:59:29.0700000Z,2018-08-22T08:00:09.8900000Z,2018-08-22T09:00:00.0000000Z,2018-08-22T08:00:00.0000000Z,345,1561667.2011402
4,8.249999999999999e-06,8.550000000000001e-06,7.86e-06,8.35e-06,2018-08-22T09:59:32.2670000Z,2018-08-22T09:00:15.0400000Z,2018-08-22T10:00:00.0000000Z,2018-08-22T09:00:00.0000000Z,255,752227.9581002
5,7.86e-06,8.210000000000001e-06,7.85e-06,8.050000000000001e-06,2018-08-22T10:59:57.0900000Z,2018-08-22T10:00:11.4570000Z,2018-08-22T11:00:00.0000000Z,2018-08-22T10:00:00.0000000Z,196,1004757.21487736
6,8.249999999999999e-06,8.449999999999999e-06,7.719999999999999e-06,7.86e-06,2018-08-22T11:59:52.6130000Z,2018-08-22T11:00:07.9030000Z,2018-08-22T12:00:00.0000000Z,2018-08-22T11:00:00.0000000Z,237,1126345.10253738
7,8.03e-06,8.249999999999999e-06,7.95e-06,8.249999999999999e-06,2018-08-22T12:59:53.0430000Z,2018-08-22T12:02:25.9300000Z,2018-08-22T13:00:00.0000000Z,2018-08-22T12:00:00.0000000Z,106,331342.87258686
8,8.099999999999999e-06,8.19e-06,7.8e-06,8.02e-06,2018-08-22T13:59:31.4730000Z,2018-08-22T13:00:02.9070000Z,2018-08-22T14:00:00.0000000Z,2018-08-22T13:00:00.0000000Z,118,634046.96989497
9,8.109999999999999e-06,8.109999999999999e-06,7.929999999999999e-06,8.099999999999999e-06,2018-08-22T14:58:44.2970000Z,2018-08-22T14:00:22.1170000Z,2018-08-22T15:00:00.0000000Z,2018-08-22T14:00:00.0000000Z,85,379161.58006382
10,7.97e-06,8.17e-06,7.83e-06,8.15e-06,2018-08-22T15:59:03.0870000Z,2018-08-22T15:00:33.2400000Z,2018-08-22T16:00:00.0000000Z,2018-08-22T15:00:00.0000000Z,87,613611.95043338
11,7.65e-06,7.87e-06,7.53e-06,7.87e-06,2018-08-22T16:58:56.7100000Z,2018-08-22T16:00:31.3870000Z,2018-08-22T17:00:00.0000000Z,2018-08-22T16:00:00.0000000Z,164,753312.12152836
12,7.76e-06,7.76e-06,7.519999999999999e-06,7.5699999999999995e-06,2018-08-22T17:54:42.2500000Z,2018-08-22T17:00:15.1930000Z,2018-08-22T18:00:00.0000000Z,2018-08-22T17:00:00.0000000Z,50,153150.60977455
13,7.64e-06,7.76e-06,7.55e-06,7.75e-06,2018-08-22T18:54:43.0300000Z,2018-08-22T18:00:34.1230000Z,2018-08-22T19:00:00.0000000Z,2018-08-22T18:00:00.0000000Z,31,150380.07700858
14,7.41e-06,7.69e-06,7.2e-06,7.64e-06,2018-08-22T19:59:57.3500000Z,2018-08-22T19:00:27.9670000Z,2018-08-22T20:00:00.0000000Z,2018-08-22T19:00:00.0000000Z,97,455027.4559944
15,7.699999999999999e-06,7.699999999999999e-06,7.32e-06,7.41e-06,2018-08-22T20:59:15.4330000Z,2018-08-22T20:00:12.2400000Z,2018-08-22T21:00:00.0000000Z,2018-08-22T20:00:00.0000000Z,51,228799.51508744
16,7.47e-06,7.699999999999999e-06,7.44e-06,7.699999999999999e-06,2018-08-22T21:57:57.3930000Z,2018-08-22T21:05:36.1530000Z,2018-08-22T22:00:00.0000000Z,2018-08-22T21:00:00.0000000Z,18,108892.2242697
17,7.21e-06,7.47e-06,7.099999999999999e-06,7.47e-06,2018-08-22T22:59:40.4530000Z,2018-08-22T22:02:14.0900000Z,2018-08-22T23:00:00.0000000Z,2018-08-22T22:00:00.0000000Z,140,580678.68126217
18,7.2e-06,7.25e-06,7.03e-06,7.2e-06,2018-08-22T23:56:35.8470000Z,2018-08-22T23:00:07.8600000Z,2018-08-23T00:00:00.0000000Z,2018-08-22T23:00:00.0000000Z,82,562399.45338388
19,6.9599999999999994e-06,7.3099999999999995e-06,6.82e-06,7.3099999999999995e-06,2018-08-23T00:59:43.2070000Z,2018-08-23T00:01:14.9670000Z,2018-08-23T01:00:00.0000000Z,2018-08-23T00:00:00.0000000Z,129,540801.48290718
20,6.9499999999999995e-06,7.03e-06,6.789999999999999e-06,6.9400000000000005e-06,2018-08-23T01:59:24.6530000Z,2018-08-23T01:00:14.6470000Z,2018-08-23T02:00:00.0000000Z,2018-08-23T01:00:00.0000000Z,121,589470.1121486
21,6.9599999999999994e-06,7.049999999999999e-06,6.91e-06,7.019999999999999e-06,2018-08-23T02:56:16.4070000Z,2018-08-23T02:01:44.6730000Z,2018-08-23T03:00:00.0000000Z,2018-08-23T02:00:00.0000000Z,60,186690.59476479
22,7.179999999999999e-06,7.4e-06,6.969999999999999e-06,6.969999999999999e-06,2018-08-23T03:59:46.3500000Z,2018-08-23T03:01:43.2170000Z,2018-08-23T04:00:00.0000000Z,2018-08-23T03:00:00.0000000Z,96,517271.09556068
23,7.12e-06,7.2999999999999996e-06,6.98e-06,7.179999999999999e-06,2018-08-23T04:59:44.9070000Z,2018-08-23T04:00:00.7230000Z,2018-08-23T05:00:00.0000000Z,2018-08-23T04:00:00.0000000Z,116,707970.58808962
24,7e-06,7.2e-06,7e-06,7.099999999999999e-06,2018-08-23T05:57:18.7870000Z,2018-08-23T05:00:12.5170000Z,2018-08-23T06:00:00.0000000Z,2018-08-23T05:00:00.0000000Z,33,137173.22438604
25,6.799999999999999e-06,7.019999999999999e-06,6.789999999999999e-06,7.019999999999999e-06,2018-08-23T06:59:50.5800000Z,2018-08-23T06:00:08.5400000Z,2018-08-23T07:00:00.0000000Z,2018-08-23T06:00:00.0000000Z,77,734975.62970227
26,6.889999999999999e-06,6.9e-06,6.6799999999999996e-06,6.799999999999999e-06,2018-08-23T07:59:33.8700000Z,2018-08-23T07:00:14.0030000Z,2018-08-23T08:00:00.0000000Z,2018-08-23T07:00:00.0000000Z,106,759053.58916772
27,6.8699999999999994e-06,7.0399999999999995e-06,6.86e-06,6.889999999999999e-06,2018-08-23T08:59:45.8030000Z,2018-08-23T08:01:53.2500000Z,2018-08-23T09:00:00.0000000Z,2018-08-23T08:00:00.0000000Z,81,580072.79227611
28,6.86e-06,6.879999999999999e-06,6.7e-06,6.86e-06,2018-08-23T09:59:36.0000000Z,2018-08-23T09:00:20.2430000Z,2018-08-23T10:00:00.0000000Z,2018-08-23T09:00:00.0000000Z,97,470407.83339461
29,6.76e-06,6.9e-06,6.7e-06,6.8699999999999994e-06,2018-08-23T10:58:42.7600000Z,2018-08-23T10:02:32.4300000Z,2018-08-23T11:00:00.0000000Z,2018-08-23T10:00:00.0000000Z,37,251426.10553645
30,6.61e-06,6.7699999999999996e-06,6.56e-06,6.719999999999999e-06,2018-08-23T11:59:27.5830000Z,2018-08-23T11:00:20.2000000Z,2018-08-23T12:00:00.0000000Z,2018-08-23T11:00:00.0000000Z,143,550664.12125233
31,6.53e-06,6.69e-06,6.53e-06,6.61e-06,2018-08-23T12:59:35.7800000Z,2018-08-23T12:00:16.9430000Z,2018-08-23T13:00:00.0000000Z,2018-08-23T12:00:00.0000000Z,109,492959.60079056
