,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,8.300000000000001e-05,9.819000000000002e-05,5.398e-05,5.5140000000000004e-05,2018-09-17T06:59:48.6030000Z,2018-09-17T06:09:49.9800000Z,2018-09-17T07:00:00.0000000Z,2018-09-17T06:00:00.0000000Z,3087,1990676.2835629
1,8.739000000000002e-05,8.976e-05,7.799e-05,8.374000000000001e-05,2018-09-17T07:59:53.1370000Z,2018-09-17T07:00:08.9470000Z,2018-09-17T08:00:00.0000000Z,2018-09-17T07:00:00.0000000Z,901,472860.60950345
2,8.273e-05,9.494000000000001e-05,7.7e-05,8.740000000000001e-05,2018-09-17T08:59:59.0430000Z,2018-09-17T08:00:04.7770000Z,2018-09-17T09:00:00.0000000Z,2018-09-17T08:00:00.0000000Z,1063,516626.45918284
3,7.551000000000001e-05,8.332000000000001e-05,7.3e-05,8.332000000000001e-05,2018-09-17T09:58:34.5400000Z,2018-09-17T09:00:15.7800000Z,2018-09-17T10:00:00.0000000Z,2018-09-17T09:00:00.0000000Z,545,235134.4918302
4,7.797e-05,7.899e-05,7.501000000000002e-05,7.6e-05,2018-09-17T10:59:40.0930000Z,2018-09-17T10:00:08.2600000Z,2018-09-17T11:00:00.0000000Z,2018-09-17T10:00:00.0000000Z,322,183954.70287057
5,7.506e-05,7.793000000000001e-05,7.406e-05,7.793000000000001e-05,2018-09-17T11:59:54.4000000Z,2018-09-17T11:00:11.6730000Z,2018-09-17T12:00:00.0000000Z,2018-09-17T11:00:00.0000000Z,203,72578.72403671
6,6.971000000000001e-05,7.650000000000002e-05,6.762e-05,7.506e-05,2018-09-17T12:59:41.9100000Z,2018-09-17T12:00:12.2270000Z,2018-09-17T13:00:00.0000000Z,2018-09-17T12:00:00.0000000Z,451,210676.37980998
7,7.902000000000001e-05,8.400000000000001e-05,6.972e-05,7.091000000000001e-05,2018-09-17T13:59:47.1300000Z,2018-09-17T13:00:03.5330000Z,2018-09-17T14:00:00.0000000Z,2018-09-17T13:00:00.0000000Z,922,463258.40258864
8,7.651e-05,8.09e-05,7.551000000000001e-05,7.959e-05,2018-09-17T14:59:47.8630000Z,2018-09-17T14:00:00.6600000Z,2018-09-17T15:00:00.0000000Z,2018-09-17T14:00:00.0000000Z,298,158394.92862437
9,7.115000000000001e-05,7.733e-05,6.891e-05,7.651e-05,2018-09-17T15:59:54.3530000Z,2018-09-17T15:00:06.3800000Z,2018-09-17T16:00:00.0000000Z,2018-09-17T15:00:00.0000000Z,234,112885.13212061
10,6.545e-05,7.158000000000002e-05,6.542000000000001e-05,7.115000000000001e-05,2018-09-17T16:58:50.7970000Z,2018-09-17T16:00:03.0570000Z,2018-09-17T17:00:00.0000000Z,2018-09-17T16:00:00.0000000Z,228,97547.93454574
11,6.737e-05,7.060000000000001e-05,6.451e-05,6.722e-05,2018-09-17T17:58:27.6800000Z,2018-09-17T17:00:03.7670000Z,2018-09-17T18:00:00.0000000Z,2018-09-17T17:00:00.0000000Z,124,48652.96906708
