,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,1.323e-05,1.3990000000000002e-05,1.323e-05,1.3330000000000001e-05,2018-08-20T12:59:47.7030000Z,2018-08-20T12:27:36.8970000Z,2018-08-20T13:00:00.0000000Z,2018-08-20T12:00:00.0000000Z,59,22953.29922738
1,1.3040000000000002e-05,1.375e-05,1.2990000000000001e-05,1.325e-05,2018-08-20T13:40:40.2300000Z,2018-08-20T13:02:35.4730000Z,2018-08-20T14:00:00.0000000Z,2018-08-20T13:00:00.0000000Z,62,53694.25665568
2,1.3100000000000002e-05,1.3100000000000002e-05,1.3080000000000002e-05,1.3080000000000002e-05,2018-08-20T14:40:17.9570000Z,2018-08-20T14:16:59.2800000Z,2018-08-20T15:00:00.0000000Z,2018-08-20T14:00:00.0000000Z,15,8584.52306264
3,1.3120000000000001e-05,1.3120000000000001e-05,1.2990000000000001e-05,1.2990000000000001e-05,2018-08-20T15:35:37.8900000Z,2018-08-20T15:22:49.1300000Z,2018-08-20T16:00:00.0000000Z,2018-08-20T15:00:00.0000000Z,8,7870.13064992
4,1.3080000000000002e-05,1.311e-05,1.3080000000000002e-05,1.311e-05,2018-08-20T16:55:39.6030000Z,2018-08-20T16:39:46.6170000Z,2018-08-20T17:00:00.0000000Z,2018-08-20T16:00:00.0000000Z,3,3250.0
5,1.3150000000000001e-05,1.3150000000000001e-05,1.3150000000000001e-05,1.3150000000000001e-05,2018-08-20T17:36:49.6000000Z,2018-08-20T17:36:49.6000000Z,2018-08-20T18:00:00.0000000Z,2018-08-20T17:00:00.0000000Z,1,640.0
6,1.3200000000000002e-05,1.3630000000000002e-05,1.3200000000000002e-05,1.3630000000000002e-05,2018-08-20T21:19:31.2870000Z,2018-08-20T21:06:08.1400000Z,2018-08-20T22:00:00.0000000Z,2018-08-20T21:00:00.0000000Z,5,608.0097807
7,1.2730000000000002e-05,1.3200000000000002e-05,1.271e-05,1.3200000000000002e-05,2018-08-20T22:53:50.5170000Z,2018-08-20T22:09:09.0230000Z,2018-08-20T23:00:00.0000000Z,2018-08-20T22:00:00.0000000Z,46,38280.1484428
8,1.2740000000000002e-05,1.2740000000000002e-05,1.259e-05,1.2600000000000001e-05,2018-08-20T23:20:43.1330000Z,2018-08-20T23:11:42.6170000Z,2018-08-21T00:00:00.0000000Z,2018-08-20T23:00:00.0000000Z,37,8921.56663875
9,1.2640000000000001e-05,1.268e-05,1.247e-05,1.251e-05,2018-08-21T00:43:55.6170000Z,2018-08-21T00:00:27.4730000Z,2018-08-21T01:00:00.0000000Z,2018-08-21T00:00:00.0000000Z,27,11311.00525014
10,1.254e-05,1.2600000000000001e-05,1.254e-05,1.2600000000000001e-05,2018-08-21T01:18:19.3030000Z,2018-08-21T01:17:50.9600000Z,2018-08-21T02:00:00.0000000Z,2018-08-21T01:00:00.0000000Z,4,575.78908084
11,1.247e-05,1.254e-05,1.247e-05,1.254e-05,2018-08-21T02:32:17.2200000Z,2018-08-21T02:18:47.4900000Z,2018-08-21T03:00:00.0000000Z,2018-08-21T02:00:00.0000000Z,8,14882.06362775
12,1.268e-05,1.268e-05,1.252e-05,1.252e-05,2018-08-21T03:54:26.3870000Z,2018-08-21T03:52:52.7100000Z,2018-08-21T04:00:00.0000000Z,2018-08-21T03:00:00.0000000Z,3,8703.52045992
13,1.23e-05,1.25e-05,1.2290000000000003e-05,1.25e-05,2018-08-21T04:47:34.4770000Z,2018-08-21T04:37:10.9830000Z,2018-08-21T05:00:00.0000000Z,2018-08-21T04:00:00.0000000Z,28,28957.05754583
14,1.243e-05,1.243e-05,1.243e-05,1.243e-05,2018-08-21T05:11:31.9000000Z,2018-08-21T05:11:16.6800000Z,2018-08-21T06:00:00.0000000Z,2018-08-21T05:00:00.0000000Z,4,434.74561463
15,1.236e-05,1.2370000000000002e-05,1.236e-05,1.2370000000000002e-05,2018-08-21T06:22:29.5930000Z,2018-08-21T06:22:29.5930000Z,2018-08-21T07:00:00.0000000Z,2018-08-21T06:00:00.0000000Z,2,1780.32969256
16,1.2620000000000001e-05,1.2620000000000001e-05,1.2440000000000001e-05,1.2440000000000001e-05,2018-08-21T07:35:44.3200000Z,2018-08-21T07:20:09.3130000Z,2018-08-21T08:00:00.0000000Z,2018-08-21T07:00:00.0000000Z,4,2554.95456148
17,1.268e-05,1.268e-05,1.25e-05,1.25e-05,2018-08-21T08:57:45.6430000Z,2018-08-21T08:03:51.5400000Z,2018-08-21T09:00:00.0000000Z,2018-08-21T08:00:00.0000000Z,9,6656.41022689
18,1.27e-05,1.27e-05,1.27e-05,1.27e-05,2018-08-21T09:43:08.7630000Z,2018-08-21T09:43:07.3400000Z,2018-08-21T10:00:00.0000000Z,2018-08-21T09:00:00.0000000Z,3,1462.0
19,1.283e-05,1.284e-05,1.252e-05,1.2690000000000002e-05,2018-08-21T10:17:49.2170000Z,2018-08-21T10:17:06.7470000Z,2018-08-21T11:00:00.0000000Z,2018-08-21T10:00:00.0000000Z,60,73532.40510452
20,1.309e-05,1.321e-05,1.2780000000000001e-05,1.2780000000000001e-05,2018-08-21T12:57:28.8200000Z,2018-08-21T12:06:55.8730000Z,2018-08-21T13:00:00.0000000Z,2018-08-21T12:00:00.0000000Z,121,93104.63783427
21,1.2900000000000002e-05,1.3060000000000002e-05,1.2740000000000002e-05,1.3060000000000002e-05,2018-08-21T13:48:02.9500000Z,2018-08-21T13:00:22.6870000Z,2018-08-21T14:00:00.0000000Z,2018-08-21T13:00:00.0000000Z,12,5114.40225035
22,1.2580000000000002e-05,1.267e-05,1.2580000000000002e-05,1.267e-05,2018-08-21T14:57:02.9000000Z,2018-08-21T14:02:53.8270000Z,2018-08-21T15:00:00.0000000Z,2018-08-21T14:00:00.0000000Z,19,7749.55065838
23,1.2600000000000001e-05,1.2650000000000003e-05,1.254e-05,1.254e-05,2018-08-21T15:16:28.8970000Z,2018-08-21T15:01:20.8970000Z,2018-08-21T16:00:00.0000000Z,2018-08-21T15:00:00.0000000Z,20,14454.80666
24,1.259e-05,1.259e-05,1.2440000000000001e-05,1.2440000000000001e-05,2018-08-21T16:41:03.9130000Z,2018-08-21T16:28:28.8900000Z,2018-08-21T17:00:00.0000000Z,2018-08-21T16:00:00.0000000Z,3,503.28065761
25,1.259e-05,1.259e-05,1.259e-05,1.259e-05,2018-08-21T17:56:44.6170000Z,2018-08-21T17:56:44.6170000Z,2018-08-21T18:00:00.0000000Z,2018-08-21T17:00:00.0000000Z,1,250.0
