,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,2.5880000000000003e-05,3.7770000000000006e-05,2.4e-05,3.7770000000000006e-05,2019-04-09T04:59:56.7000000Z,2019-04-09T04:02:13.7100000Z,2019-04-09T05:00:00.0000000Z,2019-04-09T04:00:00.0000000Z,2811,7741927.20089664
1,3.0770000000000005e-05,3.59e-05,2.582e-05,2.582e-05,2019-04-09T05:59:57.7600000Z,2019-04-09T05:00:07.4600000Z,2019-04-09T06:00:00.0000000Z,2019-04-09T05:00:00.0000000Z,2249,5186381.33439617
2,2.7170000000000002e-05,3.261e-05,2.699e-05,3.07e-05,2019-04-09T06:59:59.4700000Z,2019-04-09T06:00:00.8700000Z,2019-04-09T07:00:00.0000000Z,2019-04-09T06:00:00.0000000Z,1107,2330376.08417262
3,2.7260000000000003e-05,2.9e-05,2.6490000000000002e-05,2.725e-05,2019-04-09T07:59:58.4800000Z,2019-04-09T07:00:02.7000000Z,2019-04-09T08:00:00.0000000Z,2019-04-09T07:00:00.0000000Z,553,1056183.96084752
4,2.7410000000000004e-05,2.8780000000000002e-05,2.625e-05,2.725e-05,2019-04-09T08:59:35.3200000Z,2019-04-09T08:00:00.7300000Z,2019-04-09T09:00:00.0000000Z,2019-04-09T08:00:00.0000000Z,512,897399.39291764
5,2.6700000000000002e-05,2.7890000000000002e-05,2.6700000000000002e-05,2.743e-05,2019-04-09T09:59:11.2900000Z,2019-04-09T09:00:35.0800000Z,2019-04-09T10:00:00.0000000Z,2019-04-09T09:00:00.0000000Z,217,332709.07414592
6,2.7640000000000003e-05,2.7650000000000005e-05,2.6700000000000002e-05,2.6700000000000002e-05,2019-04-09T10:58:31.8600000Z,2019-04-09T10:00:02.9000000Z,2019-04-09T11:00:00.0000000Z,2019-04-09T10:00:00.0000000Z,218,358790.95492214
7,2.7850000000000003e-05,2.8900000000000005e-05,2.7220000000000004e-05,2.7640000000000003e-05,2019-04-09T11:59:33.4500000Z,2019-04-09T11:00:57.0500000Z,2019-04-09T12:00:00.0000000Z,2019-04-09T11:00:00.0000000Z,458,940069.37542277
8,2.7810000000000003e-05,2.8590000000000002e-05,2.731e-05,2.8130000000000003e-05,2019-04-09T12:56:56.5700000Z,2019-04-09T12:00:11.1500000Z,2019-04-09T13:00:00.0000000Z,2019-04-09T12:00:00.0000000Z,151,162863.10429475
9,2.754e-05,2.8120000000000005e-05,2.7010000000000004e-05,2.7400000000000005e-05,2019-04-09T13:59:35.1700000Z,2019-04-09T13:02:59.3900000Z,2019-04-09T14:00:00.0000000Z,2019-04-09T13:00:00.0000000Z,235,452186.8224471
10,2.7090000000000003e-05,2.752e-05,2.6650000000000004e-05,2.752e-05,2019-04-09T14:57:13.1600000Z,2019-04-09T14:00:18.9800000Z,2019-04-09T15:00:00.0000000Z,2019-04-09T14:00:00.0000000Z,166,222347.81903546
11,2.6150000000000005e-05,2.7000000000000002e-05,2.6150000000000005e-05,2.7000000000000002e-05,2019-04-09T15:54:58.9100000Z,2019-04-09T15:00:13.6100000Z,2019-04-09T16:00:00.0000000Z,2019-04-09T15:00:00.0000000Z,110,283399.62575173
12,2.5940000000000002e-05,2.667e-05,2.5800000000000004e-05,2.6150000000000005e-05,2019-04-09T16:58:02.0100000Z,2019-04-09T16:00:13.0000000Z,2019-04-09T17:00:00.0000000Z,2019-04-09T16:00:00.0000000Z,54,168321.22091771
