,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,1285,1350,1275,1350,2018-08-20T14:59:56.0000000Z,2018-08-20T14:54:44.0000000Z,2018-08-20T15:00:00.0000000Z,2018-08-20T14:00:00.0000000Z,44,11231.43800457
1,1275,1320,1275,1315,2018-08-20T15:47:18.0000000Z,2018-08-20T15:00:01.0000000Z,2018-08-20T16:00:00.0000000Z,2018-08-20T15:00:00.0000000Z,44,3883.9473158
2,1300,1305,1300,1300,2018-08-20T16:49:11.0000000Z,2018-08-20T16:10:49.0000000Z,2018-08-20T17:00:00.0000000Z,2018-08-20T16:00:00.0000000Z,22,1495.00558235
3,1310,1310,1300,1300,2018-08-20T17:52:33.0000000Z,2018-08-20T17:16:55.0000000Z,2018-08-20T18:00:00.0000000Z,2018-08-20T17:00:00.0000000Z,34,1819.84989734
4,1315,1315,1315,1315,2018-08-20T18:25:43.0000000Z,2018-08-20T18:25:36.0000000Z,2018-08-20T19:00:00.0000000Z,2018-08-20T18:00:00.0000000Z,3,100.0
5,1315,1320,1315,1320,2018-08-20T19:48:09.0000000Z,2018-08-20T19:03:02.0000000Z,2018-08-20T20:00:00.0000000Z,2018-08-20T19:00:00.0000000Z,7,186.21111803
6,1310,1310,1305,1310,2018-08-20T20:48:09.0000000Z,2018-08-20T20:35:01.0000000Z,2018-08-20T21:00:00.0000000Z,2018-08-20T20:00:00.0000000Z,7,1055.49244934
7,1270,1300,1270,1300,2018-08-20T22:59:44.0000000Z,2018-08-20T22:11:12.0000000Z,2018-08-20T23:00:00.0000000Z,2018-08-20T22:00:00.0000000Z,38,8295.22368566
8,1240,1270,1240,1270,2018-08-20T23:59:21.0000000Z,2018-08-20T23:00:20.0000000Z,2018-08-21T00:00:00.0000000Z,2018-08-20T23:00:00.0000000Z,80,2402.71322422
9,1260,1270,1230,1240,2018-08-21T00:48:13.0000000Z,2018-08-21T00:01:20.0000000Z,2018-08-21T01:00:00.0000000Z,2018-08-21T00:00:00.0000000Z,40,2532.7409706
10,1245,1260,1245,1260,2018-08-21T01:33:18.0000000Z,2018-08-21T01:00:06.0000000Z,2018-08-21T02:00:00.0000000Z,2018-08-21T01:00:00.0000000Z,4,105.0313
11,1230,1255,1230,1255,2018-08-21T02:32:14.0000000Z,2018-08-21T02:00:58.0000000Z,2018-08-21T03:00:00.0000000Z,2018-08-21T02:00:00.0000000Z,21,1169.5282586
12,1245,1245,1245,1245,2018-08-21T03:32:58.0000000Z,2018-08-21T03:02:44.0000000Z,2018-08-21T04:00:00.0000000Z,2018-08-21T03:00:00.0000000Z,3,23.94244
13,1220,1230,1220,1230,2018-08-21T05:58:50.0000000Z,2018-08-21T05:11:53.0000000Z,2018-08-21T06:00:00.0000000Z,2018-08-21T05:00:00.0000000Z,24,929.36291112
14,1265,1270,1220,1220,2018-08-21T06:58:18.0000000Z,2018-08-21T06:06:54.0000000Z,2018-08-21T07:00:00.0000000Z,2018-08-21T06:00:00.0000000Z,20,511.84100034
15,1270,1280,1250,1265,2018-08-21T07:59:14.0000000Z,2018-08-21T07:00:17.0000000Z,2018-08-21T08:00:00.0000000Z,2018-08-21T07:00:00.0000000Z,39,2268.45905408
16,1270,1275,1265,1270,2018-08-21T08:55:37.0000000Z,2018-08-21T08:01:42.0000000Z,2018-08-21T09:00:00.0000000Z,2018-08-21T08:00:00.0000000Z,36,2692.43952303
17,1275,1275,1255,1270,2018-08-21T09:55:19.0000000Z,2018-08-21T09:00:39.0000000Z,2018-08-21T10:00:00.0000000Z,2018-08-21T09:00:00.0000000Z,30,811.94543867
18,1265,1265,1250,1265,2018-08-21T10:59:28.0000000Z,2018-08-21T10:10:39.0000000Z,2018-08-21T11:00:00.0000000Z,2018-08-21T10:00:00.0000000Z,19,583.64917905
19,1265,1265,1250,1255,2018-08-21T11:55:43.0000000Z,2018-08-21T11:01:30.0000000Z,2018-08-21T12:00:00.0000000Z,2018-08-21T11:00:00.0000000Z,9,1252.77541399
20,1285,1285,1250,1255,2018-08-21T12:56:36.0000000Z,2018-08-21T12:02:51.0000000Z,2018-08-21T13:00:00.0000000Z,2018-08-21T12:00:00.0000000Z,19,1913.45737971
21,1280,1280,1250,1280,2018-08-21T13:36:34.0000000Z,2018-08-21T13:08:58.0000000Z,2018-08-21T14:00:00.0000000Z,2018-08-21T13:00:00.0000000Z,8,842.7002739
22,1265,1270,1255,1270,2018-08-21T14:52:19.0000000Z,2018-08-21T14:00:19.0000000Z,2018-08-21T15:00:00.0000000Z,2018-08-21T14:00:00.0000000Z,23,2067.14646107
23,1265,1265,1265,1265,2018-08-21T15:30:25.0000000Z,2018-08-21T15:25:19.0000000Z,2018-08-21T16:00:00.0000000Z,2018-08-21T15:00:00.0000000Z,2,79.05138339
24,1265,1265,1265,1265,2018-08-21T16:32:43.0000000Z,2018-08-21T16:32:43.0000000Z,2018-08-21T17:00:00.0000000Z,2018-08-21T16:00:00.0000000Z,1,22.0545
25,1270,1270,1265,1265,2018-08-21T17:06:06.0000000Z,2018-08-21T17:01:00.0000000Z,2018-08-21T18:00:00.0000000Z,2018-08-21T17:00:00.0000000Z,4,300.1123
26,1325,1325,1270,1270,2018-08-22T01:59:03.0000000Z,2018-08-22T01:06:31.0000000Z,2018-08-22T02:00:00.0000000Z,2018-08-22T01:00:00.0000000Z,59,3993.32506107
27,1305,1340,1305,1330,2018-08-22T02:59:51.0000000Z,2018-08-22T02:00:56.0000000Z,2018-08-22T03:00:00.0000000Z,2018-08-22T02:00:00.0000000Z,49,4583.80626802
28,1335,1335,1295,1300,2018-08-22T03:39:08.0000000Z,2018-08-22T03:00:01.0000000Z,2018-08-22T04:00:00.0000000Z,2018-08-22T03:00:00.0000000Z,4,161.63511896
29,1305,1315,1305,1315,2018-08-22T04:50:55.0000000Z,2018-08-22T04:07:42.0000000Z,2018-08-22T05:00:00.0000000Z,2018-08-22T04:00:00.0000000Z,7,720.08599621
30,1300,1305,1300,1305,2018-08-22T05:18:14.0000000Z,2018-08-22T05:18:13.0000000Z,2018-08-22T06:00:00.0000000Z,2018-08-22T05:00:00.0000000Z,2,94.09378352
31,1300,1300,1295,1295,2018-08-22T06:44:38.0000000Z,2018-08-22T06:07:01.0000000Z,2018-08-22T07:00:00.0000000Z,2018-08-22T06:00:00.0000000Z,3,410.82912057
32,1300,1300,1285,1290,2018-08-22T08:52:56.0000000Z,2018-08-22T08:07:59.0000000Z,2018-08-22T09:00:00.0000000Z,2018-08-22T08:00:00.0000000Z,9,533.78909568
33,1285,1300,1285,1300,2018-08-22T09:30:41.0000000Z,2018-08-22T09:03:43.0000000Z,2018-08-22T10:00:00.0000000Z,2018-08-22T09:00:00.0000000Z,12,605.75050591
